,clorox_male,clorox_female,tuple,co_male,co_female,average_male,average_female,male-female
53,-1.8380066,-1.9426185,"('uncreative', 'creative')",0.42324373,0.34228045,-0.7073814,-0.800169,0.0927876
19,-1.8029904,-1.7879348,"('inhospitable', 'hospitable')",-0.85148525,-0.7108775,-1.3272378,-1.2494061,-0.0778317
86,-1.6796399,-1.6613795,"('uninfluential', 'influential')",-0.4807217,-0.6415567,-1.0801809,-1.151468,0.0712871
9,-1.45373,-1.6740212,"('unaffectionate', 'caring')",0.9082918,0.62802815,-0.2727191,-0.5229965,0.2502774
51,-1.3029257,-1.0840096,"('uneducated', 'educated')",-0.19351201,0.04255619,-0.7482188,-0.5207267,-0.2274921
36,-1.176211,-1.1738031,"('hostile', 'amicable')",-0.45616725,-0.060212433,-0.8161891,-0.6170077,-0.1991814
44,1.1599216,1.104924,"('prejudiced', 'unprejudiced')",-0.84875226,-0.79730135,0.1555847,0.1538113,0.0017734
6,-1.1514523,-1.4528538,"('distant', 'open')",-0.546105,-0.7687822,-0.8487787,-1.110818,0.2620393
1,-1.1233749,-1.5261887,"('unfriendly', 'friendly')",1.1312735,0.8470695,0.0039493,-0.3395596,0.3435089
8,-1.1071473,-1.1864114,"('unaffectionate', 'affectionate')",0.428505,0.16017348,-0.3393212,-0.513119,0.1737978
0,-1.1071112,-0.93279785,"('unsociable', 'sociable')",-0.15566353,-0.018461093,-0.6313874,-0.4756295,-0.1557579
23,-1.1009908,-0.9658417,"('insincere', 'sincere')",5.4151993,5.358058,2.1571043,2.1961081,-0.0390038
28,-1.0561072,-1.0295069,"('disloyal', 'loyal')",1.0267504,0.9692202,-0.0146784,-0.0301434,0.015465
31,-1.0347961,-1.2268658,"('evil', 'good')",-1.1085317,-1.2737962,-1.0716639,-1.2503309,0.178667
18,-0.9708048,-0.5369298,"('disagreeable', 'welcoming')",-1.1620575,-1.0252404,-1.0664312,-0.7810851,-0.2853461
54,-0.92245275,-0.8896317,"('incapable', 'capable')",0.5732208,0.7505457,-0.174616,-0.069543,-0.105073
38,-0.87271714,-1.1210561,"('untruthful', 'truthful')",-0.25188932,-0.09287831,-0.5623032,-0.6069672,0.044664
76,0.8684803,0.8670859,"('anxious', 'daring')",0.091970846,0.11418548,0.4802256,0.4906357,-0.0104101
13,-0.86685497,-0.62423474,"('impolite', 'polite')",-0.36418298,-0.4180927,-0.615519,-0.5211637,-0.0943553
73,0.85608345,0.7177994,"('helpless', 'self-reliant')",-2.9539313,-3.035459,-1.048924,-1.1588298,0.1099058
5,-0.8362485,-1.0466982,"('distant', 'outgoing')",-0.77946776,-0.9469025,-0.8078581,-0.9968004,0.1889423
61,-0.8314245,-0.7523817,"('illogical', 'logical')",0.04865095,0.24086146,-0.3913867,-0.2557601,-0.1356266
77,-0.8211411,-0.740846,"('unmotivated', 'motivated')",-1.3293228,-1.2153136,-1.075232,-0.9780798,-0.0971522
12,-0.80440986,-0.90355015,"('unsupportive', 'supportive')",-2.041627,-2.1173766,-1.4230185,-1.5104634,0.0874449
63,-0.7911079,-0.80877894,"('unperceptive', 'insightful')",-0.016547695,-0.045410767,-0.4038278,-0.4270948,0.023267
79,-0.781944,-1.0893695,"('wavering', 'unwavering')",-0.71213704,-0.7559657,-0.7470405,-0.9226676,0.1756271
52,-0.7774246,-0.6332531,"('irrational', 'rational')",-0.5447157,-0.20207939,-0.6610701,-0.4176663,-0.2434038
75,0.72189575,0.42805925,"('meek', 'impulsive')",-0.6635992,-0.79733557,0.0291483,-0.1846382,0.2137865
88,-0.72141653,-0.38230106,"('low', 'eminent')",-0.72390896,-0.29800788,-0.7226627,-0.3401545,-0.3825082
45,-0.7167126,-0.9688679,"('incompetent', 'competent')",0.14799884,0.0686185,-0.2843569,-0.4501247,0.1657678
7,-0.66187924,-0.53638595,"('insensitive', 'sensitive')",-0.048442177,-0.2419818,-0.3551607,-0.3891839,0.0340232
16,-0.66143835,-0.5389233,"('unpopular', 'popular')",-0.0242173,0.42122293,-0.3428278,-0.0588502,-0.2839776
25,-0.6356473,-0.5402517,"('egoistic', 'altruistic')",0.954361,1.1827762,0.1593569,0.3212623,-0.1619054
43,-0.61114424,-0.5902086,"('irresponsible', 'responsible')",0.6885351,0.5574455,0.0386954,-0.0163815,0.0550769
3,-0.59706813,-0.5677245,"('repellent', 'pleasant')",0.45730463,0.47876254,-0.0698818,-0.044481,-0.0254008
66,-0.5897205,-0.87082565,"('inactive', 'active')",0.25486714,0.15538144,-0.1674267,-0.3577221,0.1902954
72,-0.569573,-0.60614073,"('unambitious', 'ambitious')",-0.16391578,-0.4730662,-0.3667444,-0.5396035,0.1728591
10,-0.5377378,-0.6512437,"('unsympathetic', 'sympathetic')",-0.14135817,-0.27855808,-0.339548,-0.4649009,0.1253529
