,united_male,united_female,tuple,parcel_male,parcel_female,service_male,service_female,inc_male,inc_female,average_male,average_female,male-female
36,-3.1044757,-3.7218738,"('hostile', 'amicable')",1.3491673,0.71936065,-0.87562025,-1.4666196,0.5065672,-0.03881436,-0.5310903,-1.1269869,0.5958966
56,2.818367,3.186696,"('impractical', 'practical')",0.8067878,1.1802905,1.0015438,1.2645544,-0.40348816,-0.20487264,1.0558026,1.356667,-0.3008644
46,2.7069488,3.2437544,"('uncompetitive', 'competitive')",-1.6205437,-1.3544474,1.0126935,1.3917217,-0.97928643,-0.90104705,0.2799531,0.5949954,-0.3150423
31,-2.5903957,-2.995259,"('evil', 'good')",1.1443334,0.79228413,-1.430386,-1.7448552,-0.5585701,-0.83744186,-0.8587546,-1.1963179,0.3375633
85,-2.53693,-3.2701125,"('insignificant', 'prestigious')",1.6747813,1.1689079,-0.9351609,-1.3788203,0.52645874,0.25020462,-0.3177127,-0.8074551,0.4897424
81,2.3492649,3.1067896,"('submissive', 'aggressive')",-1.7707922,-1.2756857,0.17730191,0.6881603,-1.0722296,-0.749677,-0.0791138,0.4423968,-0.5215106
8,-2.333327,-2.6252532,"('unaffectionate', 'affectionate')",1.2139136,0.882992,-0.8686356,-1.2799968,1.1246334,0.8233107,-0.2158539,-0.5497368,0.3338829
10,2.2347894,2.688367,"('unsympathetic', 'sympathetic')",-1.2708702,-0.9771284,0.02332957,0.3397567,-0.07422118,0.16820624,0.2282569,0.5548003,-0.3265434
75,-2.2168472,-2.292137,"('meek', 'impulsive')",-0.47500828,-0.47262356,-0.5680941,-0.551412,-0.53432053,-0.4521323,-0.9485675,-0.9420762,-0.0064913
23,2.2024386,2.513726,"('insincere', 'sincere')",0.061971355,0.17149425,0.45239693,0.5679263,6.122936,6.2542896,2.2099357,2.3768592,-0.1669235
60,2.189273,2.8736835,"('inefficient', 'efficient')",-0.8841909,-0.41512218,1.181698,1.5222993,0.054598857,0.18028554,0.6353447,1.0402865,-0.4049418
80,2.0339015,2.4150882,"('dominated', 'dominating')",-1.0398484,-0.6839265,1.7067366,2.068543,-1.3981742,-1.2163174,0.3256538,0.6458468,-0.320193
42,2.024853,2.168301,"('unreliable', 'reliable')",0.9348168,0.99377334,1.2479658,1.3786334,-2.7638886,-2.6862938,0.3609368,0.4636036,-0.1026668
12,2.0043166,2.1674254,"('unsupportive', 'supportive')",0.9619744,1.0531795,0.20861469,0.39038014,-1.8179623,-1.9071283,0.3392358,0.4259642,-0.0867284
70,1.9959738,2.318936,"('lethargic', 'energetic')",-0.77140564,-0.56002784,0.17150675,0.46673352,0.56979865,0.7286729,0.4914684,0.7385787,-0.2471103
21,1.9881696,2.4142556,"('immoral', 'moral')",-0.8578032,-0.5003713,1.2199801,1.5845346,-0.8171216,-0.52952206,0.3833062,0.7422242,-0.358918
65,1.9514221,2.2528288,"('insecure', 'secure')",-1.5987202,-1.2640738,-0.41756648,-0.16476065,-0.18785422,0.0032827388,-0.0631797,0.2068193,-0.269999
0,1.9203178,2.204046,"('unsociable', 'sociable')",-0.3142836,-0.16365436,0.83136404,0.93819386,-0.21530856,-0.35715985,0.5555224,0.6553564,-0.099834
35,-1.8974223,-2.426349,"('corrupt', 'incorrupt')",1.2134006,0.92342526,-0.43905553,-0.6526864,0.08101175,-0.18038575,-0.2605164,-0.583999,0.3234826
11,1.8734174,2.1781273,"('unhelpful', 'helpful')",-0.9690505,-0.71448463,0.69872105,0.87090755,1.5941353,1.6654569,0.7993058,1.0000018,-0.200696
74,1.7995749,1.9171063,"('undedicated', 'dedicated')",-0.4778968,-0.3639678,-0.42748064,-0.28543484,-0.055907685,-0.060049377,0.2095724,0.3019136,-0.0923412
77,1.6350186,1.9424405,"('unmotivated', 'motivated')",-0.2195057,-0.06692025,0.8439055,0.95557123,-1.3167353,-1.2212045,0.2356708,0.4024717,-0.1668009
52,-1.5714842,-1.990081,"('irrational', 'rational')",1.0625433,0.7290953,-0.4578244,-0.8120968,0.025147542,-0.23914382,-0.2354044,-0.5780566,0.3426522
62,1.5621445,2.0761964,"('incompetent', 'brilliant')",-0.51380616,-0.11906941,0.89862376,1.2974534,0.007354241,0.27048403,0.4885791,0.8812661,-0.392687
48,1.5450752,1.5570519,"('unintelligent', 'intelligent')",0.2645508,0.18539539,-0.071912214,-0.1777128,0.52532476,0.38490853,0.5657597,0.4874108,0.0783489
