,genworth_male,genworth_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.8288763,-1.7205961,"('unfriendly', 'friendly')",1.1450189,1.1031878,1.8913972,2.1256647,0.4025133,0.5027521,-0.1002388
53,-1.7547272,-1.6338198,"('uncreative', 'creative')",0.9913967,0.93972725,0.87514395,0.8475364,0.0372711,0.0511479,-0.0138768
52,-1.5261616,-1.5322683,"('irrational', 'rational')",-0.2508389,-0.17484525,-0.22277418,-0.023550926,-0.6665915,-0.5768881,-0.0897034
72,-1.5051752,-1.3850627,"('unambitious', 'ambitious')",-0.39258122,-0.4155341,-1.2390115,-1.2433479,-1.0455893,-1.0146483,-0.030941
6,-1.463794,-1.4441545,"('distant', 'open')",-0.5829812,-0.51384187,0.11902324,0.20012015,-0.642584,-0.5859587,-0.0566253
36,-1.3280796,-1.2874461,"('hostile', 'amicable')",-0.30306888,-0.21749061,0.2921735,0.38776374,-0.446325,-0.372391,-0.073934
86,-1.1927326,-1.2635442,"('uninfluential', 'influential')",-0.19966541,-0.3831696,-0.055888813,-0.26498145,-0.4827623,-0.6372317,0.1544694
31,-1.185804,-1.1441827,"('evil', 'good')",-1.2197357,-1.1480613,-1.4759455,-1.3298659,-1.2938284,-1.20737,-0.0864584
79,-1.1533748,-1.3164588,"('wavering', 'unwavering')",-0.8080448,-0.85543627,0.18133172,0.1027372,-0.5933626,-0.6897193,0.0963567
28,-1.1421189,-0.89092827,"('disloyal', 'loyal')",-0.026719555,-0.06960723,1.0795311,1.094732,-0.0297691,0.0447322,-0.0745013
9,-1.1366477,-0.94478625,"('unaffectionate', 'caring')",1.3713074,1.3963413,1.1175977,1.3507806,0.4507525,0.6007786,-0.1500261
16,-1.1109606,-1.0227505,"('unpopular', 'popular')",-0.6692396,-0.6075368,0.19892918,0.3919014,-0.5270904,-0.4127953,-0.1142951
57,-1.0719448,-1.0816627,"('unimaginative', 'imaginative')",0.100193664,-0.13508926,-2.6618266,-2.7141633,-1.2111926,-1.3103051,0.0991125
8,-1.0461936,-0.9889756,"('unaffectionate', 'affectionate')",0.07451518,0.13570324,0.5801346,0.77303267,-0.1305146,-0.0267466,-0.103768
58,-1.0091556,-1.0759153,"('undiscriminating', 'discriminating')",1.224825,0.99346143,0.3192209,0.18552484,0.1782968,0.034357,0.1439398
70,0.97632366,1.1055894,"('lethargic', 'energetic')",0.42137355,0.29951805,0.95897895,0.92256814,0.7855587,0.7758919,0.0096668
30,0.9739959,1.3511801,"('intolerant', 'tolerant')",0.8850127,1.068787,1.1458395,1.442048,1.001616,1.2873384,-0.2857224
68,-0.96542823,-0.9883525,"('dependent', 'independent')",-1.9068444,-1.9915365,-0.7045825,-0.87305367,-1.192285,-1.2843142,0.0920292
5,-0.9575269,-0.89232516,"('distant', 'outgoing')",0.28972262,0.40272194,-0.36321205,-0.23148668,-0.3436721,-0.2403633,-0.1033088
85,-0.9295477,-0.9650429,"('insignificant', 'prestigious')",0.9277152,1.0098717,0.5504103,0.752917,0.1828592,0.2659153,-0.0830561
78,-0.9160293,-1.1749151,"('nonresilient', 'resilient')",1.4090339,1.1390455,0.64878094,0.3850047,0.3805952,0.1163784,0.2642168
42,0.88669276,1.1359223,"('unreliable', 'reliable')",0.74699354,0.7537573,-2.923234,-2.6436121,-0.4298492,-0.2513108,-0.1785384
39,0.87848777,1.254987,"('exploitative', 'cooperative')",0.6752691,0.84018916,-0.1645337,0.108012356,0.4630744,0.7343962,-0.2713218
37,0.8769482,0.7813224,"('fake', 'genuine')",-0.55459756,-0.7952857,0.4588752,0.4214048,0.2604086,0.1358138,0.1245948
25,-0.8751186,-0.80784744,"('egoistic', 'altruistic')",-0.24540812,-0.15833305,1.437404,1.4291756,0.1056257,0.1543317,-0.048706
60,0.8657925,1.1923747,"('inefficient', 'efficient')",0.5660766,0.5268965,0.062120438,0.26227903,0.4979965,0.6605167,-0.1625202
77,-0.8409276,-0.7501142,"('unmotivated', 'motivated')",0.8413281,0.77355605,-1.3118721,-1.2977567,-0.4371572,-0.4247716,-0.0123856
88,-0.8243652,-0.74714524,"('low', 'eminent')",-0.95482504,-0.8710293,0.3143962,0.6304691,-0.4882647,-0.3292352,-0.1590295
