,travel_male,travel_female,tuple,&_male,&_female,leisure_male,leisure_female,co_male,co_female,average_male,average_female,male-female
71,2.27664,2.2233934,"('diffident', 'self-confident')",1.1191645,1.0494416,1.998477,1.9587812,0.6089972,0.6230714,1.5008197,1.4636718,0.0371479
73,2.052528,2.0352418,"('helpless', 'self-reliant')",1.2812521,1.314549,1.4253018,1.3650434,-2.7656906,-2.8469176,0.4983478,0.4669791,0.0313687
1,1.7785932,1.7029064,"('unfriendly', 'friendly')",0.35061064,0.2295597,1.3017608,1.2631024,1.5770938,1.5724577,1.2520146,1.1920066,0.060008
42,1.7227409,1.7045889,"('unreliable', 'reliable')",1.5885162,1.63413,0.930652,0.8848338,-2.1705217,-2.1462018,0.5178468,0.5193377,-0.0014909
56,1.6641127,1.5749745,"('impractical', 'practical')",-0.0026311353,0.13031264,1.3869861,1.3316351,-0.115656674,-0.039154023,0.7332028,0.7494421,-0.0162393
43,1.5840335,1.551909,"('irresponsible', 'responsible')",0.35821015,0.55711526,0.7336451,0.7417046,0.6564948,0.7678698,0.8330958,0.9046497,-0.0715539
14,1.4649489,1.5021667,"('antisocial', 'social')",0.7022914,0.8621137,1.1819041,1.26152,-0.15660627,-0.007276196,0.7981346,0.9046311,-0.1064965
26,1.3935752,1.4142796,"('hardhearted', 'benevolent')",1.3805416,1.4134008,1.103025,1.2478393,1.6295553,1.6969892,1.3766743,1.4431272,-0.0664529
33,1.34124,1.2788721,"('wrong', 'right')",0.22247158,0.0654915,1.0895234,0.95726955,-0.6885897,-0.6999192,0.4911613,0.4004285,0.0907328
49,-1.3131403,-1.1422825,"('unable', 'able')",-0.29068542,-0.13390096,0.14573917,0.35358083,-0.21245156,-0.114276655,-0.4176345,-0.2592198,-0.1584147
58,1.2852395,1.2177191,"('undiscriminating', 'discriminating')",0.23441127,0.191516,1.1248192,1.165445,0.32533962,0.33094388,0.7424523,0.726406,0.0160463
2,1.2449918,1.2912471,"('unlikable', 'likable')",1.4164591,1.4797362,1.1483308,1.1901875,0.8782487,1.0029126,1.1720076,1.2410208,-0.0690132
51,-1.2446792,-1.2410381,"('uneducated', 'educated')",0.010968884,0.37727776,-0.42875797,-0.4069962,-0.4845612,-0.3046485,-0.5367573,-0.3938513,-0.142906
9,1.2370245,1.1901989,"('unaffectionate', 'caring')",-0.30313805,-0.4754578,1.519449,1.4831095,1.1957309,1.1317506,0.9122666,0.8324003,0.0798663
30,1.1408765,1.0434625,"('intolerant', 'tolerant')",-0.15593904,-0.08959609,0.7873366,0.65676826,0.26714978,0.3894617,0.5098559,0.5000241,0.0098318
12,1.1056548,1.1076711,"('unsupportive', 'supportive')",0.71970433,0.72528076,1.2632322,1.2827963,-1.9779923,-1.9158956,0.2776498,0.2999631,-0.0223133
5,1.1028376,1.0956584,"('distant', 'outgoing')",1.1497613,0.98149556,1.7431171,1.6406977,-0.18090674,-0.18079878,0.9537023,0.8842632,0.0694391
87,1.0314964,1.0635531,"('unsuccessful', 'successful')",0.6809113,0.862348,1.2555848,1.308597,0.4959303,0.5835205,0.8659807,0.9545046,-0.0885239
68,-0.9678976,-0.9793532,"('dependent', 'independent')",-0.058106877,-0.025762036,-0.58417153,-0.6624059,-1.398807,-1.3538002,-0.7522458,-0.7553303,0.0030845
0,0.9340284,0.9325802,"('unsociable', 'sociable')",-0.068392344,-0.0815793,0.9198146,0.8451627,-0.10816033,-0.008972673,0.4193226,0.4217978,-0.0024752
31,-0.88141507,-0.9428715,"('evil', 'good')",0.27016485,0.13416645,-0.35462528,-0.37722254,-0.55303234,-0.7190152,-0.3797269,-0.4762357,0.0965088
16,0.8740752,0.9070973,"('unpopular', 'popular')",0.3654177,0.31984118,2.0035737,1.9478441,0.456449,0.4340744,0.9248789,0.9022143,0.0226646
57,0.78158647,0.59030634,"('unimaginative', 'imaginative')",-1.0423123,-1.1946748,1.0734394,1.0266602,-3.0215094,-3.0389826,-0.5521989,-0.6541727,0.1019738
18,-0.7735193,-0.82932293,"('disagreeable', 'welcoming')",0.4569218,0.5018685,-0.02220814,-0.13491657,-0.86993283,-0.8214118,-0.3021846,-0.3209457,0.0187611
85,0.76588726,0.9010432,"('insignificant', 'prestigious')",0.699629,0.5989651,1.9484322,1.9611317,-0.29998207,-0.41675594,0.7784916,0.7610961,0.0173955
53,0.71581346,0.59806156,"('uncreative', 'creative')",0.2462146,0.13411874,1.6445764,1.6466526,0.65038335,0.6430183,0.814247,0.7554628,0.0587842
27,-0.67585343,-0.7040299,"('hardhearted', 'softhearted')",-0.37762964,-0.46036944,-0.33576322,-0.4109554,0.545913,0.51041,-0.2108333,-0.2662362,0.0554029
47,0.6649978,0.7827844,"('stupid', 'smart')",0.80871034,0.9481046,0.53253245,0.6720059,5.2501745,5.4685516,1.8141038,1.9678617,-0.1537579
75,0.6644586,0.49675587,"('meek', 'impulsive')",0.76297086,0.55235994,1.4323621,1.3028712,-0.14811918,-0.274981,0.6779181,0.5192515,0.1586666
74,0.6639516,0.6808837,"('undedicated', 'dedicated')",0.4900771,0.56290853,0.03212529,0.059895195,0.069326386,0.1387078,0.3138701,0.3605988,-0.0467287
69,0.6599889,0.7307309,"('lazy', 'industrious')",1.1596466,0.99686766,0.8670389,0.91401964,-0.76846635,-0.8379438,0.479552,0.4509186,0.0286334
