,entergy_male,entergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-2.4387388,-2.3721488,"('uncreative', 'creative')",0.3719158,0.43286481,-1.0334115,-0.969642,-0.0637695
1,-1.55087,-1.7754378,"('unfriendly', 'friendly')",1.5002756,1.441089,-0.0252972,-0.1671744,0.1418772
86,-1.5468295,-1.2898196,"('uninfluential', 'influential')",-0.27869684,-0.09861438,-0.9127631,-0.694217,-0.2185461
8,-1.5118399,-1.7265042,"('unaffectionate', 'affectionate')",1.3939159,1.2318686,-0.058962,-0.2473178,0.1883558
10,-1.4886516,-0.76894915,"('unsympathetic', 'sympathetic')",-0.54883534,-0.07119706,-1.0187435,-0.4200731,-0.5986704
9,-1.4630531,-1.5803715,"('unaffectionate', 'caring')",1.818671,1.6299492,0.1778089,0.0247889,0.15302
57,-1.3748361,-1.1029997,"('unimaginative', 'imaginative')",-3.4868798,-3.2202744,-2.4308579,-2.1616371,-0.2692208
69,1.2672586,0.7896206,"('lazy', 'industrious')",-0.78135574,-0.9567586,0.2429515,-0.083569,0.3265205
54,-1.2401717,-1.4488516,"('incapable', 'capable')",1.0204571,0.92149484,-0.1098573,-0.2636784,0.1538211
36,-1.2345392,-1.8056293,"('hostile', 'amicable')",-0.038058672,-0.25085866,-0.6362989,-1.028244,0.3919451
80,1.1675421,1.5876932,"('dominated', 'dominating')",-0.85611546,-0.6943511,0.1557133,0.4466711,-0.2909578
31,-1.1589239,-1.8690985,"('evil', 'good')",-0.63128376,-0.84239304,-0.8951038,-1.3557458,0.460642
19,-1.1115861,-1.2092416,"('inhospitable', 'hospitable')",-0.43006572,-0.34820738,-0.7708259,-0.7787245,0.0078986
17,-1.1060873,-1.0629827,"('nasty', 'nice')",-0.8761197,-0.62362254,-0.9911035,-0.8433026,-0.1478009
72,-1.0342273,-1.1760236,"('unambitious', 'ambitious')",0.09417513,0.018979842,-0.4700261,-0.5785219,0.1084958
85,-1.010956,-1.841684,"('insignificant', 'prestigious')",0.06354526,-0.2009554,-0.4737054,-1.0213197,0.5476143
44,0.9522287,0.9481503,"('prejudiced', 'unprejudiced')",-1.5339606,-1.4297389,-0.2908659,-0.2407943,-0.0500716
28,-0.94621515,-0.64965206,"('disloyal', 'loyal')",0.9442153,1.0471106,-0.0009999,0.1987292,-0.1997291
52,-0.8997527,-1.3154621,"('irrational', 'rational')",0.22866035,-0.03381813,-0.3355462,-0.6746401,0.3390939
24,-0.8910617,-0.6020968,"('dishonest', 'honest')",0.40507537,0.52163166,-0.2429932,-0.0402326,-0.2027606
16,-0.8680645,-1.1323833,"('unpopular', 'popular')",0.17686462,-0.031086244,-0.3455999,-0.5817348,0.2361349
82,-0.8625933,-0.6730818,"('poor', 'rich')",6.608388,6.7462764,2.8728974,3.0365973,-0.1636999
45,-0.8617794,-0.5014475,"('incompetent', 'competent')",-0.341972,-0.26299924,-0.6018757,-0.3822234,-0.2196523
35,-0.84875077,-1.5328915,"('corrupt', 'incorrupt')",-0.3946324,-0.5940825,-0.6216916,-1.0634871,0.4417955
73,0.8487273,0.7343239,"('helpless', 'self-reliant')",-2.8991752,-3.1212714,-1.025224,-1.1934737,0.1682497
22,-0.80675477,-0.7301115,"('untrustworthy', 'trustworthy')",-0.93108773,-0.87403166,-0.8689213,-0.8020716,-0.0668497
79,-0.78032035,-1.2545729,"('wavering', 'unwavering')",-0.31266394,-0.48670462,-0.5464922,-0.8706387,0.3241465
0,-0.7666769,-0.075127475,"('unsociable', 'sociable')",-0.48123842,-0.26419818,-0.6239576,-0.1696628,-0.4542948
13,-0.7338871,0.0382006,"('impolite', 'polite')",-0.85291487,-0.6413616,-0.793401,-0.3015805,-0.4918205
61,-0.7174625,-0.4715355,"('illogical', 'logical')",0.43927372,0.42167476,-0.1390944,-0.0249304,-0.114164
32,-0.7148862,-0.41258848,"('unkind', 'kind')",0.6065551,0.86758244,-0.0541655,0.227497,-0.2816625
87,0.6771796,0.94557166,"('unsuccessful', 'successful')",1.097578,1.0110747,0.8873788,0.9783232,-0.0909444
30,-0.597866,-0.037730385,"('intolerant', 'tolerant')",0.24341331,0.48750177,-0.1772263,0.2248857,-0.402112
51,-0.5931967,-0.25580764,"('uneducated', 'educated')",0.077055305,0.37370452,-0.2580707,0.0589484,-0.3170191
88,-0.5859771,-0.42072916,"('low', 'eminent')",-0.44618964,-0.3598006,-0.5160834,-0.3902649,-0.1258185
78,0.5684287,0.4724722,"('nonresilient', 'resilient')",0.42974544,0.22822072,0.4990871,0.3503464,0.1487407
25,-0.5608151,-0.85195076,"('egoistic', 'altruistic')",1.6612781,1.7017933,0.5502315,0.4249213,0.1253102
67,0.5228059,0.6655104,"('doubtful', 'determined')",-1.1384777,-0.93421936,-0.3078359,-0.1343545,-0.1734814
49,-0.5086348,-0.33738497,"('unable', 'able')",-0.20335731,-0.22280234,-0.3559961,-0.2800937,-0.0759024
21,-0.5058065,0.12852706,"('immoral', 'moral')",-0.553904,-0.39009538,-0.5298553,-0.1307842,-0.3990711
4,-0.49369922,-0.6592728,"('disliked', 'liked')",-7.8725595,-7.9976497,-4.1831293,-4.3284612,0.1453319
46,-0.4855367,0.1399277,"('uncompetitive', 'competitive')",-1.2452159,-1.0920211,-0.8653763,-0.4760467,-0.3893296
41,-0.4828097,-0.5781507,"('unforgiving', 'forgiving')",-0.24730751,-0.27795208,-0.3650586,-0.4280514,0.0629928
58,-0.48203892,-0.71503496,"('undiscriminating', 'discriminating')",0.21706915,0.04819017,-0.1324849,-0.3334224,0.2009375
23,-0.4781464,-0.16629224,"('insincere', 'sincere')",6.183804,6.2502637,2.8528287,3.0419858,-0.1891571
47,-0.46387738,-0.37613606,"('stupid', 'smart')",5.478872,5.6189914,2.5074973,2.6214275,-0.1139302
65,-0.45320362,0.08264799,"('insecure', 'secure')",-0.30219662,-0.20607938,-0.3777001,-0.0617157,-0.3159844
27,-0.43019587,-0.3354903,"('hardhearted', 'softhearted')",1.7315856,1.6723826,0.6506948,0.6684462,-0.0177514
59,-0.39544892,-0.90852696,"('foolish', 'wise')",0.18129665,-0.03469176,-0.1070761,-0.4716094,0.3645333
34,0.3878296,0.4207654,"('mean', 'honorable')",5.641627,5.6218753,3.0147283,3.0213203,-0.006592
38,-0.37533036,-0.41281196,"('untruthful', 'truthful')",-0.64637065,-0.77390003,-0.5108505,-0.593356,0.0825055
18,-0.3749388,-0.472307,"('disagreeable', 'welcoming')",-0.17343195,-0.3845798,-0.2741854,-0.4284434,0.154258
77,-0.37052572,-0.013648517,"('unmotivated', 'motivated')",-1.3887117,-1.3447151,-0.8796187,-0.6791818,-0.2004369
70,-0.36740363,0.0495367,"('lethargic', 'energetic')",0.25386325,0.36668658,-0.0567702,0.2081116,-0.2648818
3,-0.3649553,-0.19617736,"('repellent', 'pleasant')",1.0529832,1.0704491,0.3440139,0.4371359,-0.093122
75,-0.3621523,-0.8145343,"('meek', 'impulsive')",-0.87612087,-0.99357414,-0.6191366,-0.9040542,0.2849176
