,lsi_male,lsi_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.0466223,-1.8344395,"('unfriendly', 'friendly')",1.0726224,0.9530861,-0.4869999,-0.4406767,-0.0463232
86,-1.7611153,-1.5676514,"('uninfluential', 'influential')",-0.62409633,-0.5888501,-1.1926059,-1.0782508,-0.1143551
28,-1.6079642,-1.5952955,"('disloyal', 'loyal')",0.96281815,1.0086251,-0.322573,-0.2933352,-0.0292378
38,-1.3196647,-1.3736517,"('untruthful', 'truthful')",-0.4649143,-0.5070232,-0.8922895,-0.9403375,0.048048
18,-1.2590613,-0.9660822,"('disagreeable', 'welcoming')",-0.79971373,-0.6435545,-1.0293875,-0.8048184,-0.2245691
8,-1.231257,-1.1070161,"('unaffectionate', 'affectionate')",0.24760458,0.06401175,-0.4918262,-0.5215021,0.0296759
6,-1.2277535,-1.2021321,"('distant', 'open')",-0.917483,-1.0504427,-1.0726182,-1.1262875,0.0536693
79,-1.2169992,-1.2973573,"('wavering', 'unwavering')",-0.87394524,-0.9944183,-1.0454721,-1.1458879,0.1004158
36,-1.1870564,-1.0112627,"('hostile', 'amicable')",-0.21497913,-0.34198934,-0.7010178,-0.676626,-0.0243918
31,-1.1361359,-1.069483,"('evil', 'good')",-0.95198095,-1.0214885,-1.0440584,-1.0454857,0.0014273
0,-1.1292473,-0.86818796,"('unsociable', 'sociable')",-0.13514999,-0.008013374,-0.6321986,-0.4381007,-0.1940979
9,-1.1113615,-0.95720124,"('unaffectionate', 'caring')",0.8094586,0.638223,-0.1509514,-0.1594891,0.0085377
53,-1.0479794,-0.8808633,"('uncreative', 'creative')",0.4630933,0.45296034,-0.292443,-0.2139515,-0.0784915
10,-1.0417842,-0.81834066,"('unsympathetic', 'sympathetic')",-0.5093677,-0.4591888,-0.7755759,-0.6387647,-0.1368112
5,-1.0273564,-1.2067474,"('distant', 'outgoing')",-0.8902816,-1.0068644,-0.958819,-1.1068059,0.1479869
19,-0.9914243,-1.1887302,"('inhospitable', 'hospitable')",-0.74170125,-0.8580036,-0.8665628,-1.0233669,0.1568041
60,0.9558501,0.9766824,"('inefficient', 'efficient')",0.23208873,0.2344617,0.5939694,0.605572,-0.0116026
67,0.9492206,0.78441846,"('doubtful', 'determined')",-0.49192232,-0.500814,0.2286491,0.1418022,0.0868469
62,0.9176396,0.74727684,"('incompetent', 'brilliant')",0.59154975,0.5585513,0.7545947,0.652914,0.1016807
41,-0.8704721,-0.50454926,"('unforgiving', 'forgiving')",-0.17646125,-0.07353541,-0.5234666,-0.2890424,-0.2344242
2,0.8449448,0.97220075,"('unlikable', 'likable')",0.5416049,0.7874135,0.6932749,0.8798071,-0.1865322
76,0.8345029,0.92829686,"('anxious', 'daring')",-0.09894045,-0.00927864,0.3677812,0.4595091,-0.0917279
88,-0.8084563,-0.8948066,"('low', 'eminent')",-0.3132888,-0.31514245,-0.5608726,-0.6049745,0.0441019
66,-0.7565873,-0.49956676,"('inactive', 'active')",-0.013101496,0.051847324,-0.3848444,-0.2238597,-0.1609847
20,0.7353646,0.69289315,"('rough', 'thoughtful')",0.96476924,0.7769693,0.8500669,0.7349312,0.1151357
24,-0.7338917,-0.58054984,"('dishonest', 'honest')",0.3677018,0.4729724,-0.183095,-0.0537887,-0.1293063
54,-0.7238069,-0.74534976,"('incapable', 'capable')",0.69393724,0.6281127,-0.0149348,-0.0586185,0.0436837
25,-0.722673,-0.41769657,"('egoistic', 'altruistic')",1.0247204,1.0423162,0.1510237,0.3123098,-0.1612861
57,-0.7160219,-0.59671515,"('unimaginative', 'imaginative')",-2.9457574,-2.9100962,-1.8308897,-1.7534057,-0.077484
58,-0.7057753,-0.57902545,"('undiscriminating', 'discriminating')",0.46020886,0.43430895,-0.1227832,-0.0723583,-0.0504249
56,0.7023802,0.55623424,"('impractical', 'practical')",-0.54261965,-0.49151337,0.0798803,0.0323604,0.0475199
23,-0.6705286,-0.6851684,"('insincere', 'sincere')",5.620229,5.454194,2.4748502,2.3845129,0.0903373
71,-0.6632328,-0.670753,"('diffident', 'self-confident')",0.20896819,0.18415664,-0.2271323,-0.2432982,0.0161659
42,0.6096827,0.41479132,"('unreliable', 'reliable')",-3.0490727,-3.1033895,-1.2196951,-1.3442991,0.124604
44,0.6008219,0.55992633,"('prejudiced', 'unprejudiced')",-1.0684848,-1.1009178,-0.2338314,-0.2704957,0.0366643
73,0.59831566,0.45407772,"('helpless', 'self-reliant')",-2.922261,-3.040931,-1.1619726,-1.2934266,0.131454
80,0.5650812,0.77679443,"('dominated', 'dominating')",-0.894521,-0.70017195,-0.1647199,0.0383112,-0.2030311
48,-0.5561326,-0.4761148,"('unintelligent', 'intelligent')",0.66646266,0.6611202,0.055165,0.0925027,-0.0373377
39,0.5533988,0.7230483,"('exploitative', 'cooperative')",0.07866789,0.14608653,0.3160333,0.4345674,-0.1185341
78,-0.54450774,-0.6917543,"('nonresilient', 'resilient')",-0.006109492,-0.06249086,-0.2753086,-0.3771226,0.101814
13,-0.52503026,-0.66595894,"('impolite', 'polite')",-0.78248334,-0.8079117,-0.6537568,-0.7369353,0.0831785
85,-0.51496637,-0.2982208,"('insignificant', 'prestigious')",-0.10630025,-0.16286594,-0.3106333,-0.2305434,-0.0800899
52,-0.48207134,-0.27402437,"('irrational', 'rational')",-0.36294135,-0.4217269,-0.4225063,-0.3478757,-0.0746306
40,-0.47441253,-0.2857941,"('stingy', 'generous')",-1.8305155,-1.8545074,-1.152464,-1.0701507,-0.0823133
14,0.45652735,0.7571064,"('antisocial', 'social')",0.09772313,0.35024053,0.2771252,0.5536735,-0.2765483
11,-0.45285556,-0.49280512,"('unhelpful', 'helpful')",1.3632232,1.4681152,0.4551838,0.487655,-0.0324712
51,-0.4458387,-0.5023103,"('uneducated', 'educated')",0.20755073,0.30943698,-0.119144,-0.0964366,-0.0227074
59,0.4280123,0.34107465,"('foolish', 'wise')",0.039212592,-0.105433665,0.2336124,0.1178205,0.1157919
7,-0.42528814,-0.3798268,"('insensitive', 'sensitive')",0.5394667,0.440537,0.0570893,0.0303551,0.0267342
87,0.41879705,0.35329446,"('unsuccessful', 'successful')",1.1813895,1.2780808,0.8000932,0.8156877,-0.0155945
26,-0.41455802,-0.19113551,"('hardhearted', 'benevolent')",1.65124,1.6848023,0.618341,0.7468334,-0.1284924
35,-0.40435806,-0.49400267,"('corrupt', 'incorrupt')",-0.5651951,-0.6999429,-0.4847766,-0.5969728,0.1121962
82,-0.40101212,-0.62392783,"('poor', 'rich')",6.4437995,6.330016,3.0213938,2.853044,0.1683498
33,-0.36040056,-0.35067976,"('wrong', 'right')",-1.0555893,-1.2258778,-0.7079949,-0.7882788,0.0802839
4,-0.35351294,-0.4586774,"('disliked', 'liked')",-6.526366,-6.35365,-3.4399395,-3.4061637,-0.0337758
15,-0.35212725,-0.48797426,"('boring', 'funny')",-0.0026379097,0.009994177,-0.1773826,-0.23899,0.0616074
46,-0.33636564,-0.31737068,"('uncompetitive', 'competitive')",-0.5760143,-0.4538194,-0.45619,-0.385595,-0.070595
16,-0.3310713,-0.4118516,"('unpopular', 'popular')",0.47745037,0.50712615,0.0731895,0.0476373,0.0255522
69,0.31274876,0.3244083,"('lazy', 'industrious')",-0.6869569,-0.6437253,-0.1871041,-0.1596585,-0.0274456
34,-0.3114032,-0.21969253,"('mean', 'honorable')",5.4602647,5.440183,2.5744307,2.6102452,-0.0358145
63,-0.31130728,-0.4562197,"('unperceptive', 'insightful')",0.62963843,0.49549907,0.1591656,0.0196397,0.1395259
12,-0.30838743,-0.15490577,"('unsupportive', 'supportive')",-2.0947626,-2.0821955,-1.201575,-1.1185507,-0.0830243
81,0.3065638,0.46885374,"('submissive', 'aggressive')",-0.59847105,-0.4172648,-0.1459536,0.0257945,-0.1717481
30,0.29533744,0.4088604,"('intolerant', 'tolerant')",0.89697385,0.9198749,0.5961556,0.6643677,-0.0682121
29,-0.28945023,-0.3721392,"('unfair', 'fair')",-0.7214663,-0.62546414,-0.5054582,-0.4988016,-0.0066566
3,0.275348,0.3919785,"('repellent', 'pleasant')",0.8693745,1.0740288,0.5723612,0.7330037,-0.1606425
65,0.268592,0.35465586,"('insecure', 'secure')",-0.08095476,-0.086856954,0.0938186,0.1338995,-0.0400809
22,-0.26340306,-0.27285907,"('untrustworthy', 'trustworthy')",-1.0259424,-0.9862596,-0.6446728,-0.6295593,-0.0151135
