,becton_male,becton_female,tuple,dickinson_male,dickinson_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
8,-2.0640862,-2.0611534,"('unaffectionate', 'affectionate')",0.35107538,0.18103364,0.630304,0.5455225,1.1010786,0.8669771,0.004593,-0.1169051,0.1214981
1,-1.9491496,-2.0171335,"('unfriendly', 'friendly')",-0.6435774,-1.0515177,0.24130404,0.0006236024,1.2662182,0.9213836,-0.2713012,-0.536661,0.2653598
9,-1.8705889,-1.8765947,"('unaffectionate', 'caring')",0.587938,0.24793682,0.5250548,0.3902463,1.3132046,1.1451404,0.1389021,-0.0233178,0.1622199
53,-1.8367164,-1.8117638,"('uncreative', 'creative')",0.36114556,-0.24909823,0.70067847,0.647618,1.1193419,0.94120157,0.0861124,-0.1180106,0.204123
44,1.7059252,1.9623106,"('prejudiced', 'unprejudiced')",-2.0893798,-1.8488843,-1.4763064,-1.182335,-1.4459765,-1.1068891,-0.8264344,-0.5439495,-0.2824849
28,-1.5637252,-1.815794,"('disloyal', 'loyal')",0.015607541,-0.511298,-0.051025882,-0.16216014,0.107330404,-0.09686755,-0.3729533,-0.6465299,0.2735766
48,-1.5199064,-1.6959786,"('unintelligent', 'intelligent')",0.6224661,0.3199812,-0.32044584,-0.33117074,-1.1416208,-1.3417434,-0.5898768,-0.7622279,0.1723511
57,-1.4339217,-1.6302484,"('unimaginative', 'imaginative')",0.717963,0.09906438,0.038280137,0.0008954853,-2.5161502,-2.673875,-0.7984572,-1.0510409,0.2525837
77,-1.4045581,-1.4256885,"('unmotivated', 'motivated')",0.20127016,-0.0584755,-0.034812436,0.14374982,-0.18537241,-0.1764631,-0.3558682,-0.3792193,0.0233511
32,-1.3629136,-1.3849952,"('unkind', 'kind')",-0.32495365,-0.44864634,0.1883946,0.09965415,0.2916215,0.3517372,-0.3019628,-0.3455625,0.0435997
25,-1.3622136,-1.3738046,"('egoistic', 'altruistic')",-0.5995623,-0.6266905,0.23810592,0.28130546,0.9806656,0.98932034,-0.1857511,-0.1824673,-0.0032838
0,-1.3117185,-1.422573,"('unsociable', 'sociable')",1.0204344,0.68349624,0.99688613,0.90478635,0.17119464,0.1297936,0.2191992,0.0738758,0.1453234
73,1.2880048,1.6158688,"('helpless', 'self-reliant')",1.1397802,1.3429942,-0.57781625,-0.52018285,-3.1725476,-3.0051413,-0.3306447,-0.1416153,-0.1890294
23,-1.2675254,-1.3559278,"('insincere', 'sincere')",0.7819641,0.49639896,-0.16927849,-0.005802404,4.5211687,4.5499196,0.9665822,0.9211471,0.0454351
72,-1.1565875,-0.8611634,"('unambitious', 'ambitious')",0.5841062,0.6721596,-0.64008325,-0.46103677,-1.3806995,-1.1560259,-0.648316,-0.4515166,-0.1967994
18,-1.074395,-0.73622024,"('disagreeable', 'welcoming')",-0.6678052,-0.69163996,0.4556057,0.6887922,-1.3026747,-1.148819,-0.6473173,-0.4719718,-0.1753455
86,-1.0470171,-1.4947045,"('uninfluential', 'influential')",1.8753375,1.4382945,0.45061743,0.15810445,-0.7181895,-0.97680515,0.1401871,-0.2187777,0.3589648
41,-1.0081321,-0.9890669,"('unforgiving', 'forgiving')",-0.12626898,-0.46159434,-0.27857265,-0.22759712,-0.40962183,-0.32931906,-0.4556489,-0.5018944,0.0462455
64,0.9606402,0.81107867,"('shy', 'confident')",0.5325575,0.5361766,0.2330037,0.25978097,-5.3939085,-5.178349,-0.9169267,-0.8928282,-0.0240985
52,-0.91450596,-0.78740215,"('irrational', 'rational')",-1.2827156,-1.4833609,0.11672045,0.18064408,-0.21239874,-0.3398356,-0.573225,-0.6074886,0.0342636
85,-0.8933563,-0.8213198,"('insignificant', 'prestigious')",-1.5971506,-1.75582,0.6157456,0.7967996,0.1310656,-0.0013642423,-0.4359239,-0.4454261,0.0095022
26,-0.889367,-1.4469619,"('hardhearted', 'benevolent')",0.36534506,0.21582311,2.6096466,2.1387877,1.5812211,1.2855703,0.9167114,0.5483048,0.3684066
40,-0.86641455,-0.8050095,"('stingy', 'generous')",0.39756554,0.1011608,-0.76021856,-0.78043216,-2.4478233,-2.480043,-0.9192227,-0.9910809,0.0718582
67,0.859436,0.9724723,"('doubtful', 'determined')",0.121579036,0.3687691,0.7284952,0.9311683,-0.29875556,-0.020349447,0.3526887,0.563015,-0.2103263
88,-0.8588672,-0.97132784,"('low', 'eminent')",-0.7093984,-0.7652347,-0.26073343,-0.1337792,-1.2659893,-1.105346,-0.7737471,-0.7439219,-0.0298252
16,-0.8132419,-0.5597968,"('unpopular', 'popular')",-2.178949,-2.3414807,-0.1959479,-0.11291526,0.43477988,0.3406999,-0.6883398,-0.6683732,-0.0199666
61,-0.80675113,-0.7982003,"('illogical', 'logical')",0.08078938,-0.10610799,0.8362792,0.8094299,-0.004595194,-0.12674968,0.0264306,-0.055407,0.0818376
10,-0.785778,-0.8488221,"('unsympathetic', 'sympathetic')",0.76116955,0.30847934,0.09907896,0.0007826835,0.3015601,0.19959077,0.0940077,-0.0849923,0.179
68,0.7618407,0.7344178,"('dependent', 'independent')",-0.47819144,-0.7186154,-0.61283326,-0.65993446,-1.4088659,-1.5342758,-0.4345125,-0.544602,0.1100895
42,0.7348324,0.84207594,"('unreliable', 'reliable')",0.43283775,0.40024784,0.61507225,0.80055165,-2.9360967,-2.7431426,-0.2883386,-0.1750668,-0.1132718
78,-0.67652106,-0.5972884,"('nonresilient', 'resilient')",-0.23468964,-0.287208,0.33349872,0.30816758,0.82858473,0.5999314,0.0627182,0.0059006,0.0568176
46,-0.6617698,-0.72465724,"('uncompetitive', 'competitive')",0.8962072,0.5986268,0.57590336,0.45877486,-0.0052151233,-0.17233115,0.2012814,0.0401033,0.1611781
60,-0.61491907,-0.36793977,"('inefficient', 'efficient')",1.7413716,1.6467357,0.43599212,0.5849974,-0.24166897,0.0041534696,0.3301939,0.4669867,-0.1367928
69,0.61248624,0.86713445,"('lazy', 'industrious')",-0.25806674,0.00027137995,0.41334778,0.46403706,-0.29155502,-0.22145158,0.1190531,0.2774978,-0.1584447
7,-0.6081411,-0.81846285,"('insensitive', 'sensitive')",2.036271,1.7068454,0.15850995,0.040447995,-0.015691405,-0.106845155,0.3927371,0.2054964,0.1872407
