,humana_male,humana_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-2.6689937,-2.7375972,"('hostile', 'amicable')",-0.3265646,-0.46688974,-1.4977791,-1.6022434,0.1044643
60,2.4879413,2.524183,"('inefficient', 'efficient')",0.44328266,0.67038804,1.4656119,1.5972855,-0.1316736
31,-2.4502473,-2.396427,"('evil', 'good')",-1.4334091,-1.4752171,-1.9418283,-1.935822,-0.0060063
53,-1.9740056,-2.0022125,"('uncreative', 'creative')",0.631628,0.53791064,-0.6711888,-0.7321509,0.0609621
81,1.9598811,2.1505086,"('submissive', 'aggressive')",-0.37238282,-0.057612054,0.7937491,1.0464483,-0.2526992
14,1.8995335,2.1984699,"('antisocial', 'social')",-0.2589756,-0.019986827,0.8202789,1.0892415,-0.2689626
56,1.8614565,2.077993,"('impractical', 'practical')",0.056932926,0.378126,0.9591947,1.2280594,-0.2688647
30,1.7501277,1.8544567,"('intolerant', 'tolerant')",1.6218541,1.8288169,1.6859908,1.8416368,-0.155646
21,1.7257209,1.560918,"('immoral', 'moral')",-0.26236707,-0.45328268,0.7316769,0.5538176,0.1778593
85,-1.5986094,-1.9066002,"('insignificant', 'prestigious')",0.45443997,0.16871394,-0.5720847,-0.8689432,0.2968585
6,-1.5907618,-1.8009374,"('distant', 'open')",-0.07420083,-0.1315415,-0.8324813,-0.9662395,0.1337582
16,-1.566094,-1.6100684,"('unpopular', 'popular')",0.2802527,0.12153195,-0.6429207,-0.7442682,0.1013475
66,-1.5541348,-1.6221106,"('inactive', 'active')",0.75727856,0.53681684,-0.3984281,-0.5426469,0.1442188
62,1.5485377,1.8153682,"('incompetent', 'brilliant')",0.6553445,1.0612367,1.1019411,1.4383025,-0.3363614
5,-1.5453767,-1.6403397,"('distant', 'outgoing')",-0.5874218,-0.4603954,-1.0663992,-1.0503676,-0.0160316
35,-1.5203887,-1.4986238,"('corrupt', 'incorrupt')",-0.44921523,-0.43649024,-0.984802,-0.9675571,-0.0172449
43,1.5060282,1.4029851,"('irresponsible', 'responsible')",0.87419575,1.0417205,1.190112,1.2223527,-0.0322407
4,-1.3914616,-1.2753068,"('disliked', 'liked')",-6.6190305,-6.3467345,-4.0052462,-3.8110206,-0.1942256
19,-1.3900274,-1.5070592,"('inhospitable', 'hospitable')",-0.15481746,-0.24636535,-0.7724224,-0.8767123,0.1042899
76,1.3645636,1.4919775,"('anxious', 'daring')",0.43245494,0.63505584,0.8985093,1.0635166,-0.1650073
48,1.3523577,1.1454268,"('unintelligent', 'intelligent')",1.0269172,0.9805621,1.1896374,1.0629945,0.1266429
1,-1.334845,-1.5055944,"('unfriendly', 'friendly')",1.3769016,1.311175,0.0210283,-0.0972097,0.118238
42,1.2732363,1.3016063,"('unreliable', 'reliable')",-2.490741,-2.381313,-0.6087524,-0.5398534,-0.068899
79,-1.2447438,-1.2492106,"('wavering', 'unwavering')",-0.28828847,-0.35409528,-0.7665161,-0.8016529,0.0351368
55,1.2086432,1.1873837,"('incompetent', 'clever')",0.4885967,0.45191765,0.8486199,0.8196507,0.0289692
70,1.1792058,1.0783322,"('lethargic', 'energetic')",0.9464869,1.084286,1.0628463,1.0813091,-0.0184628
75,-1.1026007,-1.0199903,"('meek', 'impulsive')",-0.69761956,-0.5502125,-0.9001101,-0.7851014,-0.1150087
65,1.0959631,1.2924402,"('insecure', 'secure')",-0.2611304,-0.016218271,0.4174164,0.6381109,-0.2206945
37,1.0572817,0.8973781,"('fake', 'genuine')",0.46276018,0.4512225,0.760021,0.6743003,0.0857207
11,1.0044776,1.0138752,"('unhelpful', 'helpful')",1.6688921,1.9284102,1.3366849,1.4711428,-0.1344579
10,0.9794426,0.8777177,"('unsympathetic', 'sympathetic')",-0.084674,0.077653736,0.4473843,0.4776857,-0.0303014
8,-0.94710493,-1.2958289,"('unaffectionate', 'affectionate')",0.48995483,0.49663007,-0.2285751,-0.3995994,0.1710243
22,0.9442049,1.0684683,"('untrustworthy', 'trustworthy')",-0.9018286,-0.7368077,0.0211882,0.1658303,-0.1446421
52,-0.9381783,-1.1496252,"('irrational', 'rational')",-0.13165584,-0.3103504,-0.5349171,-0.7299878,0.1950707
20,0.91236055,0.8627974,"('rough', 'thoughtful')",1.2814641,1.204588,1.0969124,1.0336927,0.0632197
13,0.87840664,1.0265675,"('impolite', 'polite')",-0.4776913,-0.27832755,0.2003577,0.3741199,-0.1737622
84,0.8642493,0.8780523,"('inferior', 'superior')",0.8250258,1.0077571,0.8446375,0.9429047,-0.0982672
41,0.8436924,0.79380125,"('unforgiving', 'forgiving')",-0.08613743,-0.11709456,0.3787775,0.3383533,0.0404242
2,0.7710937,0.69546723,"('unlikable', 'likable')",0.55932885,0.5819411,0.6652113,0.6387042,0.0265071
80,0.76907307,0.8841235,"('dominated', 'dominating')",-0.99662805,-0.9635999,-0.1137775,-0.0397382,-0.0740393
25,-0.7558995,-1.0660763,"('egoistic', 'altruistic')",1.6167178,1.3787545,0.4304092,0.1563391,0.2740701
63,0.75515795,0.69169706,"('unperceptive', 'insightful')",0.8786812,0.9703606,0.8169196,0.8310288,-0.0141092
23,0.7535684,0.8007552,"('insincere', 'sincere')",5.625295,5.6845427,3.1894317,3.2426488,-0.0532171
46,0.7350929,0.56899875,"('uncompetitive', 'competitive')",-0.63089424,-0.6201175,0.0520993,-0.0255594,0.0776587
59,-0.73253024,-0.642369,"('foolish', 'wise')",0.2253921,0.34810522,-0.2535691,-0.1471319,-0.1064372
67,0.7242299,0.8345517,"('doubtful', 'determined')",-0.41360724,-0.23784754,0.1553113,0.2983521,-0.1430408
72,0.71314543,0.6891489,"('unambitious', 'ambitious')",-0.67541885,-0.42211998,0.0188633,0.1335145,-0.1146512
39,0.7019961,0.7333337,"('exploitative', 'cooperative')",0.2925403,0.29492664,0.4972682,0.5141302,-0.016862
69,-0.672971,-0.8440399,"('lazy', 'industrious')",-0.26351163,-0.49359187,-0.4682413,-0.6688159,0.2005746
61,0.65599525,0.56277573,"('illogical', 'logical')",0.43000835,0.2105419,0.5430018,0.3866588,0.156343
82,-0.6435157,-0.5310883,"('poor', 'rich')",5.789493,5.789564,2.5729887,2.6292379,-0.0562492
88,-0.6267317,-0.6767974,"('low', 'eminent')",0.316992,0.35122496,-0.1548698,-0.1627862,0.0079164
3,0.61215705,0.6061402,"('repellent', 'pleasant')",0.2962802,0.23031111,0.4542186,0.4182256,0.035993
7,0.60717374,0.59586483,"('insensitive', 'sensitive')",0.7957198,0.7715547,0.7014468,0.6837097,0.0177371
12,0.59645456,0.44906938,"('unsupportive', 'supportive')",-1.6718597,-1.6167046,-0.5377026,-0.5838176,0.046115
9,-0.59631443,-0.8363894,"('unaffectionate', 'caring')",0.96404594,1.0100397,0.1838658,0.0868251,0.0970407
0,0.5910206,0.4773593,"('unsociable', 'sociable')",-0.39790553,-0.3342103,0.0965575,0.0715745,0.024983
15,-0.5866536,-0.45849532,"('boring', 'funny')",0.20709498,0.42590344,-0.1897793,-0.0162959,-0.1734834
38,0.578056,0.55034673,"('untruthful', 'truthful')",-0.22852394,0.08234314,0.174766,0.3163449,-0.1415789
74,0.54150075,0.54346573,"('undedicated', 'dedicated')",0.07461327,0.1666143,0.308057,0.35504,-0.046983
86,-0.5003273,-0.7538314,"('uninfluential', 'influential')",-0.09352426,-0.30515382,-0.2969258,-0.5294926,0.2325668
64,0.4888786,0.54141384,"('shy', 'confident')",-6.3637915,-6.1606393,-2.9374564,-2.8096128,-0.1278436
45,0.48521614,0.74026406,"('incompetent', 'competent')",-0.19242354,0.08019668,0.1463963,0.4102304,-0.2638341
32,0.46640575,0.2794434,"('unkind', 'kind')",0.8340564,0.858292,0.6502311,0.5688677,0.0813634
49,0.4279024,0.47689426,"('unable', 'able')",0.029623196,0.10853969,0.2287628,0.292717,-0.0639542
51,0.41298568,0.26122233,"('uneducated', 'educated')",0.46384424,0.26182783,0.438415,0.2615251,0.1768899
34,0.39541638,0.23347327,"('mean', 'honorable')",5.766845,5.5492735,3.0811307,2.8913734,0.1897573
27,0.35682064,0.03601622,"('hardhearted', 'softhearted')",1.7748889,1.4679425,1.0658548,0.7519794,0.3138754
18,-0.34985727,-0.5718053,"('disagreeable', 'welcoming')",-0.32595977,-0.50795054,-0.3379085,-0.5398779,0.2019694
44,0.34796163,0.36744943,"('prejudiced', 'unprejudiced')",-1.0970273,-1.1754519,-0.3745328,-0.4040012,0.0294684
71,-0.34715182,-0.600166,"('diffident', 'self-confident')",0.60205793,0.42295867,0.1274531,-0.0886037,0.2160568
58,-0.330685,-0.29639173,"('undiscriminating', 'discriminating')",0.0065227523,0.05406963,-0.1620811,-0.121161,-0.0409201
73,0.30375102,0.44106114,"('helpless', 'self-reliant')",-2.7756894,-2.5970783,-1.2359692,-1.0780087,-0.1579605
33,-0.29206586,-0.42697638,"('wrong', 'right')",-0.40266982,-0.49756178,-0.3473678,-0.4622691,0.1149013
68,0.27684498,0.2662589,"('dependent', 'independent')",-0.42910722,-0.64397156,-0.0761311,-0.1888563,0.1127252
24,0.23767902,0.26408157,"('dishonest', 'honest')",0.8521524,0.99101335,0.5449157,0.6275474,-0.0826317
47,0.21969211,0.3677809,"('stupid', 'smart')",5.306561,5.3608174,2.7631266,2.8642991,-0.1011725
17,-0.20318507,-0.052518178,"('nasty', 'nice')",-0.27634633,-0.20332651,-0.2397657,-0.1279223,-0.1118434
40,0.19318786,0.13639614,"('stingy', 'generous')",-1.4761807,-1.5792576,-0.6414964,-0.7214307,0.0799343
26,0.17454937,0.042057954,"('hardhearted', 'benevolent')",1.8898473,1.8518894,1.0321983,0.9469737,0.0852246
57,-0.15179625,-0.33987132,"('unimaginative', 'imaginative')",-2.3265517,-2.2000816,-1.239174,-1.2699765,0.0308025
29,-0.111902244,-0.01161073,"('unfair', 'fair')",-0.49779546,-0.6286981,-0.3048488,-0.3201544,0.0153056
77,0.11143933,-0.20147273,"('unmotivated', 'motivated')",-0.8356681,-1.0407652,-0.3621144,-0.621119,0.2590046
78,0.10547845,-0.23387104,"('nonresilient', 'resilient')",0.20762545,0.0029480346,0.156552,-0.1154615,0.2720135
54,-0.089726314,-0.31784123,"('incapable', 'capable')",1.1353134,1.1772587,0.5227935,0.4297087,0.0930848
87,-0.08724911,-0.020596199,"('unsuccessful', 'successful')",0.8100393,0.8322112,0.3613951,0.4058075,-0.0444124
28,-0.07654132,-0.03261339,"('disloyal', 'loyal')",0.64605004,0.67614996,0.2847544,0.3217683,-0.0370139
83,0.06559312,0.05769274,"('powerless', 'powerful')",-0.6230525,-0.623285,-0.2787297,-0.2827961,0.0040664
50,0.03998439,0.026990999,"('clumsy', 'skillful')",0.12367901,0.14086196,0.0818317,0.0839265,-0.0020948
