,schlumberger_male,schlumberger_female,tuple,ltd_male,ltd_female,average_male,average_female,male-female
10,-2.8445091,-2.7197633,"('unsympathetic', 'sympathetic')",0.05217334,-0.059361972,-1.3961679,-1.3895626,-0.0066053
86,-2.8119438,-2.7864842,"('uninfluential', 'influential')",0.21508059,-0.15729088,-1.2984316,-1.4718876,0.173456
11,-2.2550235,-2.279096,"('unhelpful', 'helpful')",1.3534153,1.243408,-0.4508041,-0.517844,0.0670399
12,-2.2018876,-2.1650305,"('unsupportive', 'supportive')",-1.0909692,-1.2097839,-1.6464283,-1.6874073,0.040979
57,-1.979729,-1.9129785,"('unimaginative', 'imaginative')",-0.5917835,-0.53787154,-1.2857563,-1.225425,-0.0603313
35,1.9181073,1.8272783,"('corrupt', 'incorrupt')",-0.5342186,-0.44838986,0.6919444,0.6894442,0.0025002
0,-1.9145477,-2.0523465,"('unsociable', 'sociable')",-0.09694648,-0.38187474,-1.0057471,-1.2171106,0.2113635
48,-1.8192233,-1.9413375,"('unintelligent', 'intelligent')",0.77423304,0.25200292,-0.5224952,-0.8446673,0.3221721
55,-1.7356523,-1.6043828,"('incompetent', 'clever')",0.6009258,0.5147882,-0.5673633,-0.5447973,-0.022566
21,-1.6950998,-1.5457864,"('immoral', 'moral')",-1.321999,-1.1575058,-1.5085495,-1.3516461,-0.1569034
69,1.693226,1.6592735,"('lazy', 'industrious')",0.09948327,0.098413095,0.8963546,0.8788433,0.0175113
63,-1.5699297,-1.4463079,"('unperceptive', 'insightful')",1.1589903,0.94471955,-0.2054697,-0.2507942,0.0453245
23,-1.5482181,-1.7097666,"('insincere', 'sincere')",4.324893,3.7698257,1.3883374,1.0300295,0.3583079
46,-1.4942838,-1.4520543,"('uncompetitive', 'competitive')",0.093660384,-0.089391105,-0.7003117,-0.7707227,0.070411
60,-1.4296381,-1.5079887,"('inefficient', 'efficient')",0.32406807,0.19740076,-0.552785,-0.6552939,0.1025089
13,-1.3575348,-1.5690923,"('impolite', 'polite')",-0.56228733,-0.61948097,-0.959911,-1.0942867,0.1343757
28,-1.3386148,-1.591002,"('disloyal', 'loyal')",1.0591505,0.7315267,-0.1397322,-0.4297377,0.2900055
43,-1.3060532,-1.3515242,"('irresponsible', 'responsible')",1.2907611,1.1879783,-0.007646,-0.081773,0.074127
