,vornado_male,vornado_female,tuple,realty_male,realty_female,trust_male,trust_female,average_male,average_female,male-female
86,-2.1715155,-1.9464889,"('uninfluential', 'influential')",-2.6232347,-2.669452,0.16901943,0.18716824,-1.5419103,-1.4762576,-0.0656527
1,-1.7346525,-1.3416591,"('unfriendly', 'friendly')",0.32628036,0.105321884,1.4637567,1.1987778,0.0184615,-0.0125198,0.0309813
28,-1.6938561,-1.4641938,"('disloyal', 'loyal')",-0.79770905,-0.6969391,1.1315907,1.16159,-0.4533248,-0.3331809,-0.1201439
88,-1.6046494,-1.25327,"('low', 'eminent')",-1.3055049,-0.9363037,-0.028451279,0.43924195,-0.9795352,-0.583444,-0.3960912
0,-1.4662743,-1.1034846,"('unsociable', 'sociable')",-1.0305455,-0.8598304,0.48631674,0.68587744,-0.6701677,-0.4258125,-0.2443552
9,-1.409015,-1.1036032,"('unaffectionate', 'caring')",0.5517254,0.27990797,1.877225,1.6890613,0.3399785,0.2884553,0.0515232
8,-1.3568202,-1.2122217,"('unaffectionate', 'affectionate')",0.40799838,0.18752144,0.87126166,0.57794267,-0.0258534,-0.1489192,0.1230658
53,-1.308677,-0.9377421,"('uncreative', 'creative')",0.2119107,0.11388549,-0.31771106,-0.38310543,-0.4714924,-0.4023207,-0.0691717
26,-1.2646757,-1.0997391,"('hardhearted', 'benevolent')",1.3213688,1.5012672,1.6559829,1.6769437,0.570892,0.6928239,-0.1219319
58,-1.2520633,-1.377662,"('undiscriminating', 'discriminating')",-0.5906016,-0.7773872,-0.57407737,-0.65413886,-0.8055808,-0.936396,0.1308152
83,-1.2079474,-1.3240442,"('powerless', 'powerful')",0.19321088,0.35670888,-0.40937883,-0.29620838,-0.4747051,-0.4211812,-0.0535239
44,1.188724,1.0258288,"('prejudiced', 'unprejudiced')",0.44686353,0.5260273,-1.0910692,-1.0535918,0.1815061,0.1660881,0.015418
10,-1.1545906,-1.0362073,"('unsympathetic', 'sympathetic')",-2.25827,-2.358847,0.8005092,0.91547614,-0.8707838,-0.8265261,-0.0442577
19,-1.1226188,-0.8143605,"('inhospitable', 'hospitable')",-0.53807557,-0.48144397,-1.21143,-1.227809,-0.9573747,-0.8412045,-0.1161702
57,-1.0861729,-0.8719847,"('unimaginative', 'imaginative')",-0.6181692,-0.6362652,-2.6899722,-2.4734478,-1.4647714,-1.3272326,-0.1375388
45,-1.0837567,-1.1871467,"('incompetent', 'competent')",-2.0627584,-2.2144308,0.50643265,0.5916986,-0.8800275,-0.9366263,0.0565988
74,-1.0206096,-0.8266165,"('undedicated', 'dedicated')",-1.8673583,-1.7020274,-0.2648071,-0.0042838957,-1.0509251,-0.8443093,-0.2066158
6,-0.9762652,-0.8504262,"('distant', 'open')",1.0494272,0.8553687,-0.54101926,-0.7174369,-0.1559524,-0.2374981,0.0815457
36,-0.9668021,-0.82558364,"('hostile', 'amicable')",1.6932365,1.6695498,-0.7462574,-0.87301564,-0.0066077,-0.0096832,0.0030755
5,-0.90124166,-0.76806796,"('distant', 'outgoing')",0.9410427,0.8940311,-1.0891517,-1.1318041,-0.3497836,-0.3352803,-0.0145033
77,-0.8865952,-0.78122604,"('unmotivated', 'motivated')",-0.28289637,-0.16256109,-0.5240552,-0.54661924,-0.5645156,-0.4968021,-0.0677135
61,-0.86313707,-0.78907007,"('illogical', 'logical')",-0.68947905,-0.7301185,0.6124684,0.5997227,-0.3133826,-0.3064887,-0.0068939
43,-0.83651847,-0.7078243,"('irresponsible', 'responsible')",-1.335151,-1.2601147,1.3058299,1.4582878,-0.2886132,-0.1698837,-0.1187295
79,-0.78879994,-0.55950564,"('wavering', 'unwavering')",1.0693905,1.0627007,-0.43148428,-0.47940254,-0.0502979,0.0079309,-0.0582288
63,-0.7852749,-0.6814236,"('unperceptive', 'insightful')",-0.43837634,-0.55431986,1.3007036,1.2643365,0.0256841,0.009531,0.0161531
33,0.74199,0.5306667,"('wrong', 'right')",1.6607662,1.4120121,-0.61157674,-0.82719827,0.5970598,0.3718268,0.225233
46,-0.7344433,-0.62079275,"('uncompetitive', 'competitive')",-1.8335994,-1.767703,-0.31622332,-0.041316804,-0.961422,-0.8099376,-0.1514844
85,-0.7296129,-0.50318897,"('insignificant', 'prestigious')",2.341073,2.3690248,-0.70541835,-0.81278086,0.302014,0.3510183,-0.0490043
23,-0.719053,-0.3626457,"('insincere', 'sincere')",-0.50604653,-0.42502004,7.6772676,7.6238384,2.1507227,2.2787242,-0.1280015
49,-0.6974937,-0.70632565,"('unable', 'able')",-1.611664,-1.4535509,-0.1743969,-0.18815966,-0.8278516,-0.7826788,-0.0451728
72,-0.69146746,-0.8219962,"('unambitious', 'ambitious')",0.26446664,0.1830061,0.74726415,0.6995269,0.1067544,0.0201789,0.0865755
71,-0.684574,-0.4471386,"('diffident', 'self-confident')",1.5886556,1.6374524,0.69468296,0.6382649,0.5329215,0.6095262,-0.0766047
31,-0.6825561,-0.64666593,"('evil', 'good')",0.66753423,0.4740577,-1.7937142,-2.0586627,-0.602912,-0.7437569,0.1408449
32,-0.66839796,-0.28221866,"('unkind', 'kind')",-0.8573226,-0.65019476,1.4184183,1.687013,-0.0357674,0.2515332,-0.2873006
11,-0.653278,-0.26355776,"('unhelpful', 'helpful')",-0.9958156,-0.81593496,2.507528,2.8272798,0.2861448,0.5825957,-0.2964509
2,0.6504096,0.921889,"('unlikable', 'likable')",0.9320141,1.1975452,1.2323425,1.4435767,0.9382554,1.1876702,-0.2494148
48,-0.6255907,-0.71426463,"('unintelligent', 'intelligent')",-0.8833236,-0.9311884,0.711953,0.72340095,-0.2656537,-0.3073507,0.041697
76,0.59671575,0.75885314,"('anxious', 'daring')",-0.23723881,-0.17663959,0.59737915,0.7765272,0.318952,0.4529136,-0.1339616
20,-0.5930151,-0.98670405,"('rough', 'thoughtful')",-0.43512267,-0.36388335,0.62594867,0.41855597,-0.134063,-0.3106771,0.1766141
12,-0.5621859,-0.53868365,"('unsupportive', 'supportive')",0.5451212,0.38848394,-1.3526274,-1.2807422,-0.456564,-0.4769806,0.0204166
78,-0.5276092,-0.4815056,"('nonresilient', 'resilient')",0.78367126,0.5579299,0.5519187,0.38866732,0.2693269,0.1550305,0.1142964
34,-0.5264633,-0.29024833,"('mean', 'honorable')",0.19209029,0.26443714,5.87248,5.648128,1.8460356,1.8741056,-0.02807
38,-0.5223423,-0.22439128,"('untruthful', 'truthful')",0.2904083,0.313059,0.7807981,0.8900809,0.1829547,0.3262496,-0.1432949
14,-0.5194398,-0.22362286,"('antisocial', 'social')",-0.6642495,-0.2787925,0.58458966,0.82582396,-0.1996999,0.1078029,-0.3075028
73,0.51811266,0.54207194,"('helpless', 'self-reliant')",1.1770737,1.2468064,-4.103514,-4.0991397,-0.8027759,-0.7700871,-0.0326888
41,-0.4805821,-0.05982539,"('unforgiving', 'forgiving')",-0.4059744,-0.22685385,0.54375714,0.8068247,-0.1142665,0.1733818,-0.2876483
67,0.4527219,0.18860297,"('doubtful', 'determined')",0.82735485,0.9377576,0.059086353,0.22831835,0.4463877,0.4515596,-0.0051719
60,-0.44546568,-0.28372732,"('inefficient', 'efficient')",-1.955658,-1.8943986,1.3394752,1.5327744,-0.3538828,-0.2151171,-0.1387657
64,0.43820924,0.3023596,"('shy', 'confident')",-0.5006443,-0.3168734,-5.8112144,-5.338195,-1.9578832,-1.7842363,-0.1736469
56,-0.43361533,-0.122589126,"('impractical', 'practical')",-1.1492866,-0.8405325,0.6101722,1.0153568,-0.3242432,0.0174117,-0.3416549
54,-0.3990494,-0.2688302,"('incapable', 'capable')",0.9039698,0.84673357,1.2660276,1.0689844,0.590316,0.5489626,0.0413534
51,-0.37560183,-0.1279059,"('uneducated', 'educated')",-1.6804938,-1.4319494,0.23946962,0.44341654,-0.605542,-0.3721462,-0.2333958
52,-0.3704545,-0.17800578,"('irrational', 'rational')",1.2113664,1.2805333,-0.31886363,-0.44868094,0.1740161,0.2179489,-0.0439328
66,-0.35468453,-0.4521431,"('inactive', 'active')",0.9815322,0.84318936,0.5063312,0.2294792,0.3777263,0.2068418,0.1708845
42,0.34757364,0.49712276,"('unreliable', 'reliable')",-0.09560369,-0.045537554,-2.946082,-2.7043078,-0.8980374,-0.7509075,-0.1471299
24,-0.3406988,-0.16076207,"('dishonest', 'honest')",-0.8485514,-0.9360994,1.6087227,1.5688128,0.1398242,0.1573171,-0.0174929
16,-0.33645013,-0.18633457,"('unpopular', 'popular')",0.65266526,0.7424837,-0.040978596,0.005809121,0.0917455,0.1873194,-0.0955739
55,-0.33167803,-0.37153572,"('incompetent', 'clever')",-2.1594434,-2.16007,0.7658927,0.85431445,-0.5750762,-0.5590971,-0.0159791
87,-0.32927,-0.47785935,"('unsuccessful', 'successful')",0.60876185,0.60895264,0.6280185,0.73997426,0.3025034,0.2903558,0.0121476
29,0.32555646,0.05811222,"('unfair', 'fair')",-0.48332104,-0.4698066,-0.68537587,-0.71420395,-0.2810468,-0.3752995,0.0942527
82,-0.31955057,-0.116053075,"('poor', 'rich')",-1.1873119,-1.1739392,6.2869973,6.2896814,1.5933784,1.666563,-0.0731846
22,0.31868824,0.28821737,"('untrustworthy', 'trustworthy')",-1.2761954,-1.24136,-0.09897901,0.1479553,-0.352162,-0.2683958,-0.0837662
68,-0.30916446,-0.3728689,"('dependent', 'independent')",-1.9307758,-1.9378818,-1.4158854,-1.5166894,-1.2186085,-1.2758134,0.0572049
7,-0.30082873,-0.42754334,"('insensitive', 'sensitive')",-0.5688733,-0.6304378,1.360154,1.3900709,0.163484,0.1106966,0.0527874
27,-0.3003675,-0.46247223,"('hardhearted', 'softhearted')",-0.26468894,-0.54866475,1.2855883,0.9883996,0.2401773,-0.0075791,0.2477564
35,0.29101408,0.25681397,"('corrupt', 'incorrupt')",1.1752249,1.13701,-1.5260621,-1.624462,-0.0199411,-0.0768793,0.0569382
70,-0.22098109,0.0014453512,"('lethargic', 'energetic')",-1.6516423,-1.5431913,1.0812161,1.2624885,-0.2638024,-0.0930858,-0.1707166
50,-0.22095267,-0.33036178,"('clumsy', 'skillful')",0.6353361,0.54720134,-0.154987,-0.26147524,0.0864655,-0.0148786,0.1013441
37,-0.22090214,-0.43129823,"('fake', 'genuine')",-0.9390466,-1.1142018,0.47887185,0.33630663,-0.2270257,-0.4030645,0.1760388
15,-0.19938755,0.01134849,"('boring', 'funny')",1.0089611,1.1960196,-0.14419179,0.18819226,0.2217939,0.4651868,-0.2433929
69,0.19084649,0.035440624,"('lazy', 'industrious')",2.1371715,2.205235,-1.9618812,-1.9896674,0.1220456,0.0836694,0.0383762
75,0.16717467,0.17185995,"('meek', 'impulsive')",0.5668513,0.6190031,-0.91762286,-0.8910068,-0.061199,-0.0333813,-0.0278177
80,-0.1604841,-0.31257585,"('dominated', 'dominating')",-1.7448655,-1.7609149,-0.29444975,-0.25835901,-0.7332664,-0.7772833,0.0440169
21,-0.14559716,0.1285115,"('immoral', 'moral')",-0.694754,-0.38517955,0.503826,0.7438891,-0.112175,0.162407,-0.274582
65,-0.14350241,0.15847664,"('insecure', 'secure')",-2.0498943,-1.8459322,1.0116011,1.0741177,-0.3939319,-0.204446,-0.1894859
25,-0.124549985,0.24285495,"('egoistic', 'altruistic')",0.7993439,0.72868544,0.5355276,0.3855784,0.4034405,0.4523729,-0.0489324
40,0.11709487,0.2232691,"('stingy', 'generous')",0.14208446,-0.05756093,-2.5206034,-2.713004,-0.753808,-0.8490987,0.0952907
59,0.10722749,-0.039169345,"('foolish', 'wise')",1.3260242,1.2845587,-0.039088093,-0.075394824,0.4647212,0.3899982,0.074723
4,-0.10195066,-0.052878015,"('disliked', 'liked')",0.8163163,0.9917574,-7.606312,-7.246138,-2.2973154,-2.1024195,-0.1948959
39,-0.0723647,0.0434022,"('exploitative', 'cooperative')",0.076959945,0.18558592,0.56112164,0.5655853,0.1885723,0.2648578,-0.0762855
18,0.070964456,0.63846415,"('disagreeable', 'welcoming')",0.55818105,0.7308735,-0.7943221,-0.7878408,-0.0550589,0.1938323,-0.2488912
30,0.05787965,0.44217703,"('intolerant', 'tolerant')",-0.77490085,-0.3711041,1.36042,1.7651373,0.2144663,0.6120701,-0.3976038
47,0.05653725,-0.071547896,"('stupid', 'smart')",0.21386291,0.2961978,6.2882013,6.12146,2.1862005,2.11537,0.0708305
84,0.048481893,-0.114390366,"('inferior', 'superior')",-1.3148367,-1.3673737,0.13737006,0.1355944,-0.3763282,-0.4487232,0.072395
3,0.04104385,0.04259845,"('repellent', 'pleasant')",-0.81305504,-0.89439625,1.1727479,0.99047136,0.1335789,0.0462245,0.0873544
13,0.020870004,0.3290041,"('impolite', 'polite')",-0.8454269,-0.64332455,0.692344,0.9600267,-0.044071,0.2152354,-0.2593064
62,0.010034768,0.07434659,"('incompetent', 'brilliant')",-1.0277238,-0.9913794,1.0544876,1.2573752,0.0122662,0.1134475,-0.1011813
17,0.0066686794,-0.036759086,"('nasty', 'nice')",0.75911546,0.8517938,0.052075267,0.19514617,0.2726198,0.336727,-0.0641072
81,-0.00077572465,0.39023644,"('submissive', 'aggressive')",-1.634248,-1.4823285,0.46357226,0.6973862,-0.3904838,-0.1315686,-0.2589152
