,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,co_male,co_female,average_male,average_female,male-female
69,3.7530198,3.5397222,"('lazy', 'industrious')",2.773257,2.5632975,2.1185527,1.9262462,-0.6093466,-0.54075575,2.0088706,1.8721277,0.1367429
10,-3.664894,-3.4882007,"('unsympathetic', 'sympathetic')",-2.2362237,-1.9697983,-1.7800672,-1.7481785,-0.004090935,0.04270224,-1.9213189,-1.7908689,-0.13045
45,-3.1624775,-2.6171114,"('incompetent', 'competent')",-1.9231784,-1.5045962,-1.8734086,-1.4957349,-0.6139579,-0.4088066,-1.8932556,-1.5065625,-0.3866931
35,3.142903,2.9553325,"('corrupt', 'incorrupt')",1.6659303,1.5722563,1.3575602,1.3017554,-0.21967791,-0.078183785,1.4866788,1.4377902,0.0488886
55,-3.0249498,-2.7728062,"('incompetent', 'clever')",-1.6460159,-1.4110084,-2.3283303,-2.1972265,0.14622556,0.036507737,-1.7132677,-1.5861334,-0.1271343
86,-2.994801,-2.6436336,"('uninfluential', 'influential')",-1.1631224,-0.71149683,-0.82909065,-0.5794546,-0.19874242,-0.1548091,-1.2964392,-1.0223485,-0.2740907
60,-2.8322923,-2.7605896,"('inefficient', 'efficient')",-2.0372996,-2.046424,-1.2237883,-1.2522386,-0.51817405,-0.5668433,-1.6528885,-1.6565239,0.0036354
62,-2.6471295,-2.5159461,"('incompetent', 'brilliant')",-2.0620275,-2.1270602,-1.1193633,-1.234748,-0.2612547,-0.19585514,-1.5224438,-1.5184023,-0.0040415
46,-2.6078255,-2.3341167,"('uncompetitive', 'competitive')",-0.38168928,-0.22682264,-0.8900167,-0.96880364,-0.9019533,-0.89231414,-1.1953712,-1.1055143,-0.0898569
36,2.5977523,2.1925159,"('hostile', 'amicable')",2.0207055,1.6800598,2.894664,2.7024207,0.3451935,0.29877257,1.9645787,1.7184422,0.2461365
23,-2.5948703,-2.6898532,"('insincere', 'sincere')",-2.2976756,-2.5099285,-0.4192462,-0.5113508,5.981153,5.9062986,0.1673403,0.0487916,0.1185487
43,-2.5505676,-2.4795227,"('irresponsible', 'responsible')",-2.3426404,-2.539969,-0.5211731,-0.57664627,0.27857643,0.28012046,-1.2839512,-1.3290044,0.0450532
