,ecolab_male,ecolab_female,tuple,inc_male,inc_female,average_male,average_female,male-female
19,-1.6607174,-1.484812,"('inhospitable', 'hospitable')",0.10457724,0.34314272,-0.7780701,-0.5708346,-0.2072355
82,-1.5525712,-1.431422,"('poor', 'rich')",5.9667044,6.5443716,2.2070665,2.5564747,-0.3494082
60,1.308706,1.4882815,"('inefficient', 'efficient')",-0.20779964,0.10257019,0.5504532,0.7954258,-0.2449726
48,1.2475948,1.1915734,"('unintelligent', 'intelligent')",0.99144393,0.7881798,1.1195194,0.9898766,0.1296428
6,-1.2239062,-1.0367007,"('distant', 'open')",-0.013923779,0.25722027,-0.618915,-0.3897402,-0.2291748
39,1.2080766,1.2402261,"('exploitative', 'cooperative')",0.08214544,0.05855366,0.645111,0.6493899,-0.0042789
73,1.1900847,1.3579696,"('helpless', 'self-reliant')",-3.0971456,-3.08043,-0.9535304,-0.8612302,-0.0923002
66,-1.1057715,-1.073564,"('inactive', 'active')",0.6522595,0.5409779,-0.226756,-0.2662931,0.0395371
79,-1.0360475,-1.0138265,"('wavering', 'unwavering')",-0.27508086,-0.1993842,-0.6555642,-0.6066054,-0.0489588
62,1.0031006,1.2519677,"('incompetent', 'brilliant')",-0.092274696,0.3267296,0.455413,0.7893486,-0.3339356
30,0.99445313,1.098662,"('intolerant', 'tolerant')",1.1393894,1.1372429,1.0669212,1.1179525,-0.0510313
8,-0.96073836,-1.0935848,"('unaffectionate', 'affectionate')",1.0141238,0.9463315,0.0266927,-0.0736266,0.1003193
31,-0.9466773,-1.2554127,"('evil', 'good')",-0.84976155,-0.91677815,-0.8982195,-1.0860955,0.187876
36,-0.9238362,-1.3184029,"('hostile', 'amicable')",0.3245213,0.026646573,-0.2996574,-0.6458781,0.3462207
71,0.92220503,1.1150762,"('diffident', 'self-confident')",0.15956375,0.27579412,0.5408844,0.6954352,-0.1545508
5,-0.9021406,-0.66558814,"('distant', 'outgoing')",-0.45757163,-0.1907058,-0.6798561,-0.428147,-0.2517091
10,-0.8982105,-1.0059675,"('unsympathetic', 'sympathetic')",-0.48691872,-0.53609055,-0.6925646,-0.771029,0.0784644
35,-0.8225744,-0.8713471,"('corrupt', 'incorrupt')",-0.20753483,-0.37601984,-0.5150546,-0.6236835,0.1086289
53,-0.8177394,-0.87792695,"('uncreative', 'creative')",1.068218,1.042931,0.1252393,0.082502,0.0427373
56,0.8119233,1.2470804,"('impractical', 'practical')",-0.6120425,-0.30676097,0.0999404,0.4701597,-0.3702193
21,0.77409726,0.7410962,"('immoral', 'moral')",-0.56136173,-0.5298859,0.1063678,0.1056052,0.0007626
80,0.69540805,0.8660294,"('dominated', 'dominating')",-1.1718519,-1.0982671,-0.2382219,-0.1161188,-0.1221031
45,-0.6396346,-0.6176286,"('incompetent', 'competent')",-0.4776892,-0.2658561,-0.5586619,-0.4417423,-0.1169196
84,0.6391772,0.623103,"('inferior', 'superior')",0.8011752,0.83313936,0.7201762,0.7281212,-0.007945
55,0.63482475,0.57392895,"('incompetent', 'clever')",0.21997373,0.16471481,0.4273992,0.3693219,0.0580773
1,-0.61768353,-0.6608722,"('unfriendly', 'friendly')",1.9665617,1.9851899,0.6744391,0.6621588,0.0122803
16,-0.6169538,-0.7519101,"('unpopular', 'popular')",0.3485007,0.3755119,-0.1342265,-0.1881991,0.0539726
76,0.60196316,0.66002935,"('anxious', 'daring')",0.11928725,0.24657974,0.3606252,0.4533045,-0.0926793
63,0.57564026,0.76388955,"('unperceptive', 'insightful')",1.0057001,1.2807206,0.7906702,1.022305,-0.2316348
81,0.5220728,0.41665486,"('submissive', 'aggressive')",-0.67879117,-0.6920711,-0.0783592,-0.1377081,0.0593489
20,0.5042836,0.61545914,"('rough', 'thoughtful')",0.8565947,0.79697055,0.6804391,0.7062148,-0.0257757
15,0.49609268,0.45677042,"('boring', 'funny')",0.6346983,0.6184989,0.5653955,0.5376347,0.0277608
13,0.49598122,0.60332525,"('impolite', 'polite')",-0.3523778,-0.3036536,0.0718017,0.1498358,-0.0780341
61,0.49195,0.4554478,"('illogical', 'logical')",0.27972925,0.32919705,0.3858396,0.3923224,-0.0064828
77,0.429677,0.40943727,"('unmotivated', 'motivated')",-1.2807839,-1.180547,-0.4255534,-0.3855549,-0.0399985
54,-0.40838036,-0.2635582,"('incapable', 'capable')",1.1398039,1.4069761,0.3657117,0.5717089,-0.2059972
