,big_male,big_female,tuple,lots_male,lots_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.3385093,-2.5530045,"('hostile', 'amicable')",-3.3639123,-3.470359,0.016014043,-0.44511908,-1.8954692,-2.1561608,0.2606916
69,-2.307082,-2.5418336,"('lazy', 'industrious')",-1.3396716,-1.5156748,-0.77783126,-0.8622981,-1.4748616,-1.6399355,0.1650739
31,-2.1349125,-2.0278835,"('evil', 'good')",-2.5834322,-2.5468569,-0.60854644,-0.82943356,-1.7756303,-1.8013913,0.025761
81,1.8823404,1.8131845,"('submissive', 'aggressive')",2.3598928,2.2873414,-0.38158274,-0.12120923,1.2868835,1.3264389,-0.0395554
26,-1.6631802,-1.3815242,"('hardhearted', 'benevolent')",-0.49637067,-0.36114323,1.220976,1.4637191,-0.3128583,-0.0929828,-0.2198755
52,-1.6296592,-1.655162,"('irrational', 'rational')",-2.7133815,-2.5986176,-0.106703654,-0.34735066,-1.4832481,-1.53371,0.0504619
76,1.5666131,1.7269208,"('anxious', 'daring')",1.5383474,1.5896947,0.48545927,0.63858306,1.1968066,1.3183996,-0.121593
62,1.5287161,1.6830306,"('incompetent', 'brilliant')",3.2401047,3.2799873,0.36337996,0.73761594,1.7107336,1.9002113,-0.1894777
80,1.5165691,1.4201263,"('dominated', 'dominating')",0.5298918,0.3892894,-1.5584807,-1.414671,0.16266,0.1315816,0.0310784
16,-1.3936402,-1.0713389,"('unpopular', 'popular')",-1.0244577,-0.8784454,0.32493824,0.28114212,-0.6977199,-0.5562141,-0.1415058
72,1.2701367,0.9904273,"('unambitious', 'ambitious')",1.4728082,1.3850428,-0.23729807,-0.30919847,0.8352156,0.6887573,0.1464583
20,-1.2425138,-1.2325882,"('rough', 'thoughtful')",-0.41237974,-0.3338271,0.9136777,1.0182781,-0.2470719,-0.1827124,-0.0643595
60,1.2186643,1.2365229,"('inefficient', 'efficient')",4.358953,4.26448,0.5691531,0.87033224,2.0489235,2.1237785,-0.074855
19,-1.1802909,-1.3369038,"('inhospitable', 'hospitable')",-1.7687434,-1.8510218,-0.28905284,-0.41028908,-1.0793624,-1.1994049,0.1200425
34,-1.1684221,-1.0588503,"('mean', 'honorable')",0.5228819,0.58302474,6.1407223,6.098372,1.8317273,1.8741821,-0.0424548
24,1.1629115,1.3319131,"('dishonest', 'honest')",1.5174445,1.5687548,0.6063545,0.62308586,1.0955702,1.1745845,-0.0790143
32,1.1542106,1.0689249,"('unkind', 'kind')",1.053895,1.0634947,0.8137352,0.9966733,1.0072803,1.043031,-0.0357507
17,-1.1151348,-0.6612024,"('nasty', 'nice')",-0.25176,-0.07128654,-0.7048614,-0.60528487,-0.6905855,-0.4459246,-0.2446609
49,-1.1090655,-1.1901531,"('unable', 'able')",-0.45619467,-0.5693477,0.14270717,0.052469682,-0.4741844,-0.5690103,0.0948259
37,-1.1005802,-0.9694887,"('fake', 'genuine')",-0.3171947,-0.2563712,0.37813506,0.2706827,-0.3465466,-0.3183924,-0.0281542
11,1.0826392,1.1346678,"('unhelpful', 'helpful')",1.08064,1.1202939,1.8679112,2.119501,1.3437301,1.4581542,-0.1144241
63,1.0770655,1.161064,"('unperceptive', 'insightful')",1.667196,1.7436899,0.9941383,1.2376584,1.2461332,1.3808041,-0.1346709
35,-1.0333078,-1.2271903,"('corrupt', 'incorrupt')",-2.7322333,-2.8703697,-0.44849005,-0.7895793,-1.4046771,-1.6290464,0.2243693
55,1.0174226,1.0952584,"('incompetent', 'clever')",2.752777,2.5687807,0.14670831,0.3131739,1.305636,1.3257376,-0.0201016
9,0.988351,0.92903966,"('unaffectionate', 'caring')",-0.33612102,-0.34828848,1.4832507,1.3900555,0.7118269,0.6569356,0.0548913
38,0.9755943,1.1087323,"('untruthful', 'truthful')",1.5644289,1.6416382,0.038727067,0.1260874,0.8595835,0.9588193,-0.0992358
87,0.94776195,1.0191052,"('unsuccessful', 'successful')",1.3352643,1.2138438,0.57566935,0.9092282,0.9528985,1.0473924,-0.0944939
71,0.9321988,0.57622015,"('diffident', 'self-confident')",1.5713753,1.3465476,0.9420306,0.8711135,1.1485349,0.9312937,0.2172412
83,0.9219232,0.8578652,"('powerless', 'powerful')",0.124088675,0.08400153,-0.8822824,-0.95274895,0.0545765,-0.0036274,0.0582039
86,-0.90449035,-0.82585,"('uninfluential', 'influential')",0.27713248,0.17001952,-0.24018966,-0.26009127,-0.2891825,-0.3053073,0.0161248
56,0.9013009,1.1681333,"('impractical', 'practical')",2.9896383,3.0662382,-0.2561194,0.11217018,1.2116066,1.4488471,-0.2372405
12,0.8828428,0.8727879,"('unsupportive', 'supportive')",0.9558677,0.90275043,-1.7431055,-1.5562272,0.0318683,0.0731037,-0.0412354
50,-0.87862474,-0.81375515,"('clumsy', 'skillful')",-1.0686247,-0.9932126,0.27421498,0.12940782,-0.5576781,-0.5591866,0.0015085
79,-0.85284156,-0.7106707,"('wavering', 'unwavering')",-1.5707115,-1.4381965,0.069913216,-0.017520688,-0.7845466,-0.7221293,-0.0624173
45,-0.84048223,-0.43162563,"('incompetent', 'competent')",1.4820727,1.6246204,-0.12871434,0.056168284,0.1709587,0.4163877,-0.245429
46,0.838663,1.0053582,"('uncompetitive', 'competitive')",2.5949514,2.568183,-0.88042897,-0.54411554,0.8510617,1.0098085,-0.1587468
67,0.8219466,0.81993544,"('doubtful', 'determined')",0.5333511,0.52304846,-0.6258999,-0.55380946,0.2431326,0.2630582,-0.0199256
85,-0.81578153,-0.9080142,"('insignificant', 'prestigious')",-2.7223256,-2.5434697,0.26606342,0.10808696,-1.0906812,-1.1144656,0.0237844
