,eastman_male,eastman_female,tuple,kodak_male,kodak_female,co_male,co_female,average_male,average_female,male-female
69,2.61785,2.529346,"('lazy', 'industrious')",3.151326,3.2581363,-0.6641501,-0.6163517,1.7016753,1.7237102,-0.0220349
21,-2.4988558,-2.3395715,"('immoral', 'moral')",-2.5064676,-2.4132805,-0.70270777,-0.60131,-1.9026771,-1.7847207,-0.1179564
26,2.470521,2.459935,"('hardhearted', 'benevolent')",1.4200318,1.4295019,1.8151443,1.8046584,1.901899,1.8980317,0.0038673
85,2.4698412,2.3082855,"('insignificant', 'prestigious')",3.20948,3.2522047,-0.6174725,-0.72821575,1.6872829,1.6107581,0.0765248
70,-2.2860415,-2.002301,"('lethargic', 'energetic')",-2.7065468,-2.5806954,0.22383176,0.4251367,-1.5895855,-1.3859533,-0.2036322
1,2.2292733,2.1471515,"('unfriendly', 'friendly')",1.0199678,0.9756396,1.5351816,1.3901788,1.5948076,1.5043233,0.0904843
10,-2.090088,-1.9019333,"('unsympathetic', 'sympathetic')",-3.2854114,-3.1753907,-0.31493804,-0.12990576,-1.8968124,-1.7357432,-0.1610692
81,-2.089012,-2.0022354,"('submissive', 'aggressive')",-2.4083443,-2.4952116,-0.71489227,-0.6703073,-1.7374163,-1.7225847,-0.0148316
36,2.0575438,1.9513065,"('hostile', 'amicable')",2.0780182,2.0754404,-0.016459608,-0.19334346,1.3730342,1.2778011,0.0952331
76,-2.0392337,-1.8737284,"('anxious', 'daring')",-1.6892844,-1.6714188,-0.035617776,0.09170834,-1.2547119,-1.1511463,-0.1035656
43,-1.9618268,-1.7332826,"('irresponsible', 'responsible')",-2.4545636,-2.3679526,0.36529934,0.54973465,-1.3503637,-1.1838336,-0.1665301
40,1.9331026,1.9437661,"('stingy', 'generous')",0.5973037,0.47695664,-1.8057852,-1.8670307,0.2415404,0.184564,0.0569764
55,-1.9189671,-1.6912338,"('incompetent', 'clever')",-2.2956047,-2.264599,0.31968203,0.42551133,-1.2982966,-1.1767739,-0.1215227
59,1.8238872,1.726321,"('foolish', 'wise')",2.0692961,2.141879,0.035643294,0.020997697,1.3096089,1.2963993,0.0132096
44,-1.822463,-1.7727835,"('prejudiced', 'unprejudiced')",-0.89588296,-0.8148007,-1.2896692,-1.2646043,-1.3360051,-1.2840629,-0.0519422
13,-1.789264,-1.767507,"('impolite', 'polite')",-2.1108634,-2.1542819,-0.09036534,-0.07775363,-1.3301643,-1.3331807,0.0030164
