,varian_male,varian_female,tuple,medical_male,medical_female,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.7192261,-2.2015276,"('uninfluential', 'influential')",0.27897078,0.32058594,-0.53261304,-0.48976177,-0.7082276,-0.4125672,-0.920274,-0.6958176,-0.2244564
1,-2.6278987,-2.2756119,"('unfriendly', 'friendly')",0.5082975,0.55130225,-0.5355168,-0.27811402,1.7387338,2.1497695,-0.2290961,0.0368364,-0.2659325
63,-2.2483437,-2.0204318,"('unperceptive', 'insightful')",0.012839038,0.022005586,0.6483734,0.7441663,0.7298984,0.90994984,-0.2143082,-0.0860775,-0.1282307
53,-2.0579472,-1.8439301,"('uncreative', 'creative')",-0.6432564,-0.61358654,-0.6300931,-0.37111074,0.66245145,0.74984443,-0.6672113,-0.5196958,-0.1475155
57,-1.7380852,-1.4070969,"('unimaginative', 'imaginative')",-0.17072433,0.0668619,-0.8172142,-0.74849874,-2.8722565,-2.7135785,-1.39957,-1.200578,-0.198992
10,-1.5754007,-1.1780448,"('unsympathetic', 'sympathetic')",-1.0089808,-0.951016,-0.95947057,-1.0404584,-0.6716694,-0.697934,-1.0538803,-0.9668633,-0.087017
43,-1.4547669,-1.2805233,"('irresponsible', 'responsible')",0.70311916,0.637606,-1.0180513,-1.1908605,0.099634215,-0.027825829,-0.4175162,-0.4654009,0.0478847
61,-1.4069813,-1.3819164,"('illogical', 'logical')",0.027433706,-0.11632092,0.050524626,0.2091794,0.17296907,0.2705882,-0.2890135,-0.2546175,-0.034396
0,-1.3363447,-0.95386016,"('unsociable', 'sociable')",0.6252755,0.52146107,0.15362948,0.04661899,-0.76353616,-0.6674825,-0.330244,-0.2633156,-0.0669284
69,1.3217804,1.2929933,"('lazy', 'industrious')",1.2791682,1.2926009,0.7440911,0.8894635,-0.6080619,-0.33476743,0.6842445,0.7850726,-0.1008281
58,-1.3150331,-1.2154049,"('undiscriminating', 'discriminating')",-0.99631643,-0.8544838,-0.5047661,-0.29026216,-0.24511734,-0.18208209,-0.7653082,-0.6355582,-0.12975
45,-1.2436525,-1.0437452,"('incompetent', 'competent')",0.027578782,0.014902478,0.006826818,-0.084435895,-0.476556,-0.38956964,-0.4214507,-0.3757121,-0.0457386
24,-1.2362903,-0.80084074,"('dishonest', 'honest')",-0.1725125,-0.2162332,-1.741739,-1.9186865,0.76656485,0.6409465,-0.5959942,-0.5737035,-0.0222907
23,-1.2285664,-0.898726,"('insincere', 'sincere')",0.10843245,-0.021843474,0.8961132,0.7756873,5.9796734,5.6892276,1.4389131,1.3860863,0.0528268
9,-1.2219343,-1.099772,"('unaffectionate', 'caring')",0.8650451,0.86726093,-0.60883313,-0.6335504,1.163906,1.4254991,0.0495459,0.1398594,-0.0903135
8,-1.1763412,-1.1593353,"('unaffectionate', 'affectionate')",-0.17329314,-0.14131264,-1.6104826,-1.6217477,0.6867446,0.91092026,-0.568343,-0.5028689,-0.0654741
27,-1.1546441,-0.78470147,"('hardhearted', 'softhearted')",0.031885494,0.11099474,-0.11406693,0.037847232,1.3743372,1.7790645,0.0343779,0.2858013,-0.2514234
60,-1.0903567,-0.5589224,"('inefficient', 'efficient')",0.048200097,-0.05432544,1.1630526,1.1526191,-0.5087003,-0.49130774,-0.0969511,0.0120159,-0.108967
70,-1.0683304,-0.93349314,"('lethargic', 'energetic')",-0.3931407,-0.3930187,-0.08953521,-0.14045799,0.4271001,0.26896226,-0.2809766,-0.2995019,0.0185253
44,1.0388825,0.9312917,"('prejudiced', 'unprejudiced')",-0.7584053,-0.70856637,-0.43251494,-0.56137514,-1.5985446,-1.6828597,-0.4376456,-0.5053774,0.0677318
72,-1.0038182,-1.0630312,"('unambitious', 'ambitious')",-0.10663499,-0.16633025,-1.3390852,-1.4811612,-0.7583481,-0.8202964,-0.8019716,-0.8827047,0.0807331
73,0.938487,1.0122616,"('helpless', 'self-reliant')",0.23108238,0.37126774,-0.51969576,-0.51696104,-3.0695972,-3.0515096,-0.6049309,-0.5462353,-0.0586956
5,-0.9101278,-0.87330407,"('distant', 'outgoing')",0.07825039,0.07842602,-1.2560802,-1.1119915,-0.19064789,0.08845892,-0.5696514,-0.4546027,-0.1150487
22,-0.8983645,-0.49421555,"('untrustworthy', 'trustworthy')",0.14485353,0.15201761,0.5887145,0.71156496,-0.7755606,-0.6121673,-0.2350893,-0.0607001,-0.1743892
54,-0.8612631,-0.91368383,"('incapable', 'capable')",-0.07103643,-0.211463,-0.45684177,-0.4587527,1.4803535,1.372907,0.022803,-0.0527481,0.0755511
68,-0.83875746,-0.4448191,"('dependent', 'independent')",-0.6995938,-0.691799,0.20926158,0.43929845,-0.5200249,-0.26186445,-0.4622787,-0.239796,-0.2224827
35,0.8294685,0.56657803,"('corrupt', 'incorrupt')",-0.67562073,-0.6206716,-0.8222774,-0.6992706,0.039042816,0.2076002,-0.1573467,-0.136441,-0.0209057
