,teco_male,teco_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.0175254,-2.1276398,"('uninfluential', 'influential')",0.6722347,0.47982603,-0.580506,-0.21584041,-0.6419322,-0.6212181,-0.0207141
0,-1.8572611,-2.1829345,"('unsociable', 'sociable')",0.49557072,0.16704193,-0.682803,-0.6549169,-0.6814977,-0.8902698,0.2087721
10,-1.6460782,-1.8443223,"('unsympathetic', 'sympathetic')",0.062916405,-0.34789467,-0.5324472,-0.47374874,-0.7052031,-0.8886552,0.1834521
45,-1.558317,-1.4950303,"('incompetent', 'competent')",0.0035800785,-0.16573302,-0.62029475,-0.49520016,-0.7250106,-0.7186545,-0.0063561
73,1.5519874,1.6317762,"('helpless', 'self-reliant')",1.0221618,1.0174855,-2.8559778,-2.834257,-0.0939429,-0.0616651,-0.0322778
55,-1.5303504,-1.5981374,"('incompetent', 'clever')",0.36430907,-0.018243695,-0.13319871,-0.17118782,-0.43308,-0.5958563,0.1627763
37,-1.4808396,-0.87979186,"('fake', 'genuine')",0.24426162,0.19870889,-0.14060223,0.15396032,-0.4590601,-0.1757075,-0.2833526
23,-1.4676024,-1.6310983,"('insincere', 'sincere')",0.5209968,0.30917594,5.4740767,5.386189,1.509157,1.3547556,0.1544014
28,-1.45649,-1.4232982,"('disloyal', 'loyal')",-0.039033536,-0.21623574,0.74901754,0.82834053,-0.2488353,-0.2703978,0.0215625
8,-1.3111992,-1.6254845,"('unaffectionate', 'affectionate')",-1.2382977,-1.1875621,0.090356156,0.32119253,-0.8197136,-0.830618,0.0109044
27,-1.3082378,-0.99314564,"('hardhearted', 'softhearted')",0.123033464,0.19898269,0.8499767,1.1939919,-0.1117425,0.1332763,-0.2450188
20,-1.3031623,-1.1359255,"('rough', 'thoughtful')",0.12054769,0.028425388,0.72464925,0.70559984,-0.1526551,-0.1339668,-0.0186883
85,1.2607056,0.73020333,"('insignificant', 'prestigious')",-0.5986775,-0.4333058,0.5997317,0.48585418,0.4205866,0.2609172,0.1596694
57,-1.2265449,-1.5752344,"('unimaginative', 'imaginative')",0.64053965,0.49207923,-2.4826202,-2.448235,-1.0228752,-1.1771301,0.1542549
6,-1.209982,-1.1878995,"('distant', 'open')",-1.2630411,-0.98908216,-0.35494655,-0.19057575,-0.9426566,-0.7891858,-0.1534708
82,-1.1897233,-1.1446337,"('poor', 'rich')",0.015161257,-0.07445085,5.846956,5.822591,1.5574646,1.534502,0.0229626
51,-1.1831462,-1.3764778,"('uneducated', 'educated')",0.44109377,0.21688765,0.71632946,0.7683737,-0.0085743,-0.1304055,0.1218312
1,-1.1824167,-1.4731054,"('unfriendly', 'friendly')",0.15359032,0.1613024,1.3811564,1.5197171,0.1174434,0.0693047,0.0481387
9,-1.0845722,-1.2540188,"('unaffectionate', 'caring')",-0.00051485375,-0.031105455,0.48843843,0.7723738,-0.1988829,-0.1709168,-0.0279661
19,-1.0780553,-1.1380848,"('inhospitable', 'hospitable')",-1.305648,-1.2336736,-0.2968694,-0.10697453,-0.8935242,-0.8262444,-0.0672798
63,-1.0704082,-0.95087826,"('unperceptive', 'insightful')",0.81767094,0.83184093,0.6422613,1.0568006,0.1298413,0.3125878,-0.1827465
68,-1.0450169,-0.6607662,"('dependent', 'independent')",0.022687027,-0.06734437,-0.7077273,-0.54429746,-0.5766857,-0.424136,-0.1525497
