,mccormick_male,mccormick_female,tuple,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
74,2.0882466,2.0772877,"('undedicated', 'dedicated')",0.8387829,0.5309783,-0.01473563,-0.46707928,0.38470933,0.5219106,0.8242508,0.6657743,0.1584765
69,2.016208,2.1649876,"('lazy', 'industrious')",1.281514,1.5083814,2.5945446,3.3331356,-0.394122,0.026911221,1.374536,1.7583539,-0.3838179
44,-1.9753737,-2.092928,"('prejudiced', 'unprejudiced')",-1.6705596,-1.8298733,-1.0056431,-1.2115114,-1.986733,-1.9973228,-1.6595774,-1.7829089,0.1233315
12,1.9535611,1.9702231,"('unsupportive', 'supportive')",0.7514711,0.5071993,-0.6320136,-0.9507909,-1.2394942,-1.0231717,0.2083811,0.1258649,0.0825162
71,1.9394957,2.3537614,"('diffident', 'self-confident')",-0.0140221715,0.23942882,-0.33857414,0.14547175,0.5537218,0.89438045,0.5351553,0.9082606,-0.3731053
5,1.7392387,2.3195798,"('distant', 'outgoing')",0.6597698,1.0464354,0.8740611,1.6644906,0.18838283,0.722759,0.8653631,1.4383161,-0.572953
47,-1.690653,-1.648933,"('stupid', 'smart')",-0.17311595,-0.50071394,-1.1214439,-1.4058404,5.1864457,4.7867074,0.5503082,0.307805,0.2425032
9,1.6716086,2.0042605,"('unaffectionate', 'caring')",0.44029272,0.6921574,0.09360588,0.301193,2.0787787,2.224637,1.0710715,1.305562,-0.2344905
6,1.6278814,2.2307117,"('distant', 'open')",0.82962227,1.2436785,0.31985122,1.1688892,0.70777005,1.1006,0.8712813,1.4359698,-0.5646885
30,-1.5732099,-1.7473805,"('intolerant', 'tolerant')",-0.45828044,-0.78530645,-0.9834687,-1.5064467,0.91546786,0.6727061,-0.5248728,-0.8416069,0.3167341
19,1.5579164,1.8098289,"('inhospitable', 'hospitable')",-0.175459,0.014122762,-0.3537805,0.10651532,0.34930745,0.7222634,0.3444961,0.6631826,-0.3186865
85,1.4664471,2.391259,"('insignificant', 'prestigious')",1.8972361,2.518256,1.1159194,2.203866,0.97430354,1.5320789,1.3634766,2.161365,-0.7978884
82,-1.4374552,-1.624723,"('poor', 'rich')",-0.26930034,-0.8766787,-0.7526246,-1.3362372,6.2512136,5.7665815,0.9479584,0.4822357,0.4657227
25,1.418805,1.7906412,"('egoistic', 'altruistic')",1.212525,1.5727376,1.2844605,1.8746071,1.6001058,1.6752956,1.3789741,1.7283204,-0.3493463
56,1.3313524,0.73018557,"('impractical', 'practical')",-0.44288996,-0.9983121,-0.641278,-1.4041368,-0.24501246,-0.4612035,0.000543,-0.5333667,0.5339097
65,-1.2995577,-1.6952826,"('insecure', 'secure')",-0.31608677,-0.7650414,-1.5869814,-2.4231791,-0.9881211,-1.3681916,-1.0476867,-1.5629237,0.515237
3,-1.2563556,-1.6125219,"('repellent', 'pleasant')",-0.84029526,-0.8339465,0.7668383,0.08388325,0.11508186,-0.31887,-0.3036827,-0.6703638,0.3666811
79,1.2071029,1.5124292,"('wavering', 'unwavering')",0.78875375,1.199503,-0.024011549,0.63080555,0.67925584,1.0825524,0.6627753,1.1063225,-0.4435472
84,1.1964452,1.3647814,"('inferior', 'superior')",0.9214039,0.83044827,0.2944473,0.27824068,0.62398684,0.8917775,0.7590708,0.8413119,-0.0822411
38,1.1335967,0.9433047,"('untruthful', 'truthful')",-0.5710152,-0.690245,-0.3357551,-0.37318048,0.73571265,0.8211478,0.2406348,0.1752568,0.065378
8,1.1089485,1.5668306,"('unaffectionate', 'affectionate')",0.47907367,0.7714492,-0.24825975,0.14124659,1.3401095,1.7298208,0.6699679,1.0523368,-0.3823689
39,1.0845033,0.7731196,"('exploitative', 'cooperative')",-0.5130847,-0.64234024,0.2650496,0.051348545,-0.22612037,-0.25174,0.152587,-0.017403,0.16999
75,-1.0828962,-0.98321116,"('meek', 'impulsive')",-0.39867997,-0.23320404,0.41785896,0.8524867,-0.4414109,-0.25215423,-0.376282,-0.1540207,-0.2222613
33,1.0474278,1.4967774,"('wrong', 'right')",0.5411055,0.8714457,0.20770875,0.5737252,-0.11825217,0.15659821,0.4194975,0.7746366,-0.3551391
22,-1.0032014,-1.1373204,"('untrustworthy', 'trustworthy')",-0.8043403,-1.1151416,-1.1488606,-1.6442001,-1.4550519,-1.4240816,-1.1028636,-1.3301859,0.2273223
35,0.99595475,1.429718,"('corrupt', 'incorrupt')",0.2532112,0.9051524,0.91216594,2.0498571,0.11826089,0.5465241,0.5698982,1.2328129,-0.6629147
70,0.9894694,0.5612172,"('lethargic', 'energetic')",0.28045017,-0.17190363,-0.9648913,-1.6089051,0.66639787,0.4210211,0.2428565,-0.1996426,0.4424991
66,0.9764698,1.1618803,"('inactive', 'active')",1.4971232,1.4546394,1.0920062,1.1809219,1.2835159,1.5299835,1.2122788,1.3318563,-0.1195775
57,-0.9701407,-0.89625055,"('unimaginative', 'imaginative')",-0.884465,-1.1420325,-1.1612904,-1.7522078,-2.746928,-2.7409163,-1.440706,-1.6328518,0.1921458
40,0.96812904,1.0770658,"('stingy', 'generous')",0.17491172,0.17142789,0.3493391,0.38197413,-1.1970049,-1.1118169,0.0738437,0.1296627,-0.055819
86,0.9547601,1.0836141,"('uninfluential', 'influential')",0.18435204,0.25040594,-0.5277701,-0.67470646,0.4989575,0.47309577,0.2775749,0.2831023,-0.0055274
81,-0.89772904,-1.1945167,"('submissive', 'aggressive')",0.015109375,-0.4541992,-0.65533745,-1.3456669,-1.1824164,-1.4729484,-0.6800934,-1.1168329,0.4367395
78,0.88500386,0.8955382,"('nonresilient', 'resilient')",0.81802964,0.8288121,1.2156688,1.0035725,1.1607717,1.0982063,1.0198685,0.9565323,0.0633362
72,0.8541158,0.51283216,"('unambitious', 'ambitious')",-0.84168607,-0.89426976,-0.75799495,-0.98524725,-0.76877886,-0.75598955,-0.378586,-0.5306686,0.1520826
23,-0.7909022,-1.1395583,"('insincere', 'sincere')",-0.38942316,-0.9568957,-1.3403021,-2.050273,6.3594017,5.8869567,0.9596936,0.4350574,0.5246362
63,0.7805927,0.61225986,"('unperceptive', 'insightful')",1.0677096,0.40566233,-0.84031457,-1.4083741,1.6772773,1.5674635,0.6713163,0.2942529,0.3770634
10,-0.769044,-1.0032965,"('unsympathetic', 'sympathetic')",-0.5680157,-0.9819064,-1.2808832,-2.2599885,-0.378532,-0.6293834,-0.7491187,-1.2186438,0.4695251
1,0.7457296,1.5199194,"('unfriendly', 'friendly')",0.31241122,0.67373073,-0.40689862,-0.069459245,2.3576953,2.7063549,0.7522344,1.2076365,-0.4554021
16,-0.7437234,-0.47475255,"('unpopular', 'popular')",0.64741564,0.7746778,0.35047424,0.664286,0.7422237,0.5846633,0.2490975,0.3872187,-0.1381212
