,nyse_male,nyse_female,tuple,euronext_male,euronext_female,average_male,average_female,male-female
36,3.2363646,3.2293346,"('hostile', 'amicable')",2.313216,2.5516555,2.7747903,2.8904951,-0.1157048
69,2.7379043,2.6664813,"('lazy', 'industrious')",2.0926185,2.1566758,2.4152613,2.4115787,0.0036826
45,-2.7318287,-2.6753986,"('incompetent', 'competent')",-2.4411333,-2.498403,-2.5864811,-2.5869007,0.0004196
10,-2.61072,-2.5435324,"('unsympathetic', 'sympathetic')",-2.912527,-2.9201553,-2.7616234,-2.7318439,-0.0297795
55,-2.5861192,-2.4031575,"('incompetent', 'clever')",-2.3250473,-2.3312342,-2.4555831,-2.3671958,-0.0883873
66,2.2932527,2.2098982,"('inactive', 'active')",1.6915197,1.9284234,1.9923862,2.0691609,-0.0767747
48,-2.2817767,-2.282723,"('unintelligent', 'intelligent')",-1.7946972,-1.9460297,-2.0382369,-2.1143763,0.0761394
28,-2.1351588,-2.1344132,"('disloyal', 'loyal')",-1.1980015,-1.2179679,-1.6665802,-1.6761906,0.0096104
86,-2.088563,-1.9316367,"('uninfluential', 'influential')",-2.485348,-2.4078326,-2.2869554,-2.1697347,-0.1172207
30,-1.9728703,-1.9139764,"('intolerant', 'tolerant')",-1.680067,-1.7197592,-1.8264687,-1.8168678,-0.0096009
62,-1.9603604,-1.869823,"('incompetent', 'brilliant')",-1.41242,-1.4750726,-1.6863902,-1.6724478,-0.0139424
24,-1.9358425,-2.0904374,"('dishonest', 'honest')",-1.0314023,-1.1885982,-1.4836224,-1.6395178,0.1558954
70,-1.8528386,-1.7867717,"('lethargic', 'energetic')",-1.2395349,-1.1379464,-1.5461867,-1.462359,-0.0838277
11,-1.8111963,-1.6877276,"('unhelpful', 'helpful')",-1.0636028,-1.0057404,-1.4373996,-1.346734,-0.0906656
81,-1.8102384,-1.5827137,"('submissive', 'aggressive')",-1.8044577,-1.733019,-1.807348,-1.6578664,-0.1494816
37,-1.7719386,-1.8881161,"('fake', 'genuine')",-1.0907345,-1.1929052,-1.4313365,-1.5405107,0.1091742
51,-1.7151382,-1.5829659,"('uneducated', 'educated')",-2.036633,-2.0108337,-1.8758856,-1.7968998,-0.0789858
6,1.7131548,1.6768912,"('distant', 'open')",1.4373856,1.7319512,1.5752702,1.7044213,-0.1291511
23,-1.6535144,-1.5779568,"('insincere', 'sincere')",0.043491926,-0.06503156,-0.8050112,-0.8214942,0.016483
60,-1.6363473,-1.5793012,"('inefficient', 'efficient')",-1.8727657,-2.064225,-1.7545564,-1.821763,0.0672066
2,1.6137089,1.5823313,"('unlikable', 'likable')",0.8406936,0.9699282,1.2272012,1.2761297,-0.0489285
5,1.5396161,1.5150068,"('distant', 'outgoing')",1.0617483,1.279865,1.3006822,1.3974359,-0.0967537
38,-1.441114,-1.4443232,"('untruthful', 'truthful')",-0.61237216,-0.6221251,-1.0267431,-1.0332241,0.006481
43,-1.4179938,-1.3197682,"('irresponsible', 'responsible')",-1.4095693,-1.4320229,-1.4137815,-1.3758955,-0.037886
71,1.4138391,1.5086786,"('diffident', 'self-confident')",1.3298305,1.4233605,1.3718348,1.4660195,-0.0941847
56,-1.4011477,-1.2454046,"('impractical', 'practical')",-1.129886,-1.24456,-1.2655169,-1.2449822,-0.0205347
13,-1.3876673,-1.2822027,"('impolite', 'polite')",-1.3394992,-1.380662,-1.3635833,-1.3314323,-0.032151
31,1.38157,1.2989213,"('evil', 'good')",1.4124085,1.4478843,1.3969892,1.3734028,0.0235864
85,1.3685901,1.0217121,"('insignificant', 'prestigious')",2.175539,2.218293,1.7720646,1.6200025,0.1520621
88,-1.343054,-1.3622779,"('low', 'eminent')",-1.0180413,-0.9910625,-1.1805477,-1.1766702,-0.0038775
21,-1.3289415,-1.032537,"('immoral', 'moral')",-1.7380369,-1.7008141,-1.5334892,-1.3666756,-0.1668136
40,1.3245988,1.2242671,"('stingy', 'generous')",0.35862923,0.37146375,0.841614,0.7978655,0.0437485
35,1.3200135,1.2212634,"('corrupt', 'incorrupt')",1.3232799,1.3978878,1.3216467,1.3095756,0.0120711
52,1.267697,1.1482971,"('irrational', 'rational')",1.0830127,1.1544616,1.1753548,1.1513793,0.0239755
15,1.1556463,1.1043074,"('boring', 'funny')",1.1395451,1.1302731,1.1475956,1.1172903,0.0303053
68,-1.1432453,-1.0354096,"('dependent', 'independent')",-1.0102937,-0.99738324,-1.0767696,-1.0163964,-0.0603732
46,-1.1186389,-0.7062995,"('uncompetitive', 'competitive')",-2.041593,-1.8884046,-1.580116,-1.2973521,-0.2827639
26,1.1127623,0.98794544,"('hardhearted', 'benevolent')",0.7110348,0.6849849,0.9118986,0.8364652,0.0754334
82,-1.0917126,-1.0333095,"('poor', 'rich')",0.062692426,-0.023696655,-0.5145101,-0.5285031,0.013993
72,-1.0451262,-1.1405857,"('unambitious', 'ambitious')",-0.3667929,-0.5479766,-0.7059596,-0.8442811,0.1383215
7,-1.0369397,-0.95276815,"('insensitive', 'sensitive')",-0.9641093,-0.9652818,-1.0005245,-0.959025,-0.0414995
39,1.014877,1.090269,"('exploitative', 'cooperative')",0.63537765,0.6610157,0.8251273,0.8756423,-0.050515
76,-0.9087824,-0.8037969,"('anxious', 'daring')",-0.9667648,-0.8693833,-0.9377736,-0.8365901,-0.1011835
