,adobe_male,adobe_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,2.7518253,2.913432,"('uncreative', 'creative')",0.9512721,1.2026044,1.8515487,2.0580182,-0.2064695
64,-2.4403136,-2.4721181,"('shy', 'confident')",-5.880837,-5.765105,-4.1605754,-4.1186113,-0.0419641
80,-2.418646,-2.4428794,"('dominated', 'dominating')",-1.7856711,-1.9890679,-2.1021585,-2.2159736,0.1138151
1,2.3794014,2.5042691,"('unfriendly', 'friendly')",1.363316,1.3343456,1.8713588,1.9193074,-0.0479486
26,2.094679,2.1857967,"('hardhearted', 'benevolent')",1.2177842,1.17983,1.6562316,1.6828134,-0.0265818
6,2.0385718,2.0520024,"('distant', 'open')",0.032718327,-0.09349398,1.0356451,0.9792542,0.0563909
85,2.0257485,2.119626,"('insignificant', 'prestigious')",0.8348574,0.75289243,1.430303,1.4362593,-0.0059563
5,1.7635612,1.9049358,"('distant', 'outgoing')",-0.12568028,-0.13932373,0.8189405,0.8828061,-0.0638656
45,-1.7450502,-1.6651119,"('incompetent', 'competent')",-1.0632415,-1.2302788,-1.4041458,-1.4476954,0.0435496
44,-1.7308017,-1.9623812,"('prejudiced', 'unprejudiced')",-1.0834901,-1.1656512,-1.407146,-1.5640162,0.1568702
54,1.7119963,1.7312855,"('incapable', 'capable')",1.1256645,1.1868095,1.4188304,1.4590476,-0.0402172
81,-1.7049054,-1.4552243,"('submissive', 'aggressive')",-1.2982315,-1.2008029,-1.5015684,-1.3280137,-0.1735547
9,1.6999754,1.8512964,"('unaffectionate', 'caring')",0.38366452,0.5001414,1.0418199,1.1757189,-0.133899
13,-1.6403164,-1.5527947,"('impolite', 'polite')",-0.637186,-0.50403965,-1.1387511,-1.0284171,-0.110334
65,-1.55835,-1.4775962,"('insecure', 'secure')",-0.42913544,-0.49058783,-0.9937427,-0.984092,-0.0096507
51,-1.5122162,-1.2129958,"('uneducated', 'educated')",0.77385736,0.9236845,-0.3691794,-0.1446556,-0.2245238
39,1.480856,1.3255115,"('exploitative', 'cooperative')",0.49920234,0.70584375,0.9900292,1.0156776,-0.0256484
14,-1.4742823,-1.2914288,"('antisocial', 'social')",-0.8971573,-0.7656479,-1.1857197,-1.0285383,-0.1571814
