,oracle_male,oracle_female,tuple,corp_male,corp_female,average_male,average_female,male-female
85,3.0461373,2.438643,"('insignificant', 'prestigious')",-0.32790118,-0.44381753,1.3591181,0.9974127,0.3617054
26,2.4142501,2.0690858,"('hardhearted', 'benevolent')",1.5336682,1.3339918,1.9739592,1.7015388,0.2724204
61,2.2160275,2.1470335,"('illogical', 'logical')",0.9380038,0.77880335,1.5770156,1.4629184,0.1140972
71,2.192302,1.8419763,"('diffident', 'self-confident')",0.3892543,0.23367974,1.2907782,1.037828,0.2529502
1,2.0318787,1.4666408,"('unfriendly', 'friendly')",1.1660762,1.0648434,1.5989774,1.2657421,0.3332353
81,-1.8656974,-1.2677603,"('submissive', 'aggressive')",-0.52500737,-0.3455511,-1.1953523,-0.8066557,-0.3886966
44,-1.7996482,-1.8146056,"('prejudiced', 'unprejudiced')",-1.217631,-1.2982333,-1.5086396,-1.5564194,0.0477798
80,-1.747461,-1.5587952,"('dominated', 'dominating')",-0.5141016,-0.5479627,-1.1307813,-1.0533789,-0.0774024
9,1.6468151,1.4299407,"('unaffectionate', 'caring')",0.9153646,0.9227576,1.2810898,1.1763492,0.1047406
6,1.6176643,1.2043476,"('distant', 'open')",-0.72987,-0.7289848,0.4438972,0.2376814,0.2062158
70,-1.6071908,-1.3405968,"('lethargic', 'energetic')",0.506547,0.4689166,-0.5503219,-0.4358401,-0.1144818
33,1.5981318,1.1701288,"('wrong', 'right')",-0.72106594,-0.77282387,0.4385329,0.1986525,0.2398804
84,1.5412546,1.3835952,"('inferior', 'superior')",1.2101876,1.2217141,1.3757211,1.3026547,0.0730664
13,-1.5404543,-1.3157624,"('impolite', 'polite')",-0.80922705,-0.8304692,-1.1748407,-1.0731158,-0.1017249
53,1.5292711,1.281291,"('uncreative', 'creative')",0.539132,0.4728613,1.0342016,0.8770761,0.1571255
52,1.4252295,1.0102452,"('irrational', 'rational')",-0.14326686,-0.36265707,0.6409813,0.3237941,0.3171872
45,-1.3927242,-1.1503896,"('incompetent', 'competent')",-0.015358543,-0.10249096,-0.7040414,-0.6264403,-0.0776011
10,-1.3734925,-0.9532189,"('unsympathetic', 'sympathetic')",0.03837458,-0.015187841,-0.667559,-0.4842034,-0.1833556
36,1.2646829,0.61907744,"('hostile', 'amicable')",-0.34021991,-0.6222461,0.4622315,-0.0015843,0.4638158
39,1.2603846,1.2038219,"('exploitative', 'cooperative')",0.33999196,0.18852694,0.8001882,0.6961744,0.1040138
37,-1.2442131,-1.2367144,"('fake', 'genuine')",-0.08908536,-0.105925284,-0.6666492,-0.6713198,0.0046706
59,1.2182257,0.8967893,"('foolish', 'wise')",-0.24825461,-0.24402748,0.4849856,0.3263809,0.1586047
5,1.1959066,0.78001404,"('distant', 'outgoing')",-1.0396962,-1.0118293,0.0781052,-0.1159076,0.1940128
8,1.1514542,0.863754,"('unaffectionate', 'affectionate')",0.07194461,0.08473029,0.6116994,0.4742421,0.1374573
83,1.0882914,1.1997626,"('powerless', 'powerful')",-0.6348277,-0.61228067,0.2267319,0.293741,-0.0670091
42,-1.0590354,-0.93387055,"('unreliable', 'reliable')",-3.205257,-3.3257694,-2.1321461,-2.1298199,-0.0023262
12,1.0260997,1.1113486,"('unsupportive', 'supportive')",-1.7453525,-1.8247173,-0.3596264,-0.3566843,-0.0029421
25,0.98196614,0.6529356,"('egoistic', 'altruistic')",1.0687616,1.1096758,1.0253639,0.8813057,0.1440582
2,0.97003794,1.0276104,"('unlikable', 'likable')",0.44421172,0.4289519,0.7071248,0.7282811,-0.0211563
18,0.92274386,0.70136136,"('disagreeable', 'welcoming')",-0.37714186,-0.5497527,0.272801,0.0758043,0.1969967
20,0.90253,0.9435094,"('rough', 'thoughtful')",0.99931973,0.9460926,0.9509249,0.944801,0.0061239
76,-0.89174634,-0.39531064,"('anxious', 'daring')",-0.0140648335,0.058977336,-0.4529056,-0.1681667,-0.2847389
50,-0.8711554,-0.89907753,"('clumsy', 'skillful')",-0.21217045,-0.10611926,-0.5416629,-0.5025984,-0.0390645
73,0.86576295,0.8180055,"('helpless', 'self-reliant')",-3.7102127,-3.5862925,-1.4222249,-1.3841435,-0.0380814
54,0.8498439,0.6548325,"('incapable', 'capable')",0.7992516,0.9201273,0.8245478,0.7874799,0.0370679
51,-0.81906354,-0.4364685,"('uneducated', 'educated')",0.52927923,0.6218892,-0.1448922,0.0927103,-0.2376025
34,0.7989928,0.9636709,"('mean', 'honorable')",5.340733,5.508647,3.0698628,3.2361588,-0.166296
75,-0.7941848,-0.8618614,"('meek', 'impulsive')",-0.8324082,-0.7834889,-0.8132965,-0.8226752,0.0093787
64,-0.7845372,-0.8060421,"('shy', 'confident')",-5.9502206,-6.3084216,-3.367379,-3.5572319,0.1898529
65,-0.7641992,-0.32662287,"('insecure', 'secure')",0.17481172,0.2604033,-0.2946937,-0.0331098,-0.2615839
67,-0.7429551,-0.62858975,"('doubtful', 'determined')",-0.8032158,-0.7392948,-0.7730855,-0.6839423,-0.0891432
0,-0.72920614,-0.76692176,"('unsociable', 'sociable')",0.011309035,-0.21191613,-0.3589486,-0.489419,0.1304704
