,cme_male,cme_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,1.6361614,1.8959088,"('exploitative', 'cooperative')",1.8745853,2.2653835,0.07666579,0.3169786,1.1958042,1.4927568,-0.2969526
56,1.3870419,0.76866245,"('impractical', 'practical')",1.7587785,1.356817,0.41991463,0.1658271,1.1885784,0.7637688,0.4248096
73,1.3561164,1.2165334,"('helpless', 'self-reliant')",-0.08547756,-0.26227516,-3.1529176,-3.1321805,-0.6274263,-0.7259741,0.0985478
1,-1.290526,-1.2768904,"('unfriendly', 'friendly')",-0.7216901,-0.5644197,1.2578155,1.5070899,-0.2514669,-0.1114067,-0.1400602
86,-1.272769,-1.2534801,"('uninfluential', 'influential')",-0.013063908,0.119827054,-0.65590405,-0.18919842,-0.6472456,-0.4409505,-0.2062951
67,1.2543018,1.1132628,"('doubtful', 'determined')",0.916309,0.7299881,-0.3051406,-0.42730913,0.6218234,0.4719806,0.1498428
66,-1.1808685,-1.1572676,"('inactive', 'active')",0.14336066,0.29666987,0.3367032,0.49337414,-0.2336016,-0.1224079,-0.1111937
27,-1.1772871,-0.7787316,"('hardhearted', 'softhearted')",-0.9173585,-0.45344487,0.6340166,1.1208783,-0.4868763,-0.0370994,-0.4497769
57,-1.1484451,-1.1689467,"('unimaginative', 'imaginative')",-0.14585136,-0.048843436,-2.7471297,-2.4445622,-1.3471421,-1.2207841,-0.126358
10,-1.0779685,-1.2679704,"('unsympathetic', 'sympathetic')",0.53911257,0.584628,-0.4092293,-0.2597003,-0.3160284,-0.3143476,-0.0016808
2,1.0588617,0.7032794,"('unlikable', 'likable')",1.6694059,1.5943289,0.8874019,0.63798136,1.2052232,0.9785299,0.2266933
6,-1.0152767,-1.0806581,"('distant', 'open')",-2.5593712,-2.4994738,-0.2812882,-0.08419925,-1.285312,-1.2214437,-0.0638683
62,0.9828433,0.6224126,"('incompetent', 'brilliant')",1.5607933,1.4927719,0.5824427,0.4010869,1.0420264,0.8387571,0.2032693
60,0.96928304,0.72095424,"('inefficient', 'efficient')",2.2869508,2.2592752,0.10792438,0.053287197,1.1213861,1.0111722,0.1102139
36,-0.96362513,-0.95293915,"('hostile', 'amicable')",-1.7854156,-1.9212681,0.048987143,0.09719823,-0.9000179,-0.9256697,0.0256518
8,-0.95207447,-1.0686636,"('unaffectionate', 'affectionate')",-0.5530054,-0.5598376,0.51668924,0.69575465,-0.3294635,-0.3109155,-0.018548
69,0.89580315,1.0454874,"('lazy', 'industrious')",-0.29797924,0.0066042766,-0.8031221,-0.53742766,-0.0684327,0.1715547,-0.2399874
31,-0.8929488,-0.6188512,"('evil', 'good')",-1.8823259,-1.694299,-1.4795309,-1.1192803,-1.4182685,-1.1441435,-0.274125
53,-0.8895048,-0.8647789,"('uncreative', 'creative')",-0.10578764,0.015531842,0.8666545,1.0359614,-0.0428793,0.0622381,-0.1051174
9,-0.8679797,-1.0302675,"('unaffectionate', 'caring')",-0.2888566,-0.18614547,1.0284668,1.2479475,-0.0427898,0.0105115,-0.0533013
79,-0.86676794,-1.1053208,"('wavering', 'unwavering')",-2.1367812,-2.2982118,-0.2849113,-0.44581795,-1.0961535,-1.2831168,0.1869633
78,-0.824792,-0.8310003,"('nonresilient', 'resilient')",0.648744,0.7506735,-0.25355238,-0.14783624,-0.1432001,-0.0760544,-0.0671457
48,-0.80942255,-0.67459685,"('unintelligent', 'intelligent')",0.16101038,0.33384618,0.43210474,0.732629,-0.0721025,0.1306261,-0.2027286
18,-0.7900562,-0.73866814,"('disagreeable', 'welcoming')",-0.89208627,-0.75987035,-0.6624798,-0.48852754,-0.7815408,-0.6623553,-0.1191855
30,0.775608,0.6533624,"('intolerant', 'tolerant')",1.1645516,1.0240914,1.20598,1.1240278,1.0487132,0.9338272,0.114886
68,-0.74732643,-0.5483855,"('dependent', 'independent')",-0.36998957,-0.16444133,-0.8269531,-0.6149581,-0.6480897,-0.442595,-0.2054947
33,0.7450454,0.6888804,"('wrong', 'right')",-0.6540913,-0.60785586,-0.77078784,-0.574009,-0.2266112,-0.1643282,-0.062283
26,-0.7149658,-0.58727366,"('hardhearted', 'benevolent')",0.8699519,1.0450515,1.2609793,1.6056591,0.4719884,0.6878123,-0.2158239
0,-0.6778942,-0.73771507,"('unsociable', 'sociable')",0.5693547,0.6738855,-0.56986296,-0.33339685,-0.2261341,-0.1324088,-0.0937253
42,0.6624252,0.479675,"('unreliable', 'reliable')",1.1091149,0.98857224,-2.860811,-2.8787856,-0.3630903,-0.4701795,0.1070892
5,-0.6407087,-0.85404944,"('distant', 'outgoing')",-2.1969202,-2.1717703,-0.5178437,-0.3800638,-1.1184909,-1.1352945,0.0168036
24,-0.6290016,-0.67127794,"('dishonest', 'honest')",0.027031645,0.14481363,0.6589582,0.65047204,0.0189961,0.0413359,-0.0223398
40,-0.6270516,-0.37740308,"('stingy', 'generous')",0.07170519,0.24465236,-1.9432642,-1.5204668,-0.8328702,-0.5510725,-0.2817977
84,0.62245214,0.63728595,"('inferior', 'superior')",0.34375268,0.2759798,0.31769562,0.5476877,0.4279668,0.4869845,-0.0590177
87,0.6180623,0.4413433,"('unsuccessful', 'successful')",1.4819874,1.6138586,0.6855356,0.8890916,0.9285285,0.9814312,-0.0529027
28,-0.60383284,-0.7129996,"('disloyal', 'loyal')",0.3601432,0.5036362,0.8299782,0.78467655,0.1954295,0.1917711,0.0036584
21,0.6037433,0.5422657,"('immoral', 'moral')",0.91138464,0.8864039,-0.6818919,-0.72045094,0.2777453,0.2360729,0.0416724
61,0.5471908,0.46300676,"('illogical', 'logical')",0.047789924,0.15910879,0.026748024,0.1108332,0.2072429,0.2443163,-0.0370734
35,-0.53295976,-0.32235378,"('corrupt', 'incorrupt')",-2.0928395,-1.9808235,-0.45958596,-0.40486974,-1.0284617,-0.9026824,-0.1257793
76,0.5109493,0.108964264,"('anxious', 'daring')",1.1214962,0.8618709,0.46804592,0.24388465,0.7001638,0.4049066,0.2952572
11,0.47777757,0.15169708,"('unhelpful', 'helpful')",0.61823845,0.6023743,2.25228,2.10196,1.1160987,0.9520105,0.1640882
43,0.47331738,0.19344401,"('irresponsible', 'responsible')",1.210976,1.0697228,0.7017157,0.49499846,0.7953364,0.5860551,0.2092813
19,-0.46960297,-0.46790206,"('inhospitable', 'hospitable')",-1.8893923,-1.7790096,-0.39317834,-0.2681092,-0.9173911,-0.8383403,-0.0790508
51,-0.46726257,-0.44646055,"('uneducated', 'educated')",0.63840693,0.8029081,0.58898723,0.7539796,0.2533772,0.3701424,-0.1167652
63,0.44171426,0.2932247,"('unperceptive', 'insightful')",1.2710049,1.4426849,0.9248573,1.09159,0.8791922,0.9424999,-0.0633077
17,-0.43809912,-0.28533328,"('nasty', 'nice')",-0.98440546,-0.7009911,-0.5103334,-0.33130583,-0.6442793,-0.4392101,-0.2050692
82,-0.42733318,-0.782336,"('poor', 'rich')",0.26567817,-0.006740574,6.392673,5.981115,2.077006,1.7306795,0.3463265
45,-0.3734941,-0.4636464,"('incompetent', 'competent')",0.6527375,0.70110697,-0.51668805,-0.41830143,-0.0791482,-0.0602803,-0.0188679
44,0.36559874,0.32745516,"('prejudiced', 'unprejudiced')",-0.16330102,-0.3012763,-1.0207156,-1.3639731,-0.272806,-0.4459314,0.1731254
54,-0.35962033,-0.780015,"('incapable', 'capable')",-0.21054898,-0.38441154,1.0453924,0.91013247,0.1584077,-0.0847647,0.2431724
15,0.34633642,0.39689597,"('boring', 'funny')",-1.0312629,-0.9210727,0.41780645,0.5420995,-0.08904,0.0059743,-0.0950143
41,-0.34483093,-0.4341241,"('unforgiving', 'forgiving')",0.4186441,0.48174724,0.11582954,0.30155987,0.0632142,0.1163943,-0.0531801
34,-0.34186122,-0.5206664,"('mean', 'honorable')",0.28231522,0.102651015,5.9385266,5.8364015,1.9596602,1.8061287,0.1535315
49,-0.3343098,-0.34664232,"('unable', 'able')",-0.7232323,-0.5708955,-0.20061882,-0.066502824,-0.419387,-0.3280135,-0.0913735
