,thermo_male,thermo_female,tuple,fisher_male,fisher_female,scientific_male,scientific_female,inc_male,inc_female,average_male,average_female,male-female
19,-1.7941947,-1.694292,"('inhospitable', 'hospitable')",-0.10100541,-0.015893143,-0.5827681,-0.5094756,0.2615437,0.36949363,-0.5541061,-0.4625418,-0.0915643
6,-1.6270583,-1.4679353,"('distant', 'open')",-1.4148018,-1.1654656,-1.227394,-1.2845922,0.32080993,0.5389722,-0.9871111,-0.8447552,-0.1423559
9,-1.5880754,-1.59421,"('unaffectionate', 'caring')",0.6832749,0.81717074,0.21967141,0.17531307,1.1416633,1.2849418,0.1141336,0.1708039,-0.0566703
1,-1.5792041,-1.7127411,"('unfriendly', 'friendly')",0.55406237,0.61745673,0.23417754,-0.060845997,2.0895584,2.0799148,0.3246486,0.2309461,0.0937025
5,-1.5582858,-1.4622118,"('distant', 'outgoing')",-0.9939714,-0.78310806,-0.921103,-1.0081756,-0.21708675,0.050843675,-0.9226118,-0.8006629,-0.1219489
86,-1.5504475,-1.6420974,"('uninfluential', 'influential')",-0.3169369,-0.4578489,0.77001524,0.57105684,-0.09023444,-0.29581296,-0.2969009,-0.4561756,0.1592747
8,-1.5441872,-1.5895292,"('unaffectionate', 'affectionate')",0.3819283,0.41493842,-0.24144745,-0.26750803,0.7442034,0.93574244,-0.1648757,-0.1265891,-0.0382866
53,-1.3954022,-1.4610187,"('uncreative', 'creative')",-0.499986,-0.28079903,0.42672804,0.23018554,1.1280868,1.0277923,-0.0851433,-0.12096,0.0358167
10,-1.2973444,-1.3821563,"('unsympathetic', 'sympathetic')",-0.44008356,-0.5798042,-0.4964469,-0.42024764,-0.28154784,-0.42088926,-0.6288556,-0.7007743,0.0719187
82,-1.286844,-1.1593862,"('poor', 'rich')",-1.0698814,-0.9488605,0.3271994,0.24808921,5.5051227,5.866738,0.8688992,1.0016451,-0.1327459
79,-1.2637911,-1.3353035,"('wavering', 'unwavering')",-0.25136968,-0.32930073,-1.5069773,-1.5278257,0.22790295,0.17585413,-0.6985588,-0.754144,0.0555852
54,-1.2159569,-1.1008544,"('incapable', 'capable')",0.10515345,0.28615364,-0.049236815,0.023800047,0.8330977,1.0445757,-0.0817356,0.0634188,-0.1451544
69,1.2148396,1.2950282,"('lazy', 'industrious')",0.84557873,1.0798972,0.6311905,0.7946744,-0.28318378,-0.25824022,0.6021063,0.7278399,-0.1257336
28,-1.0188376,-1.1170236,"('disloyal', 'loyal')",0.016512947,-0.07209928,0.5470468,0.5144204,0.84304875,0.7252218,0.0969427,0.0126298,0.0843129
12,-1.0145899,-0.9939122,"('unsupportive', 'supportive')",0.7887093,0.7658065,0.35637698,0.33716902,-1.7330182,-1.7722684,-0.4006304,-0.4158013,0.0151709
63,-0.94463086,-0.928922,"('unperceptive', 'insightful')",-0.86539614,-0.99760675,0.5070147,0.5010785,0.80675244,0.726392,-0.124065,-0.1747646,0.0506996
67,0.910186,1.0115784,"('doubtful', 'determined')",0.69032145,0.7138525,-1.1318959,-0.92150795,-0.7906864,-0.6357875,-0.0805187,0.0420339,-0.1225526
66,-0.8925364,-0.72191143,"('inactive', 'active')",-0.6466401,-0.53172535,-0.6077395,-0.45935082,0.9286892,0.92891556,-0.3045567,-0.196018,-0.1085387
23,-0.8893371,-0.9806412,"('insincere', 'sincere')",0.7563273,0.6517798,0.23475681,0.18745103,5.0746255,5.307942,1.2940931,1.2916329,0.0024602
43,-0.8452091,-0.6371073,"('irresponsible', 'responsible')",0.22051097,0.36297116,0.34693402,0.66151446,0.13849753,0.37025815,-0.0348167,0.1894091,-0.2242258
38,-0.83785594,-0.8212054,"('untruthful', 'truthful')",-0.35263354,-0.37283105,0.073299415,0.1811258,-0.13471529,-0.03325866,-0.3129764,-0.2615424,-0.051434
31,-0.83522683,-0.89911044,"('evil', 'good')",-1.2038454,-1.1519185,-1.2091198,-1.4181036,-0.82115394,-0.88288444,-1.0173365,-1.0880042,0.0706677
3,-0.83497876,-0.98322153,"('repellent', 'pleasant')",-1.3105333,-1.4274626,-0.17681915,-0.4047313,0.17340954,0.061669677,-0.5372304,-0.6884364,0.151206
35,0.8208364,0.85213804,"('corrupt', 'incorrupt')",0.10214371,0.25119564,-0.8788165,-0.80207115,0.13094838,0.18810596,0.043778,0.1223421,-0.0785641
57,-0.74933636,-0.9057313,"('unimaginative', 'imaginative')",-1.3283111,-1.5441545,0.030084249,-0.1647026,-2.022033,-2.506513,-1.0173991,-1.2802753,0.2628762
36,-0.7306663,-0.85401016,"('hostile', 'amicable')",-0.19172087,-0.17707974,-1.2684184,-1.5051442,0.54570735,0.35009265,-0.4112745,-0.5465354,0.1352609
78,-0.7138189,-0.84930223,"('nonresilient', 'resilient')",-0.9637481,-1.0822666,1.0779299,1.1393573,0.47735867,0.3289743,-0.0305696,-0.1158093,0.0852397
45,-0.7124577,-0.7403853,"('incompetent', 'competent')",0.22608164,0.14679465,1.0500743,0.93146473,-0.321366,-0.4415744,0.0605831,-0.0259251,0.0865082
7,-0.6990506,-0.78112656,"('insensitive', 'sensitive')",0.56538516,0.52214414,0.2570335,0.29483268,0.7735522,0.6482435,0.2242301,0.1710234,0.0532067
84,0.67672855,0.66012216,"('inferior', 'superior')",1.8485808,1.7324235,1.1216738,1.1405782,1.0587105,1.045416,1.1764234,1.144635,0.0317884
