,travelers_male,travelers_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
56,2.4235697,2.8114536,"('impractical', 'practical')",2.278819,2.5259528,-0.34110153,-0.19345424,1.4537624,1.7146506,-0.2608882
12,2.2454474,2.312179,"('unsupportive', 'supportive')",1.8525659,2.1074848,-1.7906858,-1.6544762,0.7691092,0.9217292,-0.15262
30,2.1228666,2.3767803,"('intolerant', 'tolerant')",2.2978776,2.432621,0.73462635,0.80614567,1.7184567,1.8718491,-0.1533924
60,1.9949899,2.5927854,"('inefficient', 'efficient')",3.4417708,3.666423,0.19664279,0.5136052,1.8778013,2.2576046,-0.3798033
7,1.8431607,2.0499327,"('insensitive', 'sensitive')",1.5276123,1.7229751,0.69658,0.80939776,1.3557844,1.5274351,-0.1716507
49,-1.8344272,-1.6317946,"('unable', 'able')",-0.15233907,-0.114409946,-0.31482884,-0.226086,-0.7671984,-0.6574302,-0.1097682
43,1.7715948,2.0487993,"('irresponsible', 'responsible')",1.4658415,1.735952,0.64644593,0.80839014,1.2946274,1.5310472,-0.2364198
71,1.76774,1.5556928,"('diffident', 'self-confident')",-0.022018615,0.11838358,0.56637394,0.4766985,0.7706984,0.7169249,0.0537735
19,-1.7427912,-1.9437364,"('inhospitable', 'hospitable')",-1.1300712,-1.1131961,-0.15301768,-0.24935949,-1.0086267,-1.1020974,0.0934707
9,1.7192367,1.4638773,"('unaffectionate', 'caring')",-0.21027511,-0.15034112,1.3962959,1.355799,0.9684192,0.8897784,0.0786408
31,-1.7014134,-2.1470935,"('evil', 'good')",-1.9540423,-1.9984972,-0.96523476,-1.1748934,-1.5402301,-1.7734947,0.2332646
0,1.6861684,1.7279794,"('unsociable', 'sociable')",1.4396708,1.4242663,-0.48489994,-0.33324337,0.8803131,0.9396675,-0.0593544
68,-1.5822563,-1.4915483,"('dependent', 'independent')",-0.054155026,-0.21559922,-0.3798532,-0.37490734,-0.6720881,-0.6940183,0.0219302
36,-1.5235589,-2.1310308,"('hostile', 'amicable')",-2.6623466,-2.8986895,0.28547782,-0.050086364,-1.3001425,-1.6932689,0.3931264
13,1.4730841,1.819195,"('impolite', 'polite')",1.5030435,1.6852648,-0.06161707,0.05753749,0.9715035,1.1873325,-0.215829
52,-1.3572776,-1.8314399,"('irrational', 'rational')",-2.5955338,-2.789482,-0.41702974,-0.7681972,-1.4566137,-1.796373,0.3397593
14,1.3562715,1.561681,"('antisocial', 'social')",2.07385,2.0434,-0.611992,-0.521103,0.9393765,1.0279927,-0.0886162
10,1.3325007,1.6865171,"('unsympathetic', 'sympathetic')",1.9271481,1.9872628,0.053998634,0.18298712,1.1045492,1.2855891,-0.1810399
