,sun_male,sun_female,tuple,microsystems_male,microsystems_female,inc_male,inc_female,average_male,average_female,male-female
70,-2.896891,-2.8824303,"('lethargic', 'energetic')",-2.4903889,-2.3585138,-0.18923946,-0.009357728,-1.8588398,-1.7501006,-0.1087392
85,2.7307446,2.6866238,"('insignificant', 'prestigious')",2.9602695,2.7807631,0.5655302,0.42782077,2.0855149,1.9650693,0.1204456
45,-2.5283668,-2.7378404,"('incompetent', 'competent')",-2.9598029,-2.784262,-1.1729653,-1.1554245,-2.2203782,-2.2258423,0.0054641
81,-2.213493,-2.4444156,"('submissive', 'aggressive')",-2.7531114,-2.5828571,-0.70193267,-0.37851223,-1.8895124,-1.8019284,-0.087584
63,-2.0594368,-1.9557236,"('unperceptive', 'insightful')",-2.391855,-2.1602507,0.27633733,0.4687329,-1.3916516,-1.2157472,-0.1759044
42,-1.9977674,-1.7898805,"('unreliable', 'reliable')",-2.058021,-1.7893217,-3.4174113,-3.1128602,-2.4910666,-2.2306875,-0.2603791
43,-1.9952277,-2.1274326,"('irresponsible', 'responsible')",-3.4882789,-3.2608418,-0.7610847,-0.48973024,-2.0815304,-1.9593349,-0.1221955
76,-1.913438,-1.9204724,"('anxious', 'daring')",-2.0764904,-1.8891131,0.15835956,0.481486,-1.2771896,-1.1093665,-0.1678231
71,1.89955,1.7472728,"('diffident', 'self-confident')",1.469583,1.3271873,0.6810787,0.44001758,1.3500706,1.1714926,0.178578
64,-1.8931116,-2.003694,"('shy', 'confident')",-1.3926917,-1.3887062,-6.194102,-6.000821,-3.1599684,-3.1310736,-0.0288948
10,-1.8873912,-2.028282,"('unsympathetic', 'sympathetic')",-4.0918956,-3.8515337,-0.99471635,-0.72730213,-2.3246676,-2.2023726,-0.122295
46,-1.8757559,-2.008837,"('uncompetitive', 'competitive')",-2.7330172,-2.5504565,-0.743594,-0.5588114,-1.7841225,-1.706035,-0.0780875
56,-1.834483,-1.6510164,"('impractical', 'practical')",-2.7300317,-2.3071413,-0.46880928,-0.016241644,-1.6777746,-1.3247997,-0.3529749
82,-1.7103848,-1.6249732,"('poor', 'rich')",-1.3081192,-1.0578095,5.4238772,5.6603312,0.801791,0.9925162,-0.1907252
55,-1.6019046,-1.8659983,"('incompetent', 'clever')",-2.5077715,-2.40849,-0.0846048,-0.013130087,-1.3980937,-1.4292062,0.0311125
39,1.5988725,1.3923931,"('exploitative', 'cooperative')",0.48870125,0.527142,0.3312861,0.427654,0.8062867,0.7823964,0.0238903
24,-1.4972771,-1.6877787,"('dishonest', 'honest')",-3.5906265,-3.4393623,0.11671272,0.21614529,-1.6570636,-1.6369985,-0.0200651
57,-1.4860924,-1.6651595,"('unimaginative', 'imaginative')",-1.9723475,-1.9333662,-2.444087,-2.2942736,-1.967509,-1.9642665,-0.0032425
51,-1.4736298,-1.5960227,"('uneducated', 'educated')",-0.7891794,-0.8081918,1.014506,0.984419,-0.4161011,-0.4732651,0.057164
60,-1.4551952,-1.7103401,"('inefficient', 'efficient')",-2.4391782,-2.1302674,-0.17645198,0.050085574,-1.3569419,-1.2635074,-0.0934345
62,-1.4204683,-1.4999222,"('incompetent', 'brilliant')",-2.1805904,-1.8510576,-0.7139701,-0.3272233,-1.4383429,-1.2260677,-0.2122752
83,1.3805248,1.434794,"('powerless', 'powerful')",0.48211366,0.63375956,-0.6651341,-0.62383705,0.3991681,0.4815722,-0.0824041
13,-1.3480146,-1.4778956,"('impolite', 'polite')",-1.8515471,-1.7206104,-0.3876478,-0.1317003,-1.1957365,-1.1100687,-0.0856678
36,1.3442354,1.0308734,"('hostile', 'amicable')",2.349368,2.0108805,0.8106923,0.39688495,1.5014319,1.1462129,0.355219
22,-1.3180928,-1.4528484,"('untrustworthy', 'trustworthy')",-1.9920754,-1.9278442,-1.0455532,-1.1602933,-1.4519072,-1.513662,0.0617548
14,-1.3061454,-1.591217,"('antisocial', 'social')",-1.5873901,-1.466414,-0.4552041,-0.4710229,-1.1162465,-1.176218,0.0599715
80,-1.3060015,-1.2677621,"('dominated', 'dominating')",-1.4795895,-1.4073781,-1.154388,-1.1224006,-1.3133264,-1.2658469,-0.0474795
68,-1.280557,-1.5567102,"('dependent', 'independent')",-1.1461208,-1.2746402,-0.75702465,-0.7824907,-1.0612342,-1.2046137,0.1433795
33,1.2080903,1.0503496,"('wrong', 'right')",1.1555028,0.96565574,-0.7144167,-0.9411813,0.5497255,0.3582747,0.1914508
59,1.2012659,1.2979177,"('foolish', 'wise')",0.7198306,0.6369464,-0.5191962,-0.5511432,0.4673001,0.4612403,0.0060598
84,1.1452966,1.1899735,"('inferior', 'superior')",1.2311885,1.287937,0.5672941,0.70436794,0.9812597,1.0607595,-0.0794998
9,1.1253197,1.0253528,"('unaffectionate', 'caring')",0.5033975,0.486454,0.8104234,0.7417974,0.8130469,0.7512014,0.0618455
21,-1.093321,-1.3335272,"('immoral', 'moral')",-2.63737,-2.593031,-0.83916795,-0.662064,-1.5232863,-1.5295407,0.0062544
87,-1.0892518,-1.0823077,"('unsuccessful', 'successful')",-0.31468868,-0.42082825,0.41450158,0.33397222,-0.329813,-0.3897212,0.0599082
65,-0.99455136,-1.0800586,"('insecure', 'secure')",-2.152453,-1.9965279,-0.5230869,-0.22286916,-1.2233637,-1.0998185,-0.1235452
35,0.9795967,1.0416512,"('corrupt', 'incorrupt')",2.441468,2.156458,-0.11006874,-0.4369457,1.1036653,0.9203878,0.1832775
58,-0.9675126,-1.2147132,"('undiscriminating', 'discriminating')",-0.7283882,-0.7950987,-0.30830222,-0.3312402,-0.6680677,-0.7803507,0.112283
52,0.96408045,0.9539714,"('irrational', 'rational')",1.6819888,1.5094033,-0.38068014,-0.5229842,0.7551297,0.6467968,0.1083329
