,apartment_male,apartment_female,tuple,investment_male,investment_female,&_male,&_female,mgmt_male,mgmt_female,co_male,co_female,average_male,average_female,male-female
31,-2.9104836,-2.5822861,"('evil', 'good')",-1.8159962,-1.6397669,-2.4621456,-2.4981325,-1.675216,-1.41337,-2.3240552,-2.0600467,-2.2375793,-2.0387203,-0.198859
60,2.532552,2.3572671,"('inefficient', 'efficient')",1.2717707,1.1360755,2.8206708,3.1298027,0.36558595,0.4417882,0.7279431,0.81932324,1.5437044,1.5768513,-0.0331469
16,-2.2896717,-2.208433,"('unpopular', 'popular')",-0.90382403,-0.7796416,-0.63546777,-0.8040176,-0.61263394,-0.704508,-0.434492,-0.5492363,-0.9752179,-1.0091673,0.0339494
52,-2.2853582,-2.1012807,"('irrational', 'rational')",-1.4417577,-1.2553167,-1.690927,-1.8913313,-0.66252565,-0.66472447,-0.9118517,-0.8342789,-1.3984841,-1.3493864,-0.0490977
39,2.024084,2.0272253,"('exploitative', 'cooperative')",0.22616875,0.15043893,1.1020639,1.2322428,-0.2595067,-0.13395558,0.73725975,0.7289222,0.7660139,0.8009748,-0.0349609
56,2.0236523,1.9864724,"('impractical', 'practical')",0.6226815,0.48594233,1.0214783,1.159561,0.30785584,0.3351024,-0.05447267,-0.020967018,0.784239,0.7892222,-0.0049832
43,1.8869963,1.8683907,"('irresponsible', 'responsible')",1.3830892,1.1986551,2.0543182,2.3244941,0.6004884,0.53082746,1.285101,1.4474102,1.4419987,1.4739554,-0.0319567
1,-1.8830153,-1.8510805,"('unfriendly', 'friendly')",0.51898193,0.55197614,-0.3171685,-0.19741678,-0.84967047,-0.7592886,0.6380828,0.9222707,-0.3785579,-0.2667078,-0.1118501
30,1.8751695,1.758834,"('intolerant', 'tolerant')",1.6909802,1.5598282,1.3549759,1.3726166,0.62367207,0.66618896,0.56764543,0.51528937,1.2224886,1.1745514,0.0479372
75,-1.8058603,-1.700496,"('meek', 'impulsive')",0.17941597,0.35870767,-0.5748991,-0.6401578,0.5001494,0.5075712,-0.41112593,-0.4054537,-0.422464,-0.3759657,-0.0464983
14,1.7721093,1.836401,"('antisocial', 'social')",1.7320527,1.8553534,1.6311672,1.9735188,0.45574743,0.62302095,-0.17267983,-0.02760929,1.0836794,1.252137,-0.1684576
23,1.6368035,1.4501092,"('insincere', 'sincere')",1.5239263,1.4601619,2.4502435,2.599893,0.60515153,0.4397715,6.0782275,6.042237,2.4588705,2.3984344,0.0604361
29,-1.6323503,-1.4231045,"('unfair', 'fair')",-1.288442,-1.1670233,-0.50701934,-0.33643776,-1.2169644,-1.0870984,-1.2506888,-0.9958277,-1.179093,-1.0018984,-0.1771946
85,-1.5928293,-1.4477134,"('insignificant', 'prestigious')",0.9432629,1.060262,-1.4571782,-1.8469971,0.5343964,0.6150501,-1.0243018,-1.0430068,-0.51933,-0.532481,0.013151
25,-1.5523992,-1.6266769,"('egoistic', 'altruistic')",0.22437641,0.14953274,-0.75015795,-1.1669075,-0.39130068,-0.6170732,1.0853518,1.0385596,-0.2768259,-0.4445131,0.1676872
