,black_male,black_female,tuple,&_male,&_female,decker_male,decker_female,corp_male,corp_female,average_male,average_female,male-female
10,-1.5849316,-1.5934289,"('unsympathetic', 'sympathetic')",-2.597137,-3.179594,-3.7495265,-3.8234994,-0.4149065,-0.388093,-2.0866256,-2.2461538,0.1595282
34,-1.5724847,-1.2202079,"('mean', 'honorable')",-0.5272195,-0.40414166,0.19804065,0.50338733,5.199238,5.9163265,0.8243935,1.1988411,-0.3744476
41,-1.5647191,-1.6773077,"('unforgiving', 'forgiving')",-0.7005064,-0.606578,-0.2659488,-0.26862317,0.18328309,0.23014037,-0.5869728,-0.5805921,-0.0063807
57,-1.533788,-1.7277813,"('unimaginative', 'imaginative')",-1.9772562,-2.230397,-3.4724493,-3.476387,-3.0058308,-3.1772895,-2.4973311,-2.6529636,0.1556325
20,-1.5205607,-1.2742511,"('rough', 'thoughtful')",-0.1130122,-0.03541897,-0.27867714,-0.24824683,0.92474747,0.8538073,-0.2468756,-0.1760274,-0.0708482
0,-1.5094451,-1.1757505,"('unsociable', 'sociable')",-1.5428885,-1.6414034,-1.5473449,-1.4264969,-0.2716571,-0.17542934,-1.2178339,-1.1047701,-0.1130638
48,-1.3710473,-1.2392753,"('unintelligent', 'intelligent')",-1.3710603,-1.519697,-2.244922,-1.7161574,0.6387794,0.74106574,-1.0870624,-0.933516,-0.1535464
73,1.353917,1.544268,"('helpless', 'self-reliant')",1.1917344,1.1231729,0.36132157,0.33175594,-2.9079592,-3.285986,-0.0002466,-0.0716973,0.0714507
22,-1.3516258,-1.1593311,"('untrustworthy', 'trustworthy')",-0.7273426,-0.6286822,-1.6261984,-1.553479,-0.8997798,-1.041693,-1.1512367,-1.0957963,-0.0554404
45,-1.3288894,-1.3284459,"('incompetent', 'competent')",-1.6104516,-1.8004237,-1.9164298,-2.1105907,0.107737735,0.21589844,-1.1870084,-1.2558904,0.068882
6,1.3122633,0.81382257,"('distant', 'open')",0.9331288,0.9586185,2.3380473,2.088202,-0.4939448,-1.041868,1.0223737,0.7046938,0.3176799
30,-1.2940967,-0.9495688,"('intolerant', 'tolerant')",-1.6074383,-1.6475089,-2.006909,-1.8276523,0.49473876,0.8430322,-1.1034263,-0.8954244,-0.2080019
77,-1.2213734,-0.9896444,"('unmotivated', 'motivated')",-1.2400992,-1.1289132,-0.74913657,-0.7463881,-0.98338526,-0.8223264,-1.0484985,-0.921818,-0.1266805
47,-1.1937939,-0.963688,"('stupid', 'smart')",-0.3074649,-0.300614,-1.981966,-1.5930874,4.656272,4.908763,0.2932618,0.5128434,-0.2195816
49,-1.1720775,-0.7997912,"('unable', 'able')",-0.6795301,-0.37838125,-0.30908704,-0.022742543,-0.2599926,0.29652882,-0.6051718,-0.2260965,-0.3790753
88,-1.1611965,-0.87659043,"('low', 'eminent')",-0.3517615,-0.23698714,-1.7551031,-1.4276127,-0.62302566,-0.22018181,-0.9727717,-0.690343,-0.2824287
11,-1.1366266,-0.5370132,"('unhelpful', 'helpful')",-2.4790506,-2.3445852,-2.4453216,-1.9763982,2.1488092,2.4918077,-0.9780474,-0.5915473,-0.3865001
55,-1.1006504,-0.7098853,"('incompetent', 'clever')",-1.6661727,-1.4830834,-3.678803,-3.270928,-0.056262698,0.25001505,-1.6254722,-1.3034704,-0.3220018
35,1.0924864,0.7004417,"('corrupt', 'incorrupt')",1.6701058,1.5729283,3.446002,3.0815475,-0.47847286,-0.93771255,1.4325304,1.1043012,0.3282292
17,-1.0920496,-0.96259224,"('nasty', 'nice')",0.078758255,-0.17235044,0.46282434,0.3662759,-0.6751921,-0.59612817,-0.3064148,-0.3411987,0.0347839
33,1.0383708,0.6802828,"('wrong', 'right')",1.2940551,1.0489124,1.1852288,0.91081446,-0.49784133,-1.0807213,0.7549534,0.3898221,0.3651313
31,-1.0383258,-1.5252205,"('evil', 'good')",0.9053219,0.53873754,2.634035,2.3240354,-0.9628517,-1.5544163,0.3845448,-0.054216,0.4387608
18,-1.0123385,-0.9314852,"('disagreeable', 'welcoming')",0.86367357,1.1271473,-0.01639478,0.21325302,-0.69596887,-0.5665676,-0.2152572,-0.0394131,-0.1758441
50,0.995023,0.9231069,"('clumsy', 'skillful')",1.8882366,1.6962643,0.2139147,0.21154566,0.16938242,0.21634379,0.8166392,0.7618152,0.054824
