,mbia_male,mbia_female,tuple,inc_male,inc_female,average_male,average_female,male-female
60,2.0555854,2.185903,"('inefficient', 'efficient')",0.8274277,0.56735873,1.4415065,1.3766309,0.0648756
30,1.9004508,1.6556597,"('intolerant', 'tolerant')",2.0143678,1.586395,1.9574094,1.6210274,0.336382
62,1.7012982,1.2632427,"('incompetent', 'brilliant')",0.8066314,0.5076004,1.2539648,0.8854216,0.3685432
36,-1.6844633,-1.4325434,"('hostile', 'amicable')",-0.33500186,-0.21338063,-1.0097326,-0.822962,-0.1867706
6,-1.6775211,-1.7620562,"('distant', 'open')",-0.16754061,-0.20570995,-0.9225309,-0.9838831,0.0613522
31,-1.6518462,-1.6505842,"('evil', 'good')",-1.6756887,-1.5434576,-1.6637675,-1.5970209,-0.0667466
39,1.3668054,1.5008117,"('exploitative', 'cooperative')",-0.019465372,0.15793303,0.6736701,0.8293723,-0.1557022
5,-1.3461301,-1.414285,"('distant', 'outgoing')",-0.59360504,-0.694836,-0.9698676,-1.0545604,0.0846928
14,1.2968987,1.4561892,"('antisocial', 'social')",-0.3169293,-0.29329577,0.4899847,0.5814467,-0.091462
53,-1.2735142,-1.3532453,"('uncreative', 'creative')",0.9278387,0.8433294,-0.1728377,-0.2549579,0.0821202
19,-1.2715654,-1.4840215,"('inhospitable', 'hospitable')",-0.15324937,-0.294045,-0.7124074,-0.8890333,0.1766259
25,-1.2712241,-1.2684665,"('egoistic', 'altruistic')",0.928921,1.0532305,-0.1711516,-0.107618,-0.0635336
8,-1.2693686,-1.4866495,"('unaffectionate', 'affectionate')",0.07439229,0.20885026,-0.5974882,-0.6388996,0.0414114
79,-1.2617587,-1.5820401,"('wavering', 'unwavering')",0.020712676,-0.30582088,-0.620523,-0.9439305,0.3234075
56,1.2589298,0.8816493,"('impractical', 'practical')",0.76852596,0.5128117,1.0137279,0.6972305,0.3164974
81,1.2177579,1.2314836,"('submissive', 'aggressive')",-0.017361768,-0.1780932,0.6001981,0.5266952,0.0735029
32,1.1311381,1.091317,"('unkind', 'kind')",1.2126135,1.1684731,1.1718757,1.1298951,0.0419806
76,1.0892239,1.0452194,"('anxious', 'daring')",0.8005988,0.6533367,0.9449114,0.8492781,0.0956333
42,1.0626485,0.83197457,"('unreliable', 'reliable')",-2.73095,-2.7106001,-0.8341508,-0.9393128,0.105162
70,0.9972492,0.74031353,"('lethargic', 'energetic')",1.4212214,1.2023112,1.2092353,0.9713123,0.237923
67,0.942669,0.90835613,"('doubtful', 'determined')",-0.17726427,-0.34878176,0.3827024,0.2797872,0.1029152
66,-0.90354073,-0.8334746,"('inactive', 'active')",0.46779495,0.45180768,-0.2178729,-0.1908334,-0.0270395
57,-0.90149844,-0.8890435,"('unimaginative', 'imaginative')",-2.2559917,-2.3953917,-1.5787451,-1.6422176,0.0634725
75,-0.8966204,-0.9247417,"('meek', 'impulsive')",-0.5827476,-0.69038296,-0.739684,-0.8075624,0.0678784
21,0.8824007,1.095352,"('immoral', 'moral')",-0.42265078,-0.3904627,0.229875,0.3524447,-0.1225697
63,0.8717017,0.7227168,"('unperceptive', 'insightful')",1.3248901,1.1220646,1.0982959,0.9223907,0.1759052
1,-0.84069103,-1.1733603,"('unfriendly', 'friendly')",1.3280349,1.247942,0.2436719,0.0372908,0.2063811
65,0.82684696,1.1619898,"('insecure', 'secure')",-0.15036502,0.06419294,0.338241,0.6130913,-0.2748503
35,-0.8045649,-0.88399774,"('corrupt', 'incorrupt')",-0.42583382,-0.3568762,-0.6151993,-0.620437,0.0052377
74,0.80442387,0.67030764,"('undedicated', 'dedicated')",0.21196978,0.326744,0.5081968,0.4985258,0.009671
52,-0.7915124,-0.6716323,"('irrational', 'rational')",-0.7296961,-0.3862337,-0.7606043,-0.528933,-0.2316713
16,-0.78642416,-0.8135103,"('unpopular', 'popular')",0.20107926,0.2424753,-0.2926725,-0.2855175,-0.007155
13,0.7640008,0.6003371,"('impolite', 'polite')",0.30815697,0.11699822,0.5360789,0.3586676,0.1774113
2,0.74685895,0.50987303,"('unlikable', 'likable')",0.47762346,0.57831097,0.6122412,0.544092,0.0681492
24,0.7463149,0.36399066,"('dishonest', 'honest')",0.9630741,0.991028,0.8546945,0.6775093,0.1771852
55,0.73190296,0.8711811,"('incompetent', 'clever')",0.28042668,0.4341507,0.5061648,0.6526659,-0.1465011
10,0.72948074,0.49723625,"('unsympathetic', 'sympathetic')",0.16519313,0.054366518,0.4473369,0.2758014,0.1715355
71,0.7234336,0.68253994,"('diffident', 'self-confident')",0.38255623,0.2852651,0.5529949,0.4839025,0.0690924
64,0.7190645,0.9665861,"('shy', 'confident')",-6.235413,-6.0243454,-2.7581744,-2.5288796,-0.2292948
43,0.7070024,0.5343558,"('irresponsible', 'responsible')",0.9859696,0.864849,0.846486,0.6996024,0.1468836
48,0.70030445,0.6734187,"('unintelligent', 'intelligent')",0.9529445,1.03034,0.8266245,0.8518794,-0.0252549
26,0.6359707,0.6534813,"('hardhearted', 'benevolent')",1.4714904,1.5458267,1.0537305,1.099654,-0.0459235
0,0.62931603,0.5852418,"('unsociable', 'sociable')",-0.15586193,-0.23821212,0.2367271,0.1735148,0.0632123
72,-0.62720495,-0.77126133,"('unambitious', 'ambitious')",-1.0559316,-1.0013742,-0.8415682,-0.8863178,0.0447496
86,-0.59184736,-0.75069577,"('uninfluential', 'influential')",-0.18893392,-0.09706087,-0.3903906,-0.4238783,0.0334877
9,-0.5819502,-0.8988526,"('unaffectionate', 'caring')",0.7464458,0.7606438,0.0822478,-0.0691044,0.1513522
47,0.55812395,0.49996966,"('stupid', 'smart')",5.4454093,5.4867043,3.0017667,2.9933369,0.0084298
45,0.5408448,0.27634615,"('incompetent', 'competent')",0.26475298,-0.027774591,0.4027989,0.1242858,0.2785131
58,-0.5111807,-0.37940285,"('undiscriminating', 'discriminating')",0.08328506,0.093867734,-0.2139478,-0.1427675,-0.0711803
12,0.500527,0.19700924,"('unsupportive', 'supportive')",-1.6212251,-1.7466805,-0.560349,-0.7748356,0.2144866
69,-0.49894705,-0.22322704,"('lazy', 'industrious')",-0.75711423,-0.8500201,-0.6280307,-0.5366236,-0.0914071
88,0.49860463,0.22184832,"('low', 'eminent')",0.74589676,0.44075635,0.6222507,0.3313023,0.2909484
23,0.48057103,0.17838325,"('insincere', 'sincere')",6.1522207,5.990291,3.3163958,3.0843372,0.2320586
27,-0.4734464,-0.5603112,"('hardhearted', 'softhearted')",1.0652096,1.235635,0.2958816,0.3376619,-0.0417803
85,-0.46739623,-0.6544016,"('insignificant', 'prestigious')",-0.031416517,-0.16958918,-0.2494064,-0.4119954,0.162589
61,0.46585748,0.48678473,"('illogical', 'logical')",0.07641449,0.1980465,0.271136,0.3424156,-0.0712796
7,0.46245542,0.283464,"('insensitive', 'sensitive')",0.74788463,0.5590411,0.60517,0.4212525,0.1839175
87,0.4518196,0.33584434,"('unsuccessful', 'successful')",0.4849047,0.52184796,0.4683622,0.4288462,0.039516
