,sovereign_male,sovereign_female,tuple,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,male-female
26,1.9392666,1.6382211,"('hardhearted', 'benevolent')",0.71283513,0.6038487,1.6883435,1.6192358,1.4468152,1.2871018,0.1597134
73,1.9003522,1.7158082,"('helpless', 'self-reliant')",0.9271254,0.9231032,-3.3185554,-3.5412674,-0.1636926,-0.3007854,0.1370928
74,1.8004832,1.8187286,"('undedicated', 'dedicated')",0.4336673,0.4056327,0.5280896,0.6948594,0.9207466,0.9730735,-0.0523269
12,1.6456556,1.6790007,"('unsupportive', 'supportive')",-0.36632168,-0.24812509,-1.6797234,-1.5748879,-0.1334631,-0.0480041,-0.085459
9,1.5406382,1.218114,"('unaffectionate', 'caring')",0.5156808,0.44179687,1.481248,1.2052181,1.179189,0.955043,0.224146
39,1.4929799,1.6836351,"('exploitative', 'cooperative')",0.6727155,0.8255043,0.013163906,0.07287634,0.7262864,0.860672,-0.1343856
23,1.4760617,1.413431,"('insincere', 'sincere')",0.3075198,0.25121582,6.1869235,6.0519056,2.6568349,2.5721842,0.0846507
75,-1.4380424,-1.6022437,"('meek', 'impulsive')",-0.20379007,-0.22252107,-0.41761827,-0.44732887,-0.6864835,-0.7573645,0.070881
44,-1.432553,-1.1093513,"('prejudiced', 'unprejudiced')",-0.4285555,-0.27748194,-1.3633493,-1.2813848,-1.0748192,-0.889406,-0.1854132
79,1.3670326,1.240141,"('wavering', 'unwavering')",0.7730992,0.8245802,0.32835823,0.2564388,0.82283,0.7737199,0.0491101
82,-1.3291311,-1.2966459,"('poor', 'rich')",-0.9512198,-1.0437886,6.592654,6.4174623,1.4374345,1.3590093,0.0784252
63,1.3083725,1.3514813,"('unperceptive', 'insightful')",0.32845968,0.30020094,1.2033858,1.346051,0.9467394,0.9992444,-0.052505
16,-1.274886,-1.2361622,"('unpopular', 'popular')",0.022125117,-0.017183624,0.36707672,0.15095773,-0.295228,-0.3674627,0.0722347
54,1.2627546,1.304143,"('incapable', 'capable')",1.0047783,0.9675069,1.3334554,1.3294476,1.2003295,1.2003659,-3.64e-05
56,1.2261077,1.326687,"('impractical', 'practical')",0.43740872,0.51171535,-0.1072003,-0.010602148,0.518772,0.6092667,-0.0904947
71,1.2078854,1.1769619,"('diffident', 'self-confident')",0.7099475,0.7493231,0.6760968,0.58076763,0.8646433,0.8356842,0.0289591
30,1.1712427,1.2423692,"('intolerant', 'tolerant')",-0.5093735,-0.3878943,0.84381723,0.8125199,0.5018955,0.5556649,-0.0537694
84,1.0894684,1.1443518,"('inferior', 'superior')",-0.3685938,-0.28824016,0.64249086,0.6908593,0.4544551,0.515657,-0.0612019
85,1.0224385,0.8184149,"('insignificant', 'prestigious')",0.8799162,0.79179144,0.76418525,0.5566817,0.8888466,0.722296,0.1665506
24,0.96623826,1.0019987,"('dishonest', 'honest')",-1.472844,-1.3673214,0.80969983,0.73200536,0.1010314,0.1222275,-0.0211961
25,-0.95562726,-0.94408745,"('egoistic', 'altruistic')",0.715556,0.645777,1.7435406,1.3798106,0.5011565,0.3605,0.1406565
83,0.9450875,1.1611421,"('powerless', 'powerful')",0.54532766,0.7243358,-0.85076153,-0.7516684,0.2132179,0.3779365,-0.1647186
81,-0.921011,-0.46682733,"('submissive', 'aggressive')",-1.2757936,-1.0095184,-0.7384906,-0.43413043,-0.9784317,-0.6368254,-0.3416063
72,0.9075792,0.8615287,"('unambitious', 'ambitious')",-1.0156136,-1.0184453,-0.99206626,-1.0612408,-0.3667002,-0.4060524,0.0393522
33,0.90121174,0.764746,"('wrong', 'right')",1.3418216,1.3377424,-0.77905864,-1.0189916,0.4879916,0.3611656,0.126826
2,0.89082116,1.1272912,"('unlikable', 'likable')",1.2825428,1.3643508,0.74854666,0.8139349,0.9739702,1.1018589,-0.1278887
42,0.8780825,1.2232083,"('unreliable', 'reliable')",0.6823566,0.91111743,-2.838326,-2.7930624,-0.4259623,-0.2195789,-0.2063834
43,0.86584395,1.0405161,"('irresponsible', 'responsible')",-1.035596,-0.91431135,0.49219933,0.6421671,0.1074824,0.256124,-0.1486416
3,-0.8594515,-0.8173965,"('repellent', 'pleasant')",-0.33719265,-0.45022136,0.10985045,0.039106056,-0.3622646,-0.409504,0.0472394
66,0.8176763,0.69120765,"('inactive', 'active')",1.1405785,1.1279709,1.1458775,1.1044685,1.0347107,0.974549,0.0601617
5,0.8035922,0.55351335,"('distant', 'outgoing')",0.97405344,0.9467202,-0.21062335,-0.40213397,0.5223407,0.3660332,0.1563075
22,-0.8023493,-0.7139317,"('untrustworthy', 'trustworthy')",-0.8503589,-0.8615185,-0.79618573,-0.7665181,-0.816298,-0.7806561,-0.0356419
67,0.80130124,1.1518866,"('doubtful', 'determined')",0.108468115,0.24552768,-0.8631405,-0.6830955,0.0155429,0.2381062,-0.2225633
59,0.79415953,0.7273905,"('foolish', 'wise')",0.02020366,0.069017336,0.5053028,0.2756154,0.4398886,0.3573411,0.0825475
38,0.78785884,0.7611256,"('untruthful', 'truthful')",0.11631673,0.11692377,0.037634492,0.015719458,0.3139367,0.2979229,0.0160138
28,0.77534896,0.62530327,"('disloyal', 'loyal')",-0.93449485,-0.9595309,1.0775123,0.8832768,0.3061221,0.1830164,0.1231057
55,-0.72604966,-0.41780978,"('incompetent', 'clever')",-1.6588042,-1.5499749,-0.043810494,0.11294842,-0.8095548,-0.6182787,-0.1912761
7,0.71879303,0.8028182,"('insensitive', 'sensitive')",-0.037372433,-0.028316937,0.84279215,0.8039107,0.5080709,0.5261373,-0.0180664
68,-0.6752176,-0.38157755,"('dependent', 'independent')",-1.5869645,-1.5203378,-0.43145782,-0.42340225,-0.89788,-0.7751059,-0.1227741
27,0.61748093,0.445844,"('hardhearted', 'softhearted')",0.018605959,-0.089839,1.4096293,1.2666217,0.6819054,0.5408756,0.1410298
80,0.6166508,0.81098706,"('dominated', 'dominating')",-0.11772843,0.0597046,-0.9720619,-0.73391956,-0.1577132,0.0455907,-0.2033039
