,ecolab_male,ecolab_female,tuple,inc_male,inc_female,average_male,average_female,male-female
19,-1.7757405,-1.6670905,"('inhospitable', 'hospitable')",-0.18472753,0.0066852067,-0.980234,-0.8302026,-0.1500314
82,-1.6341218,-1.7082589,"('poor', 'rich')",6.294027,6.0701585,2.3299525,2.1809497,0.1490028
60,1.5242355,1.5552214,"('inefficient', 'efficient')",-0.025626441,-0.23813586,0.7493045,0.6585428,0.0907617
39,1.5093205,1.6627876,"('exploitative', 'cooperative')",0.10895892,0.062876545,0.8091397,0.8628321,-0.0536924
31,-1.290935,-1.3029172,"('evil', 'good')",-0.97413325,-0.7276656,-1.1325341,-1.0152915,-0.1172426
56,1.2510036,1.2797741,"('impractical', 'practical')",-0.16175286,-0.4159715,0.5446254,0.4319013,0.1127241
62,1.2383075,1.130846,"('incompetent', 'brilliant')",0.13515125,-0.0074030636,0.6867294,0.5617215,0.1250079
48,1.2322652,1.1271844,"('unintelligent', 'intelligent')",0.7037565,0.7458132,0.9680109,0.9364988,0.0315121
6,-1.2313626,-1.1158673,"('distant', 'open')",0.19695054,0.3988584,-0.517206,-0.3585044,-0.1587016
36,-1.1992153,-1.2099106,"('hostile', 'amicable')",0.2559756,0.49271435,-0.4716198,-0.3585981,-0.1130217
73,1.1756018,1.1610935,"('helpless', 'self-reliant')",-3.0610576,-2.8996842,-0.9427279,-0.8692954,-0.0734325
71,1.1159388,1.2097566,"('diffident', 'self-confident')",0.49166825,0.3633948,0.8038035,0.7865757,0.0172278
30,1.0938464,1.0459588,"('intolerant', 'tolerant')",1.0903324,0.96487427,1.0920894,1.0054165,0.0866729
79,-1.0702902,-1.0508212,"('wavering', 'unwavering')",-0.41650644,-0.32642847,-0.7433983,-0.6886249,-0.0547734
8,-0.9804325,-0.9368181,"('unaffectionate', 'affectionate')",0.59714365,0.8685168,-0.1916444,-0.0341507,-0.1574937
66,-0.9190089,-0.8673224,"('inactive', 'active')",0.74840593,0.86857224,-0.0853015,0.0006249,-0.0859264
5,-0.8878143,-0.7018236,"('distant', 'outgoing')",-0.4137473,-0.15231831,-0.6507808,-0.4270709,-0.2237099
35,-0.86692667,-0.84018457,"('corrupt', 'incorrupt')",-0.23856008,-0.027562195,-0.5527434,-0.4338734,-0.11887
80,0.84468365,0.697729,"('dominated', 'dominating')",-1.2922803,-1.5828416,-0.2237983,-0.4425563,0.218758
63,0.8384552,0.7492485,"('unperceptive', 'insightful')",0.8623752,0.79374945,0.8504152,0.771499,0.0789162
76,0.80809623,0.8571273,"('anxious', 'daring')",0.35206622,0.19262144,0.5800812,0.5248744,0.0552068
21,0.7839856,0.8373387,"('immoral', 'moral')",-0.58842313,-0.71569836,0.0977812,0.0608202,0.036961
11,0.77371854,0.63995457,"('unhelpful', 'helpful')",1.3990908,1.1351428,1.0864047,0.8875487,0.198856
10,-0.7397364,-0.7547725,"('unsympathetic', 'sympathetic')",-0.5322935,-0.67855537,-0.6360149,-0.716664,0.0806491
20,0.7178426,0.6097536,"('rough', 'thoughtful')",1.1794219,1.320854,0.9486322,0.9653038,-0.0166716
53,-0.69722944,-0.5687057,"('uncreative', 'creative')",1.1050947,1.1884722,0.2039326,0.3098832,-0.1059506
84,0.6867857,0.8466319,"('inferior', 'superior')",0.6225308,0.8166053,0.6546583,0.8316186,-0.1769603
1,-0.68531966,-0.6657056,"('unfriendly', 'friendly')",1.5212698,1.8302137,0.4179751,0.5822541,-0.164279
67,0.6788083,0.8560046,"('doubtful', 'determined')",-0.64136297,-0.6471958,0.0187227,0.1044044,-0.0856817
77,0.65336126,0.65078235,"('unmotivated', 'motivated')",-1.1251209,-1.092716,-0.2358798,-0.2209668,-0.014913
18,-0.6478954,-0.60749143,"('disagreeable', 'welcoming')",-0.32428804,-0.15661335,-0.4860917,-0.3820524,-0.1040393
87,0.6100443,0.59271336,"('unsuccessful', 'successful')",0.7825838,0.7062144,0.696314,0.6494639,0.0468501
13,0.58633983,0.68808955,"('impolite', 'polite')",-0.559506,-0.7143419,0.0134169,-0.0131262,0.0265431
55,0.5841731,0.49091724,"('incompetent', 'clever')",0.16230503,0.093584135,0.373239,0.2922507,0.0809883
81,0.5839881,0.46920848,"('submissive', 'aggressive')",-0.68412626,-0.96201605,-0.0500691,-0.2464038,0.1963347
45,-0.5732317,-0.66986734,"('incompetent', 'competent')",-0.15683049,-0.24763457,-0.3650311,-0.458751,0.0937199
29,-0.56301975,-0.31882507,"('unfair', 'fair')",-0.6019743,-0.42624453,-0.582497,-0.3725348,-0.2099622
69,0.5463307,0.5068121,"('lazy', 'industrious')",-0.25813913,-0.048653297,0.1440958,0.2290794,-0.0849836
3,-0.5409507,-0.5279993,"('repellent', 'pleasant')",0.21111412,0.16283077,-0.1649183,-0.1825843,0.017666
15,0.53174067,0.5019867,"('boring', 'funny')",0.2908098,0.25607055,0.4112752,0.3790286,0.0322466
70,0.52173877,0.46138516,"('lethargic', 'energetic')",0.6587569,0.5550987,0.5902479,0.508242,0.0820059
16,-0.50436234,-0.6284657,"('unpopular', 'popular')",0.5715439,0.7025658,0.0335908,0.03705,-0.0034592
68,-0.501423,-0.47285828,"('dependent', 'independent')",-0.5861229,-0.6034575,-0.5437729,-0.5381579,-0.005615
61,0.49284422,0.51506215,"('illogical', 'logical')",0.23538345,0.1149826,0.3641138,0.3150224,0.0490914
12,0.49047232,0.5166132,"('unsupportive', 'supportive')",-1.9170706,-1.8043382,-0.7132992,-0.6438625,-0.0694367
43,0.48550117,0.5564064,"('irresponsible', 'responsible')",0.43947494,0.354853,0.4624881,0.4556297,0.0068584
47,0.46252918,0.49092883,"('stupid', 'smart')",5.4444222,5.3370304,2.9534757,2.9139795,0.0394962
49,0.44091412,0.41305757,"('unable', 'able')",-0.19106735,-0.26688075,0.1249234,0.0730884,0.051835
83,0.43905044,0.37319577,"('powerless', 'powerful')",-0.97465587,-1.1273469,-0.2678027,-0.3770756,0.1092729
24,-0.42826453,-0.30428773,"('dishonest', 'honest')",0.49369404,0.530402,0.0327148,0.1130571,-0.0803423
51,-0.40944678,-0.34870908,"('uneducated', 'educated')",0.30703944,0.26530948,-0.0512037,-0.0416998,-0.0095039
7,0.40831527,0.56072956,"('insensitive', 'sensitive')",0.428349,0.4993076,0.4183321,0.5300186,-0.1116865
14,0.40736628,0.37183022,"('antisocial', 'social')",-0.45110115,-0.7037487,-0.0218674,-0.1659592,0.1440918
22,-0.4053441,-0.485946,"('untrustworthy', 'trustworthy')",-0.97914785,-0.887511,-0.692246,-0.6867285,-0.0055175
44,0.39323267,0.46216992,"('prejudiced', 'unprejudiced')",-1.1418715,-1.1579175,-0.3743194,-0.3478738,-0.0264456
34,0.36362582,0.3288981,"('mean', 'honorable')",5.8297462,5.707133,3.0966861,3.0180154,0.0786707
4,-0.33952934,-0.3489367,"('disliked', 'liked')",-6.5291286,-6.280378,-3.434329,-3.3146572,-0.1196718
78,0.33265543,0.1861066,"('nonresilient', 'resilient')",0.049345672,0.16640495,0.1910006,0.1762558,0.0147448
86,-0.3239064,-0.47069094,"('uninfluential', 'influential')",-0.07268453,-0.2162469,-0.1982955,-0.3434689,0.1451734
50,0.31797236,0.24160025,"('clumsy', 'skillful')",0.016843118,0.17276119,0.1674077,0.2071807,-0.039773
64,0.3111366,0.41982442,"('shy', 'confident')",-6.448321,-6.271082,-3.0685921,-2.9256287,-0.1429634
72,0.29441708,0.46666563,"('unambitious', 'ambitious')",-1.0839769,-1.0810889,-0.3947799,-0.3072116,-0.0875683
40,-0.2889771,-0.29178205,"('stingy', 'generous')",-1.6281905,-1.280174,-0.9585838,-0.785978,-0.1726058
41,-0.2865231,-0.32392547,"('unforgiving', 'forgiving')",-0.0056793727,0.019531079,-0.1461012,-0.1521972,0.006096
59,0.26739478,0.30624616,"('foolish', 'wise')",0.30168977,0.41715726,0.2845423,0.3617017,-0.0771594
23,0.23779866,0.14307743,"('insincere', 'sincere')",5.4252043,5.0214596,2.8315015,2.5822685,0.249233
54,-0.21812168,-0.14741443,"('incapable', 'capable')",1.0690427,1.1181611,0.4254605,0.4853733,-0.0599128
