,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,male-female
85,2.2127898,2.7672997,"('insignificant', 'prestigious')",-0.085391514,0.3735659,1.0636991,1.5704328,-0.5067337
26,2.1195755,2.510159,"('hardhearted', 'benevolent')",1.5612706,1.8515561,1.8404231,2.1808577,-0.3404346
71,1.9817723,2.0402074,"('diffident', 'self-confident')",1.4025346,1.486555,1.6921535,1.7633812,-0.0712277
9,1.8017193,1.867158,"('unaffectionate', 'caring')",1.9640466,2.285644,1.882883,2.076401,-0.193518
12,1.5748842,1.3240534,"('unsupportive', 'supportive')",-1.1443223,-1.1476443,0.215281,0.0882046,0.1270764
2,1.4609492,1.5854725,"('unlikable', 'likable')",0.33628756,0.4682968,0.8986183,1.0268847,-0.1282664
73,1.4308037,1.4193792,"('helpless', 'self-reliant')",-3.1735573,-3.2134154,-0.8713768,-0.8970181,0.0256413
34,1.4265356,1.3548268,"('mean', 'honorable')",5.2365217,5.3592305,3.3315287,3.3570287,-0.0255
39,1.4229548,1.2819132,"('exploitative', 'cooperative')",0.63700414,0.5249808,1.0299795,0.903447,0.1265325
27,1.3093151,1.3167036,"('hardhearted', 'softhearted')",1.0253812,1.1888154,1.1673481,1.2527595,-0.0854114
83,1.3030206,0.95873773,"('powerless', 'powerful')",-0.12174262,-0.09878752,0.590639,0.4299751,0.1606639
43,1.2618344,0.8555398,"('irresponsible', 'responsible')",1.6367048,1.6184692,1.4492695,1.2370045,0.212265
82,-1.2439814,-1.3771415,"('poor', 'rich')",6.451012,6.459711,2.6035154,2.5412848,0.0622306
51,-1.2095201,-1.0714147,"('uneducated', 'educated')",0.071667746,0.06202351,-0.5689262,-0.5046956,-0.0642306
15,1.2081027,1.4415777,"('boring', 'funny')",0.015013367,0.29166523,0.611558,0.8666214,-0.2550634
68,-1.1799865,-1.1805412,"('dependent', 'independent')",-1.5416653,-1.5716249,-1.3608259,-1.376083,0.0152571
86,-1.1334914,-1.3290339,"('uninfluential', 'influential')",-0.011168592,-0.012246698,-0.57233,-0.6706403,0.0983103
16,-1.1235063,-0.8072015,"('unpopular', 'popular')",-0.061719544,0.22362128,-0.5926129,-0.2917901,-0.3008228
22,-1.1166611,-1.4480753,"('untrustworthy', 'trustworthy')",-0.8513697,-1.0860575,-0.9840153,-1.2670665,0.2830512
23,1.0922732,0.84760785,"('insincere', 'sincere')",7.084217,7.044,4.0882454,3.9458041,0.1424413
30,1.08297,0.88328063,"('intolerant', 'tolerant')",1.1551986,1.1546308,1.1190844,1.0189557,0.1001287
29,-1.0350505,-0.89783216,"('unfair', 'fair')",-1.0563308,-1.0390207,-1.0456907,-0.9684264,-0.0772643
31,-1.0248339,-0.44373524,"('evil', 'good')",-1.1597208,-0.9381864,-1.0922773,-0.6909608,-0.4013165
44,-1.0169905,-1.0969398,"('prejudiced', 'unprejudiced')",-0.9578634,-1.1328768,-0.987427,-1.1149082,0.1274812
61,1.0104852,0.8894116,"('illogical', 'logical')",0.32637963,0.34131786,0.6684324,0.6153647,0.0530677
66,0.9591962,1.1769736,"('inactive', 'active')",0.638214,0.7653872,0.7987051,0.9711804,-0.1724753
63,0.91648865,0.501376,"('unperceptive', 'insightful')",0.7667151,0.69499564,0.8416018,0.5981858,0.243416
5,0.8918105,1.3221834,"('distant', 'outgoing')",-0.273126,-0.00034781918,0.3093422,0.6609178,-0.3515756
6,0.8852642,1.3857336,"('distant', 'open')",0.10457874,0.43902928,0.4949215,0.9123814,-0.4174599
