,cit_male,cit_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.8345381,-2.0103433,"('uninfluential', 'influential')",-0.030198421,-0.24184191,-0.057069704,-0.14251117,-0.6406021,-0.7982322,0.1576301
1,-1.6095114,-1.5138426,"('unfriendly', 'friendly')",-0.5521468,-0.6823076,2.0573823,2.129386,-0.0347586,-0.0222548,-0.0125038
8,-1.5005144,-1.4788748,"('unaffectionate', 'affectionate')",-0.3954383,-0.42437756,1.0530541,1.0832233,-0.2809662,-0.273343,-0.0076232
73,1.394471,1.4618087,"('helpless', 'self-reliant')",0.22072554,0.20415705,-3.0269573,-2.9591696,-0.4705869,-0.4310679,-0.039519
39,1.3935802,1.6232435,"('exploitative', 'cooperative')",1.7535567,1.909012,0.12717804,0.2664942,1.0914383,1.2662499,-0.1748116
42,1.3273487,1.1644082,"('unreliable', 'reliable')",1.6782693,1.5285618,-2.7113657,-2.8348248,0.0980841,-0.0472849,0.145369
53,-1.3233929,-1.1928405,"('uncreative', 'creative')",-0.1659522,-0.120915264,1.1362814,1.1950544,-0.1176879,-0.0395671,-0.0781208
79,-1.267144,-1.3740873,"('wavering', 'unwavering')",-2.065289,-2.2356033,-0.19723268,-0.25665733,-1.1765552,-1.2887827,0.1122275
82,-1.2671398,-1.3776724,"('poor', 'rich')",-0.3375773,-0.36603272,6.1543508,6.0992074,1.5165445,1.451834,0.0647105
23,-1.2478122,-1.282228,"('insincere', 'sincere')",0.13518429,0.06573576,5.7014403,5.632633,1.5296041,1.472047,0.0575571
9,-1.2022239,-1.1605508,"('unaffectionate', 'caring')",-0.14731348,-0.1912175,1.3878714,1.4083136,0.012778,0.0188484,-0.0060704
2,1.1223357,1.1375214,"('unlikable', 'likable')",1.5338504,1.4793797,0.60234773,0.6542166,1.086178,1.0903725,-0.0041945
14,1.1216315,1.0308384,"('antisocial', 'social')",1.9478424,1.8347349,-0.28482798,-0.33141434,0.9282153,0.8447197,0.0834956
6,-1.0207739,-0.91136885,"('distant', 'open')",-1.8441381,-1.9862801,0.3646719,0.37169123,-0.8334134,-0.8419859,0.0085725
18,-0.9937085,-1.0518411,"('disagreeable', 'welcoming')",-0.8542008,-0.9789284,-0.20691644,-0.15921597,-0.6849418,-0.7299952,0.0450534
19,-0.974694,-1.0854008,"('inhospitable', 'hospitable')",-1.746703,-1.8751789,-0.06638124,-0.099891126,-0.9292594,-1.020157,0.0908976
69,0.97105724,0.95808285,"('lazy', 'industrious')",0.36255518,0.25145882,-0.55941373,-0.6100842,0.2580662,0.1998192,0.058247
67,0.9540053,0.88221234,"('doubtful', 'determined')",0.62900156,0.61705136,-0.7535387,-0.6861246,0.2764894,0.2710464,0.005443
38,-0.9430035,-1.0260206,"('untruthful', 'truthful')",-1.0499367,-1.1983297,-0.14871956,-0.19459727,-0.7138866,-0.8063159,0.0924293
76,0.8911289,0.9151188,"('anxious', 'daring')",0.9637481,1.0210041,0.06947367,0.15842526,0.6414502,0.6981827,-0.0567325
5,-0.87402856,-0.7877578,"('distant', 'outgoing')",-1.6642884,-1.8073133,-0.31168124,-0.30492204,-0.9499994,-0.9666644,0.016665
68,-0.82129383,-0.8606741,"('dependent', 'independent')",-0.41114643,-0.45263842,-0.6080666,-0.6578035,-0.6135023,-0.6570387,0.0435364
62,0.7897903,0.78550786,"('incompetent', 'brilliant')",1.2922043,1.2549326,0.12751552,0.102454804,0.7365034,0.7142985,0.0222049
44,0.7822948,0.89377326,"('prejudiced', 'unprejudiced')",-0.15665638,0.04164435,-1.2867129,-1.2923379,-0.2203582,-0.1189734,-0.1013848
48,-0.7537896,-0.6637012,"('unintelligent', 'intelligent')",-0.14897732,-0.10818105,0.3803364,0.464865,-0.1741435,-0.1023391,-0.0718044
51,-0.7531779,-0.862313,"('uneducated', 'educated')",0.53536004,0.47551897,0.4980352,0.48582903,0.0934058,0.0330117,0.0603941
24,-0.74368733,-0.7923243,"('dishonest', 'honest')",-0.3390192,-0.33684063,0.55690086,0.5639883,-0.1752686,-0.1883922,0.0131236
10,-0.7144973,-0.82423383,"('unsympathetic', 'sympathetic')",0.49699745,0.473329,-0.086425796,-0.24330571,-0.1013086,-0.1980702,0.0967616
