,morgan_male,morgan_female,tuple,stanley_male,stanley_female,dean_male,dean_female,witter_male,witter_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
9,1.6329874,1.1815246,"('unaffectionate', 'caring')",1.6788094,1.3443929,-0.35886908,-0.42990106,-1.1550422,-1.1555712,0.9459846,0.8388017,1.3030689,1.3283386,0.6744898,0.5179309,0.1565589
58,1.6316278,1.6135886,"('undiscriminating', 'discriminating')",1.3328462,1.4888544,0.93301356,0.98422736,-0.1322736,-0.08889331,0.54912007,0.6459077,0.5389238,0.42516226,0.8088763,0.8448079,-0.0359316
23,1.5347013,1.5576837,"('insincere', 'sincere')",0.24683344,0.055994462,2.0025706,1.8610098,-2.8149488,-2.9412467,-0.8974378,-0.963452,4.1736746,4.2744613,0.7075655,0.6407417,0.0668238
87,1.4882057,1.5495344,"('unsuccessful', 'successful')",1.1040236,0.93582726,1.3507011,1.2874463,1.5804615,1.4557542,2.80421,2.7831986,1.3742819,1.4192424,1.6169806,1.5718339,0.0451467
31,-1.4804924,-1.9292151,"('evil', 'good')",-0.9566401,-0.671815,-3.3475552,-3.2136319,0.32080248,0.44666025,-0.04381232,0.10802268,-0.4588309,-0.38822538,-0.9944213,-0.9413675,-0.0530538
2,1.4290472,1.3918339,"('unlikable', 'likable')",1.1031798,1.0837892,0.85847473,0.89285135,-0.23061766,-0.16390029,0.7921341,0.81291765,0.21261272,0.36630052,0.6941384,0.7306321,-0.0364937
46,1.4280038,2.0903811,"('uncompetitive', 'competitive')",0.989933,1.1013491,2.8360128,2.9542308,-1.3225749,-1.2325776,0.13089088,0.28142124,-0.13719587,-0.19491932,0.6541783,0.8333143,-0.179136
4,-1.405228,-1.5400307,"('disliked', 'liked')",0.12254082,0.33858156,-2.0490296,-2.0811393,1.8591743,2.0090048,0.81702685,0.8670292,-5.709096,-5.9789004,-1.0607686,-1.0642425,0.0034739
26,1.2899297,0.9413188,"('hardhearted', 'benevolent')",1.2589318,1.22671,-0.9453661,-0.8171699,-0.40827397,-0.2528021,2.991599,3.0071652,1.4223386,1.5872613,0.9348598,0.9487472,-0.0138874
66,1.2359692,0.9897275,"('inactive', 'active')",1.5378553,1.3130038,-0.6865193,-0.7655643,1.0872966,1.0499977,2.3822856,2.2631233,2.208297,2.1854687,1.2941974,1.1726261,0.1215713
19,-1.1762875,-1.2478395,"('inhospitable', 'hospitable')",-0.359797,-0.32608056,-0.64260775,-0.62439716,0.5454768,0.589813,-0.4541629,-0.34996918,0.6412921,0.7860321,-0.2410144,-0.1954069,-0.0456075
63,1.1124713,1.3296742,"('unperceptive', 'insightful')",0.83663625,0.8637506,0.97028065,1.0364436,-1.2843118,-1.3441279,1.238692,1.2310784,0.32510287,0.39653218,0.5331452,0.5855585,-0.0524133
86,-1.1105235,-0.75744826,"('uninfluential', 'influential')",-0.5377114,-0.3264275,0.48908526,0.72453904,-2.2216055,-1.9941771,0.01811418,0.10233277,-1.059876,-1.063749,-0.7370861,-0.5524883,-0.1845978
68,-1.059282,-0.80341464,"('dependent', 'independent')",-1.2504992,-1.0811949,0.031217396,-0.005000554,-0.4200772,-0.36835477,-0.9508673,-0.9339656,-1.4087147,-1.3605068,-0.8430371,-0.7587396,-0.0842975
1,1.0456201,0.39869982,"('unfriendly', 'friendly')",0.97359127,0.65549177,-1.1657493,-1.1909422,-2.0300672,-2.0684688,0.760618,0.5546406,1.672441,1.6123971,0.209409,-0.0063636,0.2157726
83,1.0430142,1.166214,"('powerless', 'powerful')",0.9359069,1.104869,0.87873626,0.9431612,-0.28804722,-0.18290128,0.1364948,0.21839541,-1.3389646,-1.3663069,0.2278567,0.3139052,-0.0860485
3,-0.97264266,-0.42109212,"('repellent', 'pleasant')",-1.307147,-1.0540167,0.8547473,0.8453995,-1.9954488,-1.9720523,-0.8579908,-0.672744,0.42883107,0.45339876,-0.6416085,-0.4701845,-0.171424
45,-0.95635456,-0.6038037,"('incompetent', 'competent')",-1.4142754,-0.90871304,0.6829699,0.9459862,-0.6843872,-0.45711368,-0.07970622,0.16699171,-0.9483786,-0.8433211,-0.5666887,-0.2833289,-0.2833598
49,-0.95512676,-0.7427106,"('unable', 'able')",-0.592004,-0.51707834,-0.53778815,-0.36187848,-0.36731774,-0.16198349,-0.13032568,0.013356522,-0.4988284,-0.2126883,-0.5135651,-0.3304971,-0.183068
12,0.94620466,1.0516073,"('unsupportive', 'supportive')",1.0857271,1.2488602,0.72760093,0.829489,-0.9813069,-0.90665656,0.846023,0.8391746,-1.9363468,-2.0244682,0.1146504,0.1730011,-0.0583507
37,-0.91664255,-1.0890217,"('fake', 'genuine')",-1.315486,-1.4390476,0.80326676,0.8086767,-0.1263473,-0.13626179,-0.6867076,-0.72474945,-0.0430542,-0.01393492,-0.3808285,-0.4323898,0.0515613
62,0.88993293,1.2963688,"('incompetent', 'brilliant')",0.38421577,0.66311705,1.4963276,1.6558883,-1.2140762,-1.1446105,-1.065714,-1.011818,-1.0655398,-0.9244763,-0.0958089,0.0890782,-0.1848871
48,-0.8690803,-0.7961069,"('unintelligent', 'intelligent')",-0.7749632,-0.73887074,-0.37373957,-0.21510148,-2.8257432,-2.787026,-1.1461972,-1.190204,-1.6905121,-1.6550521,-1.2800392,-1.2303936,-0.0496456
35,-0.86381876,-1.4872447,"('corrupt', 'incorrupt')",0.69701946,0.43564382,-1.2512578,-1.4046849,2.44237,2.3908231,0.36496416,0.25610584,0.2925179,0.30651662,0.2802991,0.0828599,0.1974392
54,0.84740216,0.5801544,"('incapable', 'capable')",1.0498074,0.693892,-0.6985895,-0.7988162,-0.30127728,-0.3218549,0.63722444,0.56606174,0.87266546,0.9872497,0.4012055,0.2844478,0.1167577
29,-0.8382912,-0.7891124,"('unfair', 'fair')",-1.8136004,-1.5297663,-1.619296,-1.5561105,0.23271517,0.2614362,-0.4423273,-0.46314514,-0.94772893,-0.7636923,-0.9047549,-0.8067317,-0.0980232
44,-0.7642243,-1.0517862,"('prejudiced', 'unprejudiced')",-0.5582167,-0.7834929,-1.7133129,-1.8998122,0.7060877,0.61847746,-1.7184808,-1.8305517,-1.8381429,-1.8215911,-0.9810483,-1.1281261,0.1470778
71,0.76416904,0.39773875,"('diffident', 'self-confident')",1.9724858,1.7130144,-0.04449255,-0.14365233,0.48590046,0.40528512,0.6882341,0.6978269,0.33603513,0.43845266,0.7003887,0.5847776,0.1156111
85,0.76082236,-0.02273319,"('insignificant', 'prestigious')",1.3471107,1.001482,-3.4498386,-3.6560824,0.8207071,0.9205286,2.2699199,2.1893914,1.1024507,1.1599939,0.4751953,0.2654301,0.2097652
8,0.7411401,0.1759426,"('unaffectionate', 'affectionate')",1.2588018,0.8650341,-1.2004486,-1.2331277,-0.61163807,-0.64947486,0.9737093,0.85693306,1.2904522,1.3163558,0.4086695,0.2219439,0.1867256
25,-0.64047575,-1.1060526,"('egoistic', 'altruistic')",0.363292,-0.011829145,-1.8695862,-2.0606425,-0.7553091,-0.83177835,0.5861094,0.4642223,1.3719869,1.2886223,-0.1573305,-0.376243,0.2189125
