,howmet_male,howmet_female,tuple,aerospace_male,aerospace_female,inc_male,inc_female,average_male,average_female,male-female
69,2.138067,1.9754926,"('lazy', 'industrious')",0.94701767,0.8575286,-0.12819597,-0.0726531,0.9856296,0.9201227,0.0655069
86,-2.1097076,-1.8199388,"('uninfluential', 'influential')",0.515523,0.53312856,-0.62467134,-0.27785957,-0.7396186,-0.5215566,-0.218062
35,1.8485872,1.8199954,"('corrupt', 'incorrupt')",0.17463948,0.21171007,0.08004685,0.21314986,0.7010912,0.7482851,-0.0471939
10,-1.7569121,-1.5501673,"('unsympathetic', 'sympathetic')",-0.33841544,-0.32354888,-0.7731393,-0.6127037,-0.9561556,-0.8288066,-0.127349
57,-1.665296,-1.5217417,"('unimaginative', 'imaginative')",0.15956207,0.053442817,-2.5931268,-2.3542256,-1.3662869,-1.2741748,-0.0921121
0,-1.6053967,-1.5390216,"('unsociable', 'sociable')",0.03251911,-0.1276432,-0.5064455,-0.6853071,-0.6931078,-0.7839906,0.0908828
46,-1.5147272,-1.4053558,"('uncompetitive', 'competitive')",0.044398956,0.117540434,-1.0240829,-0.7994957,-0.8314704,-0.6957703,-0.1357001
60,-1.4307204,-1.3832772,"('inefficient', 'efficient')",0.2448846,0.23991399,-0.26138183,-0.41703397,-0.4824059,-0.5201324,0.0377265
83,-1.4188639,-1.3092133,"('powerless', 'powerful')",-0.23587757,-0.30231118,-1.2614931,-1.4015939,-0.9720782,-1.0043728,0.0322946
44,1.3907143,1.1798114,"('prejudiced', 'unprejudiced')",-1.0062809,-0.9287271,-1.0221462,-1.2956396,-0.2125709,-0.3481851,0.1356142
55,-1.2828294,-1.1257918,"('incompetent', 'clever')",-0.16030869,-0.141553,-0.18731372,-0.1850087,-0.5434839,-0.4841178,-0.0593661
58,-1.2658564,-0.80658215,"('undiscriminating', 'discriminating')",0.6338457,0.7353754,-0.40405294,0.0584126,-0.3453546,-0.0042647,-0.3410899
63,-1.2515857,-1.0262407,"('unperceptive', 'insightful')",0.07534982,0.13473603,0.17784172,0.56106615,-0.3327981,-0.1101462,-0.2226519
48,-1.242245,-1.151637,"('unintelligent', 'intelligent')",1.4108758,1.2326229,0.46956316,0.40469778,0.2127313,0.1618946,0.0508367
77,-1.233255,-1.3106722,"('unmotivated', 'motivated')",0.4548084,0.34865355,-1.272622,-1.3140992,-0.6836895,-0.7587059,0.0750164
11,-1.2211087,-1.1232888,"('unhelpful', 'helpful')",0.56206626,0.5511435,1.2951291,1.2274054,0.2120289,0.2184201,-0.0063912
1,-1.150417,-1.0562129,"('unfriendly', 'friendly')",1.4499803,1.2225614,1.8990543,2.0641234,0.7328725,0.7434906,-0.0106181
88,-1.1366946,-0.96493864,"('low', 'eminent')",-0.08550628,-0.08008044,0.09746112,0.09903452,-0.3749133,-0.3153282,-0.0595851
53,-1.1175224,-1.225894,"('uncreative', 'creative')",1.2923948,1.0830033,0.9077522,0.93775934,0.3608749,0.2649562,0.0959187
78,-1.1099892,-0.9367744,"('nonresilient', 'resilient')",0.17675489,0.24727413,0.3424051,0.7291347,-0.196943,0.0132115,-0.2101545
45,-1.0963923,-0.5375646,"('incompetent', 'competent')",-0.16264069,-0.063466504,-0.42483333,-0.30245993,-0.5612888,-0.3011637,-0.2601251
33,1.0915053,1.0789387,"('wrong', 'right')",1.357351,1.4710205,-0.33758587,-0.23992227,0.7037568,0.7700123,-0.0662555
81,-1.0686074,-1.2659378,"('submissive', 'aggressive')",-0.32075882,-0.4255079,-0.9851182,-1.1871405,-0.7914948,-0.9595288,0.168034
43,-1.0560467,-1.0145996,"('irresponsible', 'responsible')",0.45234275,0.42992583,0.09446439,0.1783824,-0.1697465,-0.1354305,-0.034316
70,-0.99435,-0.79520303,"('lethargic', 'energetic')",-0.5149776,-0.3220131,0.11426321,0.41201288,-0.4650215,-0.2350677,-0.2299538
51,-0.9732009,-0.77975446,"('uneducated', 'educated')",-0.31015676,-0.18813685,0.054756697,0.26857483,-0.4095337,-0.2331055,-0.1764282
39,0.97254086,0.60049635,"('exploitative', 'cooperative')",1.2396332,1.1583788,0.3057891,0.02533779,0.839321,0.5947376,0.2445834
74,-0.94153446,-0.6479303,"('undedicated', 'dedicated')",0.52849525,0.505953,-0.15341976,0.16327262,-0.1888196,0.0070984,-0.195918
65,-0.9395535,-1.0934497,"('insecure', 'secure')",-0.04508429,0.03817208,-0.5937036,-0.70409185,-0.5261138,-0.5864565,0.0603427
82,-0.9140699,-0.5946575,"('poor', 'rich')",-0.043686926,0.027105385,5.8365574,5.9085083,1.6262668,1.7803187,-0.1540519
