,thermo_male,thermo_female,tuple,fisher_male,fisher_female,scientific_male,scientific_female,inc_male,inc_female,average_male,average_female,male-female
19,-2.053864,-1.9658208,"('inhospitable', 'hospitable')",-0.29643917,-0.27188832,-0.5887576,-0.72769123,-0.09365457,0.048921704,-0.7581788,-0.7291197,-0.0290591
86,-1.8302836,-2.0659862,"('uninfluential', 'influential')",-0.66942936,-0.63447237,0.4899623,0.2959443,-0.2532791,-0.46484107,-0.5657574,-0.7173389,0.1515815
1,-1.7937332,-2.1637383,"('unfriendly', 'friendly')",0.5057959,0.22096284,0.19056399,-0.1586824,2.1388552,2.0496614,0.2603705,-0.0129491,0.2733196
8,-1.6134399,-1.9218162,"('unaffectionate', 'affectionate')",0.31908965,0.14848949,-0.06820736,-0.34508896,0.6737826,0.8622326,-0.1721938,-0.3140458,0.141852
9,-1.6010783,-1.9406193,"('unaffectionate', 'caring')",0.7900202,0.5923865,0.3166194,0.1381883,1.1750642,1.3462687,0.1701564,0.034056,0.1361004
6,-1.5437711,-1.59427,"('distant', 'open')",-1.2746016,-1.3761166,-1.0462927,-1.147966,0.51468444,0.61525404,-0.8374953,-0.8757746,0.0382793
5,-1.5014313,-1.5607905,"('distant', 'outgoing')",-0.7621322,-1.0316514,-0.76725787,-0.9073396,-0.068075955,0.12720269,-0.7747244,-0.8431447,0.0684203
10,-1.4809233,-1.5916326,"('unsympathetic', 'sympathetic')",-0.7174631,-0.29775566,-0.7841018,-0.635931,-0.30429083,-0.24442874,-0.8216947,-0.692437,-0.1292577
82,-1.4558004,-1.1911359,"('poor', 'rich')",-1.2590163,-0.9074793,0.20308664,0.18994308,5.556038,5.92168,0.761077,1.003252,-0.242175
79,-1.447778,-1.5207193,"('wavering', 'unwavering')",-0.41801628,-0.47865036,-1.316921,-1.5004126,-0.06906868,0.01076311,-0.812946,-0.8722547,0.0593087
69,1.4316348,1.14396,"('lazy', 'industrious')",1.2322361,0.7614302,1.144861,0.93598056,-0.10794453,-0.3695777,0.9251968,0.6179483,0.3072485
53,-1.4070513,-1.7649099,"('uncreative', 'creative')",-0.3185683,-0.48544264,0.5735347,0.19053462,1.3774674,1.2514814,0.0563456,-0.2020841,0.2584297
54,-1.2299199,-1.1680655,"('incapable', 'capable')",0.2121707,0.08288716,0.0030711154,0.053354662,0.7544301,1.1127262,-0.065062,0.0202256,-0.0852876
67,1.1724449,1.1878109,"('doubtful', 'determined')",0.79629356,0.8753727,-0.9854955,-0.80838597,-0.672623,-0.4432201,0.077655,0.2028944,-0.1252394
12,-1.1609936,-1.2237676,"('unsupportive', 'supportive')",0.5298296,0.6734859,0.12888747,0.22012717,-1.7088958,-1.712529,-0.5527931,-0.5106709,-0.0421222
28,-1.0617149,-1.3016698,"('disloyal', 'loyal')",-0.21799046,0.016570475,0.5974064,0.57466245,0.8667617,0.9454481,0.0461157,0.0587528,-0.0126371
63,-1.0360256,-1.0668917,"('unperceptive', 'insightful')",-1.1277655,-0.8298327,0.3772208,0.39608935,0.8204751,0.9488741,-0.2415238,-0.1379402,-0.1035836
23,-1.0071158,-1.1784408,"('insincere', 'sincere')",0.617186,0.8284899,-0.14484608,-0.018074883,4.99398,5.281981,1.114801,1.2284888,-0.1136878
3,-0.98998904,-1.1581024,"('repellent', 'pleasant')",-1.4259781,-1.3182347,-0.5941684,-0.72215796,0.13901731,-0.038812593,-0.7177795,-0.8093269,0.0915474
57,-0.96770877,-1.0536156,"('unimaginative', 'imaginative')",-1.7954372,-1.5675336,-0.34145525,-0.3043021,-2.1905932,-2.412143,-1.3237987,-1.3343985,0.0105998
45,-0.96767014,-0.975502,"('incompetent', 'competent')",-0.1075002,0.19390053,0.6085386,0.5143067,-0.319629,-0.4308946,-0.1965652,-0.1745473,-0.0220179
31,-0.9647622,-1.1858726,"('evil', 'good')",-1.1448327,-1.5677551,-1.0151703,-1.3948488,-0.93348503,-1.2229538,-1.0145626,-1.3428576,0.328295
38,-0.86656076,-0.75249416,"('untruthful', 'truthful')",-0.42046002,-0.0046040905,0.21695353,0.27284613,-0.03326895,0.2540307,-0.2758341,-0.0575554,-0.2182787
36,-0.863346,-1.1229162,"('hostile', 'amicable')",-0.20733057,-0.5765491,-0.9788982,-1.4490696,0.4140317,0.14810662,-0.4088858,-0.750107,0.3412212
35,0.85974383,0.8573054,"('corrupt', 'incorrupt')",0.22119088,-0.04000258,-0.4618786,-0.56479853,0.062077977,-0.09024505,0.1702835,0.0405648,0.1297187
78,-0.8546932,-1.0045285,"('nonresilient', 'resilient')",-1.0862973,-1.0775039,1.0800683,1.045247,0.52817285,0.43675137,-0.0831873,-0.1500085,0.0668212
7,-0.82994777,-1.0465115,"('insensitive', 'sensitive')",0.38396835,0.55194336,-0.005605057,0.01415666,0.6015263,0.7084152,0.0374855,0.0570009,-0.0195154
44,0.82131684,1.0273694,"('prejudiced', 'unprejudiced')",-0.43366966,-0.47119933,-0.07834887,0.020327862,-1.2813288,-1.3136284,-0.2430076,-0.1842826,-0.058725
84,0.7748313,0.81716305,"('inferior', 'superior')",2.0479763,1.9960195,1.330886,1.2881551,1.0945027,1.1642005,1.3120492,1.3163846,-0.0043354
73,0.7147404,0.79328525,"('helpless', 'self-reliant')",1.1413023,1.0773996,-0.23986728,-0.21939965,-3.1034913,-2.9714205,-0.371829,-0.3300338,-0.0417952
66,-0.7045235,-0.8254466,"('inactive', 'active')",-0.35029897,-0.49685583,-0.35831398,-0.40299973,1.0557257,0.98901373,-0.0893527,-0.1840721,0.0947194
