,at&t_male,at&t_female,tuple,inc_male,inc_female,average_male,average_female,male-female
30,-2.2632704,-2.6015337,"('intolerant', 'tolerant')",-0.92539495,-1.1537288,-1.5943327,-1.8776312,0.2832985
65,-2.241777,-2.5012321,"('insecure', 'secure')",-1.3817494,-1.5966237,-1.8117632,-2.0489278,0.2371646
0,-2.1638813,-2.5123594,"('unsociable', 'sociable')",-2.2275376,-2.5010622,-2.1957095,-2.5067108,0.3110013
56,-2.0326948,-2.085456,"('impractical', 'practical')",-2.6634312,-2.7193968,-2.348063,-2.4024262,0.0543632
10,-1.8392817,-2.1585758,"('unsympathetic', 'sympathetic')",-1.7809149,-2.1733723,-1.8100983,-2.1659741,0.3558758
75,1.7222414,1.9321245,"('meek', 'impulsive')",0.09031277,0.34999692,0.9062771,1.1410607,-0.2347836
43,-1.6355783,-1.8515022,"('irresponsible', 'responsible')",-2.066316,-2.3822322,-1.8509471,-2.1168671,0.26592
81,-1.4685302,-1.503897,"('submissive', 'aggressive')",-1.9393747,-1.9638515,-1.7039524,-1.7338742,0.0299218
23,-1.4549887,-1.7804836,"('insincere', 'sincere')",-1.535425,-1.7760931,-1.4952068,-1.7782884,0.2830816
11,-1.3936534,-1.5925007,"('unhelpful', 'helpful')",-2.2551866,-2.5027714,-1.82442,-2.047636,0.223216
82,-1.308408,-1.327489,"('poor', 'rich')",-0.93384373,-0.84764874,-1.1211259,-1.0875689,-0.033557
69,1.262271,1.6482939,"('lazy', 'industrious')",1.1029382,1.3738436,1.1826046,1.5110687,-0.3284641
85,1.2419744,1.1269318,"('insignificant', 'prestigious')",3.007616,3.0487382,2.1247952,2.0878351,0.0369601
37,1.1894704,1.0677648,"('fake', 'genuine')",-0.37771955,-0.6929784,0.4058754,0.1873932,0.2184822
46,-1.1812917,-1.4450481,"('uncompetitive', 'competitive')",-1.8963448,-2.2070713,-1.5388182,-1.8260597,0.2872415
55,-1.1670227,-1.5651168,"('incompetent', 'clever')",-1.2149948,-1.4106762,-1.1910088,-1.4878964,0.2968876
57,-1.1553851,-1.3419464,"('unimaginative', 'imaginative')",-1.6057358,-1.73322,-1.3805604,-1.5375831,0.1570227
78,-1.1185966,-1.1283876,"('nonresilient', 'resilient')",-0.551895,-0.65145475,-0.8352458,-0.8899212,0.0546754
28,-1.100668,-1.3814046,"('disloyal', 'loyal')",-0.7885792,-1.1443719,-0.9446236,-1.2628882,0.3182646
47,-1.074698,-1.0533702,"('stupid', 'smart')",-1.1876532,-1.1096938,-1.1311755,-1.081532,-0.0496435
86,-1.0222547,-1.4422688,"('uninfluential', 'influential')",-1.7291576,-2.0046582,-1.3757062,-1.7234635,0.3477573
35,1.0031548,1.1771036,"('corrupt', 'incorrupt')",0.9267695,1.0763879,0.9649621,1.1267457,-0.1617836
6,0.96229315,1.2953534,"('distant', 'open')",2.152912,2.3434153,1.5576025,1.8193843,-0.2617818
77,-0.9512648,-0.96889013,"('unmotivated', 'motivated')",-0.7125502,-0.7119206,-0.8319075,-0.8404053,0.0084978
60,-0.9479279,-1.0472363,"('inefficient', 'efficient')",-1.9066106,-1.9860498,-1.4272692,-1.516643,0.0893738
67,-0.92599475,-0.81900316,"('doubtful', 'determined')",-1.0518916,-0.9626522,-0.9889432,-0.8908277,-0.0981155
40,0.9168723,0.6264998,"('stingy', 'generous')",0.0894512,-0.04197421,0.5031618,0.2922628,0.210899
38,-0.89035124,-0.81687355,"('untruthful', 'truthful')",-1.2963144,-1.3377877,-1.0933328,-1.0773306,-0.0160022
73,0.8686409,0.88041884,"('helpless', 'self-reliant')",0.469424,0.45677477,0.6690325,0.6685968,0.0004357
80,0.8505784,0.79850507,"('dominated', 'dominating')",-0.95818466,-1.1222246,-0.0538031,-0.1618598,0.1080567
34,-0.8071091,-0.99801385,"('mean', 'honorable')",-0.6455375,-0.7065592,-0.7263233,-0.8522865,0.1259632
14,-0.80214584,-0.88851815,"('antisocial', 'social')",-1.3481624,-1.5043387,-1.0751541,-1.1964284,0.1212743
22,-0.7937641,-0.9796907,"('untrustworthy', 'trustworthy')",-1.134356,-1.2708586,-0.9640601,-1.1252747,0.1612146
13,-0.7627669,-0.76952434,"('impolite', 'polite')",-1.8471578,-2.082364,-1.3049624,-1.4259442,0.1209818
70,-0.74918085,-0.9946577,"('lethargic', 'energetic')",-1.801836,-2.0087874,-1.2755084,-1.5017226,0.2262142
25,0.74532443,0.5277207,"('egoistic', 'altruistic')",0.8803569,0.97669595,0.8128407,0.7522084,0.0606323
19,0.73454666,0.80302376,"('inhospitable', 'hospitable')",1.0020943,1.0266021,0.8683205,0.9148129,-0.0464924
