,unitedhealth_male,unitedhealth_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
55,-3.4253767,-3.8421295,"('incompetent', 'clever')",1.9905002,1.6222216,0.07486443,-0.17972003,-0.4533374,-0.7998759,0.3465385
69,2.6570306,2.933655,"('lazy', 'industrious')",-0.4061698,-0.03975454,-0.8760912,-0.57947356,0.4582565,0.7714756,-0.3132191
46,-2.5787587,-3.1284816,"('uncompetitive', 'competitive')",2.141047,1.8726491,-0.28597903,-0.4957272,-0.2412302,-0.5838532,0.342623
10,-2.387309,-2.6636624,"('unsympathetic', 'sympathetic')",1.2371311,1.1032045,0.2077409,0.0473547,-0.3141457,-0.5043677,0.190222
45,-2.1366816,-2.2777445,"('incompetent', 'competent')",1.0001,0.88198316,-0.31962988,-0.38666838,-0.4854038,-0.5941432,0.1087394
58,-2.0758884,-2.297077,"('undiscriminating', 'discriminating')",0.6745675,0.4105145,-0.16075873,-0.09967825,-0.5206932,-0.6620802,0.141387
0,-1.9638358,-2.297143,"('unsociable', 'sociable')",1.2648269,1.1361579,-0.51124984,-0.6378047,-0.4034196,-0.5995966,0.196177
53,-1.8656583,-1.9005754,"('uncreative', 'creative')",-0.49892953,-0.52250427,0.96408033,1.0563425,-0.4668358,-0.4555791,-0.0112567
59,1.8410407,2.1705875,"('foolish', 'wise')",-1.7053577,-1.5454557,0.10760493,0.5062472,0.081096,0.3771264,-0.2960304
57,-1.8364772,-2.1241403,"('unimaginative', 'imaginative')",-0.17233093,-0.43680987,-2.494279,-2.5406945,-1.501029,-1.7005482,0.1995192
85,1.7668256,2.1929495,"('insignificant', 'prestigious')",-2.1938324,-1.8686167,-0.4960006,0.13927725,-0.3076691,0.1545367,-0.4622058
86,-1.6408656,-1.9385285,"('uninfluential', 'influential')",0.83247834,0.7517196,0.0055880286,-0.123551324,-0.2675997,-0.4367868,0.1691871
65,-1.6317104,-1.8304472,"('insecure', 'secure')",1.703583,1.5211948,0.085525885,-0.05229787,0.0524662,-0.1205167,0.1729829
60,-1.6293429,-1.878893,"('inefficient', 'efficient')",2.737043,2.7662973,0.43139532,0.3119472,0.5130318,0.3997838,0.113248
82,-1.623637,-1.6403595,"('poor', 'rich')",-0.06153662,-0.072703645,6.167421,6.1202292,1.4940825,1.4690553,0.0250272
13,-1.5995457,-1.7780216,"('impolite', 'polite')",0.91598415,0.9428807,0.1507129,0.201148,-0.1776162,-0.211331,0.0337148
6,1.5430164,1.7300329,"('distant', 'open')",-2.7559981,-2.501337,-0.18723014,0.1266388,-0.4667373,-0.2148885,-0.2518488
