,jacobs_male,jacobs_female,tuple,engineering_male,engineering_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,2.0416012,2.358618,"('exploitative', 'cooperative')",0.0757913,0.28371844,1.8375369,1.988612,0.1554568,0.37147143,1.0275966,1.250605,-0.2230084
56,1.8842734,2.2545817,"('impractical', 'practical')",0.7734633,0.9916947,-0.08448571,-0.12507604,-0.22118536,-0.21392408,0.5880164,0.726819,-0.1388026
12,1.7270381,1.6795608,"('unsupportive', 'supportive')",0.55937797,0.5085866,0.811077,0.49908257,-1.3906398,-1.3135585,0.4267133,0.3434179,0.0832954
4,-1.6968384,-1.4473825,"('disliked', 'liked')",-0.2757715,-0.36494124,-0.37696224,-0.035702474,-6.828737,-6.6476674,-2.2945771,-2.1239233,-0.1706538
16,-1.6698612,-1.8980075,"('unpopular', 'popular')",-0.59425116,-0.6778185,-0.07734774,-0.21524411,0.4193548,0.39773655,-0.4805264,-0.5983334,0.117807
31,-1.6114293,-1.8161975,"('evil', 'good')",-0.45911425,-0.5322252,-1.2794929,-1.050194,-1.060338,-0.803758,-1.1025937,-1.0505937,-0.052
82,-1.5240722,-1.5470401,"('poor', 'rich')",-0.066667885,-0.011336854,-0.6160457,-0.665928,5.905087,5.9151444,0.9245753,0.9227099,0.0018654
21,1.405686,1.4439515,"('immoral', 'moral')",0.8179663,0.92281723,0.5133466,0.1107354,-0.94199777,-0.9133518,0.4487503,0.3910381,0.0577122
43,1.31293,1.4454964,"('irresponsible', 'responsible')",0.3683636,0.5617492,0.35476053,0.22505778,0.6656531,0.63786703,0.6754268,0.7175426,-0.0421158
23,1.3123158,1.4754499,"('insincere', 'sincere')",-0.25519782,-0.14486611,-0.13006449,-0.17595756,5.7806053,5.7625194,1.6769147,1.7292864,-0.0523717
84,1.3064761,0.9002079,"('inferior', 'superior')",1.6246367,1.4797509,0.51482874,0.31241417,0.92250484,0.93760806,1.0921116,0.9074952,0.1846164
74,1.2640319,1.4219264,"('undedicated', 'dedicated')",-0.7589802,-0.7150414,1.2568188,1.0530913,0.42305082,0.42720938,0.5462303,0.5467964,-0.0005661
46,1.2285097,1.2826535,"('uncompetitive', 'competitive')",0.08304599,0.21310021,1.4189008,1.3580819,-0.44413453,-0.49448252,0.5715805,0.5898383,-0.0182578
37,1.2093865,0.94116354,"('fake', 'genuine')",0.4682545,0.4791543,0.14820626,0.21771544,0.44632307,0.4382456,0.5680426,0.5190697,0.0489729
7,1.193917,1.42617,"('insensitive', 'sensitive')",0.14468738,0.3393877,-0.088682294,-0.24192774,1.036882,1.0847976,0.571701,0.6521069,-0.0804059
67,1.155827,0.7881489,"('doubtful', 'determined')",0.8016424,0.6535257,0.7508318,0.52628016,-0.6376521,-0.7527742,0.5176623,0.3037952,0.2138671
88,-1.1489886,-1.2925726,"('low', 'eminent')",-0.34486857,-0.42209163,-1.3771265,-1.449435,0.051414773,0.06133288,-0.7048922,-0.7756916,0.0707994
77,1.1073453,0.8298524,"('unmotivated', 'motivated')",-0.19973901,-0.22729544,0.4707763,0.20939137,-1.1486093,-1.1041201,0.0574434,-0.073043,0.1304864
36,-1.0657548,-1.2978566,"('hostile', 'amicable')",-0.08704697,-0.25750476,-1.293336,-1.1119394,0.43236184,0.5464782,-0.503444,-0.5302056,0.0267616
10,1.0081443,1.2277063,"('unsympathetic', 'sympathetic')",-0.9281047,-0.7731308,-0.19447011,-0.24617116,-0.057946745,-0.14594282,-0.0430943,0.0156154,-0.0587097
