,sandisk_male,sandisk_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.4588865,-1.1269573,"('unfriendly', 'friendly')",0.9689892,1.3404455,-0.2449487,0.1067441,-0.3516928
31,-1.4551321,-0.9078114,"('evil', 'good')",-1.4388658,-1.0015634,-1.446999,-0.9546874,-0.4923116
67,1.4350263,1.0740647,"('doubtful', 'determined')",-0.2607833,-0.6533795,0.5871215,0.2103426,0.3767789
19,-1.415187,-1.4267018,"('inhospitable', 'hospitable')",-0.72618127,-0.2974133,-1.0706842,-0.8620576,-0.2086266
6,-1.2146895,-0.69606775,"('distant', 'open')",-0.7823212,-0.11144141,-0.9985054,-0.4037546,-0.5947508
79,-1.1507134,-1.2052635,"('wavering', 'unwavering')",-0.6030113,-0.1572877,-0.8768624,-0.6812756,-0.1955868
36,-1.0667404,-0.5311211,"('hostile', 'amicable')",-0.5004678,-0.021844847,-0.7836041,-0.276483,-0.5071211
32,-1.0405791,-1.3553423,"('unkind', 'kind')",0.66538227,0.26212966,-0.1875984,-0.5466063,0.3590079
33,0.958532,0.9077277,"('wrong', 'right')",-1.0254009,-0.55499,-0.0334345,0.1763689,-0.2098034
9,-0.9540837,-0.7617117,"('unaffectionate', 'caring')",1.0011021,1.4589347,0.0235092,0.3486115,-0.3251023
72,-0.9139451,-0.9102684,"('unambitious', 'ambitious')",-0.7347283,-0.39588508,-0.8243366,-0.6530768,-0.1712598
8,-0.9108949,-0.80294126,"('unaffectionate', 'affectionate')",0.5550254,0.9049814,-0.1779347,0.0510201,-0.2289548
52,-0.89811367,-0.33280274,"('irrational', 'rational')",-0.13240588,0.38783827,-0.5152597,0.0275178,-0.5427775
30,0.8911777,0.26273093,"('intolerant', 'tolerant')",0.7872916,0.5426851,0.8392347,0.402708,0.4365267
14,0.882951,0.37145996,"('antisocial', 'social')",0.009444528,-0.71480465,0.4461978,-0.1716723,0.6178701
5,-0.8826243,-0.55787885,"('distant', 'outgoing')",-0.9059852,-0.16051988,-0.8943048,-0.3591994,-0.5351054
81,0.8810928,0.25209066,"('submissive', 'aggressive')",-0.27100274,-0.46640736,0.305045,-0.1071583,0.4122033
