,sempra_male,sempra_female,tuple,energy_male,energy_female,average_male,average_female,male-female
86,-2.1904168,-1.728038,"('uninfluential', 'influential')",0.022968259,0.11020553,-1.0837243,-0.8089162,-0.2748081
8,-1.9149188,-1.6291542,"('unaffectionate', 'affectionate')",1.2791761,0.7996319,-0.3178713,-0.4147612,0.0968899
1,-1.7533107,-1.7278389,"('unfriendly', 'friendly')",1.7070836,1.3793577,-0.0231135,-0.1742406,0.1511271
9,-1.6320587,-1.6595908,"('unaffectionate', 'caring')",2.026498,1.7838646,0.1972197,0.0621369,0.1350828
10,-1.6119676,-1.5225317,"('unsympathetic', 'sympathetic')",-0.16597825,-0.18888631,-0.8889729,-0.855709,-0.0332639
57,-1.5684526,-1.1010349,"('unimaginative', 'imaginative')",-3.1519353,-3.0729222,-2.360194,-2.0869784,-0.2732156
12,-1.5584464,-1.1882564,"('unsupportive', 'supportive')",-1.5899245,-1.5346946,-1.5741854,-1.3614755,-0.2127099
45,-1.3869497,-1.1778595,"('incompetent', 'competent')",-0.14313364,0.04881403,-0.7650416,-0.5645227,-0.2005189
44,1.3832539,0.9695357,"('prejudiced', 'unprejudiced')",-1.1494442,-1.2381034,0.1169049,-0.1342838,0.2511887
6,-1.3000085,-1.3549768,"('distant', 'open')",0.14409733,-0.33705395,-0.5779556,-0.8460153,0.2680597
0,-1.2675774,-1.2450516,"('unsociable', 'sociable')",-0.14736289,-0.06284334,-0.7074702,-0.6539475,-0.0535227
53,-1.2331909,-1.1094918,"('uncreative', 'creative')",0.76932585,0.5469436,-0.2319325,-0.2812741,0.0493416
19,-1.1648107,-1.056611,"('inhospitable', 'hospitable')",-0.33402047,-0.36864784,-0.7494156,-0.7126294,-0.0367862
78,-1.1520803,-1.1231421,"('nonresilient', 'resilient')",0.14166784,0.07522988,-0.5052062,-0.5239561,0.0187499
63,-1.1164143,-0.5960381,"('unperceptive', 'insightful')",0.57289445,0.7376126,-0.2717599,0.0707873,-0.3425472
77,-1.0980512,-0.7062386,"('unmotivated', 'motivated')",-0.86516684,-0.4279398,-0.981609,-0.5670892,-0.4145198
79,-1.0062504,-1.1268477,"('wavering', 'unwavering')",0.10560047,-0.19100174,-0.450325,-0.6589248,0.2085998
73,1.0054102,1.0356241,"('helpless', 'self-reliant')",-3.3997464,-3.3799174,-1.1971681,-1.1721466,-0.0250215
46,-0.9727815,-0.55823964,"('uncompetitive', 'competitive')",-0.6154282,-0.33328906,-0.7941048,-0.4457644,-0.3483404
28,-0.97045666,-0.80902153,"('disloyal', 'loyal')",1.320013,1.3050897,0.1747782,0.2480341,-0.0732559
54,-0.96617883,-0.79908276,"('incapable', 'capable')",1.2114027,1.188515,0.1226119,0.1947161,-0.0721042
76,0.9648215,0.714907,"('anxious', 'daring')",-0.0560144,-0.08301595,0.4544035,0.3159455,0.138458
5,-0.95994127,-1.0609871,"('distant', 'outgoing')",0.19165981,-0.06887626,-0.3841407,-0.5649317,0.180791
71,-0.945525,-0.6481558,"('diffident', 'self-confident')",0.91772217,0.9001263,-0.0139014,0.1259852,-0.1398866
43,-0.92617697,-0.78564394,"('irresponsible', 'responsible')",0.9850241,0.8856579,0.0294236,0.050007,-0.0205834
66,-0.89808595,-1.2057761,"('inactive', 'active')",0.016144335,-0.38205498,-0.4409708,-0.7939155,0.3529447
31,-0.89308107,-1.188399,"('evil', 'good')",-1.664113,-2.068319,-1.2785971,-1.6283591,0.349762
11,-0.8720099,-0.49242133,"('unhelpful', 'helpful')",2.2550738,2.4965866,0.691532,1.0020826,-0.3105506
23,-0.86548966,-0.82995915,"('insincere', 'sincere')",6.8451953,6.5981455,2.9898529,2.8840933,0.1057596
51,-0.8529326,-0.62715876,"('uneducated', 'educated')",0.11366982,0.2391792,-0.3696314,-0.1939898,-0.1756416
38,-0.83607554,-0.5336555,"('untruthful', 'truthful')",0.5824058,0.71851367,-0.1268349,0.0924291,-0.219264
48,-0.81684506,-0.43079108,"('unintelligent', 'intelligent')",1.1956719,1.2166895,0.1894134,0.3929492,-0.2035358
36,-0.78880596,-1.0934869,"('hostile', 'amicable')",-0.53038335,-0.7649569,-0.6595947,-0.9292219,0.2696272
85,-0.78012973,-0.4539631,"('insignificant', 'prestigious')",0.31273043,0.04652959,-0.2336996,-0.2037168,-0.0299828
39,0.7747351,0.8594239,"('exploitative', 'cooperative')",-0.19654578,-0.09247276,0.2890947,0.3834755,-0.0943808
52,-0.7735192,-0.74817246,"('irrational', 'rational')",-0.030021697,-0.24370304,-0.4017705,-0.4959378,0.0941673
82,-0.77216065,-0.22482246,"('poor', 'rich')",6.609687,6.5844626,2.9187632,3.1798201,-0.2610569
88,-0.6937526,-0.08109886,"('low', 'eminent')",0.28171334,0.38211498,-0.2060196,0.1505081,-0.3565277
3,-0.6824443,-0.54880786,"('repellent', 'pleasant')",-0.040896796,-0.01212409,-0.3616705,-0.280466,-0.0812045
58,-0.67422915,-0.5181154,"('undiscriminating', 'discriminating')",-0.023072265,0.19121659,-0.3486507,-0.1634494,-0.1852013
70,-0.6577587,-0.484232,"('lethargic', 'energetic')",0.1295554,0.21051794,-0.2641017,-0.136857,-0.1272447
7,-0.6487673,-0.6280082,"('insensitive', 'sensitive')",0.61179805,0.658722,-0.0184846,0.0153569,-0.0338415
42,0.6365107,0.644917,"('unreliable', 'reliable')",-3.2450824,-3.1711743,-1.3042858,-1.2631286,-0.0411572
35,0.61784285,0.27999946,"('corrupt', 'incorrupt')",-0.68438715,-1.0020988,-0.0332721,-0.3610497,0.3277776
65,0.5993301,0.15125053,"('insecure', 'secure')",0.07094145,0.23711698,0.3351358,0.1941838,0.140952
72,-0.59070534,-0.35118574,"('unambitious', 'ambitious')",0.35627866,0.36970383,-0.1172133,0.009259,-0.1264723
74,-0.5752329,-0.3183238,"('undedicated', 'dedicated')",-0.2958307,-0.26925194,-0.4355318,-0.2937879,-0.1417439
84,0.53569496,0.42531762,"('inferior', 'superior')",0.5278212,0.5131485,0.5317581,0.469233,0.0625251
18,-0.5165039,-0.45164704,"('disagreeable', 'welcoming')",-0.49939358,-0.45663756,-0.5079488,-0.4541423,-0.0538065
55,-0.49459162,-0.36820072,"('incompetent', 'clever')",0.12523545,0.24301597,-0.1846781,-0.0625924,-0.1220857
34,-0.49241075,-0.25775614,"('mean', 'honorable')",5.6378813,5.6195717,2.5727353,2.6809077,-0.1081724
61,-0.48430204,-0.8706518,"('illogical', 'logical')",0.49630302,0.47891834,0.0060005,-0.1958667,0.2018672
2,0.48170775,0.4983374,"('unlikable', 'likable')",0.7228643,0.7906828,0.602286,0.6445101,-0.0422241
