,citigroup_male,citigroup_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-1.775709,-1.7741166,"('uninfluential', 'influential')",-0.07627444,-0.15845475,-0.9259917,-0.9662857,0.040294
69,1.7482796,1.9217997,"('lazy', 'industrious')",-0.81376266,-0.5827011,0.4672585,0.6695493,-0.2022908
10,-1.65699,-1.7306166,"('unsympathetic', 'sympathetic')",-0.4859124,-0.5519029,-1.0714512,-1.1412597,0.0698085
82,-1.606629,-1.5965507,"('poor', 'rich')",6.3024354,6.1439533,2.3479033,2.2737012,0.0742021
39,1.5426657,1.5375547,"('exploitative', 'cooperative')",0.23404293,0.302577,0.8883543,0.9200659,-0.0317116
73,1.5165168,1.5140985,"('helpless', 'self-reliant')",-2.7795234,-2.6622677,-0.6315033,-0.5740846,-0.0574187
2,1.4942689,1.7231144,"('unlikable', 'likable')",0.4965173,0.7618936,0.9953931,1.242504,-0.2471109
13,-1.2927493,-1.4551147,"('impolite', 'polite')",-0.5233655,-0.65627503,-0.9080574,-1.0556948,0.1476374
85,1.2229418,1.4960876,"('insignificant', 'prestigious')",0.55436796,0.8926648,0.8886548,1.1943762,-0.3057214
46,-1.2175641,-1.3129433,"('uncompetitive', 'competitive')",-0.9567694,-1.1233484,-1.0871668,-1.2181458,0.130979
57,-1.168258,-1.2289923,"('unimaginative', 'imaginative')",-2.6779087,-2.5243223,-1.9230833,-1.8766572,-0.0464261
51,-1.0784686,-1.1846597,"('uneducated', 'educated')",0.8125427,0.7409596,-0.1329629,-0.2218501,0.0888872
42,1.0784156,1.0034832,"('unreliable', 'reliable')",-2.7084315,-2.6462274,-0.8150079,-0.8213721,0.0063642
26,1.0513227,1.2756705,"('hardhearted', 'benevolent')",1.5425923,1.8293401,1.2969575,1.5525053,-0.2555478
45,-1.049678,-1.0849838,"('incompetent', 'competent')",-0.4822192,-0.46940237,-0.7659486,-0.7771931,0.0112445
53,-1.0242759,-1.0523585,"('uncreative', 'creative')",0.98112154,1.0451351,-0.0215772,-0.0036117,-0.0179655
55,-1.014689,-1.12582,"('incompetent', 'clever')",-0.003473293,-0.16605616,-0.5090811,-0.6459381,0.136857
44,0.88905275,0.7175631,"('prejudiced', 'unprejudiced')",-1.5519019,-1.5599297,-0.3314246,-0.4211833,0.0897587
25,0.88696444,1.1286818,"('egoistic', 'altruistic')",1.8579282,1.9100171,1.3724463,1.5193495,-0.1469032
68,-0.8734112,-1.0125514,"('dependent', 'independent')",-0.49041176,-0.55262256,-0.6819115,-0.782587,0.1006755
87,0.84444374,0.9434991,"('unsuccessful', 'successful')",0.77501595,0.9706852,0.8097298,0.9570922,-0.1473624
24,-0.800657,-0.745051,"('dishonest', 'honest')",0.80804646,0.9242638,0.0036947,0.0896064,-0.0859117
23,-0.78659016,-0.8962606,"('insincere', 'sincere')",6.20419,5.9684205,2.7087998,2.5360799,0.1727199
49,-0.76950806,-0.73255247,"('unable', 'able')",-0.3838955,-0.27289313,-0.5767018,-0.5027228,-0.073979
