,3m_male,3m_female,tuple,co_male,co_female,average_male,average_female,male-female
56,2.4061341,2.490447,"('impractical', 'practical')",0.36476701,0.30320877,1.3854506,1.3968279,-0.0113773
60,2.1741107,1.8236808,"('inefficient', 'efficient')",1.0685686,0.47486758,1.6213396,1.1492741,0.4720655
62,2.000953,1.8251573,"('incompetent', 'brilliant')",1.0918407,0.95555353,1.5463969,1.3903553,0.1560416
8,-1.9375769,-1.8984209,"('unaffectionate', 'affectionate')",-0.008348487,0.72112334,-0.9729627,-0.5886488,-0.3843139
36,-1.8158475,-1.4662538,"('hostile', 'amicable')",-0.8064542,-0.36138478,-1.3111508,-0.9138193,-0.3973315
6,-1.7764261,-1.3487403,"('distant', 'open')",-0.9939606,-0.33020696,-1.3851933,-0.8394737,-0.5457196
31,-1.7248489,-1.260158,"('evil', 'good')",-1.8924606,-1.2821488,-1.8086548,-1.2711535,-0.5375013
85,-1.7111417,-1.9758302,"('insignificant', 'prestigious')",-1.1387208,-0.6944964,-1.4249313,-1.3351634,-0.0897679
14,1.571961,1.9884253,"('antisocial', 'social')",0.10925357,0.32591632,0.8406073,1.1571708,-0.3165635
19,-1.4714034,-1.3245451,"('inhospitable', 'hospitable')",-0.6683312,-0.52342916,-1.0698673,-0.9239872,-0.1458801
65,1.4290444,1.4639994,"('insecure', 'secure')",0.6334681,0.33468023,1.0312562,0.8993398,0.1319164
79,-1.3827256,-0.8948035,"('wavering', 'unwavering')",-0.5799038,-0.14436013,-0.9813147,-0.5195818,-0.4617329
55,1.3600019,1.3792983,"('incompetent', 'clever')",1.0297363,0.6869054,1.194869,1.0331018,0.1617672
5,-1.3411411,-0.88453513,"('distant', 'outgoing')",-1.104512,-0.5877075,-1.2228265,-0.7361213,-0.4867052
87,1.2996459,1.7334116,"('unsuccessful', 'successful')",0.77208686,1.1293225,1.0358664,1.431367,-0.3955006
76,1.2128693,1.2475857,"('anxious', 'daring')",0.6139315,0.26023602,0.9134004,0.7539108,0.1594896
52,-1.2101356,-1.3588537,"('irrational', 'rational')",-0.9713184,-0.58326626,-1.090727,-0.97106,-0.119667
39,1.1991264,0.7584208,"('exploitative', 'cooperative')",0.9595915,0.72290903,1.0793589,0.740665,0.3386939
53,-1.1959475,-0.74322265,"('uncreative', 'creative')",0.55813915,1.0468574,-0.3189042,0.1518174,-0.4707216
9,-1.1919075,-1.1993257,"('unaffectionate', 'caring')",0.7674073,1.251124,-0.2122501,0.0258992,-0.2381493
2,1.1227489,1.2168161,"('unlikable', 'likable')",0.6556743,0.7537728,0.8892115,0.9852945,-0.096083
16,-1.1180787,-0.9514313,"('unpopular', 'popular')",-0.070731565,0.27472264,-0.5944051,-0.3383543,-0.2560508
1,-1.1168453,-0.9240422,"('unfriendly', 'friendly')",0.7717311,1.4934963,-0.1725571,0.284727,-0.4572841
66,-1.0985136,-0.34523407,"('inactive', 'active')",0.030075058,0.5223362,-0.5342193,0.0885511,-0.6227704
75,-1.0895681,-0.64248425,"('meek', 'impulsive')",-0.92377114,-0.7472812,-1.0066696,-0.6948828,-0.3117868
45,1.0880448,1.8574604,"('incompetent', 'competent')",0.42480552,0.8723909,0.7564251,1.3649256,-0.6085005
67,1.0698408,0.8427271,"('doubtful', 'determined')",-0.17101419,-0.04392256,0.4494133,0.3994023,0.050011
25,-1.0565581,-1.0285525,"('egoistic', 'altruistic')",0.8590622,1.1592199,-0.098748,0.0653337,-0.1640817
81,1.0495374,0.668616,"('submissive', 'aggressive')",-0.22480947,-0.5620865,0.412364,0.0532647,0.3590993
30,1.0269421,1.1263114,"('intolerant', 'tolerant')",0.46621788,0.29834512,0.74658,0.7123283,0.0342517
64,1.0188246,1.1630071,"('shy', 'confident')",-5.86354,-6.440206,-2.4223578,-2.6385994,0.2162416
63,0.9911615,1.0660591,"('unperceptive', 'insightful')",0.8726989,1.0660257,0.9319302,1.0660424,-0.1341122
42,0.98717505,1.4060683,"('unreliable', 'reliable')",-2.7920136,-2.6176856,-0.9024193,-0.6058086,-0.2966107
43,0.9586427,1.0125821,"('irresponsible', 'responsible')",1.2933809,1.2682662,1.1260118,1.1404241,-0.0144123
34,-0.9286932,-0.73650616,"('mean', 'honorable')",5.3093843,5.3487635,2.1903455,2.3061287,-0.1157832
61,0.9168244,0.8440751,"('illogical', 'logical')",0.30492255,0.44883782,0.6108735,0.6464565,-0.035583
35,-0.892392,-0.786804,"('corrupt', 'incorrupt')",-1.0131576,-0.6600267,-0.9527748,-0.7234154,-0.2293594
80,0.8378869,1.091171,"('dominated', 'dominating')",-0.35733244,-0.44233137,0.2402772,0.3244198,-0.0841426
18,-0.82833827,-0.84196806,"('disagreeable', 'welcoming')",-1.1234117,-1.024209,-0.975875,-0.9330885,-0.0427865
