,mondelez_male,mondelez_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.669329,-2.5335004,"('unsympathetic', 'sympathetic')",-1.1276686,-1.2126914,-0.7303797,-0.8250342,-1.5091257,-1.523742,0.0146163
81,-2.6600783,-2.5012732,"('submissive', 'aggressive')",-0.21890649,-0.16628471,-1.1038494,-0.98905027,-1.3276114,-1.2188694,-0.108742
57,-2.231291,-2.175235,"('unimaginative', 'imaginative')",-0.7999608,-0.7855415,-2.814826,-3.082393,-1.9486926,-2.0143898,0.0656972
85,2.1719983,2.298903,"('insignificant', 'prestigious')",-0.52130467,0.10163359,0.6375286,0.6041775,0.7627408,1.0015713,-0.2388305
11,-2.0277977,-1.9563938,"('unhelpful', 'helpful')",-0.11730678,-0.189764,1.3655171,1.4814122,-0.2598624,-0.2215819,-0.0382805
69,2.021343,2.0110602,"('lazy', 'industrious')",1.5928533,1.8037231,-0.5117712,-0.6042119,1.0341417,1.0701904,-0.0360487
14,-1.9709797,-1.8105228,"('antisocial', 'social')",0.5320732,0.62998563,-0.82338864,-0.63717943,-0.7540983,-0.6059055,-0.1481928
35,1.9520977,1.7813349,"('corrupt', 'incorrupt')",-0.4256805,-0.3037482,0.008098369,-0.08430154,0.5115052,0.4644284,0.0470768
86,-1.8761019,-1.993679,"('uninfluential', 'influential')",-0.3543982,-0.685509,-0.18034466,-0.72050464,-0.8036149,-1.1332308,0.3296159
70,-1.8557287,-1.84838,"('lethargic', 'energetic')",0.23281242,-0.07698955,0.60801375,0.46713752,-0.3383009,-0.4860773,0.1477764
73,1.7930299,1.7664285,"('helpless', 'self-reliant')",0.34887084,0.47528377,-3.023494,-3.1671534,-0.2938644,-0.3084803,0.0146159
21,-1.7921685,-1.810978,"('immoral', 'moral')",-0.22591987,-0.35042647,-1.0082104,-1.0567585,-1.0087663,-1.072721,0.0639547
65,-1.7858877,-1.9915669,"('insecure', 'secure')",0.0748971,-0.2670357,-0.3696467,-0.22969407,-0.6935458,-0.8294322,0.1358864
45,-1.7410501,-1.6378908,"('incompetent', 'competent')",-0.08759691,-0.21671721,-0.40846533,-0.6196521,-0.7457041,-0.8247534,0.0790493
60,-1.7109549,-1.6705743,"('inefficient', 'efficient')",0.8266804,0.50304943,-0.30941167,-0.28885826,-0.3978954,-0.485461,0.0875656
3,-1.6814827,-1.6524029,"('repellent', 'pleasant')",0.020016063,-0.21560413,0.24392225,0.30192623,-0.4725148,-0.5220269,0.0495121
5,1.572677,1.6146379,"('distant', 'outgoing')",-0.19546312,-0.05526653,0.038211856,-0.058370374,0.4718086,0.5003337,-0.0285251
33,1.4762106,1.5501251,"('wrong', 'right')",0.582313,0.6975541,-0.22180958,-0.24740896,0.612238,0.6667568,-0.0545188
71,1.4538943,1.419844,"('diffident', 'self-confident')",0.6810488,0.6942513,0.46426967,0.44326454,0.8664042,0.8524532,0.013951
23,-1.4356793,-1.5016584,"('insincere', 'sincere')",-0.6219757,-0.8042908,5.7056713,5.857206,1.2160054,1.1837522,0.0322532
6,1.3566868,1.2948443,"('distant', 'open')",-0.1746405,-0.15623768,0.6471985,0.44253743,0.6097483,0.527048,0.0827003
16,1.3524925,1.7072566,"('unpopular', 'popular')",0.30902565,0.97165453,0.7520577,0.76694626,0.8045252,1.1486192,-0.344094
52,1.3107511,1.2371235,"('irrational', 'rational')",-0.9364233,-0.7784621,0.24905975,0.18367861,0.2077958,0.2141133,-0.0063175
36,1.291107,1.4553256,"('hostile', 'amicable')",0.57574844,0.81944114,0.5569084,0.39666975,0.8079213,0.8904788,-0.0825575
30,-1.2811999,-1.1144922,"('intolerant', 'tolerant')",-0.75658536,-0.48279354,0.5898821,0.74700457,-0.4826344,-0.2834271,-0.1992073
24,-1.2753962,-1.5862687,"('dishonest', 'honest')",-1.0151105,-1.3902054,0.6826682,0.4547472,-0.5359462,-0.8405756,0.3046294
79,1.2666087,1.2051564,"('wavering', 'unwavering')",0.058572073,0.124018505,0.1931611,0.14838178,0.506114,0.4925189,0.0135951
51,-1.2499344,-1.2107735,"('uneducated', 'educated')",0.71746457,0.6202105,0.45928186,0.15901947,-0.024396,-0.1438478,0.1194518
55,-1.2428542,-1.0819871,"('incompetent', 'clever')",-0.40369025,-0.4233398,0.008653201,-0.14326867,-0.5459638,-0.5495319,0.0035681
72,-1.2267973,-1.0786957,"('unambitious', 'ambitious')",-0.6313338,-0.4742701,-0.8822691,-0.6739445,-0.9134668,-0.7423034,-0.1711634
59,1.2166086,1.033817,"('foolish', 'wise')",-0.4655323,-0.4816866,0.3797658,0.4584023,0.3769474,0.3368442,0.0401032
48,-1.1844143,-1.222597,"('unintelligent', 'intelligent')",-0.5496175,-0.7704274,0.12550825,-0.10761885,-0.5361745,-0.7002144,0.1640399
25,1.180179,1.0495564,"('egoistic', 'altruistic')",0.7280169,0.71640384,1.8747467,1.6469167,1.2609809,1.1376257,0.1233552
0,-1.1786288,-1.1824652,"('unsociable', 'sociable')",0.14419119,0.013903182,-0.77615774,-0.85538507,-0.6035318,-0.6746491,0.0711173
28,-1.1216699,-1.3599089,"('disloyal', 'loyal')",-0.73750067,-0.8412552,0.6995583,0.48318446,-0.3865374,-0.5726599,0.1861225
7,-1.0627558,-0.97564864,"('insensitive', 'sensitive')",-0.5937163,-0.7762512,0.7867599,0.42186627,-0.2899041,-0.4433445,0.1534404
22,-1.0590456,-1.1548067,"('untrustworthy', 'trustworthy')",-0.734509,-0.9080928,-0.92221016,-0.9633769,-0.9052549,-1.0087589,0.103504
62,-1.0572379,-0.86973196,"('incompetent', 'brilliant')",0.55668306,0.50146437,-0.032279268,0.09908594,-0.1776114,-0.0897272,-0.0878842
80,-1.053529,-1.0201992,"('dominated', 'dominating')",0.6021027,0.347487,-1.2031764,-1.154431,-0.5515343,-0.6090477,0.0575134
41,-1.037571,-0.95529974,"('unforgiving', 'forgiving')",-0.7203981,-0.550617,-0.19111864,-0.3632181,-0.6496959,-0.6230449,-0.026651
