,l3_male,l3_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.8857021,-2.0619628,"('unfriendly', 'friendly')",-0.05826285,-0.11007578,1.799561,1.6413642,-0.0481346,-0.1768914,0.1287568
60,1.7465019,1.7346239,"('inefficient', 'efficient')",1.0537219,1.1677419,-0.19455567,0.012460286,0.868556,0.9716086,-0.1030526
39,1.6260989,1.4279289,"('exploitative', 'cooperative')",0.77888405,0.7384212,0.24519064,0.28550425,0.8833912,0.8172848,0.0661064
79,-1.6225075,-1.4275204,"('wavering', 'unwavering')",-1.6054641,-1.4335635,-0.26874796,-0.13117984,-1.1655732,-0.9974213,-0.1681519
36,-1.5918673,-1.722592,"('hostile', 'amicable')",-0.8213958,-0.9142419,0.71332496,0.5188228,-0.566646,-0.7060037,0.1393577
31,-1.5163276,-1.3472352,"('evil', 'good')",-0.86933076,-0.6780356,-0.89123446,-0.89501995,-1.0922976,-0.9734303,-0.1188673
67,1.4178569,1.5308945,"('doubtful', 'determined')",0.19109656,0.2772402,-0.69849986,-0.5762113,0.3034845,0.4106411,-0.1071566
55,1.3769665,1.2128443,"('incompetent', 'clever')",0.51665825,0.36661893,-0.06328923,-0.14781229,0.6101118,0.477217,0.1328948
56,1.2239528,1.3146604,"('impractical', 'practical')",0.0164431,0.1770167,-0.47087896,-0.3212097,0.2565056,0.3901558,-0.1336502
19,-1.1861542,-1.1622907,"('inhospitable', 'hospitable')",-1.0717428,-1.1412508,-0.13252279,-0.26050758,-0.7968066,-0.8546831,0.0578765
42,1.1853938,1.3079089,"('unreliable', 'reliable')",-0.94334114,-0.8114544,-3.2285724,-3.1012847,-0.9955066,-0.8682768,-0.1272298
62,1.1568121,1.3835111,"('incompetent', 'brilliant')",0.63391215,0.812837,-0.41344035,-0.09220031,0.4590946,0.7013826,-0.242288
5,-1.1485164,-0.8170827,"('distant', 'outgoing')",-0.8208317,-0.43799192,-0.29639477,-0.11550579,-0.7552477,-0.4568601,-0.2983876
14,1.1415159,0.9978725,"('antisocial', 'social')",0.72445834,0.6255177,-0.612618,-0.63995177,0.4177854,0.3278128,0.0899726
25,-1.0391375,-1.1815332,"('egoistic', 'altruistic')",0.4200756,0.3151269,1.5023485,1.4670197,0.2944289,0.2002045,0.0942244
53,-0.98984647,-1.0802124,"('uncreative', 'creative')",0.8123725,0.8119421,0.99947083,0.82370925,0.273999,0.1851463,0.0888527
78,-0.9743134,-1.0763192,"('nonresilient', 'resilient')",1.2670451,1.128664,0.5206527,0.17001392,0.2711282,0.0741196,0.1970086
26,-0.95657533,-1.1226933,"('hardhearted', 'benevolent')",0.64997274,0.63861024,1.7213078,1.6101524,0.4715684,0.3753564,0.096212
80,0.9559595,0.93807393,"('dominated', 'dominating')",0.20248112,0.12381179,-1.3994393,-1.3358381,-0.0803329,-0.0913175,0.0109846
6,-0.9404372,-0.7778317,"('distant', 'open')",-1.021855,-0.68696964,0.52056533,0.6207194,-0.4805756,-0.2813606,-0.199215
35,-0.88027686,-0.6834112,"('corrupt', 'incorrupt')",-0.7136925,-0.49507293,-0.19115832,0.0005487222,-0.5950425,-0.3926451,-0.2023974
4,-0.87806517,-0.85860085,"('disliked', 'liked')",-0.71232706,-0.6936406,-6.220829,-6.5421343,-2.6037404,-2.6981252,0.0943848
81,0.8515079,0.86463296,"('submissive', 'aggressive')",0.8479593,0.78635377,-0.7840813,-0.7101504,0.3051286,0.3136121,-0.0084835
63,0.83049005,0.74935955,"('unperceptive', 'insightful')",0.31868312,0.39300498,0.62301093,0.49145243,0.590728,0.5446057,0.0461223
70,0.8014032,0.87163496,"('lethargic', 'energetic')",0.40345174,0.44285014,0.47383246,0.721081,0.5595625,0.678522,-0.1189595
8,-0.7927046,-1.024677,"('unaffectionate', 'affectionate')",-0.16369861,-0.25518286,0.8973202,0.9005229,-0.0196943,-0.1264457,0.1067514
21,0.7604136,0.48300734,"('immoral', 'moral')",0.75627816,0.3962987,-0.8299782,-1.0920192,0.2289045,-0.0709044,0.2998089
7,0.7564258,0.44300643,"('insensitive', 'sensitive')",0.7072075,0.5737781,0.6702392,0.5139735,0.7112908,0.5102527,0.2010381
9,-0.755198,-0.95278585,"('unaffectionate', 'caring')",-0.08730014,-0.21324795,1.3842294,1.3117707,0.1805771,0.048579,0.1319981
88,-0.75215894,-0.9069958,"('low', 'eminent')",0.36104667,0.39184478,-0.16997156,-0.10790141,-0.1870279,-0.2076841,0.0206562
66,-0.7434513,-0.79027283,"('inactive', 'active')",-0.6781595,-0.8111976,1.088258,0.90711695,-0.1111176,-0.2314512,0.1203336
71,0.7299199,0.5402399,"('diffident', 'self-confident')",0.77808017,0.71068275,0.6550709,0.6029243,0.7210237,0.617949,0.1030747
76,0.71574724,0.877245,"('anxious', 'daring')",0.57088953,0.63159156,-0.002856467,0.2335171,0.4279268,0.5807845,-0.1528577
54,-0.68878776,-0.7718496,"('incapable', 'capable')",0.16842853,0.12243178,1.1874971,1.3161877,0.2223793,0.2222566,0.0001227
64,0.68621707,0.76396763,"('shy', 'confident')",-0.46280476,-0.31827915,-6.626722,-6.536434,-2.1344364,-2.0302486,-0.1041878
85,-0.68610793,-0.92269593,"('insignificant', 'prestigious')",0.5444351,0.369536,1.1863086,0.88097095,0.3482119,0.1092703,0.2389416
16,-0.634104,-0.5993671,"('unpopular', 'popular')",-0.4927041,-0.5187876,0.6087662,0.4302972,-0.1726807,-0.2292859,0.0566052
12,0.623158,0.5166386,"('unsupportive', 'supportive')",0.39904097,0.47821128,-1.8143947,-1.908561,-0.2640653,-0.3045704,0.0405051
82,-0.6012126,-0.59695864,"('poor', 'rich')",0.17763461,0.2162938,5.93151,6.2513976,1.8359772,1.9569109,-0.1209337
38,-0.5568716,-0.59618604,"('untruthful', 'truthful')",-1.0927185,-0.99187887,-0.28063506,-0.26555544,-0.6434084,-0.6178734,-0.025535
46,0.5440364,0.32302713,"('uncompetitive', 'competitive')",0.5175208,0.40705976,-0.693863,-0.91619086,0.1225647,-0.0620346,0.1845993
28,-0.54367846,-0.8596412,"('disloyal', 'loyal')",0.15727834,-0.02060569,1.1547993,1.0952866,0.2561331,0.0716799,0.1844532
52,-0.5392366,-0.6115629,"('irrational', 'rational')",-0.39363405,-0.3771944,0.237326,0.16313446,-0.2318482,-0.2752076,0.0433594
30,0.5337467,0.5347563,"('intolerant', 'tolerant')",1.5284535,1.4902464,0.9982897,0.95405835,1.0201632,0.9930204,0.0271428
0,-0.5088894,-0.7761224,"('unsociable', 'sociable')",-0.36972556,-0.57835907,-0.22445238,-0.3815512,-0.3676891,-0.5786776,0.2109885
34,-0.4894543,-0.53963673,"('mean', 'honorable')",0.007866457,0.016109325,6.245091,6.203141,1.9211677,1.8932047,0.027963
3,0.4719007,0.24503045,"('repellent', 'pleasant')",0.23327428,-0.061123636,0.102470696,-0.055329293,0.2692152,0.0428592,0.226356
73,0.46246248,0.63420075,"('helpless', 'self-reliant')",0.3347584,0.42025536,-3.1442752,-3.1420698,-0.7823514,-0.6958712,-0.0864802
43,0.42934638,0.53168225,"('irresponsible', 'responsible')",-0.3586491,-0.09220597,0.12698258,0.38700098,0.0658933,0.2754924,-0.2095991
57,-0.42608982,-0.59562266,"('unimaginative', 'imaginative')",0.76265335,0.7308799,-2.2607365,-2.5856934,-0.641391,-0.816812,0.175421
75,-0.4211715,-0.2192314,"('meek', 'impulsive')",-0.16476193,-0.058577865,-0.48197407,-0.26967964,-0.3559692,-0.1824963,-0.1734729
2,0.41343635,0.36404806,"('unlikable', 'likable')",0.15123487,0.15481916,0.36740914,0.36810762,0.3106935,0.2956583,0.0150352
65,0.4127339,0.4091448,"('insecure', 'secure')",-0.30204085,-0.29946762,-0.7779662,-0.48400545,-0.2224244,-0.1247761,-0.0976483
