,archer_male,archer_female,tuple,daniels_male,daniels_female,midland_male,midland_female,co_male,co_female,average_male,average_female,male-female
69,1.9099464,1.6182685,"('lazy', 'industrious')",2.388437,2.5774784,1.4824322,1.5328071,-0.6528499,-0.13932107,1.2819915,1.3973082,-0.1153167
14,-1.6109891,-1.4801543,"('antisocial', 'social')",-1.6716583,-1.9487268,-0.103465065,-0.42669818,-0.19658378,-0.59954274,-0.895674,-1.1137805,0.2181065
45,-1.5040576,-0.9327061,"('incompetent', 'competent')",-0.9826183,-1.2119836,-0.20059966,-0.20667136,-0.3261223,-0.49837893,-0.7533495,-0.7124349,-0.0409146
17,-1.3897235,-1.2548549,"('nasty', 'nice')",-0.6682374,-0.552069,-1.3073857,-1.0623713,-0.51288325,-0.41414773,-0.9695575,-0.8208607,-0.1486968
47,-1.3199041,-1.2431744,"('stupid', 'smart')",-1.6765236,-1.7907501,-0.43309882,-0.29722497,4.991825,4.6442127,0.3905747,0.3282658,0.0623089
74,1.3154763,1.34261,"('undedicated', 'dedicated')",1.203519,1.1308112,1.7894471,1.6429892,0.38734245,0.4055658,1.1739461,1.130494,0.0434521
13,-1.2977817,-1.1752422,"('impolite', 'polite')",-1.1204803,-1.2164845,-0.81340617,-0.933524,-0.3566916,-0.70103574,-0.89709,-1.0065715,0.1094815
66,1.1931401,0.8778928,"('inactive', 'active')",0.480561,0.72069585,1.0692952,1.0258261,0.90601724,1.0020025,0.9122534,0.9066043,0.0056491
25,1.1808408,1.0005486,"('egoistic', 'altruistic')",1.4551226,1.7875345,1.1745627,1.1668807,1.5198087,1.7630913,1.3325837,1.4295137,-0.09693
10,-1.1576469,-0.7834576,"('unsympathetic', 'sympathetic')",-1.8977656,-2.126376,-0.6132236,-0.73478657,0.007261373,-0.2579547,-0.9153437,-0.9756436,0.0602999
