,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.8229609,-2.8911781,"('unfriendly', 'friendly')",0.8891507,0.7300613,1.3311031,0.9254572,-0.2009024,-0.4118865,0.2109841
58,-1.9097729,-1.8979652,"('undiscriminating', 'discriminating')",-0.7349926,-0.9241333,-0.18290195,-0.41911817,-0.9425557,-1.0804056,0.1378499
0,-1.8176823,-1.93758,"('unsociable', 'sociable')",0.5316264,0.43381122,0.042143483,-0.15388997,-0.4146374,-0.5525529,0.1379155
45,-1.7402163,-1.8621222,"('incompetent', 'competent')",-0.024631135,-0.04181369,-0.11021773,-0.28171694,-0.6250217,-0.7285509,0.1035292
57,-1.7049549,-1.4996511,"('unimaginative', 'imaginative')",-0.3921265,-0.30913967,-3.0459495,-3.0627465,-1.7143437,-1.6238457,-0.090498
86,-1.6028531,-1.6950715,"('uninfluential', 'influential')",0.14012471,0.08003984,-0.1659094,-0.39397973,-0.5428793,-0.6696704,0.1267911
53,-1.397168,-1.1257843,"('uncreative', 'creative')",0.039451864,-0.002899319,0.29756144,0.2885638,-0.3533849,-0.2800399,-0.073345
8,-1.3625054,-1.3599861,"('unaffectionate', 'affectionate')",0.1387243,0.1540861,0.38693243,0.044231355,-0.2789496,-0.3872228,0.1082732
48,-1.1648693,-1.1246171,"('unintelligent', 'intelligent')",0.56380296,0.62318254,0.89814603,0.7886189,0.0990266,0.0957281,0.0032985
26,-1.1268743,-1.1311877,"('hardhearted', 'benevolent')",1.6234499,1.6702787,1.7239184,1.5846884,0.7401647,0.7079264,0.0322383
9,-1.126714,-1.0032378,"('unaffectionate', 'caring')",1.2919253,1.3309721,1.1013623,0.91259986,0.4221912,0.4134447,0.0087465
23,-1.1166325,-1.1872259,"('insincere', 'sincere')",0.63994616,0.6805372,5.7775335,5.8636074,1.766949,1.7856396,-0.0186906
61,-1.1050564,-1.1410272,"('illogical', 'logical')",0.089826785,-0.029142898,0.7112954,0.57466537,-0.1013114,-0.1985016,0.0971902
82,-1.0293863,-0.8851232,"('poor', 'rich')",-0.060003728,-0.0032851435,6.093322,6.1728406,1.6679773,1.7614775,-0.0935002
38,-1.0173615,-0.8921773,"('untruthful', 'truthful')",0.2496544,0.26274514,-0.18117079,-0.20050482,-0.3162926,-0.2766457,-0.0396469
10,-0.9847248,-0.98188376,"('unsympathetic', 'sympathetic')",-0.4794667,-0.3529032,-0.16691387,-0.24239369,-0.5437018,-0.5257269,-0.0179749
31,-0.9703965,-1.1688523,"('evil', 'good')",-0.46461555,-0.57950556,-1.2905272,-1.554581,-0.9085131,-1.1009796,0.1924665
24,-0.9689829,-1.1496017,"('dishonest', 'honest')",0.14079542,0.029426083,0.66859174,0.58417827,-0.0531986,-0.1786658,0.1254672
43,-0.9058831,-0.81684643,"('irresponsible', 'responsible')",1.1581391,1.1575451,0.43254906,0.36815795,0.2282684,0.2362855,-0.0080171
28,-0.8587259,-0.86203897,"('disloyal', 'loyal')",-0.16632713,-0.17167726,1.1188512,1.0939418,0.0312661,0.0200752,0.0111909
54,-0.839225,-0.6697504,"('incapable', 'capable')",0.32382596,0.27064282,0.35932297,0.40577185,-0.0520254,0.0022214,-0.0542468
44,0.8189127,1.1024649,"('prejudiced', 'unprejudiced')",-0.76934713,-0.6891762,-1.5057473,-1.2179157,-0.4853939,-0.268209,-0.2171849
30,-0.81635755,-0.78719836,"('intolerant', 'tolerant')",0.8353979,0.8357855,0.8540573,1.0181956,0.2910326,0.3555942,-0.0645616
67,0.8050374,0.7678569,"('doubtful', 'determined')",0.065477565,0.056383483,-0.31605086,-0.1781108,0.1848214,0.2153765,-0.0305551
55,-0.7811793,-0.7155374,"('incompetent', 'clever')",-0.5130743,-0.4293737,0.5467206,0.58047783,-0.2491777,-0.1881444,-0.0610333
5,-0.7471764,-0.8338249,"('distant', 'outgoing')",0.8957456,0.77990586,-0.7999797,-0.95753276,-0.2171368,-0.3371506,0.1200138
73,0.73005176,0.8161986,"('helpless', 'self-reliant')",0.6388825,0.5078561,-3.4925168,-3.6197815,-0.7078608,-0.7652423,0.0573815
19,-0.71740663,-0.79098463,"('inhospitable', 'hospitable')",0.87888634,0.8349397,-0.47354773,-0.65375173,-0.1040227,-0.2032655,0.0992428
46,-0.71550864,-0.6609061,"('uncompetitive', 'competitive')",0.21971765,0.18468338,-0.7060399,-0.7556829,-0.4006103,-0.4106352,0.0100249
3,-0.6899547,-0.5582882,"('repellent', 'pleasant')",-1.2481523,-1.1449754,0.62671113,0.73369944,-0.437132,-0.3231881,-0.1139439
36,-0.6826088,-0.6815374,"('hostile', 'amicable')",-0.62798697,-0.7098281,-0.4976825,-0.5797689,-0.6027594,-0.6570448,0.0542854
16,-0.67397374,-0.67294645,"('unpopular', 'popular')",-0.0076905787,-0.041761003,-0.019214686,-0.031536683,-0.2336263,-0.248748,0.0151217
60,-0.6728647,-0.64771277,"('inefficient', 'efficient')",0.21180788,0.22034997,0.28859374,0.4113784,-0.0574877,-0.0053281,-0.0521596
6,-0.6562733,-0.61354685,"('distant', 'open')",0.6625223,0.5836456,-0.73771375,-0.94003534,-0.2438216,-0.3233122,0.0794906
74,-0.63237286,-0.5483907,"('undedicated', 'dedicated')",0.6275445,0.6512259,0.007963354,-0.07878098,0.001045,0.0080181,-0.0069731
88,-0.6289296,-0.5237932,"('low', 'eminent')",0.10947132,0.14418004,-0.11818053,-0.046420295,-0.2125463,-0.1420112,-0.0705351
