,public_male,public_female,tuple,storage_male,storage_female,average_male,average_female,male-female
35,-2.3119924,-1.9845983,"('corrupt', 'incorrupt')",-2.571172,-2.8829954,-2.4415822,-2.4337969,-0.0077853
31,-2.2498088,-2.2703042,"('evil', 'good')",-2.8530357,-3.558292,-2.5514221,-2.9142981,0.362876
26,2.184134,1.8552557,"('hardhearted', 'benevolent')",1.293673,1.057206,1.7389035,1.4562309,0.2826726
14,2.0177119,1.8657047,"('antisocial', 'social')",1.2571257,1.9032439,1.6374187,1.8844743,-0.2470556
23,1.8420029,1.910379,"('insincere', 'sincere')",6.0260544,6.246251,3.9340286,4.0783153,-0.1442867
36,-1.8353077,-1.3391076,"('hostile', 'amicable')",-2.600157,-2.68679,-2.2177324,-2.0129488,-0.2047836
19,-1.8235354,-1.1566114,"('inhospitable', 'hospitable')",-1.0983742,-1.2411478,-1.4609549,-1.1988796,-0.2620753
75,-1.6707247,-1.3263261,"('meek', 'impulsive')",-1.4647975,-1.302204,-1.5677612,-1.314265,-0.2534962
56,1.620996,2.0264387,"('impractical', 'practical')",1.5825953,2.3971722,1.6017957,2.2118053,-0.6100096
13,1.5465871,1.1634277,"('impolite', 'polite')",0.5962066,0.7726287,1.0713968,0.9680282,0.1033686
30,1.4348457,1.3471184,"('intolerant', 'tolerant')",1.9057636,1.9642016,1.6703047,1.6556599,0.0146448
11,1.4228075,2.102698,"('unhelpful', 'helpful')",2.7423577,3.5848107,2.0825825,2.8437543,-0.7611718
81,1.3905787,1.6113175,"('submissive', 'aggressive')",1.1825448,1.646768,1.2865617,1.6290427,-0.342481
39,1.2055322,1.137842,"('exploitative', 'cooperative')",-0.055062164,0.029430442,0.575235,0.5836362,-0.0084012
8,-1.1706277,-0.75972235,"('unaffectionate', 'affectionate')",-0.55651945,-0.7385715,-0.8635736,-0.7491469,-0.1144267
5,-1.169688,-1.442656,"('distant', 'outgoing')",-1.6264427,-2.1197677,-1.3980653,-1.7812119,0.3831466
47,1.1594684,0.85927075,"('stupid', 'smart')",4.856694,4.7530494,3.0080814,2.80616,0.2019214
68,-1.1169488,-0.92116874,"('dependent', 'independent')",-0.9631997,-1.3901541,-1.0400742,-1.1556615,0.1155873
21,1.1087613,1.7332147,"('immoral', 'moral')",0.88437915,1.697463,0.9965702,1.7153389,-0.7187687
17,-1.0818976,-0.891408,"('nasty', 'nice')",-1.0373319,-0.86057967,-1.0596148,-0.8759938,-0.183621
78,-1.0601976,-0.44588324,"('nonresilient', 'resilient')",-0.24567552,0.30754662,-0.6529366,-0.0691683,-0.5837683
70,1.030876,0.5896472,"('lethargic', 'energetic')",1.5423845,1.4194398,1.2866303,1.0045435,0.2820868
6,-1.0221533,-1.3580317,"('distant', 'open')",-1.251044,-1.8405678,-1.1365986,-1.5992998,0.4627012
79,-1.0011717,-0.34661597,"('wavering', 'unwavering')",-1.7790588,-1.4607022,-1.3901153,-0.9036591,-0.4864562
67,0.95737356,0.59044665,"('doubtful', 'determined')",0.21451336,0.2234739,0.5859435,0.4069603,0.1789832
54,-0.9451202,-0.6087354,"('incapable', 'capable')",0.27625358,0.13177018,-0.3344333,-0.2384826,-0.0959507
12,0.93830603,0.834285,"('unsupportive', 'supportive')",-0.6508982,-0.5556703,0.1437039,0.1393073,0.0043966
22,0.9359124,0.3738017,"('untrustworthy', 'trustworthy')",0.18317343,0.22798131,0.5595429,0.3008915,0.2586514
43,0.9074814,0.9530611,"('irresponsible', 'responsible')",1.2660407,1.5017292,1.086761,1.2273952,-0.1406342
88,-0.906002,-0.018408673,"('low', 'eminent')",-0.08420317,0.5093224,-0.4951026,0.2454569,-0.7405595
25,-0.89063656,-0.7032864,"('egoistic', 'altruistic')",0.18984744,-0.07650994,-0.3503945,-0.3898982,0.0395037
85,-0.85659903,0.29173517,"('insignificant', 'prestigious')",-1.7948136,-2.0577505,-1.3257064,-0.8830076,-0.4426988
41,0.8482177,0.9409416,"('unforgiving', 'forgiving')",0.28568542,0.6942985,0.5669516,0.81762,-0.2506684
7,0.8476286,0.3997854,"('insensitive', 'sensitive')",1.9505228,1.9029502,1.3990757,1.1513678,0.2477079
33,0.77594143,0.47242895,"('wrong', 'right')",-0.5049328,-1.02961,0.1355043,-0.2785906,0.4140949
40,0.7682515,-0.023252431,"('stingy', 'generous')",-1.7272373,-2.4251826,-0.4794929,-1.2242175,0.7447246
60,0.76094145,0.5739874,"('inefficient', 'efficient')",1.6342453,2.05681,1.1975933,1.3153987,-0.1178054
84,0.74506503,0.65400815,"('inferior', 'superior')",-0.06715316,-0.3154602,0.3389559,0.169274,0.1696819
45,0.7429739,0.5991092,"('incompetent', 'competent')",0.6906357,1.3452681,0.7168048,0.9721887,-0.2553839
66,-0.7292198,-1.1461754,"('inactive', 'active')",-1.2895647,-1.8242197,-1.0093923,-1.4851975,0.4758052
52,-0.72663116,-0.34295818,"('irrational', 'rational')",-1.7833003,-2.1856809,-1.2549658,-1.2643195,0.0093537
55,0.7263308,1.1207255,"('incompetent', 'clever')",1.8488488,2.3627753,1.2875898,1.7417505,-0.4541607
50,-0.7246592,-0.40298548,"('clumsy', 'skillful')",-0.67756176,-0.58375967,-0.7011105,-0.4933726,-0.2077379
74,-0.71686125,-0.13697971,"('undedicated', 'dedicated')",-0.20541677,0.03809665,-0.461139,-0.0494415,-0.4116975
16,-0.69272697,-0.3461313,"('unpopular', 'popular')",-0.5926228,-0.33819327,-0.6426749,-0.3421623,-0.3005126
57,0.68852687,0.7166582,"('unimaginative', 'imaginative')",-1.8767164,-1.5944097,-0.5940948,-0.4388758,-0.155219
38,0.6708479,1.2520884,"('untruthful', 'truthful')",0.8824237,1.3016831,0.7766358,1.2768857,-0.5002499
24,0.6680408,0.5837234,"('dishonest', 'honest')",1.1112943,0.79944885,0.8896675,0.6915861,0.1980814
62,0.6590597,1.0844359,"('incompetent', 'brilliant')",1.2303594,1.911874,0.9447095,1.498155,-0.5534455
63,0.65598387,0.49804625,"('unperceptive', 'insightful')",1.6659665,1.9290434,1.1609752,1.2135448,-0.0525696
69,-0.645085,-1.5280324,"('lazy', 'industrious')",-2.180183,-2.6596696,-1.4126339,-2.0938511,0.6812172
32,0.60833216,1.242649,"('unkind', 'kind')",1.3340507,1.7557385,0.9711914,1.4991937,-0.5280023
42,0.5955375,0.5791347,"('unreliable', 'reliable')",-1.5668952,-1.717751,-0.4856789,-0.5693082,0.0836293
15,0.59212744,0.7547541,"('boring', 'funny')",0.16341293,0.36271495,0.3777702,0.5587345,-0.1809643
64,-0.57833374,-0.8499629,"('shy', 'confident')",-4.717128,-4.7284975,-2.6477308,-2.7892301,0.1414993
27,-0.5773147,-0.8313891,"('hardhearted', 'softhearted')",-0.18402608,-0.8023033,-0.3806704,-0.8168463,0.4361759
46,0.5765006,0.5579078,"('uncompetitive', 'competitive')",1.2658999,1.6117883,0.9212003,1.084848,-0.1636477
48,0.5631044,0.77616614,"('unintelligent', 'intelligent')",0.46540767,0.71761525,0.514256,0.7468907,-0.2326347
10,-0.5119083,-0.031905293,"('unsympathetic', 'sympathetic')",1.1179878,1.8002591,0.3030397,0.8841769,-0.5811372
77,-0.49866095,-0.83215636,"('unmotivated', 'motivated')",-0.48769993,-0.15591615,-0.4931805,-0.4940363,0.0008558
0,0.48857963,0.15767385,"('unsociable', 'sociable')",0.47721183,0.71548295,0.4828957,0.4365784,0.0463173
34,0.48484036,0.60415465,"('mean', 'honorable')",3.9847305,3.9548287,2.2347853,2.2794917,-0.0447064
65,0.47694427,0.7211634,"('insecure', 'secure')",1.1056242,1.2963212,0.7912842,1.0087423,-0.2174581
18,-0.4164915,-0.75845987,"('disagreeable', 'welcoming')",-1.1778218,-1.7141516,-0.7971566,-1.2363057,0.4391491
