,allegheny_male,allegheny_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
85,2.5319889,2.6768763,"('insignificant', 'prestigious')",0.17393835,0.23079076,0.6930349,0.6959207,1.1329873,1.201196,-0.0682087
9,2.1333208,2.095953,"('unaffectionate', 'caring')",0.13890994,0.084852666,0.6254813,0.6775009,0.965904,0.9527689,0.0131351
12,2.1233711,2.0520318,"('unsupportive', 'supportive')",0.77915466,0.732209,-1.5349929,-1.4552449,0.4558443,0.4429986,0.0128457
74,1.8763206,1.8206034,"('undedicated', 'dedicated')",-0.35731667,-0.3411739,-0.31042665,-0.2623292,0.4028591,0.4057001,-0.002841
66,1.6660078,1.7250291,"('inactive', 'active')",-0.55231607,-0.60298955,1.2930641,1.2948073,0.802252,0.8056156,-0.0033636
44,-1.6110379,-1.4761313,"('prejudiced', 'unprejudiced')",-0.33137476,-0.2396264,-1.240113,-1.2122971,-1.0608419,-0.9760183,-0.0848236
40,1.5210052,1.3629907,"('stingy', 'generous')",0.4089645,0.38205397,-1.425572,-1.4669777,0.1681325,0.092689,0.0754435
71,1.4951246,1.5513542,"('diffident', 'self-confident')",1.379076,1.437303,0.47238922,0.44464752,1.1155299,1.1444348,-0.0289049
63,1.4855411,1.2666929,"('unperceptive', 'insightful')",0.702786,0.6429289,1.1117618,1.0167731,1.1000296,0.975465,0.1245646
65,-1.4625258,-1.5777848,"('insecure', 'secure')",0.4608297,0.42725706,-0.5522278,-0.5501085,-0.5179746,-0.5668787,0.0489041
29,-1.4323671,-1.3895583,"('unfair', 'fair')",-0.37283656,-0.39569265,-0.3678704,-0.35644546,-0.724358,-0.7138988,-0.0104592
53,1.4312297,1.3677634,"('uncreative', 'creative')",0.80123985,0.7069507,0.6707902,0.67410517,0.9677533,0.9162731,0.0514802
39,1.4189496,1.3161367,"('exploitative', 'cooperative')",-0.099520326,-0.08517939,-0.05328577,-0.0646465,0.4220479,0.3887703,0.0332776
16,-1.3410758,-1.4260259,"('unpopular', 'popular')",-0.32751426,-0.39008766,0.55940926,0.46834713,-0.3697269,-0.4492555,0.0795286
24,1.3312031,1.2362491,"('dishonest', 'honest')",0.6513626,0.63866997,0.5685295,0.66641533,0.850365,0.8471115,0.0032535
8,1.1483924,1.2121985,"('unaffectionate', 'affectionate')",-1.1215212,-1.1232226,-0.01618483,0.07911118,0.0035621,0.056029,-0.0524669
3,-1.1442819,-1.4149339,"('repellent', 'pleasant')",0.16615954,-0.03530413,0.111115456,-0.058535744,-0.2890023,-0.5029246,0.2139223
45,-1.1296698,-1.2654805,"('incompetent', 'competent')",-0.5774684,-0.6744093,-0.49925852,-0.56584466,-0.7354655,-0.8352448,0.0997793
84,1.1276218,1.092215,"('inferior', 'superior')",0.18726625,0.19924128,0.9909322,1.0089552,0.7686067,0.7668038,0.0018029
79,1.1194173,1.2684805,"('wavering', 'unwavering')",-0.6203293,-0.6071529,0.3981618,0.3859601,0.2990833,0.3490959,-0.0500126
1,1.1192197,1.1608311,"('unfriendly', 'friendly')",0.48368078,0.40664682,1.4790304,1.5222504,1.0273103,1.0299095,-0.0025992
