,cameron_male,cameron_female,tuple,international_male,international_female,corp_male,corp_female,average_male,average_female,male-female
12,2.8160856,2.9087477,"('unsupportive', 'supportive')",0.040233135,0.2880207,-1.684855,-1.687916,0.3904879,0.5029507,-0.1124628
9,2.4938796,2.7547665,"('unaffectionate', 'caring')",0.23225242,0.4043493,1.2984049,1.4688399,1.3415124,1.5426518,-0.2011394
39,2.3649523,2.3514283,"('exploitative', 'cooperative')",0.6112142,0.40349028,0.21602835,0.02688096,1.064065,0.9272665,0.1367985
74,2.2202334,2.0361187,"('undedicated', 'dedicated')",0.5437663,0.4909622,0.06430673,-0.17801858,0.9427688,0.7830208,0.159748
16,-2.0020828,-1.6162037,"('unpopular', 'popular')",0.19178309,0.17820013,0.11744754,0.17002758,-0.5642841,-0.4226586,-0.1416255
44,-1.9328822,-1.9700646,"('prejudiced', 'unprejudiced')",-0.17837442,-0.19991913,-1.6041015,-1.6713752,-1.2384528,-1.280453,0.0420002
73,1.5301943,1.3725884,"('helpless', 'self-reliant')",0.48188892,0.59196055,-3.2209737,-3.0641713,-0.4029635,-0.3665408,-0.0364227
2,1.4598523,1.7181191,"('unlikable', 'likable')",1.1509722,1.3150207,0.7095119,0.67721057,1.1067788,1.2367834,-0.1300046
7,1.409955,1.3123053,"('insensitive', 'sensitive')",0.05104202,-0.049147405,0.9428547,0.5724445,0.8012839,0.6118675,0.1894164
28,1.3916302,1.4791118,"('disloyal', 'loyal')",-0.38528112,-0.37153006,1.0960957,1.1840415,0.7008149,0.7638744,-0.0630595
8,1.3803319,1.661756,"('unaffectionate', 'affectionate')",-0.06396836,0.0060590208,0.6738587,0.81012195,0.6634074,0.825979,-0.1625716
84,1.3118138,1.357029,"('inferior', 'superior')",0.2419706,0.22742039,0.8409798,0.89043903,0.7982547,0.8249628,-0.0267081
33,1.2970937,1.1931263,"('wrong', 'right')",1.0901372,1.090576,-0.46622664,-0.24679233,0.6403348,0.67897,-0.0386352
43,1.273132,1.1214678,"('irresponsible', 'responsible')",-0.4726536,-0.5003251,0.25315967,-0.23942886,0.3512127,0.127238,0.2239747
38,1.2634393,1.374993,"('untruthful', 'truthful')",-0.5241627,-0.29492337,-0.12967539,0.1391622,0.2032004,0.4064106,-0.2032102
24,1.2448179,1.4677676,"('dishonest', 'honest')",-0.22289804,-0.063161016,0.6516168,0.61721116,0.5578456,0.6739392,-0.1160936
71,1.2180482,1.1362337,"('diffident', 'self-confident')",0.8036933,0.89813536,0.29169443,0.27280176,0.7711453,0.769057,0.0020883
59,1.195285,1.1930308,"('foolish', 'wise')",0.13485926,-0.012708493,-0.13211414,0.17222092,0.3993433,0.4508477,-0.0515044
30,1.1518047,0.9893103,"('intolerant', 'tolerant')",0.08963077,-0.07477645,0.22143619,0.033001527,0.4876239,0.3158451,0.1717788
0,1.1200279,1.0454581,"('unsociable', 'sociable')",-0.5674542,-0.61680865,-0.40386653,-0.75728935,0.0495691,-0.1095466,0.1591157
62,1.0752234,0.6980102,"('incompetent', 'brilliant')",0.14710788,0.34067917,0.4856766,0.30335444,0.5693359,0.447348,0.1219879
55,1.0481523,0.8296226,"('incompetent', 'clever')",-0.93492764,-0.9939247,0.49983403,0.124956906,0.2043529,-0.013115,0.2174679
85,0.9273766,1.3220197,"('insignificant', 'prestigious')",-0.34085193,-0.32361582,-0.55139685,-0.25339836,0.0117093,0.2483352,-0.2366259
56,0.92679787,0.75248146,"('impractical', 'practical')",0.53805476,0.6624292,-0.7124367,-0.92478,0.2508053,0.1633769,0.0874284
26,0.8959685,0.46772367,"('hardhearted', 'benevolent')",1.8713285,1.491506,1.7536666,1.5053822,1.5069879,1.1548707,0.3521172
23,0.8869385,0.82093376,"('insincere', 'sincere')",-0.09110975,-0.08049907,6.228683,5.9184594,2.3415039,2.2196314,0.1218725
6,-0.81725264,-0.45024946,"('distant', 'open')",0.03809488,0.13188823,-0.6565844,-0.3305926,-0.4785807,-0.2163179,-0.2622628
35,-0.7961818,-0.90930414,"('corrupt', 'incorrupt')",-0.32565475,-0.4740554,-0.99014485,-0.6531192,-0.7039938,-0.6788263,-0.0251675
61,0.792721,0.7912634,"('illogical', 'logical')",-0.5157618,-0.58765894,0.50471723,0.3835286,0.2605588,0.195711,0.0648478
87,0.7888363,0.5103027,"('unsuccessful', 'successful')",0.9957184,1.0327178,1.1650233,1.0885749,0.9831927,0.8771985,0.1059942
47,-0.78591007,-0.91572404,"('stupid', 'smart')",-0.38351044,-0.5000484,5.1147785,4.8970985,1.3151193,1.160442,0.1546773
14,0.7802303,0.7477146,"('antisocial', 'social')",0.72473866,0.74442875,0.16310298,-0.1996082,0.556024,0.4308451,0.1251789
80,0.77850705,0.24363197,"('dominated', 'dominating')",-0.083679244,-0.17955211,-0.30124733,-0.5339987,0.1311935,-0.1566396,0.2878331
63,0.7673108,0.45376956,"('unperceptive', 'insightful')",0.49875146,0.2967962,0.7974526,0.42592394,0.6878383,0.3921632,0.2956751
37,0.7615916,0.59755087,"('fake', 'genuine')",-0.22871238,-0.4545635,0.34632096,0.1409254,0.2930667,0.0946376,0.1984291
5,-0.7577628,-0.5301639,"('distant', 'outgoing')",0.24279428,0.37952626,-0.5829815,-0.21960714,-0.3659833,-0.1234149,-0.2425684
34,-0.73975194,-0.43052083,"('mean', 'honorable')",0.2773197,0.38444346,5.460648,5.356744,1.6660719,1.7702222,-0.1041503
72,0.72307265,1.1186622,"('unambitious', 'ambitious')",-0.85379535,-0.538393,-0.22361624,-0.31022158,-0.118113,0.0900159,-0.2081289
58,0.6728356,0.83915526,"('undiscriminating', 'discriminating')",0.3736168,0.3882323,0.35811964,0.36674362,0.4681907,0.5313771,-0.0631864
60,-0.66886705,-0.6070157,"('inefficient', 'efficient')",-0.2597051,-0.20311669,-0.20315157,-0.6239763,-0.3772413,-0.4780362,0.1007949
51,0.6593932,0.73524076,"('uneducated', 'educated')",0.24266481,0.112690836,0.6154014,0.25075278,0.5058198,0.3662281,0.1395917
54,0.65681404,0.91409004,"('incapable', 'capable')",0.048559286,0.28816167,0.70403194,0.8943479,0.4698017,0.6988665,-0.2290648
81,-0.6500035,-0.93946856,"('submissive', 'aggressive')",-0.16131529,-0.15946274,-0.6248541,-0.87058115,-0.4787243,-0.6565042,0.1777799
17,-0.6444027,-0.63974756,"('nasty', 'nice')",-1.2251401,-1.2272804,-0.70954764,-0.67772096,-0.8596969,-0.8482497,-0.0114472
21,0.58436096,0.6809505,"('immoral', 'moral')",-0.0042191995,0.0026510013,-0.676053,-0.89416784,-0.0319704,-0.0701888,0.0382184
68,-0.5830243,-0.31973323,"('dependent', 'independent')",-0.313362,-0.21593808,-1.1882694,-1.0702391,-0.6948853,-0.5353034,-0.1595819
70,0.58118606,0.22003642,"('lethargic', 'energetic')",0.10272928,-0.064724505,0.30561912,-0.106816724,0.3298448,0.0161651,0.3136797
