,expedia_male,expedia_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.1937838,-2.276321,"('uninfluential', 'influential')",-0.1790267,-0.445275,-0.3548465,-0.41046298,-0.9092189,-1.0440197,0.1348008
53,-1.9349729,-2.019756,"('uncreative', 'creative')",-0.04819275,-0.2576974,1.0575674,1.0478864,-0.3085328,-0.4098557,0.1013229
10,-1.805612,-1.569404,"('unsympathetic', 'sympathetic')",-0.09398584,-0.099985026,-0.40481928,-0.19037762,-0.768139,-0.6199222,-0.1482168
73,1.7407552,1.6828017,"('helpless', 'self-reliant')",0.28362694,0.34505647,-2.9800808,-3.1754763,-0.3185662,-0.3825394,0.0639732
8,-1.6575493,-1.7560451,"('unaffectionate', 'affectionate')",-0.3442472,-0.42643374,1.0946305,0.9951467,-0.3023887,-0.3957774,0.0933887
1,-1.6446705,-1.9304205,"('unfriendly', 'friendly')",-0.4328429,-0.66732675,2.0940526,1.9745083,0.005513,-0.2077463,0.2132593
69,1.6268835,1.4802401,"('lazy', 'industrious')",0.42621553,0.3666286,-0.30999714,-0.5864646,0.581034,0.4201347,0.1608993
57,-1.5798372,-1.4300624,"('unimaginative', 'imaginative')",-0.26144055,-0.28278124,-2.7149715,-2.6967974,-1.5187497,-1.4698804,-0.0488693
82,-1.5427375,-1.2945176,"('poor', 'rich')",-0.30217856,-0.09199624,6.244138,6.4990425,1.4664071,1.7041763,-0.2377692
9,-1.4569236,-1.5973569,"('unaffectionate', 'caring')",-0.17728403,-0.41689172,1.4434175,1.3039722,-0.0635967,-0.2367588,0.1731621
44,1.4466937,1.5271417,"('prejudiced', 'unprejudiced')",0.02161758,0.0633113,-1.0856072,-1.080468,0.127568,0.169995,-0.042427
46,-1.4178635,-1.3150107,"('uncompetitive', 'competitive')",1.0757719,1.1010326,-1.1437634,-0.94846195,-0.495285,-0.38748,-0.107805
67,1.3919895,1.6061789,"('doubtful', 'determined')",0.30718923,0.69890934,-0.7814483,-0.45185903,0.3059101,0.6177431,-0.311833
0,-1.2965851,-1.1490606,"('unsociable', 'sociable')",0.08695927,0.06708055,-0.70835453,-0.6297872,-0.6393268,-0.5705891,-0.0687377
55,-1.2794669,-1.1084836,"('incompetent', 'clever')",1.0180973,1.0668426,-0.26693392,-0.13830851,-0.1761012,-0.0599832,-0.116118
78,-1.238459,-1.3667659,"('nonresilient', 'resilient')",0.862095,0.6209328,0.058269776,0.044343743,-0.1060314,-0.2338298,0.1277984
45,-1.1349951,-0.8770626,"('incompetent', 'competent')",0.07179734,0.25777406,-0.5046615,-0.46227482,-0.5226197,-0.3605211,-0.1620986
64,1.1333417,1.1011994,"('shy', 'confident')",1.2692355,1.1141803,-7.0006175,-7.0001197,-1.5326802,-1.5949133,0.0622331
28,-1.1104565,-1.2741168,"('disloyal', 'loyal')",-0.33909208,-0.23812136,0.8511262,0.89488614,-0.1994741,-0.205784,0.0063099
23,-1.0868526,-1.0856655,"('insincere', 'sincere')",0.049496166,-0.011566911,5.8499722,5.961045,1.6042053,1.6212708,-0.0170655
24,-1.0260477,-0.8184193,"('dishonest', 'honest')",-0.59195757,-0.4243368,0.42265567,0.6117387,-0.3984499,-0.2103391,-0.1881108
19,-1.0250286,-0.8939424,"('inhospitable', 'hospitable')",-1.7854351,-1.7684643,-0.03302478,-0.043850377,-0.9478295,-0.9020857,-0.0457438
39,0.93092996,0.9962079,"('exploitative', 'cooperative')",1.4893475,1.5842481,0.05330226,0.14435479,0.8245265,0.9082703,-0.0837438
48,-0.88724554,-1.0490026,"('unintelligent', 'intelligent')",-0.02569671,-0.22003123,0.29393047,0.31122944,-0.2063373,-0.3192681,0.1129308
59,0.8633712,0.68089235,"('foolish', 'wise')",-0.8651564,-0.8752908,0.6241671,0.5098235,0.2074606,0.1051417,0.1023189
75,0.83057964,0.94455045,"('meek', 'impulsive')",-1.0982666,-0.90224063,-0.4508034,-0.301201,-0.2394968,-0.0862971,-0.1531997
42,0.83013463,0.9842163,"('unreliable', 'reliable')",1.2654214,1.4280633,-3.048874,-3.0211859,-0.3177726,-0.2029688,-0.1148038
51,-0.77117443,-0.6634042,"('uneducated', 'educated')",0.45719075,0.4507436,0.18287253,0.25024053,-0.0437037,0.0125266,-0.0562303
74,-0.7697506,-0.55738986,"('undedicated', 'dedicated')",0.952091,1.1051412,0.09562774,0.11318652,0.092656,0.2203126,-0.1276566
58,-0.7333484,-0.86083823,"('undiscriminating', 'discriminating')",0.9141929,0.67270845,0.19853382,-0.050589684,0.1264594,-0.0795732,0.2060326
37,-0.7310815,-0.65496916,"('fake', 'genuine')",-0.16472475,-0.07218589,0.51275563,0.5281149,-0.1276835,-0.0663467,-0.0613368
32,-0.6912085,-0.49048406,"('unkind', 'kind')",0.2519409,0.35053247,0.6218257,0.7026089,0.0608527,0.1875524,-0.1266997
13,-0.6550323,-0.36095372,"('impolite', 'polite')",-0.16228297,-0.040560573,-0.7167225,-0.588348,-0.5113459,-0.3299541,-0.1813918
