,weatherford_male,weatherford_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,male-female
1,-3.0340161,-2.421001,"('unfriendly', 'friendly')",-0.6257578,-0.26789755,0.93102294,1.3538667,-0.9095836,-0.4450106,-0.464573
53,-2.099305,-1.7148249,"('uncreative', 'creative')",-0.7705727,-0.77761465,0.42938253,0.5963466,-0.8134983,-0.632031,-0.1814673
8,-2.0265865,-1.7776297,"('unaffectionate', 'affectionate')",-1.1373094,-0.89683485,0.09949124,0.32688203,-1.0214683,-0.7825275,-0.2389408
36,-1.8809888,-1.919121,"('hostile', 'amicable')",-0.17436633,-0.19200736,0.9220827,0.81225574,-0.3777575,-0.4329575,0.0552
9,-1.8737283,-1.5391607,"('unaffectionate', 'caring')",-0.50506127,-0.20687166,0.6106658,0.85214996,-0.5893745,-0.2979608,-0.2914137
6,-1.7422887,-1.4887856,"('distant', 'open')",-0.391482,-0.055986248,-0.063877426,0.16164145,-0.7325493,-0.4610435,-0.2715058
41,-1.7262596,-1.3115675,"('unforgiving', 'forgiving')",-0.18199167,-0.3321479,-0.14043394,0.20199549,-0.6828951,-0.4805733,-0.2023218
57,-1.4795456,-0.9584652,"('unimaginative', 'imaginative')",-0.077483594,-0.001758486,-1.6243308,-1.0493715,-1.0604533,-0.6698651,-0.3905882
86,-1.4776223,-1.0675986,"('uninfluential', 'influential')",-0.27959618,-0.2615131,-0.5837303,-0.107750565,-0.7803163,-0.4789541,-0.3013622
52,-1.4379468,-1.4179173,"('irrational', 'rational')",-1.0399059,-1.2266066,-0.13067138,-0.29094267,-0.8695081,-0.9784888,0.1089807
18,-1.4218193,-1.5153229,"('disagreeable', 'welcoming')",0.55840075,0.43640095,-1.2739617,-1.2835162,-0.71246,-0.7874794,0.0750194
40,-1.3795774,-1.0134223,"('stingy', 'generous')",0.082199775,-0.061863776,-1.798111,-1.333343,-1.0318295,-0.8028763,-0.2289532
31,-1.3515477,-1.1125412,"('evil', 'good')",-0.67731863,-0.5226973,-0.4771808,-0.03628593,-0.835349,-0.5571748,-0.2781742
85,-1.3464711,-1.3502634,"('insignificant', 'prestigious')",-1.1369525,-1.1112142,-0.1846865,-0.16561122,-0.88937,-0.8756963,-0.0136737
25,-1.3316232,-1.4240123,"('egoistic', 'altruistic')",0.25964898,0.062269814,1.4257683,1.241937,0.1179313,-0.0399352,0.1578665
19,-1.309648,-1.1244767,"('inhospitable', 'hospitable')",-1.3019407,-1.1164067,-0.98539007,-0.80909103,-1.1989929,-1.0166581,-0.1823348
26,-1.2988609,-0.9789892,"('hardhearted', 'benevolent')",1.0747281,1.3232288,2.2062478,2.379215,0.660705,0.9078182,-0.2471132
77,-1.287538,-1.2472904,"('unmotivated', 'motivated')",0.0038271174,-0.20876308,-0.9850352,-0.90757924,-0.7562487,-0.7878776,0.0316289
