,northern_male,northern_female,tuple,trust_male,trust_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.4977705,-3.0201023,"('hostile', 'amicable')",-1.1969775,-1.2813739,-1.5428843,-1.4370488,-1.7458774,-1.9128416,0.1669642
6,-1.5182052,-1.9001788,"('distant', 'open')",-0.580786,-0.65329087,-1.2920157,-1.0390301,-1.1303356,-1.1974999,0.0671643
5,-1.4909009,-1.8691329,"('distant', 'outgoing')",-0.65591234,-0.70196545,-1.4536576,-1.2521293,-1.2001569,-1.2744092,0.0742523
14,1.4641887,1.4721698,"('antisocial', 'social')",1.9859287,1.8282489,0.40926126,0.17555907,1.2864595,1.1586592,0.1278003
31,-1.4608268,-1.8484365,"('evil', 'good')",-1.0850639,-1.2020863,-2.1262696,-1.9726737,-1.5573867,-1.6743987,0.117012
19,-1.4212132,-1.4774165,"('inhospitable', 'hospitable')",-1.096062,-1.1043472,-1.1470869,-0.9982538,-1.221454,-1.1933392,-0.0281148
65,1.3748093,1.5478379,"('insecure', 'secure')",1.3470733,1.5973808,1.0526537,0.80349547,1.2581787,1.316238,-0.0580593
77,-1.3729426,-1.1102675,"('unmotivated', 'motivated')",0.3470684,0.53835386,-0.45280212,-0.5617109,-0.4928921,-0.3778749,-0.1150172
49,-1.3516597,-1.1143613,"('unable', 'able')",-0.12900865,0.03008142,-0.14945453,0.046740737,-0.5433743,-0.3458464,-0.1975279
76,1.2895026,1.4663732,"('anxious', 'daring')",1.2155826,1.2955151,0.8358677,0.77901447,1.113651,1.1803009,-0.0666499
70,1.2885952,1.1891313,"('lethargic', 'energetic')",0.74813604,0.6046225,1.0878279,0.8096125,1.0415197,0.8677888,0.1737309
12,1.2847008,1.433841,"('unsupportive', 'supportive')",0.966701,0.9367472,-1.9131308,-1.879302,0.112757,0.1637621,-0.0510051
85,-1.2512184,-1.7860589,"('insignificant', 'prestigious')",-1.1855991,-1.3245099,-2.1388884,-1.8065652,-1.5252353,-1.6390446,0.1138093
4,-1.2135918,-1.6069908,"('disliked', 'liked')",-0.31782287,-0.4446289,-8.284034,-8.27211,-3.2718163,-3.4412432,0.1694269
72,1.1772436,1.351116,"('unambitious', 'ambitious')",0.95831907,1.0338736,0.101822756,0.293497,0.7457952,0.8928289,-0.1470337
56,1.1766384,1.3935146,"('impractical', 'practical')",1.4207277,1.4375643,0.2866976,0.23211247,0.9613546,1.0210638,-0.0597092
69,-1.1426501,-1.2895504,"('lazy', 'industrious')",0.110438816,0.07865861,-1.8465874,-1.6827393,-0.9595996,-0.9645437,0.0049441
80,1.1279198,1.448667,"('dominated', 'dominating')",0.3718714,0.4056069,0.19014463,0.07967295,0.5633119,0.6446489,-0.081337
40,1.1066056,1.0764918,"('stingy', 'generous')",0.38478023,0.41231522,-2.5024576,-2.5363185,-0.3370239,-0.3491705,0.0121466
7,1.0676845,1.168824,"('insensitive', 'sensitive')",1.2045774,1.0649261,1.0857588,1.0218525,1.1193403,1.0852009,0.0341394
10,1.0276854,1.187557,"('unsympathetic', 'sympathetic')",-0.07217234,-0.03883211,0.89855105,0.69953877,0.6180214,0.6160879,0.0019335
16,-1.0250276,-1.51507,"('unpopular', 'popular')",-1.0000855,-1.1036489,-0.24976116,-0.23248787,-0.7582914,-0.9504023,0.1921109
35,-1.0058697,-1.57321,"('corrupt', 'incorrupt')",-1.1865149,-1.2902408,-1.8280876,-1.5634289,-1.3401575,-1.4756266,0.1354691
39,1.0011848,1.2322922,"('exploitative', 'cooperative')",1.4376507,1.6064721,0.03125167,0.22238985,0.8233624,1.0203847,-0.1970223
18,0.9902529,1.2834257,"('disagreeable', 'welcoming')",-0.3337052,-0.3236829,-1.0030107,-0.84710157,-0.1154877,0.0375471,-0.1530348
62,0.97295755,1.0279433,"('incompetent', 'brilliant')",1.1054994,1.1660022,1.3731256,1.2754405,1.1505275,1.156462,-0.0059345
60,0.9431527,1.4316082,"('inefficient', 'efficient')",0.88946086,1.0859355,0.99739283,0.8266771,0.9433355,1.1147403,-0.1714048
