,simon_male,simon_female,tuple,property_male,property_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
12,2.3662546,2.244022,"('unsupportive', 'supportive')",1.063745,1.1217043,1.1885457,1.2255259,-1.5564722,-1.6623346,0.7655183,0.7322295,0.0332888
36,-2.2708597,-2.018906,"('hostile', 'amicable')",0.35162473,0.3131507,-1.1173259,-1.1248748,0.016047804,0.30006787,-0.7551283,-0.6326406,-0.1224877
56,2.234128,2.155533,"('impractical', 'practical')",0.45209688,0.46828577,0.90657204,0.82179904,0.17598484,-0.039290383,0.9421955,0.8515819,0.0906136
62,2.2084293,2.174558,"('incompetent', 'brilliant')",-0.37329274,-0.48093435,0.84587705,0.7526264,0.34112534,-0.019032104,0.7555347,0.6068045,0.1487302
69,-2.1424599,-1.9903039,"('lazy', 'industrious')",1.1415435,1.2775445,0.3346455,0.30382156,-0.7776724,-0.45256957,-0.3609858,-0.2153769,-0.1456089
30,1.9604832,1.9992071,"('intolerant', 'tolerant')",0.6603862,0.725215,0.6267179,0.6393635,1.1191725,1.0793896,1.0916899,1.1107938,-0.0191039
43,1.9206562,1.914983,"('irresponsible', 'responsible')",0.6121923,0.7025373,1.0046506,0.98994315,0.9234126,0.618884,1.1152279,1.0565869,0.058641
35,-1.7729586,-1.4280764,"('corrupt', 'incorrupt')",-0.42098534,-0.271098,-1.266518,-1.1682663,-0.3744049,-0.013651878,-0.9587168,-0.7202731,-0.2384437
31,-1.770058,-1.3788419,"('evil', 'good')",-1.0454284,-1.0193516,-1.3207392,-1.3477983,-1.2993648,-1.2127895,-1.3588977,-1.2396953,-0.1192024
70,1.7068435,1.5309359,"('lethargic', 'energetic')",-0.068592,-0.10092476,0.8183439,0.80744,1.1786771,0.8898548,0.9088181,0.7818265,0.1269916
7,1.6676055,1.3921434,"('insensitive', 'sensitive')",0.49418217,0.45363918,0.26052493,0.25513375,1.071837,0.7830002,0.8735374,0.7209792,0.1525582
14,1.6582652,1.3782995,"('antisocial', 'social')",0.8648866,0.88771254,1.5739071,1.5445632,-0.46505043,-0.69652295,0.9080022,0.778513,0.1294892
76,1.602247,1.486968,"('anxious', 'daring')",0.18387438,0.29209727,1.1134508,1.2762804,0.6705138,0.59364027,0.8925215,0.9122465,-0.019725
60,1.5942025,1.8086715,"('inefficient', 'efficient')",-0.5400489,-0.40844932,1.3648301,1.4698235,0.3178705,0.11261959,0.6842136,0.7456663,-0.0614527
16,-1.5269439,-1.3724142,"('unpopular', 'popular')",-0.3812387,-0.3274882,-0.13434759,-0.03642573,0.5324106,0.6430931,-0.3775299,-0.2733088,-0.1042211
46,1.5057869,1.2560014,"('uncompetitive', 'competitive')",-0.12581128,-0.18889438,1.4882895,1.5482533,-0.12722328,-0.28297392,0.6852605,0.5830966,0.1021639
23,1.4830743,1.449705,"('insincere', 'sincere')",-0.24760187,-0.32640213,0.46548238,0.4378689,6.303127,5.779761,2.0010204,1.8352332,0.1657872
39,1.441378,1.4399054,"('exploitative', 'cooperative')",-0.3850745,-0.22248639,0.98835295,1.0355024,-0.16023703,-0.2091802,0.4711049,0.5109354,-0.0398305
5,-1.4351256,-1.0736611,"('distant', 'outgoing')",0.5473155,0.790063,-0.84671795,-0.8160282,-0.33863226,-0.035327494,-0.5182901,-0.2837384,-0.2345517
6,-1.4323109,-0.8267474,"('distant', 'open')",0.42646635,0.7370683,-1.3935236,-1.3345013,0.10177172,0.3915198,-0.5743991,-0.2581652,-0.3162339
42,1.4251438,1.3791705,"('unreliable', 'reliable')",1.024233,1.150707,1.586426,1.698267,-2.6020346,-2.6306648,0.3584421,0.39937,-0.0409279
9,1.4151217,1.7579494,"('unaffectionate', 'caring')",0.9157693,0.94919753,0.1788513,0.17296198,0.96291345,0.8983036,0.8681639,0.9446031,-0.0764392
55,1.4032116,1.3664601,"('incompetent', 'clever')",-0.9742152,-1.0570693,0.58532286,0.58052737,-0.14266413,-0.40971482,0.2179138,0.1200508,0.097863
10,1.2386343,1.2199192,"('unsympathetic', 'sympathetic')",-0.83382887,-0.905299,0.14249486,0.16002205,0.1619171,-0.29003164,0.1773044,0.0461527,0.1311517
74,1.2005631,1.2213609,"('undedicated', 'dedicated')",-0.51393116,-0.34405944,1.0952499,1.0591214,0.36447784,0.36073935,0.5365899,0.5742905,-0.0377006
75,-1.1884696,-1.2028124,"('meek', 'impulsive')",0.14128315,0.079134405,-1.0401664,-1.0132804,-0.454059,-0.3425698,-0.635353,-0.619882,-0.015471
78,-1.0924075,-0.83464205,"('nonresilient', 'resilient')",0.6009668,0.80289215,1.2415367,1.3264332,0.45629618,0.526947,0.3015981,0.4554076,-0.1538095
24,1.0412215,1.1788405,"('dishonest', 'honest')",-0.7218209,-0.7187547,-0.34322178,-0.27781695,0.73353314,0.47836164,0.177428,0.1651576,0.0122704
33,-1.0398958,-0.98678166,"('wrong', 'right')",0.36579576,0.41562855,-0.20524329,-0.14317921,-0.8750371,-0.78061706,-0.4385951,-0.3737373,-0.0648578
45,0.9936123,0.6904323,"('incompetent', 'competent')",-0.38916922,-0.68556213,0.81597865,0.4302964,-0.032616235,-0.5747773,0.3469514,-0.0349027,0.3818541
72,0.98569673,1.074548,"('unambitious', 'ambitious')",0.8262851,0.9036331,0.69327396,0.74085605,-0.79128873,-0.9138262,0.4284918,0.4513027,-0.0228109
2,0.9665448,1.4409688,"('unlikable', 'likable')",1.009545,1.123151,1.8365219,1.9311451,0.76982135,0.9104687,1.1456082,1.3514334,-0.2058252
67,0.9611486,0.8304579,"('doubtful', 'determined')",0.60598516,0.56245893,0.88775307,0.8329615,-0.46003425,-0.47837168,0.4987132,0.4368767,0.0618365
21,0.9582245,1.2596172,"('immoral', 'moral')",-0.21983133,-0.11976255,0.16193193,0.46842253,-0.851336,-0.8439874,0.0122473,0.1910724,-0.1788251
81,0.8948912,0.7429297,"('submissive', 'aggressive')",-0.48592824,-0.7701559,1.4996021,1.4283075,-0.4652523,-0.70357776,0.3608282,0.1743759,0.1864523
65,0.87493235,0.70761454,"('insecure', 'secure')",-0.6005043,-0.64975226,1.0551233,0.99043846,0.17902926,-0.047300585,0.3771452,0.25025,0.1268952
83,0.826643,0.9419119,"('powerless', 'powerful')",1.1151265,1.3478231,-0.22286272,-0.08035818,-1.2276201,-1.0592635,0.1228217,0.2875283,-0.1647066
44,-0.7845242,-0.7951321,"('prejudiced', 'unprejudiced')",-0.5535533,-0.43587905,-0.38584805,-0.2733942,-1.4511163,-1.248822,-0.7937605,-0.6883068,-0.1054537
25,-0.7833776,-0.3026269,"('egoistic', 'altruistic')",-0.17412327,0.066826336,-0.41385663,-0.17367874,1.1457012,1.4361562,-0.0564141,0.2566692,-0.3130833
63,0.78003436,0.676629,"('unperceptive', 'insightful')",0.44867787,0.35099494,1.7655215,1.7368916,1.3788509,1.1684839,1.0932711,0.9832498,0.1100213
8,0.7693934,1.1217244,"('unaffectionate', 'affectionate')",0.8556529,0.99338937,0.07608244,0.13574587,0.23522116,0.20235972,0.4840875,0.6133048,-0.1292173
88,-0.75329405,-0.7302896,"('low', 'eminent')",-1.0988607,-1.0097972,-1.0822799,-0.9719524,0.22079296,0.20573851,-0.6784104,-0.6265752,-0.0518352
57,0.7424567,0.5817565,"('unimaginative', 'imaginative')",0.0048203543,-0.047663014,-0.21991281,-0.29224256,-2.536633,-2.5923684,-0.5023172,-0.5876294,0.0853122
87,0.7382665,0.5296193,"('unsuccessful', 'successful')",0.90169525,0.7393212,1.9578757,1.8117474,0.9972099,0.9722879,1.1487619,1.0132439,0.135518
37,0.72493356,0.7762061,"('fake', 'genuine')",-0.40713567,-0.40267646,0.17034467,0.1642023,0.52026784,0.36728203,0.2521026,0.2262535,0.0258491
54,0.69427127,0.9563524,"('incapable', 'capable')",0.18150833,0.44872952,-0.021313,0.068044856,1.007198,1.0546962,0.4654161,0.6319557,-0.1665396
0,0.67973566,0.53690445,"('unsociable', 'sociable')",-0.5130962,-0.63972485,0.5304949,0.44660166,-0.45017684,-0.7399991,0.0617394,-0.0990545,0.1607939
