,ball_male,ball_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,4.348107,4.5438404,"('inefficient', 'efficient')",0.71017134,1.2088131,2.529139,2.8763268,-0.3471878
55,3.701577,3.7364283,"('incompetent', 'clever')",0.48791802,0.79751366,2.0947475,2.2669709,-0.1722234
14,3.6114447,3.8754287,"('antisocial', 'social')",-0.027998747,-0.08862028,1.791723,1.8934042,-0.1016812
36,-3.5192714,-3.936631,"('hostile', 'amicable')",-0.70152146,-1.3124111,-2.1103964,-2.624521,0.5141246
85,-3.5049448,-3.8504689,"('insignificant', 'prestigious')",-0.7430281,-1.4472668,-2.1239865,-2.6488678,0.5248813
31,-3.4491131,-3.6109843,"('evil', 'good')",-1.4401222,-1.844523,-2.4446177,-2.7277536,0.2831359
35,-3.4204705,-3.769942,"('corrupt', 'incorrupt')",-0.66060644,-1.236666,-2.0405385,-2.503304,0.4627655
62,3.2227678,3.454953,"('incompetent', 'brilliant')",0.6676434,1.1529402,1.9452057,2.3039465,-0.3587408
81,2.9399626,3.3076425,"('submissive', 'aggressive')",-0.47889867,0.05540187,1.2305319,1.6815221,-0.4509902
56,2.9323778,3.5457618,"('impractical', 'practical')",-0.27168038,0.2352659,1.3303487,1.8905139,-0.5601652
10,2.9097419,3.005005,"('unsympathetic', 'sympathetic')",-0.008396359,0.6803723,1.4506727,1.8426886,-0.3920159
59,-2.827639,-2.751465,"('foolish', 'wise')",0.27280626,-0.18212432,-1.2774165,-1.4667947,0.1893782
4,-2.7780552,-2.6489534,"('disliked', 'liked')",-7.76966,-8.394846,-5.2738576,-5.5218997,0.2480421
21,2.753756,2.9671848,"('immoral', 'moral')",-0.09221774,0.09756801,1.3307692,1.5323764,-0.2016072
0,2.7252476,2.8530748,"('unsociable', 'sociable')",0.23199436,0.5205662,1.478621,1.6868205,-0.2081995
52,-2.6952753,-3.2413964,"('irrational', 'rational')",-0.3418013,-0.7716725,-1.5185382,-2.0065346,0.4879964
6,-2.6443617,-3.0582929,"('distant', 'open')",-0.46374056,-0.59835213,-1.5540512,-1.8283225,0.2742713
70,2.617363,3.0838754,"('lethargic', 'energetic')",0.6739644,1.175019,1.6456637,2.1294472,-0.4837835
76,2.5610118,2.2458777,"('anxious', 'daring')",0.21015538,0.6556875,1.3855836,1.4507827,-0.0651991
5,-2.527596,-2.8216581,"('distant', 'outgoing')",-0.62013483,-0.7755411,-1.5738654,-1.7985996,0.2247342
79,-2.518418,-2.6890662,"('wavering', 'unwavering')",-0.7651763,-0.7747716,-1.6417972,-1.7319188,0.0901216
46,2.4994056,2.4889057,"('uncompetitive', 'competitive')",-0.62193084,-0.4152061,0.9387374,1.0368497,-0.0981123
65,2.483947,2.6354206,"('insecure', 'secure')",0.05600013,0.54342085,1.2699736,1.5894207,-0.3194471
7,2.2938316,2.6966064,"('insensitive', 'sensitive')",0.6435273,0.9022263,1.4686794,1.7994163,-0.3307369
13,2.2479308,2.5622275,"('impolite', 'polite')",-0.79120934,-0.38797358,0.7283607,1.087127,-0.3587663
