,home_male,home_female,tuple,depot_male,depot_female,inc_male,inc_female,average_male,average_female,male-female
49,-1.7275825,-1.377383,"('unable', 'able')",-1.362968,-1.1669482,-0.59412706,-0.25929666,-1.2282259,-0.9345426,-0.2936833
73,1.5480214,1.5080316,"('helpless', 'self-reliant')",0.6393002,0.81912607,-3.588526,-3.457249,-0.4670681,-0.3766971,-0.090371
77,-1.2109655,-0.95451874,"('unmotivated', 'motivated')",0.3563328,0.4020559,-1.3135806,-1.2122774,-0.7227378,-0.5882467,-0.1344911
36,-1.1223661,-0.46064243,"('hostile', 'amicable')",-0.96018565,-0.36440438,0.1907735,0.20620455,-0.6305927,-0.2062807,-0.424312
67,1.1216803,0.7928656,"('doubtful', 'determined')",0.29548958,0.190911,-0.66913265,-0.73459077,0.2493457,0.0830619,0.1662838
39,1.1033295,1.0140588,"('exploitative', 'cooperative')",1.0746154,0.93807286,0.34867185,0.26657298,0.8422056,0.7395682,0.1026374
53,-1.0948159,-0.81441295,"('uncreative', 'creative')",-0.8772087,-0.7345556,0.9427799,0.95570886,-0.3430816,-0.1977532,-0.1453284
3,-1.0351161,-0.9714823,"('repellent', 'pleasant')",-0.38864923,-0.397144,0.21762298,0.24848899,-0.4020474,-0.3733791,-0.0286683
57,-0.9812071,-1.554133,"('unimaginative', 'imaginative')",-1.062475,-1.5219908,-2.7670398,-2.9100623,-1.603574,-1.9953953,0.3918213
5,-0.89841443,-0.25270262,"('distant', 'outgoing')",-0.52841675,-0.018636808,-0.465752,-0.23958018,-0.6308611,-0.1703065,-0.4605546
86,-0.8922137,-1.4771485,"('uninfluential', 'influential')",-0.509873,-0.9411293,0.11326061,-0.18729751,-0.4296087,-0.8685251,0.4389164
68,-0.87628317,-0.75370485,"('dependent', 'independent')",-0.92159504,-0.7299526,-0.59632826,-0.5494542,-0.7980688,-0.6777039,-0.1203649
82,-0.8500186,-0.8494561,"('poor', 'rich')",-0.6932481,-0.7264465,6.288656,6.4330635,1.5817965,1.6190537,-0.0372572
33,0.8343242,1.1483932,"('wrong', 'right')",0.37781778,0.5431094,-0.6983197,-0.71475744,0.1712741,0.3255817,-0.1543076
37,0.8255235,0.5551155,"('fake', 'genuine')",0.52020264,0.32438314,0.5634374,0.20841023,0.6363878,0.3626363,0.2737515
34,-0.80402297,-0.35072464,"('mean', 'honorable')",0.34251943,0.56545174,6.133614,6.27547,1.8907035,2.1633989,-0.2726954
26,0.7564301,0.43404916,"('hardhearted', 'benevolent')",1.1612296,1.1398304,1.8836033,1.8046807,1.2670877,1.1261867,0.140901
0,-0.74342525,-1.2474922,"('unsociable', 'sociable')",0.42057908,0.06681738,-0.35955518,-0.58436745,-0.2274671,-0.5883474,0.3608803
8,-0.6854331,-0.5419282,"('unaffectionate', 'affectionate')",-0.34241122,-0.23742779,0.89466304,0.8189896,-0.0443938,0.0132112,-0.057605
58,-0.6744665,-1.1046541,"('undiscriminating', 'discriminating')",0.15681453,-0.16492549,0.35714984,0.04038994,-0.0535007,-0.4097299,0.3562292
