,plum_male,plum_female,tuple,creek_male,creek_female,timber_male,timber_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
85,1.9222168,1.5496423,"('insignificant', 'prestigious')",-0.20783052,-0.20903972,1.5496488,1.3163805,-0.13859281,-0.45994696,0.72732246,0.43030748,0.7705529,0.5254687,0.2450842
65,-1.8834742,-1.6662998,"('insecure', 'secure')",-2.027013,-1.8844466,-0.22385465,-0.23712346,0.21712224,0.28783536,-0.67980623,-0.4285937,-0.9194052,-0.7857256,-0.1336796
81,-1.8733796,-1.7032526,"('submissive', 'aggressive')",-1.1274753,-0.9956672,-0.80356085,-0.8548983,-0.9276056,-1.054336,-1.4851016,-1.3563436,-1.2434246,-1.1928995,-0.0505251
10,-1.8128027,-1.7138982,"('unsympathetic', 'sympathetic')",-1.1839777,-1.1984563,-0.3174773,-0.7118859,-0.771903,-1.1888005,-0.13673835,-0.12361229,-0.8445798,-0.9873306,0.1427508
51,-1.7241834,-1.8731885,"('uneducated', 'educated')",-0.8417143,-1.0646843,-0.8189832,-1.1609508,-0.37602535,-0.76685476,0.08914238,-0.25831938,-0.7343528,-1.0247995,0.2904467
55,-1.6916306,-1.4704738,"('incompetent', 'clever')",-1.0630192,-0.9153514,-0.9207083,-0.97009486,-0.16492182,-0.4359707,-0.491784,-0.6478592,-0.8664127,-0.88795,0.0215373
46,-1.6736541,-1.256757,"('uncompetitive', 'competitive')",0.44073388,0.9398067,0.33958083,0.4323149,0.25480092,0.1896768,-0.7840879,-0.8739379,-0.2845253,-0.1137793,-0.170746
70,-1.66636,-1.4737767,"('lethargic', 'energetic')",-0.46932298,-0.11892734,-0.15464978,-0.16170481,-0.24101335,-0.16102172,0.49542361,0.6044398,-0.4071845,-0.2621982,-0.1449863
0,-1.651688,-1.6452838,"('unsociable', 'sociable')",-1.0983537,-1.1051277,0.13960604,0.042442404,-0.07282548,-0.18042526,-0.6330436,-0.60611755,-0.6632609,-0.6989024,0.0356415
43,-1.6434246,-1.4964728,"('irresponsible', 'responsible')",-0.30249387,-0.25879395,0.9228935,0.66242266,0.31800592,0.07674142,0.538989,0.61674,-0.033206,-0.0798725,0.0466665
34,-1.6110624,-1.5795202,"('mean', 'honorable')",-0.76476294,-0.706008,0.010626581,0.00939342,0.16301072,0.09775137,6.5333123,6.3531575,0.8662249,0.8349548,0.0312701
86,-1.5380955,-1.591053,"('uninfluential', 'influential')",-0.8283559,-0.812867,0.2997339,0.11138756,-0.3349863,-0.6939062,-0.07056639,-0.37503797,-0.494454,-0.6722953,0.1778413
73,1.5111883,1.4653423,"('helpless', 'self-reliant')",1.2291601,1.1349204,0.28041038,0.24431074,0.52536094,0.5678629,-3.6837497,-3.8175244,-0.027526,-0.0810176,0.0534916
33,1.4601673,1.1498488,"('wrong', 'right')",0.51797736,0.342977,1.4503144,1.1304061,0.39217496,0.048994333,-0.380148,-0.64818984,0.6880972,0.4048073,0.2832899
52,1.4410979,1.1474625,"('irrational', 'rational')",0.121464185,-0.05765239,0.6900631,0.52175677,-0.31869546,-0.64925575,0.483899,0.23704499,0.4835657,0.2398712,0.2436945
5,1.4331383,1.1754227,"('distant', 'outgoing')",0.43180478,0.34049603,0.3695875,0.36841574,-0.082011186,-0.25949,0.029440856,-0.069592945,0.436392,0.3110503,0.1253417
35,1.4002509,1.1927629,"('corrupt', 'incorrupt')",0.38274765,0.42012793,-0.70335025,-0.51970756,-0.44722098,-0.25459796,0.4595741,0.40118527,0.2184003,0.2479541,-0.0295538
11,-1.399617,-1.1860887,"('unhelpful', 'helpful')",-0.04881393,0.067319974,0.3861558,0.33890045,-0.042854674,-0.18158853,2.102219,2.27416,0.1994179,0.2625406,-0.0631227
60,-1.3306286,-1.1385323,"('inefficient', 'efficient')",-0.559947,-0.64184266,0.17267536,-0.04459867,-0.072725706,-0.47632378,-0.38357943,-0.22826624,-0.4348411,-0.5059127,0.0710716
21,-1.2983428,-1.1715013,"('immoral', 'moral')",-0.92930406,-0.9291295,0.39771158,0.074843235,-0.015713334,-0.40819904,-1.2185116,-1.5119982,-0.6128321,-0.789197,0.1763649
