,viacom_male,viacom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
43,-1.4863888,-1.0631247,"('irresponsible', 'responsible')",0.3638612,0.5624643,-0.5612638,-0.2503302,-0.3109336
10,-1.4793851,-1.1435233,"('unsympathetic', 'sympathetic')",-0.39914355,-0.034811184,-0.9392644,-0.5891672,-0.3500972
13,-1.1470165,-0.6111168,"('impolite', 'polite')",-0.4965867,-0.3121812,-0.8218016,-0.461649,-0.3601526
73,1.0700305,1.0651261,"('helpless', 'self-reliant')",-2.867776,-2.9049175,-0.8988727,-0.9198957,0.021023
38,-1.0620912,-0.8117178,"('untruthful', 'truthful')",-0.26692694,-0.11625077,-0.6645091,-0.4639843,-0.2005248
0,-1.0583328,-0.78348756,"('unsociable', 'sociable')",-0.23976211,-0.11784227,-0.6490474,-0.4506649,-0.1983825
8,-1.0494698,-1.0627555,"('unaffectionate', 'affectionate')",0.9278122,0.65541524,-0.0608288,-0.2036701,0.1428413
33,0.97024983,1.0544239,"('wrong', 'right')",-0.42491475,-0.5757414,0.2726675,0.2393413,0.0333262
45,-0.96428597,-0.82169276,"('incompetent', 'competent')",-0.11191545,-0.1753658,-0.5381007,-0.4985293,-0.0395714
48,0.9540113,0.8302187,"('unintelligent', 'intelligent')",0.86388874,0.97131586,0.90895,0.9007673,0.0081827
9,-0.89424944,-0.737478,"('unaffectionate', 'caring')",1.254007,1.0757418,0.1798788,0.1691319,0.0107469
46,-0.88462096,-0.73733,"('uncompetitive', 'competitive')",-0.6263382,-0.41928628,-0.7554796,-0.5783082,-0.1771714
70,-0.8800287,-0.6552165,"('lethargic', 'energetic')",0.79158306,0.9312503,-0.0442228,0.1380169,-0.1822397
85,0.8671986,0.85511106,"('insignificant', 'prestigious')",0.6130502,0.60863364,0.7401244,0.7318723,0.0082521
39,0.8457061,1.049148,"('exploitative', 'cooperative')",0.15320094,0.11537955,0.4994535,0.5822638,-0.0828103
19,-0.844854,-0.52492756,"('inhospitable', 'hospitable')",0.085441016,0.21552369,-0.3797065,-0.1547019,-0.2250046
53,-0.8441716,-0.62927794,"('uncreative', 'creative')",0.8100259,0.8669417,-0.0170729,0.1188319,-0.1359048
58,0.80513245,0.6929173,"('undiscriminating', 'discriminating')",0.6355692,0.47798997,0.7203509,0.5854536,0.1348973
67,-0.74922043,-0.51922953,"('doubtful', 'determined')",-1.0981816,-0.9059554,-0.923701,-0.7125925,-0.2111085
42,-0.7260878,-0.4950857,"('unreliable', 'reliable')",-3.141097,-2.9575152,-1.9335924,-1.7263005,-0.2072919
6,-0.689808,-0.47759703,"('distant', 'open')",0.19067726,0.08947746,-0.2495654,-0.1940598,-0.0555056
63,-0.6836144,-0.38881284,"('unperceptive', 'insightful')",1.3597606,1.5249122,0.3380731,0.5680497,-0.2299766
49,-0.6442489,-0.79874676,"('unable', 'able')",0.18042478,0.017595321,-0.2319121,-0.3905757,0.1586636
66,-0.6431969,-0.60202795,"('inactive', 'active')",0.67962307,0.7277403,0.0182131,0.0628562,-0.0446431
5,-0.63561326,-0.4402734,"('distant', 'outgoing')",-0.31062904,-0.43547398,-0.4731212,-0.4378737,-0.0352475
61,0.6245117,0.6854647,"('illogical', 'logical')",0.44689178,0.39290607,0.5357018,0.5391854,-0.0034836
54,-0.61345506,-0.54697615,"('incapable', 'capable')",1.2434641,1.1267271,0.3150045,0.2898755,0.025129
17,-0.612324,-0.5528873,"('nasty', 'nice')",-0.547449,-0.4949242,-0.5798865,-0.5239058,-0.0559807
40,0.603977,0.5150164,"('stingy', 'generous')",-0.8207141,-0.86687726,-0.1083685,-0.1759304,0.0675619
26,0.59939426,0.7860394,"('hardhearted', 'benevolent')",1.6797119,1.8597704,1.1395531,1.3229049,-0.1833518
32,-0.5924636,-0.35036975,"('unkind', 'kind')",0.93959266,1.0154632,0.1735645,0.3325467,-0.1589822
23,-0.58588094,-0.56060004,"('insincere', 'sincere')",5.9939322,5.685228,2.7040257,2.562314,0.1417117
28,-0.5721028,-0.56026554,"('disloyal', 'loyal')",0.926246,0.76785284,0.1770716,0.1037937,0.0732779
80,0.5500193,0.6437273,"('dominated', 'dominating')",-1.0080398,-0.8224845,-0.2290103,-0.0893786,-0.1396317
4,-0.5416379,-0.35222423,"('disliked', 'liked')",-5.987958,-5.8038826,-3.2647979,-3.0780535,-0.1867444
69,0.5362024,0.42125282,"('lazy', 'industrious')",-0.8180338,-0.9623275,-0.1409157,-0.2705373,0.1296216
20,0.5323022,0.34632185,"('rough', 'thoughtful')",1.1970935,1.2340755,0.8646978,0.7901987,0.0744991
57,-0.5155185,-0.31737766,"('unimaginative', 'imaginative')",-2.2686398,-2.005572,-1.3920791,-1.1614748,-0.2306043
72,-0.51199764,-0.53745663,"('unambitious', 'ambitious')",-0.5692973,-0.69179654,-0.5406475,-0.6146266,0.0739791
16,-0.50505173,-0.6168382,"('unpopular', 'popular')",0.2703019,0.16221836,-0.1173749,-0.2273099,0.109935
83,0.46369067,0.6289882,"('powerless', 'powerful')",-0.6633181,-0.59939474,-0.0998137,0.0147967,-0.1146104
11,-0.46159112,-0.16682339,"('unhelpful', 'helpful')",1.4584597,1.6993128,0.4984343,0.7662447,-0.2678104
15,-0.4291547,-0.34484822,"('boring', 'funny')",0.755811,0.5451584,0.1633281,0.1001551,0.063173
18,-0.424242,-0.44225514,"('disagreeable', 'welcoming')",-0.05114719,-0.15747666,-0.2376946,-0.2998659,0.0621713
7,-0.41909927,-0.5019338,"('insensitive', 'sensitive')",1.1322162,1.009241,0.3565585,0.2536536,0.1029049
24,-0.41731605,-0.14091462,"('dishonest', 'honest')",0.8415957,0.8667152,0.2121398,0.3629003,-0.1507605
31,0.4153185,0.2527539,"('evil', 'good')",-0.5113065,-0.84014285,-0.047994,-0.2936945,0.2457005
25,0.40026432,0.39132315,"('egoistic', 'altruistic')",1.7297742,1.6155282,1.0650192,1.0034257,0.0615935
30,-0.3794921,-0.04102604,"('intolerant', 'tolerant')",0.97798496,1.1833446,0.2992464,0.5711593,-0.2719129
84,0.37409097,0.15512131,"('inferior', 'superior')",0.9785382,0.8880135,0.6763146,0.5215674,0.1547472
27,-0.37044132,-0.23132192,"('hardhearted', 'softhearted')",1.6284214,1.564737,0.6289901,0.6667075,-0.0377174
3,-0.36926788,-0.37266296,"('repellent', 'pleasant')",0.24391496,0.2341427,-0.0626765,-0.0692601,0.0065836
56,-0.33360034,0.0030205846,"('impractical', 'practical')",-0.24039711,-0.16595362,-0.2869987,-0.0814665,-0.2055322
77,-0.33256626,-0.18300325,"('unmotivated', 'motivated')",-1.3131582,-1.2175963,-0.8228622,-0.7002997,-0.1225625
64,-0.32978946,-0.15687741,"('shy', 'confident')",-6.413467,-6.033272,-3.3716283,-3.0950747,-0.2765536
52,0.31992176,0.22012305,"('irrational', 'rational')",0.06883129,-0.058719788,0.1943765,0.0807016,0.1136749
87,0.28723732,0.34667042,"('unsuccessful', 'successful')",1.1273484,1.0635347,0.7072929,0.7051026,0.0021903
41,-0.27775863,-0.27088848,"('unforgiving', 'forgiving')",0.51974225,0.4674019,0.1209918,0.0982567,0.0227351
37,-0.27054992,-0.22631113,"('fake', 'genuine')",0.57895386,0.50456333,0.154202,0.1391261,0.0150759
82,-0.25989115,-0.29513362,"('poor', 'rich')",6.0291166,5.7973113,2.8846128,2.7510889,0.1335239
78,0.2548173,0.034605503,"('nonresilient', 'resilient')",0.35626534,0.2748997,0.3055413,0.1547526,0.1507887
35,-0.2498798,-0.4976501,"('corrupt', 'incorrupt')",-0.19389567,-0.4310532,-0.2218877,-0.4643517,0.242464
68,-0.24576305,-0.3248967,"('dependent', 'independent')",0.03294477,0.027384315,-0.1064091,-0.1487562,0.0423471
1,-0.24561957,-0.15413916,"('unfriendly', 'friendly')",1.9765406,1.9063008,0.8654605,0.8760808,-0.0106203
86,-0.23878422,0.2852713,"('uninfluential', 'influential')",0.420838,0.75127774,0.0910269,0.5182745,-0.4272476
14,0.23826057,0.3340882,"('antisocial', 'social')",-0.39034727,-0.43072522,-0.0760434,-0.0483185,-0.0277249
81,-0.19893514,-0.10693521,"('submissive', 'aggressive')",-0.7116704,-0.4793241,-0.4553028,-0.2931297,-0.1621731
76,-0.19682704,-0.107235044,"('anxious', 'daring')",0.03959859,0.19552606,-0.0786142,0.0441455,-0.1227597
2,0.16882306,0.2610628,"('unlikable', 'likable')",0.42905346,0.5687364,0.2989383,0.4148996,-0.1159613
12,-0.15287496,-0.06805897,"('unsupportive', 'supportive')",-1.4878922,-1.299786,-0.8203835,-0.6839225,-0.136461
