,firstenergy_male,firstenergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
71,1.8099906,1.5779561,"('diffident', 'self-confident')",0.764241,0.62282443,1.2871158,1.1003902,0.1867256
69,1.754484,1.4934654,"('lazy', 'industrious')",-0.03142079,-0.324804,0.8615316,0.5843307,0.2772009
57,-1.6730703,-1.7464492,"('unimaginative', 'imaginative')",-3.295301,-3.3162048,-2.4841857,-2.531327,0.0471413
10,-1.6176695,-1.6145895,"('unsympathetic', 'sympathetic')",-0.6104342,-0.46421486,-1.1140518,-1.0394021,-0.0746497
65,-1.5467668,-1.5210334,"('insecure', 'secure')",-0.58338195,-0.4385324,-1.0650743,-0.9797829,-0.0852914
0,-1.4151536,-1.4242789,"('unsociable', 'sociable')",-0.528681,-0.49124998,-0.9719173,-0.9577644,-0.0141529
14,-1.4044961,-1.2497995,"('antisocial', 'social')",-0.77944064,-0.70633143,-1.0919683,-0.9780655,-0.1139028
33,1.3423809,1.1267387,"('wrong', 'right')",-0.34170458,-0.45655733,0.5003381,0.3350907,0.1652474
55,-1.2962973,-1.0775073,"('incompetent', 'clever')",-0.027026735,0.122562006,-0.661662,-0.4774726,-0.1841894
45,-1.2425082,-1.0617398,"('incompetent', 'competent')",-0.15962964,-0.031727288,-0.7010689,-0.5467336,-0.1543353
58,-1.2124988,-1.172732,"('undiscriminating', 'discriminating')",-0.0991647,-0.15027553,-0.6558318,-0.6615038,0.005672
85,1.1469196,0.92429835,"('insignificant', 'prestigious')",0.45038232,0.14939561,0.798651,0.536847,0.261804
5,1.1036412,0.99184424,"('distant', 'outgoing')",-0.037948564,-0.1126038,0.5328463,0.4396202,0.0932261
82,-1.0879233,-0.8205141,"('poor', 'rich')",6.3264136,6.605001,2.6192451,2.8922434,-0.2729983
25,1.0566978,0.7970638,"('egoistic', 'altruistic')",1.4941796,1.335928,1.2754388,1.0664959,0.2089429
22,-1.0548702,-1.0928575,"('untrustworthy', 'trustworthy')",-1.1894091,-1.17867,-1.1221397,-1.1357638,0.0136241
32,1.0277128,0.96185297,"('unkind', 'kind')",0.7537876,0.920943,0.8907502,0.941398,-0.0506478
73,0.9908758,1.0628664,"('helpless', 'self-reliant')",-3.1348836,-3.209053,-1.072004,-1.0730933,0.0010893
6,0.9868723,0.81712836,"('distant', 'open')",0.11154635,-0.0032068305,0.5492094,0.4069608,0.1422486
51,-0.98439026,-0.8413173,"('uneducated', 'educated')",0.019452699,0.11231971,-0.4824688,-0.3644988,-0.11797
68,-0.9824581,-0.9121585,"('dependent', 'independent')",-0.7969673,-0.8573303,-0.8897127,-0.8847444,-0.0049683
13,-0.94516325,-0.8947765,"('impolite', 'polite')",-1.0437311,-0.82437634,-0.9944472,-0.8595765,-0.1348707
27,0.9047182,0.76657,"('hardhearted', 'softhearted')",1.8544948,1.6928508,1.3796065,1.2297103,0.1498962
46,-0.8502741,-0.7863666,"('uncompetitive', 'competitive')",-1.3369452,-1.2126187,-1.0936096,-0.9994926,-0.094117
59,0.82601076,0.6085933,"('foolish', 'wise')",0.56646174,0.39618078,0.6962363,0.502387,0.1938493
50,0.79194075,0.6904931,"('clumsy', 'skillful')",0.5420495,0.39437032,0.6669952,0.5424317,0.1245635
72,-0.7707052,-0.7314584,"('unambitious', 'ambitious')",-0.52142584,-0.3619914,-0.6460655,-0.5467249,-0.0993406
86,-0.7509203,-0.8689244,"('uninfluential', 'influential')",-0.30747136,-0.34200317,-0.5291958,-0.6054637,0.0762679
15,0.7203636,0.5784247,"('boring', 'funny')",-0.13288671,-0.23024054,0.2937385,0.1740921,0.1196464
12,0.69884294,0.66947645,"('unsupportive', 'supportive')",-1.7518976,-1.7806752,-0.5265273,-0.5555993,0.029072
64,-0.6962026,-0.7551136,"('shy', 'confident')",-6.656873,-6.7048054,-3.676538,-3.7299595,0.0534215
2,0.68574303,0.5540123,"('unlikable', 'likable')",0.77822274,0.7224079,0.7319829,0.6382101,0.0937728
3,-0.67961013,-0.755254,"('repellent', 'pleasant')",0.86866707,0.77532864,0.0945285,0.0100373,0.0844912
34,0.64941216,0.6379897,"('mean', 'honorable')",5.43961,5.6008606,3.0445111,3.1194251,-0.074914
81,-0.6481581,-0.4522729,"('submissive', 'aggressive')",-1.2446191,-0.8712503,-0.9463886,-0.6617616,-0.284627
30,-0.6384163,-0.43378842,"('intolerant', 'tolerant')",0.16688854,0.41398424,-0.2357639,-0.0099021,-0.2258618
39,0.61941785,0.51942956,"('exploitative', 'cooperative')",0.12243995,0.10602529,0.3709289,0.3127274,0.0582015
48,-0.56125474,-0.5276844,"('unintelligent', 'intelligent')",0.62429446,0.7289204,0.0315199,0.100618,-0.0690981
76,-0.5223729,-0.33403882,"('anxious', 'daring')",-0.6487948,-0.5016019,-0.5855838,-0.4178203,-0.1677635
44,0.5198889,0.6043584,"('prejudiced', 'unprejudiced')",-1.3344476,-1.2833397,-0.4072794,-0.3394907,-0.0677887
78,0.50104624,0.41278055,"('nonresilient', 'resilient')",0.34014392,0.205738,0.4205951,0.3092593,0.1113358
28,-0.49977088,-0.5935775,"('disloyal', 'loyal')",0.95288515,1.0101016,0.2265571,0.208262,0.0182951
70,-0.4912228,-0.45435938,"('lethargic', 'energetic')",0.15532742,0.2518379,-0.1679477,-0.1012607,-0.066687
36,-0.47891468,-0.7116814,"('hostile', 'amicable')",0.079922765,-0.13147792,-0.199496,-0.4215797,0.2220837
67,0.4713217,0.5628032,"('doubtful', 'determined')",-0.7247024,-0.619403,-0.1266904,-0.0282999,-0.0983905
9,0.4431896,0.33511382,"('unaffectionate', 'caring')",1.6385659,1.62948,1.0408777,0.9822969,0.0585808
21,-0.40644008,-0.35372323,"('immoral', 'moral')",-0.7658907,-0.6545116,-0.5861654,-0.5041174,-0.082048
42,0.40170518,0.46081367,"('unreliable', 'reliable')",-2.6444712,-2.5967443,-1.121383,-1.0679653,-0.0534177
79,0.3749826,0.20767117,"('wavering', 'unwavering')",-0.21341965,-0.3600088,0.0807815,-0.0761688,0.1569503
24,-0.37271821,-0.34822398,"('dishonest', 'honest')",0.54123724,0.7319497,0.0842595,0.1918629,-0.1076034
19,0.3573032,0.32633117,"('inhospitable', 'hospitable')",0.060948446,0.004576752,0.2091258,0.165454,0.0436718
62,-0.33213183,-0.08574322,"('incompetent', 'brilliant')",0.08831565,0.39223775,-0.1219081,0.1532473,-0.2751554
20,-0.3162587,-0.22293563,"('rough', 'thoughtful')",0.8104004,0.8278245,0.2470709,0.3024444,-0.0553735
37,0.3090296,0.2154402,"('fake', 'genuine')",0.018766414,0.12588029,0.163898,0.1706602,-0.0067622
1,-0.30051756,-0.42968193,"('unfriendly', 'friendly')",1.6178086,1.5947609,0.6586455,0.5825395,0.076106
75,0.29729182,0.35386214,"('meek', 'impulsive')",-0.64244694,-0.626314,-0.1725776,-0.1362259,-0.0363517
4,0.29108116,0.31065091,"('disliked', 'liked')",-6.9114246,-6.991558,-3.3101718,-3.3404536,0.0302818
56,0.29026458,0.5276742,"('impractical', 'practical')",-1.1074036,-0.7962524,-0.4085695,-0.1342891,-0.2742804
49,0.2862852,0.40304556,"('unable', 'able')",-0.26753828,-0.11041905,0.0093735,0.1463133,-0.1369398
41,-0.27779782,-0.2315362,"('unforgiving', 'forgiving')",-0.1283813,-0.13028263,-0.2030896,-0.1809094,-0.0221802
16,-0.27007988,-0.35409057,"('unpopular', 'popular')",0.54188496,0.4083115,0.1359025,0.0271105,0.108792
80,0.26825416,0.27299508,"('dominated', 'dominating')",-0.874775,-0.91501683,-0.3032604,-0.3210109,0.0177505
61,-0.26342368,-0.3631829,"('illogical', 'logical')",0.5716032,0.43956056,0.1540897,0.0381888,0.1159009
38,0.26253697,0.32750368,"('untruthful', 'truthful')",-0.19782116,0.015368584,0.0323579,0.1714361,-0.1390782
54,0.23946792,0.08438208,"('incapable', 'capable')",0.8874582,0.89706963,0.5634631,0.4907258,0.0727373
77,0.23872599,0.16269185,"('unmotivated', 'motivated')",-1.1331985,-1.0905367,-0.4472362,-0.4639224,0.0166862
83,0.23606476,0.3406357,"('powerless', 'powerful')",-1.4394071,-1.2748163,-0.6016712,-0.4670903,-0.1345809
87,0.2156315,0.1458378,"('unsuccessful', 'successful')",0.9796998,0.8648778,0.5976657,0.5053578,0.0923079
8,-0.20427358,-0.27976325,"('unaffectionate', 'affectionate')",0.9458891,0.9275569,0.3708078,0.3238968,0.046911
40,0.18527034,0.13967353,"('stingy', 'generous')",-1.9084975,-2.0524807,-0.8616136,-0.9564036,0.09479
52,-0.1637483,-0.3412255,"('irrational', 'rational')",0.2730005,0.034582097,0.0546261,-0.1533217,0.2079478
11,0.1529719,0.23024592,"('unhelpful', 'helpful')",1.5413259,1.772628,0.8471489,1.0014369,-0.154288
88,-0.13779345,-0.16880304,"('low', 'eminent')",-0.46396473,-0.41958207,-0.3008791,-0.2941926,-0.0066865
26,-0.13322157,-0.23701,"('hardhearted', 'benevolent')",1.8288298,1.6969001,0.8478041,0.7299451,0.117859
53,-0.13268134,-0.25825265,"('uncreative', 'creative')",0.5205629,0.46871448,0.1939408,0.1052309,0.0887099
35,0.12421555,-0.044316337,"('corrupt', 'incorrupt')",-0.20674147,-0.406038,-0.041263,-0.2251772,0.1839142
17,-0.12075977,-0.19356884,"('nasty', 'nice')",-0.5824877,-0.61786664,-0.3516237,-0.4057177,0.054094
31,0.11324741,-0.12529327,"('evil', 'good')",-0.44397533,-0.72831327,-0.165364,-0.4268033,0.2614393
60,-0.09914104,0.1571423,"('inefficient', 'efficient')",-0.5253345,-0.113279045,-0.3122378,0.0219316,-0.3341694
43,-0.09621654,-0.081212685,"('irresponsible', 'responsible')",0.1904918,0.30037546,0.0471376,0.1095814,-0.0624438
74,0.0915993,0.11993275,"('undedicated', 'dedicated')",-0.30859047,-0.34673288,-0.1084956,-0.1134001,0.0049045
47,0.074589714,0.09845023,"('stupid', 'smart')",5.3367577,5.513951,2.7056737,2.8062005,-0.1005268
7,-0.07331884,-0.10578847,"('insensitive', 'sensitive')",0.42960042,0.46532732,0.1781408,0.1797694,-0.0016286
23,0.07127284,0.10206644,"('insincere', 'sincere')",5.487621,5.6547236,2.7794468,2.8783951,-0.0989483
66,0.061379656,-0.16121921,"('inactive', 'active')",1.1073927,0.83539057,0.5843862,0.3370857,0.2473005
18,-0.046049815,-0.03671103,"('disagreeable', 'welcoming')",-0.21889296,-0.28725618,-0.1324714,-0.1619836,0.0295122
29,-0.042406563,-0.09801614,"('unfair', 'fair')",-0.14819819,-0.3015198,-0.0953024,-0.199768,0.1044656
63,0.022534303,0.05142404,"('unperceptive', 'insightful')",0.58153534,0.6221078,0.3020348,0.3367659,-0.0347311
84,-0.021713173,0.014803226,"('inferior', 'superior')",0.6756896,0.6290657,0.3269882,0.3219345,0.0050537
