,principal_male,principal_female,tuple,financial_male,financial_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.883095,-3.117519,"('evil', 'good')",-0.1813631,-0.18497396,-1.7233849,-1.7156036,-1.4476348,-1.6824142,-1.5588694,-1.6751276,0.1162582
70,2.573622,2.3605657,"('lethargic', 'energetic')",0.13631088,0.050536983,1.6812894,1.5310682,1.6643553,1.695863,1.5138943,1.4095085,0.1043858
6,-2.540678,-2.5592573,"('distant', 'open')",0.15005939,0.17176318,-1.5982784,-1.5236026,-0.17922238,-0.24884053,-1.0420299,-1.0399842,-0.0020457
39,2.5298421,3.0119574,"('exploitative', 'cooperative')",0.5577216,0.88344395,1.2212764,1.5399032,0.28087062,0.49721897,1.1474277,1.4831309,-0.3357032
62,2.4912121,2.1030364,"('incompetent', 'brilliant')",0.4458776,0.15475212,1.2258152,0.97549474,0.96080416,0.6539921,1.2809272,0.9718188,0.3091084
12,2.457824,2.267164,"('unsupportive', 'supportive')",1.4457226,1.373388,1.8851745,1.5846204,-1.1390665,-1.3188024,1.1624136,0.9765925,0.1858211
60,2.39687,2.3295202,"('inefficient', 'efficient')",-0.55826813,-0.7922596,1.5447229,1.3298212,0.57492197,0.5551,0.9895617,0.8555455,0.1340162
36,-2.3759472,-2.159541,"('hostile', 'amicable')",0.5183853,0.7719556,-1.6653376,-1.2849617,-0.6874333,-0.4853133,-1.0525832,-0.7894651,-0.2631181
30,2.1869268,2.1771855,"('intolerant', 'tolerant')",-0.02535694,0.042703092,0.29707098,0.5085152,1.2793455,1.2766476,0.9344966,1.0012629,-0.0667663
21,2.1636512,2.2791321,"('immoral', 'moral')",0.27544576,0.3341656,1.0025773,0.9533098,-0.44459417,-0.37822813,0.74927,0.7970948,-0.0478248
13,1.9998271,1.7409649,"('impolite', 'polite')",-0.16260625,-0.40251154,0.45620912,0.37553942,0.015900314,0.19885445,0.5773326,0.4782118,0.0991208
65,1.9953935,2.1296887,"('insecure', 'secure')",-0.7122171,-0.6285776,1.3606156,1.2434975,0.4205274,0.54358274,0.7660799,0.8220478,-0.0559679
43,1.9924678,2.074215,"('irresponsible', 'responsible')",0.41904503,0.46336564,1.3464285,1.4041759,1.2148477,1.3884658,1.2431972,1.3325555,-0.0893583
23,1.9917088,1.6561643,"('insincere', 'sincere')",0.2539126,0.027658094,1.1231457,0.8101511,6.8976884,6.8022265,2.5666139,2.3240499,0.242564
80,1.9279958,2.0285892,"('dominated', 'dominating')",-0.07868656,-0.09590245,2.2427213,2.0324097,-0.4649579,-0.5050212,0.9067681,0.8650188,0.0417493
56,1.8898318,1.7079629,"('impractical', 'practical')",0.3102314,0.08461556,1.2632145,1.0515577,0.2882139,0.19356933,0.9378729,0.7594264,0.1784465
46,1.8602083,1.8410926,"('uncompetitive', 'competitive')",0.5208247,0.46502814,2.4224634,2.2166154,-0.057466507,-0.06584518,1.1865075,1.1142228,0.0722847
5,-1.8369197,-1.8590492,"('distant', 'outgoing')",1.114716,1.1032058,-0.9076312,-0.8864281,-0.64792156,-0.80942446,-0.5694391,-0.612924,0.0434849
52,-1.7931186,-1.8246089,"('irrational', 'rational')",0.29299864,0.61118853,-1.4584848,-1.2660825,-0.59039056,-0.45127785,-0.8872489,-0.7326952,-0.1545537
35,-1.784571,-1.6458515,"('corrupt', 'incorrupt')",-0.408914,-0.25889695,-1.9144971,-1.7927206,-1.0352253,-1.0343058,-1.2858019,-1.1829437,-0.1028582
51,1.7236452,1.3124799,"('uneducated', 'educated')",-0.2949739,-0.3749119,0.7176452,0.6597168,1.2653708,1.2332215,0.8529218,0.7076266,0.1452952
10,1.7069995,1.7327045,"('unsympathetic', 'sympathetic')",-1.3503656,-1.2551531,0.5621804,0.36984172,0.47530013,0.5698527,0.3485286,0.3543115,-0.0057829
55,1.6862698,1.7425209,"('incompetent', 'clever')",-1.1238133,-1.0474297,0.8225348,0.7152314,0.597968,0.6139243,0.4957398,0.5060617,-0.0103219
7,1.6438037,1.4487863,"('insensitive', 'sensitive')",0.35018814,0.2148641,1.1939796,0.8541137,1.8406752,1.634307,1.2571617,1.0380177,0.219144
8,-1.6285961,-1.6941307,"('unaffectionate', 'affectionate')",0.6041622,0.66981125,-0.040589534,-0.14694503,0.7303387,0.56309086,-0.0836712,-0.1520434,0.0683722
4,-1.6240245,-1.8710499,"('disliked', 'liked')",0.50162953,0.3100226,-0.1984742,-0.17717919,-6.4907074,-6.8444495,-1.9528942,-2.145664,0.1927698
85,-1.6158992,-1.2664055,"('insignificant', 'prestigious')",1.6618325,2.0695066,-0.77797335,-0.48972085,-0.60065544,-0.44350082,-0.3331739,-0.0325301,-0.3006438
74,1.5244683,1.4019679,"('undedicated', 'dedicated')",0.9262475,0.93202347,1.4340075,1.3066282,0.6939071,0.61362165,1.1446576,1.0635602,0.0810974
1,-1.4986722,-1.8192062,"('unfriendly', 'friendly')",1.4809768,1.3990182,0.46289447,0.027368873,1.8631165,1.4886279,0.5770789,0.2739522,0.3031267
32,1.479854,1.3765485,"('unkind', 'kind')",-0.20280355,-0.34375995,1.1672559,0.92478824,1.5289373,1.4522393,0.9933109,0.852454,0.1408569
11,1.4701482,1.2437088,"('unhelpful', 'helpful')",-0.14933091,-0.21600059,0.2577816,0.37888774,2.366742,2.5077362,0.9863352,0.9785831,0.0077521
16,-1.4114763,-1.5638036,"('unpopular', 'popular')",-0.16137719,-0.08685017,-0.39143014,-0.39680767,0.25247926,0.20278315,-0.4279511,-0.4611696,0.0332185
73,1.4054552,1.5587002,"('helpless', 'self-reliant')",1.5239197,1.5446075,0.1280523,0.3866675,-3.109173,-3.5420735,-0.0129365,-0.0130246,8.81e-05
45,1.3961227,0.7963899,"('incompetent', 'competent')",-0.77151453,-1.1208469,0.5097282,0.08675285,0.093944974,-0.0469874,0.3070703,-0.0711729,0.3782432
72,1.3667699,1.3773139,"('unambitious', 'ambitious')",0.37675875,0.34141678,0.7566817,0.5447135,-0.13150327,-0.3531832,0.5921767,0.4775652,0.1146115
14,1.3231622,1.1606244,"('antisocial', 'social')",1.3297826,1.2818279,1.8058752,1.737784,-0.26437634,-0.09664868,1.0486109,1.0208969,0.027714
75,-1.2967131,-1.3567184,"('meek', 'impulsive')",0.40347502,0.23853385,-0.5122707,-0.6600773,-0.6101667,-0.6930073,-0.5039189,-0.6178173,0.1138984
24,1.270053,1.1712061,"('dishonest', 'honest')",-0.09068726,-0.0731947,-0.12124242,-0.12168378,1.3275878,1.2957327,0.5964278,0.5680151,0.0284127
69,-1.2495306,-1.1211549,"('lazy', 'industrious')",1.0462372,1.15707,0.037153997,0.1123854,-1.4749436,-1.4132314,-0.4102708,-0.3162327,-0.0940381
81,1.2152661,1.4288585,"('submissive', 'aggressive')",0.32688245,0.39584625,2.4854248,2.360022,0.004239522,0.24010482,1.0079533,1.1062078,-0.0982545
2,1.1833923,1.3720748,"('unlikable', 'likable')",2.461821,2.580392,1.736726,1.9471433,0.63689154,0.7049474,1.5047077,1.6511394,-0.1464317
76,1.172068,1.6146703,"('anxious', 'daring')",-0.5657919,-0.44568673,0.81583166,1.044426,0.49916592,0.6120837,0.4803184,0.7063733,-0.2260549
42,1.1510905,1.3065895,"('unreliable', 'reliable')",0.7028779,0.92385304,1.7083651,1.7383294,-2.5430138,-2.747842,0.2548299,0.3052325,-0.0504026
83,1.1503586,1.557401,"('powerless', 'powerful')",1.0077211,1.2153536,0.18278621,0.32780582,-0.9471678,-0.96052307,0.3484245,0.5350093,-0.1865848
84,1.143667,1.1041278,"('inferior', 'superior')",0.2564622,0.2896717,0.13278243,0.17979616,0.27423453,0.35300055,0.4517865,0.481649,-0.0298625
61,1.1138449,1.0342535,"('illogical', 'logical')",0.92980456,0.95532197,0.4875036,0.27164832,0.37457433,0.38902438,0.7264318,0.662562,0.0638698
25,-0.97608936,-0.9345706,"('egoistic', 'altruistic')",0.6533163,0.6514926,0.0059158206,-0.056333363,1.4545493,1.4018421,0.284423,0.2656077,0.0188153
63,0.9608837,0.5761728,"('unperceptive', 'insightful')",1.4612846,1.2070208,2.8874168,2.5015426,1.777714,1.612336,1.7718248,1.4742681,0.2975567
58,0.9282846,0.8557594,"('undiscriminating', 'discriminating')",1.4719424,1.6150147,1.3262062,1.2186908,0.48039186,0.3015646,1.0517063,0.9977574,0.0539489
67,0.9213488,0.90800947,"('doubtful', 'determined')",0.08016263,0.031587236,0.43776166,0.44902742,-0.9748143,-0.7316718,0.1161147,0.1642381,-0.0481234
77,0.91470045,0.9854748,"('unmotivated', 'motivated')",0.80696493,0.85258526,0.9822683,0.7799186,-1.1527466,-1.1346258,0.3877968,0.3708383,0.0169585
34,0.9111815,0.8406744,"('mean', 'honorable')",0.4291799,0.35461187,0.8693037,0.7090395,6.306426,6.369666,2.1290228,2.0684979,0.0605249
22,0.88345045,0.609441,"('untrustworthy', 'trustworthy')",-0.1462621,-0.08072455,1.4095104,1.1187142,-0.36661234,-0.37823838,0.4450216,0.3172981,0.1277235
53,-0.8827942,-1.0239519,"('uncreative', 'creative')",0.9625748,0.9166311,-0.093899585,-0.29213908,1.1495919,0.9788386,0.2838682,0.1448447,0.1390235
87,0.85396284,0.869267,"('unsuccessful', 'successful')",1.1852207,1.2465242,1.5593809,1.4364028,1.1145906,1.0067419,1.1782888,1.139734,0.0385548
37,0.71417683,0.52121395,"('fake', 'genuine')",-0.68148685,-0.78080094,0.022889195,-0.13684992,0.8807093,0.6543999,0.2340721,0.0644907,0.1695814
78,-0.69983476,-0.83163625,"('nonresilient', 'resilient')",1.084982,0.90914553,1.6613464,1.2894291,0.091290414,-0.0910583,0.5344461,0.31897,0.2154761
41,0.69331974,0.48085022,"('unforgiving', 'forgiving')",0.9408932,0.9184168,0.8214829,0.8164464,0.14165893,0.3269711,0.6493387,0.6356711,0.0136676
79,-0.64757097,-0.8669857,"('wavering', 'unwavering')",0.22613597,0.20538607,-1.1944937,-1.0926028,-0.4989169,-0.6006069,-0.5287114,-0.5887023,0.0599909
29,-0.62500924,-0.70333904,"('unfair', 'fair')",-0.36866245,-0.48505047,-0.34174144,-0.5783959,-0.96457803,-0.9210372,-0.5749978,-0.6719556,0.0969578
59,-0.6227325,-0.75065434,"('foolish', 'wise')",1.0641351,1.1987922,-1.1252874,-0.95330685,0.09205811,0.19312716,-0.1479567,-0.0780105,-0.0699462
28,0.608576,0.6813637,"('disloyal', 'loyal')",0.04935815,0.18350038,-0.056893446,0.042949464,1.1028073,1.145043,0.425962,0.5132141,-0.0872521
44,-0.60497284,-0.035394005,"('prejudiced', 'unprejudiced')",-0.55515236,-0.3642494,-0.6020395,-0.2168487,-1.7594557,-1.4700764,-0.8804051,-0.5216421,-0.358763
47,0.60116374,0.55283755,"('stupid', 'smart')",0.41954613,0.5060435,0.6427312,0.54920524,5.8659406,6.1687627,1.8823454,1.9442122,-0.0618668
48,0.5467637,0.5209262,"('unintelligent', 'intelligent')",-1.2939798,-1.3797708,-0.5825744,-0.7943187,0.4713606,0.37650096,-0.2146075,-0.3191656,0.1045581
26,0.5263374,0.20756054,"('hardhearted', 'benevolent')",1.8477359,1.9840987,0.7396915,0.84815216,1.1975656,1.3563232,1.0778326,1.0990336,-0.021201
3,0.5168219,0.23281212,"('repellent', 'pleasant')",-0.5577315,-0.6532616,1.4182438,1.0975972,0.7681895,0.67256236,0.5363809,0.3374275,0.1989534
38,0.5046925,0.118780464,"('untruthful', 'truthful')",1.0448412,0.8331423,0.22317266,0.09466918,0.17699558,0.064322315,0.4874254,0.2777286,0.2096968
86,0.50197417,0.16727403,"('uninfluential', 'influential')",-0.39405146,-0.29693195,0.8523583,0.67148167,0.5905334,0.5406382,0.3877036,0.2706155,0.1170881
68,0.4418798,0.50908804,"('dependent', 'independent')",-1.7307159,-1.8044416,0.1068051,-0.18712214,-0.29544201,-0.46109393,-0.3693682,-0.4858924,0.1165242
20,0.39667702,0.47856712,"('rough', 'thoughtful')",-0.045853555,0.04223974,0.60200363,0.5120775,0.81476986,0.8309744,0.4418992,0.4659647,-0.0240655
0,0.29259193,0.2950337,"('unsociable', 'sociable')",-0.39261305,-0.28623524,0.9224864,0.83982193,-0.16624928,-0.17523807,0.164054,0.1683456,-0.0042916
71,0.28801,0.26136017,"('diffident', 'self-confident')",1.5506607,1.5115103,0.7836995,0.553316,0.29842043,0.27687174,0.7301977,0.6507645,0.0794332
40,0.2709351,0.15980823,"('stingy', 'generous')",1.6440384,1.6958671,0.9932006,0.932323,-1.1859219,-1.4756943,0.430563,0.328076,0.102487
33,0.25150847,0.17517212,"('wrong', 'right')",1.5091262,1.6163279,-0.28767574,-0.22399282,-0.763549,-0.7884735,0.1773525,0.1947584,-0.0174059
27,0.20548671,0.21127102,"('hardhearted', 'softhearted')",-0.5854451,-0.77195966,-0.28973842,-0.48994374,1.5660346,1.3964317,0.2240844,0.0864498,0.1376346
49,-0.20488691,-0.045172013,"('unable', 'able')",-1.011283,-1.0864359,-0.49462506,-0.47716975,0.07566756,-0.15818878,-0.4087819,-0.4417416,0.0329597
54,0.1797225,0.2754817,"('incapable', 'capable')",1.0500138,1.1732943,0.26448226,0.31204036,1.3092604,1.3263533,0.7008697,0.7717924,-0.0709227
50,0.16563486,0.012402065,"('clumsy', 'skillful')",0.9394132,0.7642667,0.2119422,0.0744726,0.23735452,-0.05520234,0.3885862,0.1989848,0.1896014
66,-0.12177303,-0.02520328,"('inactive', 'active')",1.3267872,1.4890732,1.375021,1.3803369,0.4934727,0.6904017,0.7683769,0.8836521,-0.1152752
17,0.09648036,-0.1675455,"('nasty', 'nice')",-0.43506888,-0.44670436,-1.0822808,-1.0444989,-0.6658701,-0.47117558,-0.5216848,-0.5324811,0.0107963
88,0.07346168,0.10656439,"('low', 'eminent')",-0.982235,-0.938564,-1.019874,-0.779974,0.3641514,0.28113115,-0.391124,-0.3327106,-0.0584134
19,0.06605549,-0.097844265,"('inhospitable', 'hospitable')",-0.13080658,-0.2783895,-1.469524,-1.5236758,-0.23225744,-0.3511887,-0.4416331,-0.5627746,0.1211415
57,-0.051545538,-0.16693887,"('unimaginative', 'imaginative')",-0.34212127,-0.2753698,-0.091961965,-0.15048426,-2.3310757,-2.5077755,-0.7041761,-0.7751421,0.070966
64,-0.04972197,0.15171775,"('shy', 'confident')",0.7704061,0.9510947,1.7316977,1.7686216,-6.656402,-6.484469,-1.0510051,-0.9032587,-0.1477464
15,-0.029376648,-0.20210668,"('boring', 'funny')",0.4507167,0.38949034,-0.6680383,-0.58374035,0.38275677,0.3645637,0.0340146,-0.0079482,0.0419628
9,0.023486009,-0.20469242,"('unaffectionate', 'caring')",1.3353395,1.2401356,0.7522953,0.48831478,1.5629598,1.3247731,0.9185202,0.7121327,0.2063875
82,-0.01246617,-0.29169664,"('poor', 'rich')",-0.35961768,-0.71508723,0.20210034,-0.055941734,6.919271,6.68777,1.6873219,1.4062611,0.2810608
18,0.002453547,-0.00366354,"('disagreeable', 'welcoming')",0.00632016,0.1975379,-0.5248138,-0.32591414,-0.16531654,-0.21100745,-0.1703392,-0.0857618,-0.0845774
