,kraft_male,kraft_female,tuple,heinz_male,heinz_female,co_male,co_female,average_male,average_female,male-female
71,1.8716911,1.8750662,"('diffident', 'self-confident')",2.147859,2.163357,0.12330068,0.16171855,1.3809503,1.4000471,-0.0190968
17,-1.6676855,-1.659478,"('nasty', 'nice')",-0.35344592,-0.28492826,-0.73448694,-0.69520706,-0.9185395,-0.8798711,-0.0386684
25,1.5912957,1.7975107,"('egoistic', 'altruistic')",2.3059576,2.281902,1.6087632,1.6082325,1.8353389,1.8958818,-0.0605429
39,1.5568095,1.4127845,"('exploitative', 'cooperative')",1.4529252,1.4795235,0.5380942,0.5758569,1.1826096,1.156055,0.0265546
33,1.5150104,1.5469791,"('wrong', 'right')",1.7399287,1.7399808,-0.53620744,-0.6161554,0.9062439,0.8902682,0.0159757
9,1.4182194,1.2713643,"('unaffectionate', 'caring')",2.4045696,2.242706,0.9860591,0.9231826,1.6029495,1.4790843,0.1238652
68,-1.4150972,-1.4821575,"('dependent', 'independent')",-1.9087968,-1.9985324,-1.5689577,-1.6259757,-1.6309506,-1.7022219,0.0712713
3,-1.317997,-1.462926,"('repellent', 'pleasant')",-1.8810179,-1.9943571,0.6739367,0.6475748,-0.8416928,-0.9365694,0.0948766
1,1.2823696,1.2143698,"('unfriendly', 'friendly')",2.3818405,2.2870321,1.5694989,1.4659076,1.7445696,1.6557698,0.0887998
53,1.2614667,1.2639154,"('uncreative', 'creative')",1.0769837,0.965326,0.26958022,0.24611661,0.8693435,0.8251193,0.0442242
34,-1.1848192,-1.2452191,"('mean', 'honorable')",-0.36633915,-0.29643685,5.364244,5.376068,1.2710285,1.2781374,-0.0071089
45,-1.1220449,-1.3421557,"('incompetent', 'competent')",-0.83741033,-0.93061846,-0.5102486,-0.5364169,-0.8232346,-0.9363971,0.1131625
75,-1.090232,-1.0653307,"('meek', 'impulsive')",0.48647052,0.5292529,-0.6094341,-0.57833695,-0.4043985,-0.3714716,-0.0329269
76,-0.9952273,-1.1509533,"('anxious', 'daring')",-0.70471406,-0.65681905,-0.1490815,-0.11558178,-0.616341,-0.641118,0.024777
44,-0.9937515,-0.77521044,"('prejudiced', 'unprejudiced')",-1.5994203,-1.5117173,-1.3406427,-1.2963706,-1.3112715,-1.1944327,-0.1168388
49,-0.9433483,-0.92689884,"('unable', 'able')",-0.22407527,-0.21836895,-0.9371493,-0.92334074,-0.7015243,-0.6895362,-0.0119881
84,0.92705876,0.9194889,"('inferior', 'superior')",1.0303117,0.98032105,0.38651088,0.4106268,0.7812938,0.7701456,0.0111482
26,0.9116219,0.8910408,"('hardhearted', 'benevolent')",1.8443447,1.8731217,1.4887159,1.5016665,1.4148941,1.421943,-0.0070489
67,0.902894,1.0510591,"('doubtful', 'determined')",0.26737708,0.42859453,-0.3004608,-0.21148936,0.2899368,0.4227214,-0.1327846
74,0.8867324,0.6167646,"('undedicated', 'dedicated')",1.0326198,0.969175,-0.1749447,-0.27440625,0.5814692,0.4371778,0.1442914
59,0.8721523,0.98619837,"('foolish', 'wise')",1.5269339,1.391109,-0.24873056,-0.26267415,0.7167852,0.7048778,0.0119074
81,-0.8632245,-0.80072516,"('submissive', 'aggressive')",-1.2420112,-1.1035317,-0.8584591,-0.8199208,-0.9878982,-0.9080592,-0.079839
29,-0.83605194,-0.7519357,"('unfair', 'fair')",-1.1746135,-1.1242652,-0.9453417,-1.0110607,-0.9853357,-0.9624205,-0.0229152
82,-0.80956095,-0.6977117,"('poor', 'rich')",-1.461332,-1.3874944,6.1678934,6.200907,1.2990002,1.3719004,-0.0729002
30,-0.8046295,-1.0063614,"('intolerant', 'tolerant')",-0.5364265,-0.5161756,0.16136518,0.28122193,-0.3932303,-0.4137717,0.0205414
10,-0.7992116,-1.2005473,"('unsympathetic', 'sympathetic')",-0.8890517,-1.0525749,-0.10447698,-0.18121853,-0.5975801,-0.811447,0.2138669
55,-0.7782691,-1.0923783,"('incompetent', 'clever')",-1.1443851,-1.1914322,0.20650384,0.2082232,-0.5720501,-0.6918625,0.1198124
66,-0.7781395,-0.7262416,"('inactive', 'active')",0.12958251,0.17113243,0.4485551,0.34871536,-0.0666673,-0.0687979,0.0021306
8,0.7369015,0.72751606,"('unaffectionate', 'affectionate')",2.2329597,2.214283,0.64366245,0.5863417,1.2045079,1.1760469,0.028461
86,0.72619754,0.34752524,"('uninfluential', 'influential')",0.5373977,0.34136575,-0.3992396,-0.5118352,0.2881185,0.0590186,0.2290999
