,abbott_male,abbott_female,tuple,laboratories_male,laboratories_female,average_male,average_female,male-female
85,2.616468,2.3748415,"('insignificant', 'prestigious')",1.9137515,1.598353,2.2651098,1.9865973,0.2785125
71,2.1809516,2.2692063,"('diffident', 'self-confident')",1.0751959,0.95888543,1.6280737,1.6140459,0.0140278
65,-2.1379852,-1.9811722,"('insecure', 'secure')",-0.85601175,-0.72731256,-1.4969985,-1.3542423,-0.1427562
26,1.9534191,1.8391128,"('hardhearted', 'benevolent')",1.6583503,1.6041509,1.8058847,1.7216318,0.0842529
13,-1.8840629,-1.7581292,"('impolite', 'polite')",-0.9096923,-0.8236406,-1.3968775,-1.290885,-0.1059925
81,-1.7498051,-1.5956315,"('submissive', 'aggressive')",-1.0150168,-0.86539835,-1.382411,-1.2305149,-0.1518961
69,1.7451596,1.6802897,"('lazy', 'industrious')",0.35074306,0.26156184,1.0479513,0.9709258,0.0770255
80,-1.6676073,-1.5175767,"('dominated', 'dominating')",-1.0984083,-0.87076145,-1.3830078,-1.194169,-0.1888388
6,1.6398505,1.5134869,"('distant', 'open')",0.41230202,0.10653894,1.0260763,0.8100129,0.2160634
9,1.6378757,1.5634738,"('unaffectionate', 'caring')",1.755122,1.5520318,1.6964989,1.5577528,0.1387461
57,-1.6021502,-1.6516898,"('unimaginative', 'imaginative')",-2.2816403,-2.4249473,-1.9418952,-2.0383186,0.0964234
76,-1.5322671,-1.4416924,"('anxious', 'daring')",-0.9466081,-0.79364324,-1.2394376,-1.1176678,-0.1217698
33,1.4927974,1.469635,"('wrong', 'right')",0.5479908,0.50132275,1.0203941,0.9854789,0.0349152
70,-1.3879982,-1.2173473,"('lethargic', 'energetic')",-0.45855194,-0.45006996,-0.9232751,-0.8337086,-0.0895665
5,1.3745148,1.337099,"('distant', 'outgoing')",-0.089934975,-0.303859,0.6422899,0.51662,0.1256699
3,-1.2813145,-1.2952218,"('repellent', 'pleasant')",-0.3860772,-0.3558437,-0.8336958,-0.8255327,-0.0081631
36,1.2520884,1.0240726,"('hostile', 'amicable')",-0.018255003,-0.25351182,0.6169167,0.3852804,0.2316363
22,-1.2453561,-1.1043478,"('untrustworthy', 'trustworthy')",-1.2057912,-1.2098136,-1.2255737,-1.1570807,-0.068493
55,-1.240793,-1.167629,"('incompetent', 'clever')",0.5021595,0.55119437,-0.3693168,-0.3082173,-0.0610995
21,-1.2194448,-1.0862797,"('immoral', 'moral')",-1.0453888,-0.88535374,-1.1324167,-0.9858167,-0.1466
64,-1.1938586,-1.1197124,"('shy', 'confident')",-5.573867,-5.6869845,-3.3838627,-3.4033484,0.0194857
46,-1.1811278,-1.0905614,"('uncompetitive', 'competitive')",-0.3362751,-0.27674696,-0.7587014,-0.6836542,-0.0750472
