,site_male,site_female,tuple,centers_male,centers_female,corp_male,corp_female,average_male,average_female,male-female
60,2.482692,2.5859246,"('inefficient', 'efficient')",3.0055852,3.4158895,0.49997315,0.059036158,1.9960836,2.0202834,-0.0241998
36,-2.4492464,-2.4361677,"('hostile', 'amicable')",-2.3567543,-2.619703,-0.71106,-0.26286232,-1.8390203,-1.7729111,-0.0661092
6,-2.3061283,-2.2305326,"('distant', 'open')",-1.1542486,-1.1625354,0.00032897666,0.27206185,-1.1533492,-1.0403354,-0.1130138
5,-2.2503533,-2.2516968,"('distant', 'outgoing')",-1.057671,-0.98154783,-0.7430154,-0.4115412,-1.3503466,-1.2149286,-0.135418
14,2.1486504,2.265909,"('antisocial', 'social')",1.9464915,2.0217302,-0.2849875,-0.638697,1.2700515,1.216314,0.0537375
31,-2.0466502,-2.1784854,"('evil', 'good')",-1.3513173,-1.638489,-0.779105,-0.51862013,-1.3923575,-1.4451982,0.0528407
7,1.9602332,1.9287788,"('insensitive', 'sensitive')",1.8580816,2.0538392,0.6598257,0.49401814,1.4927135,1.492212,0.0005015
62,1.9577866,1.9229544,"('incompetent', 'brilliant')",2.3033838,2.3737826,0.44881707,0.28373295,1.5699959,1.5268234,0.0431725
56,1.9300656,1.9946278,"('impractical', 'practical')",2.0120444,2.156681,0.09648001,-0.26585087,1.3461967,1.2951527,0.051044
19,-1.8994685,-1.9907043,"('inhospitable', 'hospitable')",-1.4893237,-1.3477437,-0.955158,-0.7021263,-1.4479834,-1.3468582,-0.1011252
81,1.8635347,1.8782439,"('submissive', 'aggressive')",2.0664644,2.1041431,-0.2846805,-0.7375685,1.2151062,1.0816062,0.1335
72,1.7411193,1.7143395,"('unambitious', 'ambitious')",1.0397227,0.8034698,0.7746802,0.5893993,1.185174,1.0357362,0.1494378
12,1.7372959,1.8916409,"('unsupportive', 'supportive')",1.9703108,2.3955407,-1.6560472,-1.8190213,0.6838531,0.8227202,-0.1388671
70,1.731063,1.5631398,"('lethargic', 'energetic')",2.2149165,2.1529553,1.0937456,0.6353846,1.6799084,1.4504932,0.2294152
49,-1.6779174,-1.679721,"('unable', 'able')",-1.0248947,-0.71594936,-0.17485638,0.00011327118,-0.9592229,-0.7985191,-0.1607038
43,1.6746293,1.747537,"('irresponsible', 'responsible')",2.0964236,2.3099027,0.874396,0.6355841,1.5484829,1.5643412,-0.0158583
79,-1.6356797,-1.6491226,"('wavering', 'unwavering')",-1.7248596,-1.9028662,-0.5148975,-0.34994304,-1.2918123,-1.3006439,0.0088316
21,1.6122603,1.5663837,"('immoral', 'moral')",1.4203362,1.7515891,-0.108294606,-0.50522953,0.9747674,0.9375811,0.0371863
10,1.5663565,1.552682,"('unsympathetic', 'sympathetic')",1.5135523,1.7039958,0.7387246,0.24539495,1.2728779,1.1673576,0.1055203
11,1.549657,1.7094678,"('unhelpful', 'helpful')",2.06808,2.4395707,1.6881218,1.6735637,1.7686195,1.9408674,-0.1722479
45,1.4925876,1.3461587,"('incompetent', 'competent')",1.6981585,1.7108008,0.2301563,-0.102031805,1.1403008,0.984976,0.1553248
23,1.4332758,1.4736338,"('insincere', 'sincere')",1.4591637,1.5747423,6.016584,6.0239577,2.9696744,3.0241114,-0.054437
35,-1.4237999,-1.4007429,"('corrupt', 'incorrupt')",-1.9033327,-1.9259418,-1.1182724,-0.7588156,-1.4818017,-1.3618334,-0.1199683
4,-1.3993889,-1.4487273,"('disliked', 'liked')",-1.0131952,-0.85004663,-7.7662525,-7.69711,-3.3929456,-3.3319613,-0.0609843
63,1.345458,1.2584383,"('unperceptive', 'insightful')",1.967366,2.2783554,0.4161449,0.24074031,1.2429896,1.259178,-0.0161884
66,-1.3441987,-1.2861949,"('inactive', 'active')",-1.1907934,-1.2517161,0.021288618,0.29726642,-0.8379012,-0.7468815,-0.0910197
52,-1.3330313,-1.5808353,"('irrational', 'rational')",-1.3030987,-1.6282536,-0.48025075,-0.2333168,-1.0387936,-1.1474686,0.108675
24,1.2827656,1.2561734,"('dishonest', 'honest')",0.7451217,0.5802537,1.2055573,0.99697316,1.0778149,0.9444667,0.1333482
68,-1.2586284,-1.1951642,"('dependent', 'independent')",-0.17150657,0.052013353,-1.038067,-1.1592426,-0.822734,-0.7674645,-0.0552695
55,1.2339839,1.2475928,"('incompetent', 'clever')",1.4127952,1.5794196,0.6643818,0.256593,1.1037203,1.0278685,0.0758518
67,1.2326792,1.3039614,"('doubtful', 'determined')",0.9333792,0.8922156,-0.5569981,-0.6572244,0.5363535,0.5129842,0.0233693
30,1.2034341,1.2565657,"('intolerant', 'tolerant')",1.5602773,1.683187,0.47776213,0.23850188,1.0804912,1.0594181,0.0210731
13,1.0622245,1.0695487,"('impolite', 'polite')",0.2817752,0.5202103,-0.26744974,-0.68389624,0.35885,0.3019543,0.0568957
16,-1.0442282,-1.1400601,"('unpopular', 'popular')",-0.22796834,-0.26997024,-0.23211062,0.12228959,-0.5014357,-0.4292469,-0.0721888
53,-1.027358,-1.2258396,"('uncreative', 'creative')",-0.40010938,-0.4922545,0.11103793,0.48249394,-0.4388098,-0.4118667,-0.0269431
46,1.0178899,0.9616992,"('uncompetitive', 'competitive')",1.494011,1.8449813,-0.8709735,-1.2889123,0.5469758,0.5059227,0.0410531
74,1.00876,0.9919916,"('undedicated', 'dedicated')",1.4274309,1.4560049,-0.1500009,-0.31916678,0.7620633,0.7096098,0.0524535
22,1.0080512,0.89187485,"('untrustworthy', 'trustworthy')",1.4888602,1.4588187,-0.2427582,-0.60203296,0.7513844,0.5828869,0.1684975
39,0.9874637,0.981711,"('exploitative', 'cooperative')",1.8429573,1.9436325,0.3029091,0.292356,1.0444434,1.0725665,-0.0281231
41,0.9864427,0.7857989,"('unforgiving', 'forgiving')",1.8231384,1.7713984,0.1778449,-0.14356981,0.9958087,0.8045425,0.1912662
85,-0.96213466,-1.0440031,"('insignificant', 'prestigious')",-1.8587793,-1.7894949,-1.1455504,-0.6225197,-1.3221548,-1.1520059,-0.1701489
71,0.9471908,1.2334764,"('diffident', 'self-confident')",0.5037456,0.9444594,0.36642447,0.64087915,0.605787,0.939605,-0.333818
58,0.94024295,0.7846066,"('undiscriminating', 'discriminating')",0.85170996,0.82890165,-0.06676002,-0.09974891,0.5750643,0.5045865,0.0704778
57,0.88909507,0.6992473,"('unimaginative', 'imaginative')",1.2957214,1.1823978,-2.771139,-3.0364878,-0.1954408,-0.3849475,0.1895067
76,0.8809062,0.82150424,"('anxious', 'daring')",0.5180407,0.5376674,0.5042305,0.012911232,0.6343925,0.4573609,0.1770316
1,-0.8807876,-0.98604476,"('unfriendly', 'friendly')",-0.28937113,-0.51486874,1.0854533,1.5231521,-0.0282352,0.0074129,-0.0356481
42,0.8539747,0.92857975,"('unreliable', 'reliable')",1.421619,1.489012,-1.9910567,-2.396606,0.0948457,0.0069953,0.0878504
32,0.7884721,0.8213197,"('unkind', 'kind')",1.4396236,1.6296704,1.2315459,1.1478759,1.1532139,1.199622,-0.0464081
50,-0.7734434,-0.803226,"('clumsy', 'skillful')",-0.40433717,-0.32048738,0.08007075,0.23670885,-0.3659033,-0.2956682,-0.0702351
20,0.7722373,0.6778396,"('rough', 'thoughtful')",0.24844477,0.18854055,0.79367113,0.7146815,0.6047844,0.5270205,0.0777639
54,-0.7632506,-0.6771971,"('incapable', 'capable')",-0.3375085,-0.38780844,0.7085164,1.0914845,-0.1307475,0.0088263,-0.1395738
69,-0.76318985,-0.55137485,"('lazy', 'industrious')",-0.75516814,-0.45781657,-1.7129397,-1.1836399,-1.0770992,-0.7309438,-0.3461554
26,0.755967,0.49101025,"('hardhearted', 'benevolent')",1.0601048,0.7301281,0.88368726,1.1637588,0.8999197,0.7949657,0.104954
29,-0.7484833,-0.69174856,"('unfair', 'fair')",-0.60140437,-0.63545066,-0.7537122,-0.7103882,-0.7011999,-0.6791958,-0.0220041
75,-0.7293041,-0.7687614,"('meek', 'impulsive')",-1.2583404,-1.5172893,-0.75709665,-0.6995314,-0.9149137,-0.995194,0.0802803
48,0.6520067,0.677557,"('unintelligent', 'intelligent')",0.30918995,0.24471955,0.06622041,0.16372305,0.3424724,0.3619999,-0.0195275
59,-0.63361907,-0.7524204,"('foolish', 'wise')",-0.012899622,-0.08749137,-0.21164212,0.17449811,-0.2860536,-0.2218046,-0.064249
38,0.598075,0.69231707,"('untruthful', 'truthful')",0.14708772,0.35312518,-0.65607506,-0.4971888,0.0296959,0.1827511,-0.1530552
25,-0.5600622,-0.48574543,"('egoistic', 'altruistic')",-0.37594405,-0.4934037,0.7673232,1.0584937,-0.0562277,0.0264482,-0.0826759
65,0.55634344,0.48231667,"('insecure', 'secure')",1.1187472,0.9935896,0.6319465,0.20864722,0.7690124,0.5615178,0.2074946
18,-0.55197084,-0.6158703,"('disagreeable', 'welcoming')",0.22431466,0.10957126,-0.3373945,-0.37246016,-0.2216836,-0.2929197,0.0712361
33,0.54094976,0.54508156,"('wrong', 'right')",-0.11697285,-0.044839703,-0.67731905,-0.40970498,-0.0844474,0.030179,-0.1146264
47,0.5391031,0.5993396,"('stupid', 'smart')",0.4856447,0.61675745,5.5611277,5.696982,2.1952918,2.3043598,-0.109068
77,0.5170109,0.7336923,"('unmotivated', 'motivated')",0.23062512,0.7464041,-1.5460938,-1.5083468,-0.2661526,-0.0094168,-0.2567358
17,-0.50878686,-0.42222825,"('nasty', 'nice')",-0.4566489,-0.4259331,-0.65177053,-0.587899,-0.5390688,-0.4786868,-0.060382
80,0.49788594,0.46325696,"('dominated', 'dominating')",0.8480329,1.0045921,-0.7362808,-1.026951,0.2032127,0.146966,0.0562467
8,-0.4768461,-0.6179455,"('unaffectionate', 'affectionate')",-0.49676105,-0.6189381,0.7988631,1.1870965,-0.058248,-0.0165957,-0.0416523
51,-0.46862948,-0.5729554,"('uneducated', 'educated')",0.07542251,0.20707083,-0.36129236,-0.5493502,-0.2514998,-0.3050783,0.0535785
82,-0.458585,-0.5381363,"('poor', 'rich')",0.20841038,0.01650624,6.599804,6.828873,2.1165431,2.1024144,0.0141287
61,0.37835777,0.31895792,"('illogical', 'logical')",0.82399935,0.94721246,0.0013100691,0.031590957,0.4012224,0.4325871,-0.0313647
84,-0.36295018,-0.45522124,"('inferior', 'superior')",-1.1289374,-1.2137561,-0.12793183,-0.066721305,-0.5399398,-0.5785662,0.0386264
15,-0.35213664,-0.40554237,"('boring', 'funny')",-0.3448147,-0.3888419,-0.29428488,-0.25450686,-0.3304121,-0.3496304,0.0192183
0,0.34786028,0.30348298,"('unsociable', 'sociable')",1.2606778,1.4535408,-0.15970647,-0.37687075,0.4829439,0.460051,0.0228929
73,0.33820546,0.59475565,"('helpless', 'self-reliant')",-0.67750585,-0.6954093,-3.221698,-3.1509142,-1.1869995,-1.0838559,-0.1031436
28,0.30556363,0.35112482,"('disloyal', 'loyal')",-0.22076994,-0.11032352,0.84054697,1.0488462,0.3084469,0.4298825,-0.1214356
87,0.29630795,0.16171722,"('unsuccessful', 'successful')",1.0104742,1.2249413,-0.1927247,0.08391929,0.3713525,0.4901926,-0.1188401
34,0.25702333,0.34689716,"('mean', 'honorable')",0.088386506,0.13111433,4.9346333,5.225572,1.7600144,1.9011946,-0.1411802
64,0.23723468,0.05328402,"('shy', 'confident')",-0.3288874,-0.44834793,-6.020763,-6.5101237,-2.0374719,-2.3017292,0.2642573
44,-0.2253858,-0.14835912,"('prejudiced', 'unprejudiced')",-0.54438764,-0.5632175,-0.71261,-0.8907016,-0.4941278,-0.5340927,0.0399649
37,0.20644115,0.074817,"('fake', 'genuine')",0.105163425,0.12729058,0.69383967,0.5358234,0.3351481,0.245977,0.0891711
86,0.19849038,0.07777126,"('uninfluential', 'influential')",0.8395918,0.8244583,0.36060604,0.22106017,0.4662294,0.3744299,0.0917995
40,0.17413418,0.029172191,"('stingy', 'generous')",0.39869478,0.35841066,-1.7636325,-1.994146,-0.3969345,-0.535521,0.1385865
9,0.15712942,0.22656697,"('unaffectionate', 'caring')",0.6317616,0.85004026,1.3626393,1.7769147,0.7171768,0.9511739,-0.2339971
78,0.15241492,0.19784242,"('nonresilient', 'resilient')",0.44189912,0.9640374,-0.743506,-0.5375027,-0.0497307,0.2081257,-0.2578564
88,-0.12533258,-0.21961522,"('low', 'eminent')",-0.0930386,-0.21024114,-0.25801194,-0.3312196,-0.1587944,-0.253692,0.0948976
27,0.10403682,0.14374387,"('hardhearted', 'softhearted')",1.4372882,1.4976774,1.5571656,1.5107869,1.0328302,1.0507361,-0.0179059
3,0.08250327,0.12355392,"('repellent', 'pleasant')",0.5407032,0.6089461,1.0509073,0.895635,0.5580379,0.5427117,0.0153262
83,-0.058718335,0.00056474656,"('powerless', 'powerful')",-0.54157466,-0.48699433,-0.53292936,-0.6822109,-0.3777408,-0.3895468,0.011806
2,0.045940883,0.22951066,"('unlikable', 'likable')",0.44347697,0.55877423,0.40543157,0.5346631,0.2982831,0.4409827,-0.1426996
