,cameron_male,cameron_female,tuple,international_male,international_female,corp_male,corp_female,average_male,average_female,male-female
12,2.7151282,2.7910907,"('unsupportive', 'supportive')",-0.08645509,0.15655163,-1.8228682,-1.8956709,0.2686016,0.3506571,-0.0820555
39,2.6416488,2.54255,"('exploitative', 'cooperative')",0.50511813,0.7561102,-0.030471088,0.19026262,1.0387653,1.1629743,-0.124209
9,2.251418,2.4981327,"('unaffectionate', 'caring')",0.15380928,0.21742645,1.1327912,0.87058794,1.1793396,1.1953824,-0.0160428
74,1.8314621,2.0888834,"('undedicated', 'dedicated')",0.39965418,0.7500056,-0.12777202,-0.14201342,0.7011147,0.8989586,-0.1978439
84,1.7986612,1.5115849,"('inferior', 'superior')",0.74816066,0.61434555,1.1549337,1.0961078,1.2339185,1.0740128,0.1599057
16,-1.7735219,-1.6665696,"('unpopular', 'popular')",0.26540458,-0.046436448,0.04198949,0.11744349,-0.4887093,-0.5318542,0.0431449
43,1.684476,1.8526248,"('irresponsible', 'responsible')",-0.1406794,0.32818514,0.3753199,0.5252892,0.6397055,0.902033,-0.2623275
38,1.6070027,1.6360581,"('untruthful', 'truthful')",-0.39205092,-0.09546295,0.16028936,0.122652575,0.4584137,0.5544159,-0.0960022
44,-1.6011778,-1.5701536,"('prejudiced', 'unprejudiced')",-0.025186129,0.052790307,-1.5563086,-1.2415658,-1.0608908,-0.9196431,-0.1412477
7,1.4752904,1.3828104,"('insensitive', 'sensitive')",-0.111456424,0.13075422,0.49683583,0.5646432,0.6202233,0.6927359,-0.0725126
2,1.4537866,1.7812272,"('unlikable', 'likable')",1.142087,1.3071723,0.6206626,0.7654479,1.0721788,1.2846158,-0.212437
24,1.4469663,1.6109085,"('dishonest', 'honest')",-0.2448306,0.069771305,0.85158175,0.69822365,0.6845725,0.7929678,-0.1083953
30,1.4298911,1.6979021,"('intolerant', 'tolerant')",0.30844527,0.87680954,0.42440554,0.80633295,0.720914,1.1270148,-0.4061008
62,1.3884056,1.7713243,"('incompetent', 'brilliant')",0.68998426,1.0977933,0.6707473,1.0353358,0.9163791,1.3014845,-0.3851054
28,1.3819976,1.6221865,"('disloyal', 'loyal')",-0.33925694,-0.09842599,1.5082637,1.3979326,0.8503348,0.9738978,-0.123563
56,1.3576821,1.6115284,"('impractical', 'practical')",0.9828063,1.6489518,-0.24406579,0.2091772,0.6988076,1.1565525,-0.4577449
55,1.3544172,1.2407558,"('incompetent', 'clever')",-0.982579,-0.6758248,0.28141847,0.3421418,0.2177522,0.3023576,-0.0846054
73,1.3276644,1.6717839,"('helpless', 'self-reliant')",0.5533458,0.7170453,-3.4394948,-3.3344243,-0.5194949,-0.3151983,-0.2042966
6,-1.3088598,-0.7653049,"('distant', 'open')",-0.044263758,-0.19486848,-0.7015599,-1.0107758,-0.6848945,-0.6569831,-0.0279114
0,1.2529311,1.173039,"('unsociable', 'sociable')",-0.4931401,-0.21118441,-0.39845866,-0.2865031,0.1204441,0.2251172,-0.1046731
23,1.2430108,1.0870717,"('insincere', 'sincere')",-0.042309538,0.24270286,6.1213913,6.095329,2.4406975,2.4750344,-0.0343369
31,-1.1278021,-0.5613531,"('evil', 'good')",-0.4220978,-0.5687652,-1.2371215,-1.4530786,-0.9290071,-0.8610657,-0.0679414
59,1.1237513,1.1616573,"('foolish', 'wise')",0.1271574,0.16069794,-0.06472805,-0.0844368,0.3953936,0.4126395,-0.0172459
72,1.1212488,0.8574668,"('unambitious', 'ambitious')",-0.40240705,-0.4748096,-0.0115330815,-0.2028422,0.2357696,0.0599383,0.1758313
5,-1.1149474,-0.5258446,"('distant', 'outgoing')",0.28484163,0.1477263,-0.6247342,-0.7566404,-0.4849466,-0.3782529,-0.1066937
46,1.0837395,0.8205048,"('uncompetitive', 'competitive')",0.4519347,0.41457808,-0.5363078,-0.5279486,0.3331221,0.2357114,0.0974107
33,1.0583075,1.0850236,"('wrong', 'right')",0.85089916,0.55075985,-0.78469944,-1.0549492,0.3748357,0.1936114,0.1812243
71,1.0504459,1.1207947,"('diffident', 'self-confident')",0.8604669,0.8502532,0.26532695,0.15107946,0.7254132,0.7073758,0.0180374
41,1.0423982,1.1196781,"('unforgiving', 'forgiving')",-0.12116654,0.036312025,-0.00865785,0.061698813,0.3041913,0.4058963,-0.101705
21,1.0096337,0.94751036,"('immoral', 'moral')",-0.027138101,0.1711645,-0.65000266,-0.57152987,0.110831,0.1823817,-0.0715507
8,1.0095036,1.1090052,"('unaffectionate', 'affectionate')",-0.27633625,-0.487091,0.30138278,-0.10754152,0.3448501,0.1714576,0.1733925
63,0.9896839,1.0358986,"('unperceptive', 'insightful')",0.5252278,0.8025101,0.73195744,0.6662377,0.7489564,0.8348821,-0.0859257
35,-0.9780268,-0.7873623,"('corrupt', 'incorrupt')",-0.51811224,-0.5847467,-0.97600865,-1.0478547,-0.8240492,-0.8066545,-0.0173947
58,0.9271652,0.65652895,"('undiscriminating', 'discriminating')",0.15347442,0.13579866,0.44877362,0.2708121,0.5098044,0.3543799,0.1554245
17,-0.9154874,-0.26815814,"('nasty', 'nice')",-1.3307725,-1.0317565,-0.9175801,-0.61612356,-1.0546134,-0.6386794,-0.415934
14,0.89307314,1.057056,"('antisocial', 'social')",0.5366391,0.9553865,-0.16350326,0.27975842,0.4220697,0.764067,-0.3419973
61,0.8128853,0.96377707,"('illogical', 'logical')",-0.62491137,-0.5620178,0.38001376,0.39018506,0.1893292,0.2639814,-0.0746522
11,0.803105,0.7453164,"('unhelpful', 'helpful')",0.095940635,0.43795186,2.355013,2.3855033,1.0846862,1.1895905,-0.1049043
4,-0.79393256,-0.36505195,"('disliked', 'liked')",-0.13658331,0.026494948,-6.9329114,-6.7456136,-2.6211424,-2.3613901,-0.2597523
