,s&p_male,s&p_female,tuple,global_male,global_female,inc_male,inc_female,average_male,average_female,male-female
2,1.5983574,1.5256444,"('unlikable', 'likable')",1.2322545,1.3020142,1.5386341,1.7302792,1.4564153,1.5193125,-0.0628972
73,1.5454099,1.6629901,"('helpless', 'self-reliant')",0.9347061,1.1238567,1.3547968,1.5456668,1.2783043,1.4441711,-0.1658668
28,-1.3507951,-1.8017403,"('disloyal', 'loyal')",-1.4952456,-1.9426396,-1.6037903,-1.7529889,-1.483277,-1.8324563,0.3491793
1,-1.2871594,-1.3813356,"('unfriendly', 'friendly')",-0.70746297,-0.5213034,-0.9883823,-0.8813439,-0.9943349,-0.9279943,-0.0663406
57,-1.2424741,-1.5873554,"('unimaginative', 'imaginative')",-1.9694549,-2.181583,-1.9062992,-1.8811022,-1.706076,-1.8833469,0.1772709
23,-1.1587878,-1.1064832,"('insincere', 'sincere')",-2.536316,-2.7775016,-0.9292886,-0.79241896,-1.5414642,-1.5588013,0.0173371
10,-1.1542114,-1.3654318,"('unsympathetic', 'sympathetic')",-2.6606739,-3.0087786,-1.3978388,-1.4265113,-1.7375746,-1.9335739,0.1959993
53,-1.08659,-0.98624575,"('uncreative', 'creative')",-0.4615269,-0.24868405,-1.4967533,-1.1159827,-1.0149568,-0.7836375,-0.2313193
64,1.0631725,0.9330056,"('shy', 'confident')",-0.17045835,-0.41962406,0.30804417,0.21796432,0.4002528,0.2437819,0.1564709
86,-0.97658336,-1.3276913,"('uninfluential', 'influential')",-1.9759331,-2.5368485,-1.4060073,-1.5215584,-1.4528413,-1.7953661,0.3425248
42,0.974273,0.86354434,"('unreliable', 'reliable')",1.0947692,0.8894067,0.7570653,0.785986,0.9420358,0.8463124,0.0957234
82,-0.92872953,-0.6299751,"('poor', 'rich')",-0.95067656,-0.5384525,-1.2643352,-0.8665519,-1.0479137,-0.6783264,-0.3695873
15,0.8955467,0.8534875,"('boring', 'funny')",1.0331936,0.980773,-0.27592745,-0.35704267,0.5509376,0.4924059,0.0585317
