,sovereign_male,sovereign_female,tuple,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,male-female
74,1.8618106,1.6488097,"('undedicated', 'dedicated')",0.3079195,0.26477802,0.35956427,0.07067914,0.8430982,0.6614223,0.1816759
73,1.857898,1.7895647,"('helpless', 'self-reliant')",0.7640812,0.71299654,-3.598271,-3.6411815,-0.3254306,-0.37954,0.0541094
9,1.8349684,1.5085149,"('unaffectionate', 'caring')",0.5446162,0.41220307,1.378747,1.4341136,1.2527773,1.1182772,0.1345001
26,1.7646489,1.4443772,"('hardhearted', 'benevolent')",0.5303658,0.3396901,1.2107177,0.7735955,1.1685775,0.8525542,0.3160233
12,1.7604449,1.5389519,"('unsupportive', 'supportive')",-0.5152785,-0.4697712,-1.5789007,-1.7129189,-0.1112448,-0.2145794,0.1033346
23,1.581272,1.5230688,"('insincere', 'sincere')",0.15529484,0.18902919,6.365092,6.640373,2.7005529,2.7841571,-0.0836042
44,-1.5568223,-1.4037752,"('prejudiced', 'unprejudiced')",-0.4352072,-0.35904682,-1.5874681,-1.561762,-1.1931659,-1.1081947,-0.0849712
39,1.4515474,1.5538349,"('exploitative', 'cooperative')",0.53819215,0.6034087,-0.09813255,-0.15199712,0.6305357,0.6684155,-0.0378798
75,-1.4494143,-1.4104717,"('meek', 'impulsive')",0.012077512,-0.022480277,-0.5837866,-0.4438245,-0.6737078,-0.6255922,-0.0481156
82,-1.4366802,-1.3101639,"('poor', 'rich')",-0.91391283,-0.7749267,6.7238593,7.0690756,1.4577554,1.6613283,-0.2035729
79,1.432792,1.2611675,"('wavering', 'unwavering')",0.73345196,0.46844372,0.14880131,0.27623525,0.7716818,0.6686155,0.1030663
84,1.4320354,1.643925,"('inferior', 'superior')",-0.3759548,-0.3306818,0.66756165,0.7703819,0.5745474,0.6945417,-0.1199943
63,1.4013349,1.2379311,"('unperceptive', 'insightful')",0.263219,0.26062512,1.7882297,1.8944416,1.1509279,1.1309992,0.0199287
71,1.3809329,1.2795396,"('diffident', 'self-confident')",0.74400693,0.79665893,0.7051031,0.6484705,0.9433477,0.908223,0.0351247
16,-1.3386756,-1.32906,"('unpopular', 'popular')",0.28857017,0.25718218,0.5373105,0.55017895,-0.1709317,-0.1738996,0.0029679
54,1.3214656,1.0896648,"('incapable', 'capable')",1.085613,0.93364644,1.2938794,1.5567324,1.2336528,1.1933479,0.0403049
30,1.2337394,1.4453597,"('intolerant', 'tolerant')",-0.64111876,-0.38897723,1.0484262,1.2171216,0.5470156,0.7578347,-0.2108191
56,1.1476938,1.406289,"('impractical', 'practical')",0.16771282,0.4351657,0.13485307,0.26495668,0.4834199,0.7021372,-0.2187173
43,1.1127026,0.95297205,"('irresponsible', 'responsible')",-1.2404116,-1.2193332,0.7401105,0.73372006,0.2041338,0.1557863,0.0483475
81,-1.0414321,-0.8816559,"('submissive', 'aggressive')",-1.2809044,-0.98964006,-0.4080993,-0.19722554,-0.9101453,-0.6895072,-0.2206381
83,1.0375402,0.98931664,"('powerless', 'powerful')",0.77228487,0.77963436,-0.6743546,-0.7866849,0.3784901,0.327422,0.0510681
24,1.035366,1.0946066,"('dishonest', 'honest')",-1.695511,-1.6017094,0.8499647,0.9630469,0.0632733,0.1519814,-0.0887081
66,1.0119144,0.749171,"('inactive', 'active')",1.2808415,1.1214528,1.1529099,0.98693895,1.1485553,0.9525209,0.1960344
